标题,开发商,房子信息,发布信息,售价/万,单价
电梯大两室，户型方正税费少。。,康桥枫景一期 -汉台区,2室2厅 | 112.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,56,"4,988元/平"
江边大三室，采光好，全明户型，公摊小，得房率高,萃庭花园 -汉台区,3室2厅 | 151平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 6天以前发布,85,"5,630元/平"
城西江边洋房社区，南北朝向楼层好视野宽阔，采光充足,滨江公园壹号 -汉台区,3室2厅 | 129平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,130,"10,078元/平"
城西好地段，有车位 ，中间楼层,明珠南苑一期 -汉台区,2室2厅 | 104.09平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 9天以前发布,51,"4,900元/平"
户型方正，中间楼层，产权明晰，明厨明卫，卧室带飘窗,海德理想城 -汉台区,2室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 7天以前发布,45.6,"4,471元/平"
城西，体育场旁，横厅设计，业主诚意出售。,智诚茗居 -汉台区,3室2厅 | 139.95平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 10天以前发布,70,"5,002元/平"
城西滨江品质小区精装4室 开发商交付,御锦湾 -汉台区,4室2厅 | 146平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,0人关注 / 11天以前发布,210,"14,384元/平"
可贷款 精装 三楼 带品牌家具家电,明珠小区 -汉台区,3室2厅 | 120.17平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,56,"4,661元/平"
江边成熟小区，楼层好地段优 视野开阔，离江边近,中青国际社区三期 -汉台区,3室2厅 | 116.7平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 15天以前发布,62,"5,313元/平"
市中三室简装低楼层带柴房，业主诚心出售！,兴航小区 -汉台区,3室2厅 | 130.69平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,51,"3,903元/平"
"商圈成熟小区,位于湿地公园,小区园林景观.",吾悦公馆 -汉台区,3室2厅 | 100.41平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,85,"8,466元/平"
丰辉广场学府花园电梯房精装三室证在手随时交易,学府花园(汉台区) -汉台区,3室2厅 | 117.77平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,60,"5,095元/平"
一线江景房，客厅卧室均可看江！！！！,海德理想城 -汉台区,3室2厅 | 130.02平米 | 西南 | 简装 | 高楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,61,"4,692元/平"
蜀汉大都会商圈，拎包入住，经济适用！！,蜀汉美郡 -南郑区,3室2厅 | 89.03平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,54.9,"6,167元/平"
城西 江边 精装修 大 三居室,桃源新城 -汉台区,3室2厅 | 106.68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,29人关注 / 一年前发布,46,"4,312元/平"
中所边上，小三居精装修带地暖，业主诚心出售。,绿地香樟林 -南郑区,3室2厅 | 88.5平米 | 南 北 | 简装 | 中楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,49,"5,537元/平"
电视塔旁，精装三室，多层四楼，位置好交通方便,汉中市汉台区前进东路市招标办家属院 -汉台区,3室2厅 | 136.44平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,42人关注 / 一年前发布,48.5,"3,555元/平"
城西精装中间楼层优质2室满二带家具家电,金泰·滨江花城 -汉台区,2室1厅 | 92.93平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,2人关注 / 3个月以前发布,68,"7,318元/平"
城西吾悦3室2厅2卫中间好楼层.可观江有产权车位急售,吾悦公馆 -汉台区,3室2厅 | 100.02平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,7人关注 / 4个月以前发布,81,"8,099元/平"
江边精装大四室，电梯高层采光好，南北双阳台利用高。,萃庭花园 -汉台区,4室2厅 | 164.75平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,23人关注 / 一年前发布,89,"5,403元/平"
房子产证满二，多层四楼，户型好，采光好，配套齐全,海德城 -汉台区,3室2厅 | 136.58平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,52,"3,808元/平"
小区地段好离江边近小区环境好配套设施齐全，适宜居住,广厦明珠北苑 -汉台区,3室2厅 | 141平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,7人关注 / 7个月以前发布,87,"6,171元/平"
君临汉江电梯三室  户型格局好一线江景房，,君临汉江 -南郑区,3室2厅 | 152.71平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,3人关注 / 4个月以前发布,74.5,"4,879元/平"
现房，税费少，房屋南北通透，中高楼层产证清晰位置好,金泰·滨江花城 -汉台区,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,19人关注 / 10个月以前发布,90.9,"6,402元/平"
汉府公馆，领包入住精装3房，欢迎看房！,汉府公馆 -汉台区,3室2厅 | 122.52平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,92,"7,509元/平"
业主急售，房子真实在售，电梯房资质较好,天汉花苑 -汉台区,3室2厅 | 126.19平米 | 西南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,66,"5,231元/平"
金色蓝镇电梯洋房，户型采光好，满二无增值税，证在手,金色蓝镇 -南郑区,4室1厅 | 137.33平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 23天以前发布,88,"6,408元/平"
此房满两年没有增值税，户型方正，采光通风好，,金泰·滨江花城 -汉台区,2室2厅 | 86.04平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 11天以前发布,70,"8,136元/平"
户型方正，交通便捷，配套齐全。,智诚茗居 -汉台区,3室2厅 | 127.42平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,72,"5,651元/平"
城东新小区，好楼层，诚心出售大三居,汉唐国际 -汉台区,3室2厅 | 123.07平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 24天以前发布,65,"5,282元/平"
裕华园南北通透大三室，毛坯，产证满二,裕華園 -南郑区,3室2厅 | 121.79平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 21天以前发布,50,"4,106元/平"
成熟小区，大三室 采光充足，楼层好,萃庭花园 -汉台区,3室2厅 | 141.05平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 27天以前发布,72.9,"5,169元/平"
江边洋房，大平层，南北双阳台，一手合同，可按揭，。,滨江佳园 -汉台区,3室1厅 | 161平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,1人关注 / 25天以前发布,113,"7,019元/平"
精装2室边户好楼层，双阳台无浪费,和谐春天 -汉台区,2室1厅 | 95.58平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 27天以前发布,49,"5,127元/平"
城东三室好户型，楼层好，业主急售。,建昌卡斯迪亚第壹大道 -汉台区,3室2厅 | 91.79平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,41人关注 / 一年前发布,57.5,"6,265元/平"
江边热门小区一线江景 四叶草户型 产证在手 支持按揭,竹园华府 -汉台区,4室2厅 | 162.31平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,31人关注 / 一年前发布,102.8,"6,334元/平"
体育场北边大两室改三室布局合理高楼层采光好,民乐花苑二期北区 -汉台区,3室1厅 | 96.14平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,7人关注 / 8个月以前发布,56.9,"5,919元/平"
天汉大道医院旁，集中供暖两室，费用低,3201医院家属院 -汉台区,2室2厅 | 77.2平米 | 北 | 简装 | 中楼层(共7层)  | 板楼,13人关注 / 5个月以前发布,25,"3,239元/平"
东大街主流商圈，一手合同 低密度 电梯7层小洋楼,大汉锦绣 -汉台区,3室2厅 | 112.31平米 | 西 | 其他 | 高楼层(共8层)  | 板塔结合,1人关注 / 16天以前发布,72,"6,411元/平"
情艺园精装电梯小三室，户型好，配套成熟生活方便,情艺园 -南郑区,3室2厅 | 107.64平米 | 南 北 | 其他 | 中楼层(共16层)  | 塔楼,0人关注 / 17天以前发布,53,"4,924元/平"
市区海德城电梯大两室，户型好，采光好产证满五,海德城 -汉台区,2室2厅 | 100平米 | 西 北 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,54.9,"5,490元/平"
城西次新小区，毛坯打三室，随意装修。,锦都名居 -汉台区,3室2厅 | 145.73平米 | 南 西 | 毛坯 | 中楼层(共18层)  | 板塔结合,28人关注 / 一年前发布,67.8,"4,653元/平"
汉水名城阅府东把头大三室诚心出售，看房方便。,汉水名城阅府 -汉台区,3室2厅 | 143.12平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,59人关注 / 一年前发布,96,"6,708元/平"
户型方正，保养比较好，交通便利,和谐春天 -汉台区,2室2厅 | 95.61平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,9人关注 / 一年前发布,51,"5,335元/平"
此房户型方正，精装修，零入住，楼层好，！,建昌卡斯迪亚第壹大道 -汉台区,2室2厅 | 96.52平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,21人关注 / 5个月以前发布,57.5,"5,958元/平"
好楼层  精装    咨询维护人可随时看房,汉府公馆 -汉台区,3室2厅 | 118.63平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,2人关注 / 4个月以前发布,89.5,"7,545元/平"
房子地段好，生活就医都很便利，配套齐全适合居住 。,汉上第一街 -汉台区,3室2厅 | 126.76平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 13天以前发布,80,"6,312元/平"
汉台二中汉丰路，电梯三室带暧气业主急售！,汉丰小区 -汉台区,3室2厅 | 126.88平米 | 西南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 11天以前发布,53.8,"4,241元/平"
业主诚心出售，楼层好，位置优越,西大街甲1号 -汉台区,3室2厅 | 94.41平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,41.2,"4,364元/平"
卖点：卖点： 户型方正，配套设施完善 近天汉湿地公园,明珠南苑一期 -汉台区,3室2厅 | 129.44平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,5人关注 / 4个月以前发布,67.5,"5,215元/平"
小区环境好、物业服务好，城东成熟社区,地王熙苑 -汉台区,3室1厅 | 95.83平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 3个月以前发布,50,"5,218元/平"
城西江边洋房社区，南北朝向，楼层好，视野宽阔，,滨江公园壹号 -汉台区,4室1厅 | 140平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 9天以前发布,182,"13,000元/平"
高铁站旁中间两居室，格局好，保护好，业主诚意出售,锦江小区 -汉台区,2室2厅 | 99.26平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,38.8,"3,909元/平"
南北通透 全明户型 前后无遮挡 采光视野好,蜀汉大都会 -南郑区,3室2厅 | 117.6平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 11天以前发布,61,"5,188元/平"
户型方正，配套齐全，交通方便，精装修,民乐花苑一期 -汉台区,3室2厅 | 95.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,48,"5,019元/平"
此房朝南，没有多余的税费，楼层好 南向是客厅,明珠南苑二期 -汉台区,3室2厅 | 152.18平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 9天以前发布,86,"5,652元/平"
绿化高，交通方便，距离江边近，配套齐全,滨江半岛 -汉台区,3室2厅 | 119.91平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,10人关注 / 一年前发布,86,"7,173元/平"
汉大精装大三室低楼层带200平露台有车库带柴房带暖气,地王花园 -汉台区,3室2厅 | 141.52平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,16人关注 / 8个月以前发布,72,"5,088元/平"
城东2014年次新小区3室毛坯带车库,万泰康居城 -汉台区,3室2厅 | 105.69平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,50,"4,731元/平"
此房满五唯一，面积大，位置好，火车站旁,变压器厂家属院 -汉台区,3室2厅 | 136.23平米 | 南 北 | 简装 | 中楼层(共12层)  | 板楼,11人关注 / 4个月以前发布,50,"3,671元/平"
明珠南苑二期大两室 中高楼层采光好 看房方便,明珠南苑二期 -汉台区,2室2厅 | 94.05平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 5天以前发布,49,"5,210元/平"
城东品质小区，产证满二，中间楼层，业主诚意出售。,朋鹰紫城 -汉台区,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 8天以前发布,74,"6,272元/平"
恒大城精装三室 一天未住过 户型格局好，全明户型,恒大城 -南郑区,3室2厅 | 100平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 7天以前发布,49,"4,900元/平"
体育场就在跟前，配套成熟，交通便利,虎桥小区 -汉台区,2室2厅 | 88.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,15人关注 / 8个月以前发布,26.5,"2,995元/平"
精装两室，业主诚心出售，带柴房,锦江小区 -汉台区,2室1厅 | 89.23平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,30,"3,363元/平"
房子新装修，业主诚心出售。精装两室，装修简约大方。,中青国际社区三期 -汉台区,2室2厅 | 86.6平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,237人关注 / 一年前发布,45,"5,197元/平"
不容错过的电梯房，价格优惠，先到先得,莲湖路北祥座小区 -汉台区,2室1厅 | 91.03平米 | 南 | 其他 | 低楼层(共13层)  | 塔楼,7人关注 / 6个月以前发布,38,"4,175元/平"
经典户型，楼层好，格局好，公摊小，地理位置优越,明珠小区 -汉台区,2室1厅 | 94.89平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,40,"4,216元/平"
房子产权清晰，产证满二，无大税随时交易,广厦明珠北苑 -汉台区,2室1厅 | 92.87平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,3人关注 / 3个月以前发布,54,"5,815元/平"
江边两室，南北通透，中间楼层，领包入住,和谐春天 -汉台区,2室2厅 | 92.34平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 6个月以前发布,47,"5,090元/平"
大露台花园与阳光房并存，精装修拎包入住,利和银座 -南郑区,2室2厅 | 89.5平米 | 东南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 13天以前发布,70,"7,822元/平"
城市中间，一室一厅精装修，业主诚心出售,汇豪新世界 -汉台区,1室1厅 | 51平米 | 南 北 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 4天以前发布,32,"6,275元/平"
金色蓝镇电梯洋房集中供暖精装修一天没住过随时可看房,金色蓝镇 -南郑区,3室2厅 | 122.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 9天以前发布,76.8,"6,265元/平"
房子精装修南北通透大三房房子公摊小,汉中世纪城 -汉台区,3室2厅 | 127.04平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8天以前发布,85,"6,691元/平"
业主急售 随时看房 全明户型 采光充足  产证满五,丰辉花园 -汉台区,3室2厅 | 133.12平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,10人关注 / 9个月以前发布,50,"3,757元/平"
汉水名城南区精装修  三室两厅南北通透中间楼层,漢水名城南区 -汉台区,3室2厅 | 157.21平米 | 南 西北 | 精装 | 中楼层(共6层)  | 板塔结合,17人关注 / 一年前发布,75,"4,771元/平"
东大街，电梯房精装大两室，看房方便,莲湖城市花苑 -汉台区,2室2厅 | 139.2平米 | 东 西 | 精装 | 高楼层(共7层)  | 板塔结合,2人关注 / 4个月以前发布,92,"6,610元/平"
城西优质房，可按揭大三室带入户花园,民乐花苑一期 -汉台区,3室2厅 | 130.79平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,74,"5,658元/平"
城西精装大三室、楼龄新 满2 好楼层视野开阔,西港·时代公馆 -汉台区,3室2厅 | 130.19平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 3个月以前发布,92,"7,067元/平"
精装大三室，拎包入住，产证在手,汇锦城 -汉台区,3室2厅 | 104.13平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,67,"6,435元/平"
玖玺台旁小高层，两室+书房 精装拎包入住,文沁世家 -汉台区,3室1厅 | 97平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 26天以前发布,42.5,"4,382元/平"
国企精装修三室，坐北朝南，中间楼层，拎包入住,金泰·滨江花城 -汉台区,3室2厅 | 119.83平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 20天以前发布,96,"8,012元/平"
城东电梯大三室户型南北通透光线好,学府花园(汉台区) -汉台区,3室2厅 | 128.87平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 25天以前发布,65,"5,044元/平"
南北通透，好楼层，满2年，税费低,裕华香颂 -南郑区,3室2厅 | 120.58平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,72,"5,972元/平"
本房洋房、 南北朝向，动静分离，户型方正，布局合理,滨江公园壹号 -汉台区,4室2厅 | 157平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 19天以前发布,155,"9,873元/平"
城西高品质小区，绿化面积大，向南户型采光更好，,吾悦公馆 -汉台区,3室2厅 | 128.78平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 17天以前发布,112,"8,698元/平"
房子为去年十一月交房的新小区，小区环境好，交通方便,缙颐久玺台 -汉台区,3室2厅 | 102.86平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 17天以前发布,73,"7,098元/平"
此房一手房源，没有多余的税费，楼层好 南向是客厅,明珠南苑二期 -汉台区,3室2厅 | 152平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,1人关注 / 20天以前发布,85.5,"5,625元/平"
城东 四室 南北通透  南向大阳台,朋鹰紫城 -汉台区,4室1厅 | 143.95平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 26天以前发布,76.8,"5,336元/平"
精装房位置好教育近交通便利户型方正采光通风好,金泰·滨江花城 -汉台区,3室2厅 | 93.01平米 | 东 南 | 精装 | 低楼层(共27层)  | 板塔结合,2人关注 / 19天以前发布,70,"7,527元/平"
海德城多层三楼，简装空房。交通便利,海德城 -汉台区,2室1厅 | 97.8平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,16人关注 / 4个月以前发布,43,"4,397元/平"
城东大社区 ，电梯中间层， 精装满五 ，保养好！,万泰康居城 -汉台区,2室2厅 | 95.5平米 | 北 南 | 精装 | 中楼层(共22层)  | 板塔结合,4人关注 / 3个月以前发布,48.5,"5,079元/平"
城西一楼带花园小复式 买一层得两层 拎包入住,仁和春天 -汉台区,2室2厅 | 87.97平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,86,"9,777元/平"
此房产证在手 满五年 税费少 精装房,桃源新城 -汉台区,2室2厅 | 98.44平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,1人关注 / 1个月以前发布,43,"4,369元/平"
产证满五，诚心出售，价格可谈，随时可看,金都苑 -汉台区,2室2厅 | 94.56平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,40,"4,231元/平"
江边精装两室带暖气电梯中间楼层，业主诚意出售。,漢府國風 -南郑区,2室2厅 | 99.91平米 | 南 北 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 2个月以前发布,53,"5,305元/平"
汉江明珠南北通透，商圈配套成熟,汉江明珠 -南郑区,3室2厅 | 115.7平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 塔楼,15人关注 / 一年前发布,56,"4,841元/平"
此房南北通透，没有多余的税费，楼层好 南向是客厅,明珠南苑二期 -汉台区,2室1厅 | 93平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,52,"5,592元/平"
江边次新小区精装修两室，拎包入住,中青国际社区三期 -汉台区,2室2厅 | 86.6平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,13人关注 / 一年前发布,46,"5,312元/平"
房子精装修 保护很好 中间楼层 环境好,汉江新城留苑 -汉台区,2室2厅 | 82.02平米 | 西南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,58,"7,072元/平"
交通方便，商圈成熟，带柴房，简装修,丰辉花园 -汉台区,2室1厅 | 75.45平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,34,"4,507元/平"
多层3楼现浇房，南北通透双阳台，精装带暖气,蜀汉美郡 -南郑区,2室2厅 | 91.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,11人关注 / 8个月以前发布,48,"5,233元/平"
天汉大道，电梯房，两室简装，地理位置优越。,朝阳新世纪 -南郑区,2室1厅 | 70.6平米 | 东 西 | 简装 | 高楼层(共12层)  | 塔楼,70人关注 / 一年前发布,18,"2,550元/平"
此房交通便捷，生活便利，菜市场，银行，医院,广发青龙小区 -汉台区,2室1厅 | 72.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 15天以前发布,24.8,"3,417元/平"
江边两室，电梯房，精装，拎包入住，好楼层业主诚心卖,和谐春天 -汉台区,2室2厅 | 93.25平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,50,"5,362元/平"
花园电梯洋房社区一梯两户高品质、绿化高人车分流,金色蓝镇 -南郑区,3室1厅 | 106.7平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 塔楼,20人关注 / 6个月以前发布,65,"6,092元/平"
电梯房，格局合理，前后没有遮挡彩光好,蜀汉美郡 -南郑区,3室2厅 | 106.3平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,10人关注 / 5个月以前发布,51,"4,798元/平"
堂宏广场精装修两室，满二税费少，含家具家电,堂宏广场 -汉台区,2室2厅 | 78.56平米 | 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,54.3,"6,912元/平"
城西体育旁边，户型好。交通便利,桃源新城 -汉台区,2室2厅 | 98.44平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,39.66,"4,029元/平"
一楼 一居室  带家具家电  南北通透 出行便利,昌海悠然居 -汉台区,1室1厅 | 47.6平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,25人关注 / 一年前发布,17.3,"3,635元/平"
椰岛广场精装修两室带家具家电，暖气拎包入住,金福园 -汉台区,2室2厅 | 78.12平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,36,"4,609元/平"
城东成熟小区，房子朝南，采光好,和谐春天 -汉台区,2室2厅 | 87.69平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,41.5,"4,733元/平"
房子产证满二，采光好，无遮挡，精装修拎包入住,金色蓝镇 -南郑区,3室3厅 | 111平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 23天以前发布,74,"6,667元/平"
城东精装三室，满五税少，南北通透，业主诚心出售,丰辉家园 -汉台区,3室1厅 | 134.23平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,66,"4,917元/平"
