标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园 3室2厅 南 北,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 2天以前发布,116,"9,355元/平"
伏羲庙商圈 配套成熟 大三室 交通方便 户型方正,聚宝盆兰庭小区 -兰天,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 7天以前发布,90,"8,491元/平"
碧桂园御府大平层底层可按揭价格可谈,碧桂园·御府 -麦积区,4室2厅 | 194平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 3天以前发布,140,"7,217元/平"
经典户型，楼层好，采光充足，交通便利，配套设施齐全,恒顺·锦润华府 -成纪新城,4室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 5天以前发布,125,"8,929元/平"
恒顺锦润悦府，天水市住宅品质小区、交通方便生活便捷,恒顺锦润悦府 -成纪新城,2室2厅 | 94平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 4个月以前发布,130,"13,830元/平"
绿色市场世纪豪庭  南北3居 户型好  视野开阔 落地窗,世纪豪庭 -兰天,3室2厅 | 150.79平米 | 南 北 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 29天以前发布,155,"10,280元/平"
五中  建三  皇城名苑  南北精装复式  单价8100,皇城名苑 -东桥头,3室2厅 | 160平米 | 南 | 其他 | 高楼层(共13层)  | 暂无数据,0人关注 / 1个月以前发布,130,"8,125元/平"
房东诚心出售，南北通透，产权清晰，看房方便，有钥匙,天府华庭 -秦州区,4室2厅 | 152.57平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 29天以前发布,140,"9,177元/平"
佳水岸小镇。大面积的四室毛坯，急售,佳·水岸小镇 -王家磨,4室2厅 | 172平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 23天以前发布,138,"8,024元/平"
石马坪新小区 三居室 南北通透户型方正 交通便利,天宝名都 -秦州区,3室2厅 | 131.45平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 17天以前发布,110,"8,369元/平"
业主空置出售，经典的H户型，交通便利上学方便,甘电公司住宅楼 -七里墩,2室2厅 | 74平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2天以前发布,60,"8,109元/平"
方正户型，南北通透，满足一家三代入住，,兰天新华苑 -东桥头,3室2厅 | 137平米 | 南 北 | 精装 | 低楼层(共12层)  | 暂无数据,0人关注 / 2天以前发布,155,"11,314元/平"
天庆嘉园 3室2厅 南 北,天庆嘉园 -秦州区,3室2厅 | 178平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 2天以前发布,178,"10,000元/平"
碧桂园134平米三室两厅精装修业主诚意出售 看房方便,碧桂园 -成纪新城,3室2厅 | 134.5平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,123,"9,145元/平"
南北通透格局、中间楼层，楼层好、视野宽阔、采光充足,碧桂园 -成纪新城,3室2厅 | 127平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,117,"9,213元/平"
碧桂园 全屋定制精装修带家具出售   可按揭价格可谈,碧桂园 -成纪新城,4室2厅 | 183平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,175,"9,563元/平"
天庆嘉园 建二 逸夫旁 精装2室2厅2卫 满五 产权清晰,天庆嘉园 -秦州区,2室2厅 | 103.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,115,"11,117元/平"
万达天御25号楼125平随时看房,天水万达广场 -万达,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,130,"10,400元/平"
石马坪单价八千左右新小区  简装 地处繁华地段,天宝名都 -秦州区,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 28天以前发布,114,"8,445元/平"
软木厂家属院 3室2厅 南,软木厂家属院 -东桥头,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,98,"9,246元/平"
恒顺锦润悦府118平米三室精装房看房方便 可议价,恒顺锦润悦府 -成纪新城,3室2厅 | 118平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 22天以前发布,105,"8,899元/平"
师院 旁边 大三室 装修好 带14平米地下室  随时看房,园丁苑 -天水郡,3室2厅 | 126.45平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,108,"8,541元/平"
此房子上亿广场，纯商品房，楼栋间距大，采光好,上亿广场 -西十里,3室1厅 | 85平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 15天以前发布,65,"7,648元/平"
凯悦酒店旁 进步巷广厦小区 3室2厅1卫 无公摊,广厦3号居民楼 -东桥头,3室1厅 | 110平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,94,"8,546元/平"
七里墩，优质房源，可全款可首付,天传家园 -七里墩,3室2厅 | 102平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,75,"7,353元/平"
方正户型，南北通透，三室两厅两卫满足一家三代入住,广厦小区 -秦州区,3室2厅 | 110平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,93,"8,455元/平"
恒顺锦融华府此房南北通透，127经典三室 ，一梯一户,恒顺·锦润华府 -成纪新城,3室2厅 | 127.5平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 10天以前发布,115,"9,020元/平"
恒顺锦润悦府高层146平南北通透可按揭,恒顺锦润悦府 -成纪新城,3室2厅 | 146平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 11天以前发布,110,"7,535元/平"
水漪润园 3室2厅 南 北,水漪润园 -社棠,3室2厅 | 123.95平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 16天以前发布,82,"6,616元/平"
满五唯一、产权清晰， 可按揭，户型方正，,兰天华庭 -秦州区,4室2厅 | 173.02平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 11天以前发布,180,"10,404元/平"
解放路 四室两厅 产权清晰 可按揭 看房方便,织锦园住宅小区 -兰天,4室2厅 | 164平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,155,"9,452元/平"
渭水园      三室两厅一厨一卫,渭水园 -道北,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,75,"6,819元/平"
景茂苑3-2-1-1 137.16平方  108万,景茂苑 -东桥头,3室2厅 | 137.16平米 | 南 北 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 15天以前发布,109,"7,947元/平"
此房楼层好 南北通透 视野开阔 交通方便,中海•铂悦府 -万达,3室2厅 | 105.18平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 12天以前发布,94,"8,938元/平"
建二天庆嘉园 毛坯复式 带露台 单价8500元 可按揭,天庆嘉园 -秦州区,5室3厅 | 211.81平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,180,"8,499元/平"
七里墩  长开小区  随时可看房  价位可谈,长开小区 -七里墩,2室1厅 | 58.12平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,53,"9,120元/平"
天水一中家属院适宜人群 卖点 教育配套,一中家属院 -东桥头,2室2厅 | 85平米 | 东 西 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 6个月以前发布,93,"10,942元/平"
畅和新城毛坯两室好房出售，价位可议。,畅和新城 -七里墩,2室2厅 | 96.93平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,2人关注 / 一年前发布,85,"8,770元/平"
满五唯一 和谐家园 随时可看   可议价,和谐家园 -七里墩,2室2厅 | 93.95平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 8个月以前发布,58,"6,174元/平"
钢厂家属院 2室1厅 南,钢厂家属院 -秦州区,2室1厅 | 70.93平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 16天以前发布,66,"9,305元/平"
华龙小区 中间楼层 南北通透 满五唯一,华龙小区 -马跑泉,2室2厅 | 91平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,74,"8,132元/平"
煜城家园电梯房房东低价出售。。。,煜诚家园 -七里墩,2室2厅 | 98.64平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,65,"6,590元/平"
和谐家园精装好房价格可谈看房提前预约,天宁苑二期 -道北,2室2厅 | 94平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 8天以前发布,55,"5,852元/平"
和谐家园精装好房，价格可谈着急出手,和谐家园(孙家坪路) -七里墩,2室2厅 | 96平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 8天以前发布,72,"7,500元/平"
建二 逸夫旁 福迪瑞福 经典南北通透2居室 中间楼层,福迪瑞府 -秦州区,2室2厅 | 104.23平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 4天以前发布,92,"8,827元/平"
精装全配，温馨两室一厅一厨一卫，拎包入住。,金江花苑 -分路口,2室2厅 | 94.6平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,63,"6,660元/平"
天和家园房子两室两厅精装修急售全款,天河家园 -七里墩,2室2厅 | 78.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,68,"8,641元/平"
和谐家园两室两厅临街房子价位可谈,和谐家园 -七里墩,2室2厅 | 95.76平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 2天以前发布,68,"7,102元/平"
天光集成电路厂家属区 3室1厅 南,天光集成电路厂家属区 -兰天,3室1厅 | 70平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,60,"8,572元/平"
金宇花苑 2室1厅 南,金宇花苑 -秦州区,2室1厅 | 79.5平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,80,"10,063元/平"
坚家河菜市场商圈 生活方便 中间楼层 配套齐全,坚家河小区 -伏羲庙,3室1厅 | 92.12平米 | 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 3天以前发布,95,"10,313元/平"
一中新华门  清华苑  精装2居 中间楼层  可按揭,清华苑小区 -东桥头,2室2厅 | 87平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 1天以前发布,78,"8,966元/平"
小区处于市繁华路段，各种配套成熟,东方名城 -未知商圈,2室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 3天以前发布,95,"9,794元/平"
锦绣苑精装两室好房，价格可以小刀，欢迎咨询1,锦绣苑 -秦州区,2室1厅 | 97.2平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 1天以前发布,63,"6,482元/平"
福迪瑞福 建二逸夫旁 户型房正2居室中间楼层采光好,福迪瑞府 -秦州区,2室2厅 | 105.27平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 4天以前发布,92,"8,740元/平"
和谐家园   经典户型   随时看房  可议价,和谐家园 -七里墩,2室2厅 | 94平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 4天以前发布,66.5,"7,075元/平"
建三五中旁 景茂苑 精装2室 户型好采光足业主全力出售,景茂苑 -东桥头,2室2厅 | 83平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,72,"8,675元/平"
电梯房 三室两厅一厨两卫  精装修  中楼层  看房方便,兰天新华苑 -东桥头,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,1人关注 / 4个月以前发布,158,"11,618元/平"
天河小区三室两厅 一梯两户南北通透 业主诚意出售,天河家园 -七里墩,3室2厅 | 137平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,124,"9,052元/平"
仿古街五龙雅苑大面积四室两厅两卫,五龙雅苑 -马跑泉,4室2厅 | 156平米 | 北 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,95,"6,090元/平"
天水万达广场 3室2厅 南 北,天水万达广场 -万达,3室2厅 | 92.12平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,73.7,"8,001元/平"
七里墩可按揭准现房，户型好，小区环境好,佳·朗园 -七里墩,3室2厅 | 137.83平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,118,"8,562元/平"
苹果小镇现房三室 77万可谈 可按揭 随时过户,天庆苹果小镇 -社棠,3室2厅 | 99.9平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,77,"7,708元/平"
万达天御125平3室2厅2卫住宅，南北通透，采光好,天水万达广场 -万达,3室2厅 | 96.47平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,94.7,"9,817元/平"
此房南北通透，空间设计合理，没有浪费面积。,天水万达广场 -万达,3室2厅 | 96.47平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,95.1,"9,858元/平"
碧桂园127平米南北通透南北双阳台业主诚意出售,碧桂园 -成纪新城,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,120,"9,449元/平"
红桥 天庆嘉园精装3室2厅2卫 电梯房 业主保养新,天庆嘉园 -秦州区,3室2厅 | 152.3平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,159,"10,440元/平"
和谐家园大三室低价出售，，，，，，,和谐家园 -七里墩,3室2厅 | 128.97平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,95,"7,367元/平"
万达天御3-2-1-1 136.26m²现房出售,天水万达广场 -万达,3室2厅 | 136.26平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,131,"9,614元/平"
满五唯一，可做按揭，着急买房的快点入手哦,一勘院小区(花牛路) -分路口,3室2厅 | 133平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,105,"7,895元/平"
福门 3室2厅 南 北,福门 -万达,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,124,"9,324元/平"
此房南北通透格局，楼层好，视野宽阔，采光充足,宏安英郡 -万达,4室2厅 | 150平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 29天以前发布,150,"10,000元/平"
碧桂园127平米南北双阳台，通透户型,碧桂园 -成纪新城,3室2厅 | 126.55平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 31天以前发布,107,"8,456元/平"
保利堂悦 3室2厅 南 北,保利堂悦 -道北,3室2厅 | 94平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 31天以前发布,65,"6,915元/平"
建一片区 民主路 精装电梯3居室 观景房视野好 可按揭,东苑花园 -东桥头,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,170,"11,487元/平"
碧桂园3-2-1-2 124.00m² 125 万）,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,125,"10,081元/平"
西十里 品质小区 精装修 电梯房 中间楼层,福田·天水中心 -西十里,3室2厅 | 138.66平米 | 南 北 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,110,"7,934元/平"
河景房  三室两厅两卫  三代居住   可议价,碧桂园 -成纪新城,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 31天以前发布,116,"9,431元/平"
品质小区   标杆园林绿化  随时看房   可议价,恒顺锦润悦府 -成纪新城,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,115,"8,647元/平"
天庆嘉园 建二 逸夫旁 精装室2厅2卫 满五 产权清晰,天庆嘉园 -秦州区,4室2厅 | 265.03平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,215,"8,113元/平"
正大花苑3-2-1-1 120.00m² 120 万,正大花苑 -万达,3室2厅 | 120.7平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,120,"9,943元/平"
御园·桃李春风3-2-1-1 112.19m² 125 万,御园·桃李春风 -万达,3室2厅 | 112.19平米 | 东 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 28天以前发布,125,"11,142元/平"
七里墩天河广场低价精装好房.....,七里墩天河新村 -七里墩,2室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,53,"5,521元/平"
兰天旁边 三室两厅一厨两卫 无公摊,金宇大厦 -兰天,3室2厅 | 125平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,130,"10,400元/平"
阳光公寓 3室2厅 东南,阳光公寓 -秦州区,3室2厅 | 225.7平米 | 东南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 16天以前发布,230,"10,191元/平"
兰天华庭 4室2厅 南 北,兰天华庭 -秦州区,4室2厅 | 173平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,228,"13,180元/平"
家园小区 3室2厅 南 北,家园小区 -秦州区,3室2厅 | 106.27平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 16天以前发布,96,"9,034元/平"
天河美郡 3室2厅 南 北,天河美郡 -王家磨,3室2厅 | 145平米 | 南 北 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 11天以前发布,112,"7,725元/平"
师院河景房 预备役家属院 精装三室两厅两卫 单价7000,莲园巷234号 -天水郡,3室2厅 | 128平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 7天以前发布,92,"7,188元/平"
恒顺锦融悦府两室两厅 经典户型 家具家电齐全看房方便,恒顺锦润悦府 -成纪新城,2室2厅 | 94平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 28天以前发布,98,"10,426元/平"
渭水家园 2室1厅 南 北,渭水家园 -社棠,2室1厅 | 74平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,47,"6,352元/平"
佳·水岸小镇 2室1厅 南 北,佳·水岸小镇 -王家磨,2室1厅 | 95平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,80,"8,422元/平"
碧桂园御府四室两厅143平米出售,碧桂园·御府 -麦积区,4室2厅 | 143.42平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 一年前发布,130,"9,065元/平"
成纪新城 碧桂园御府 原价出 业主急售 四室两厅两卫,碧桂园·御府 -麦积区,4室2厅 | 143.32平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,124,"8,652元/平"
板式楼南北通透，四室两厅两卫，三卧室朝南向,碧桂园·御府 -麦积区,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 一年前发布,130,"9,091元/平"
精装修，合景房，采光足，带大平台,碧桂园·御府 -麦积区,4室2厅 | 154平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,3人关注 / 一年前发布,180,"11,689元/平"
碧桂园  河景房  带字母车位  三室两厅两卫,碧桂园 -成纪新城,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,158,"12,441元/平"
：此房、南北通透格局、楼层好、视野宽阔、采光充足,碧桂园·御府 -麦积区,4室2厅 | 143.05平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,129,"9,018元/平"
碧桂园河景房  三室两厅两卫  125平  中间楼层,碧桂园 -成纪新城,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,120,"9,600元/平"
碧桂园三室 精装修  拎包入住   看房方便,碧桂园 -成纪新城,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 6个月以前发布,113,"9,113元/平"
碧桂园御府 一梯一户   五室户型  可按揭,碧桂园·御府 -麦积区,5室2厅 | 220平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,191,"8,682元/平"
碧桂园 123平三室两厅两卫 精装修 带家具 拎包入住,碧桂园 -成纪新城,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 一年前发布,122,"9,919元/平"
碧桂园127平米三室两厅南北双阳台看 房方便 诚意出售,碧桂园 -成纪新城,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,125,"9,843元/平"
碧桂园四室两厅152平经典户型,碧桂园 -成纪新城,4室2厅 | 152平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 一年前发布,160,"10,527元/平"
碧桂园御府大四室 小高层 诚心出售 可按揭,碧桂园·御府 -麦积区,4室2厅 | 223平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 11个月以前发布,205,"9,193元/平"
南北通透 大四房 中间楼层 大客厅 小区中间位置,碧桂园·御府 -麦积区,4室2厅 | 144平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,125,"8,681元/平"
此房、南北通透格局、楼层好、视野宽阔、采光充足,碧桂园·御府 -麦积区,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共13层)  | 暂无数据,0人关注 / 一年前发布,103.5,"9,000元/平"
碧桂园 四室两厅一厨两卫 看房方便,碧桂园 -成纪新城,4室2厅 | 152平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,3人关注 / 一年前发布,130,"8,553元/平"
恒顺锦润悦府  品质小区  大三居  方便看房,恒顺锦润悦府 -成纪新城,3室2厅 | 147平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,3人关注 / 一年前发布,162,"11,021元/平"
此房满五，南北通透，楼层好，采光充足，配套齐全,天河家园 -七里墩,3室2厅 | 133平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 6个月以前发布,125,"9,399元/平"
碧桂园河景房  带大平台  看房方便  价格可议,碧桂园 -成纪新城,4室2厅 | 155平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 一年前发布,161,"10,388元/平"
和谐家园   三室两厅   精品装修  方便来看房  可议价,和谐家园(孙家坪路) -七里墩,3室2厅 | 127.7平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,105,"8,223元/平"
恒顺华府133平米三室二厅出售,恒顺·锦润华府 -成纪新城,3室2厅 | 127.5平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,125,"9,804元/平"
恒顺锦润悦府 联排大别墅 业主诚心出售,恒顺锦润悦府 -成纪新城,5室4厅 | 317.77平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,520,"16,365元/平"
此房、南北通透格局、楼层好、视野宽阔、采光充足,碧桂园·御府 -麦积区,4室2厅 | 143平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,130,"9,091元/平"
碧桂园御府 四室两天 两卫 装修,碧桂园·御府 -麦积区,4室2厅 | 198平米 | 南 北 | 精装 | 低楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,190,"9,596元/平"
品质小区、精装三室两厅，采光优良，对流房型,碧桂园 -成纪新城,3室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,10人关注 / 一年前发布,117,"8,732元/平"
碧桂园       三室两厅两卫  全明户型,碧桂园 -成纪新城,3室2厅 | 134平米 | 南 北 | 简装 | 高楼层(共27层)  | 板塔结合,1人关注 / 一年前发布,134,"10,000元/平"
碧桂园 3室 两厅两卫随时看房,碧桂园 -成纪新城,3室2厅 | 123平米 | 南 | 简装 | 高楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,118,"9,594元/平"
220平米空中别墅四室两厅两厨三卫,碧桂园·御府 -麦积区,5室2厅 | 220平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 8个月以前发布,200,"9,091元/平"
