标题,开发商,房子信息,发布信息,售价/万,单价
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
近地铁仙林湖旁精装修  未入住全新房出售  价格可谈,和昌仙林国际 -宝华商圈,3室2厅 | 93.74平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,110,"11,735元/平"
近地铁口 满2年 全款房 二次装修视野好 采光佳 大三房,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 122.69平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,4人关注 / 20天以前发布,73.5,"5,991元/平"
现代简约装修，格局好，采光充足，四开间朝南,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 125平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,99,"7,920元/平"
国企泰达 小高层 户型方正 采光充足 交通便利,泰达青筑 -宝华商圈,2室1厅 | 80.88平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 9天以前发布,73,"9,026元/平"
将装修前后两个大露台双阳台户型好品质小区,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 87.27平米 | 西 | 简装 | 低楼层(共7层)  | 板塔结合,4人关注 / 16天以前发布,95,"10,886元/平"
恒大雅苑 三开间朝南 户型通透  精装婚房三房急售！,恒大雅苑 -宝华商圈,3室1厅 | 102.73平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 10天以前发布,98,"9,540元/平"
碧桂园凤凰城翰林湾 全明三房 急售,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 92.72平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 3天以前发布,61,"6,579元/平"
碧桂园翡翠华府 精装修 拎包入住 业主急卖,碧桂园翡翠华府 -宝华商圈,3室1厅 | 115平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 11天以前发布,100,"8,696元/平"
近地铁 大学印象 精装大3房 楼层好  阳光充足,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 9天以前发布,71,"7,320元/平"
恒大雅苑 二次精装 拎包可住 诚心出售 边户,恒大雅苑 -宝华商圈,4室2厅 | 158.18平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,140.5,"8,883元/平"
恒大雅苑三期 精装修全屋定制家具 双阳台 随时看,恒大雅苑 -宝华商圈,3室2厅 | 130.97平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,13人关注 / 4个月以前发布,123,"9,392元/平"
格局好，采光充足，四开间朝南，山景一览无遗 有车位,碧桂园大学印象 -宝华商圈,4室2厅 | 127.59平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,2人关注 / 2个月以前发布,103,"8,073元/平"
香山壹景精装两房，楼层好 采光视野无遮挡,香山壹境 -宝华商圈,2室1厅 | 71.66平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,8人关注 / 一年前发布,59.8,"8,345元/平"
湖景房 业主诚心出售 宽大客厅 舒适惬意,恒大雅苑 -宝华商圈,4室2厅 | 158.14平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,12人关注 / 9个月以前发布,125,"7,905元/平"
宝华山旁，精装三房。诚心出售，随时看房。,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,6人关注 / 2个月以前发布,72,"7,579元/平"
楼下配套成熟，此房格局好 楼层好，视野开阔 采光充足,恒大雅苑 -宝华商圈,4室2厅 | 174平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,7人关注 / 一年前发布,138,"7,932元/平"
仙林东 央企品质 招商物业 舒适三房两卫 全新装修,招商国际E城 -宝华商圈,3室2厅 | 91.32平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,5人关注 / 7个月以前发布,88,"9,637元/平"
二次精装修全屋墙布全新家具家电10年物业费,碧桂园翡翠华府 -宝华商圈,3室2厅 | 114.94平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 5个月以前发布,109,"9,484元/平"
碧桂园仙林东郡二次装修三房诚意出售,碧桂园仙林东郡 -宝华商圈,3室2厅 | 95.96平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,15人关注 / 8个月以前发布,79.9,"8,327元/平"
房子格局好，楼层好，采光足，视野好朝南面多户型方正,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 4个月以前发布,93,"9,790元/平"
碧桂园大学印象峰景苑 3室1厅 东南,碧桂园大学印象峰景苑 -宝华商圈,3室1厅 | 95平米 | 东南 | 简装 | 高楼层(共29层)  | 板楼,1人关注 / 5个月以前发布,72,"7,579元/平"
双地铁 多层洋房 附50平院子 另有20平地下室,仙林悦城新街坊 -宝华商圈,3室2厅 | 134.57平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,32人关注 / 8个月以前发布,139,"10,330元/平"
仙林东  宝华镇  恒大雅苑  金碧物业,恒大雅苑 -宝华商圈,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,11人关注 / 9个月以前发布,96.5,"9,191元/平"
精装地暖房，经典3房户型  楼层好 视野开阔,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 116.78平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,2人关注 / 4个月以前发布,105,"8,992元/平"
凤凰城柏丽湾   全南户型  地铁口   简单家具家电,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 25天以前发布,60,"6,627元/平"
地铁口 精装房 满两年 总价低 凤凰层 视野开阔 诚售,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 99.84平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 27天以前发布,65.5,"6,561元/平"
满二，楼层好，有二装，可拎包入住。,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,2室1厅 | 70.27平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,5人关注 / 17天以前发布,48,"6,831元/平"
精装小户型 温馨 设施全 拎包入住,汤山鎏园 -句容,1室1厅 | 62.95平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,47,"7,467元/平"
柏丽湾二装2房 简洁  满二 出行方便 配套齐全,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,2室2厅 | 89.09平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 16天以前发布,53,"5,950元/平"
柏丽湾 近地铁小三房 前无遮挡全天采光 好楼层,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.42平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 30天以前发布,59.6,"6,592元/平"
户型方正 保养好 价格可谈 配套成熟,恒大雅苑 -宝华商圈,3室1厅 | 111.45平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 24天以前发布,93,"8,345元/平"
大学印象 峰景苑 山景住宅 安静舒适 诚心出售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 23天以前发布,74.5,"7,843元/平"
翡翠华府 精装四房  中间楼层 视野好,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,1人关注 / 20天以前发布,152,"10,630元/平"
四季金辉 3室2厅 南,四季金辉 -宝华商圈,3室2厅 | 85.67平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 29天以前发布,71,"8,288元/平"
现代简约装修，格局好，采光充足，四开间朝南，山景！,碧桂园大学印象 -宝华商圈,4室2厅 | 142.33平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,119,"8,361元/平"
仙林悦城精装修全明边户，视野采光好，中下楼层，仙林,仙林悦城 -宝华商圈,4室2厅 | 115.45平米 | 北 南 | 精装 | 低楼层(共33层)  | 板塔结合,13人关注 / 一年前发布,93,"8,056元/平"
地理位置好，小区环境佳，配套齐全,恒大雅苑 -宝华商圈,2室1厅 | 88.88平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 2个月以前发布,77,"8,664元/平"
一楼带前后院子，环境优美 交通便利 采光好 楼间距大,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 122.14平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,15人关注 / 6个月以前发布,118,"9,662元/平"
楼层好视野广阔采光充足配套设施齐全交通便利,京东紫晶 -宝华商圈,4室2厅 | 104.02平米 | 西 | 精装 | 高楼层(共35层)  | 塔楼,4人关注 / 8个月以前发布,83,"7,980元/平"
碧桂园凤凰城临湖苑 3室2厅 北 南 西,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.98平米 | 北 南 西 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 3天以前发布,78,"6,192元/平"
采光通风格局好，楼层好，采光充足，视野好,仙林悦城 -宝华商圈,3室2厅 | 90.68平米 | 西南 | 精装 | 中楼层(共29层)  | 塔楼,37人关注 / 一年前发布,83,"9,154元/平"
碧桂园凤凰城水蓝湾优质房源，采光无遮挡,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 92平米 | 东南 | 简装 | 低楼层(共32层)  | 塔楼,1人关注 / 14天以前发布,56.5,"6,142元/平"
此房南北通透，满二无增值税，靠地铁口近，出行方便,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 116.03平米 | 南 北 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,70,"6,033元/平"
碧桂园凤凰城地铁口精装修三房楼层好采光好满二无抵押,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 90.41平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 9天以前发布,59.8,"6,615元/平"
世纪城邦 小区环境好 适合居住,碧桂园世纪城邦 -句容,4室1厅 | 142平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 9天以前发布,85,"5,986元/平"
水蓝湾南北通透户型，中间楼层，交通便利，配套齐全,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室2厅 | 125.45平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,72,"5,740元/平"
近地铁 苏州园林 布局归整 户型方正 采光佳,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,3室2厅 | 112.7平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,5人关注 / 1个月以前发布,61.5,"5,457元/平"
楼层好采光足，视野开阔，朝南 ，配套齐全，交通便利,濠锋星钻 -宝华商圈,2室2厅 | 82平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 8个月以前发布,62,"7,561元/平"
碧桂园凤凰城柏丽湾 近交通精致三房,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 115.77平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 1个月以前发布,71.5,"6,177元/平"
小区自带菜场，生活方便，楼层好，采光足，户型方正。,京东紫晶 -宝华商圈,2室2厅 | 61.29平米 | 南 | 精装 | 低楼层(共35层)  | 板楼,0人关注 / 1个月以前发布,66,"10,769元/平"
急卖，南北通透，好视野，86万可谈,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,12人关注 / 4个月以前发布,72,"5,715元/平"
格局好，楼间距大，视野好，采光好,云玺苑 -碧桂园凤凰城,4室2厅 | 193.12平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,3人关注 / 2个月以前发布,140,"7,250元/平"
京东紫晶 2室2厅 西北,京东紫晶 -宝华商圈,2室2厅 | 56平米 | 西北 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 1个月以前发布,35,"6,250元/平"
碧桂园凤凰城芷兰湾精装3室 房源,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 126.08平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 8个月以前发布,75,"5,949元/平"
：楼层较好，交通方便，楼层光线较好,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 117.26平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,21人关注 / 一年前发布,66,"5,629元/平"
价格便宜 位置好 湖景房 大四房 业主诚心价格可谈,碧桂园凤凰城临湖苑 -碧桂园凤凰城,4室1厅 | 176.4平米 | 东 东南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,132,"7,483元/平"
恒大雅苑 精装两房朝南 新空房无人住过 阳台已封闭,恒大雅苑 -宝华商圈,2室2厅 | 88.88平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 1个月以前发布,77,"8,664元/平"
地铁口的小区，采光充足，楼层好,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 115.77平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,6人关注 / 7个月以前发布,70,"6,047元/平"
精装两房，业主诚心急售价格好谈,招商国际E城 -宝华商圈,2室2厅 | 78.39平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,2人关注 / 2个月以前发布,80,"10,206元/平"
水蓝湾一线湖景 精装大平层 东边户好楼层,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,4室2厅 | 274.32平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,4人关注 / 1个月以前发布,160,"5,833元/平"
4室好楼层无遮挡楼下就是湖景，点进来看奈斯到飞起,云玺苑 -碧桂园凤凰城,4室2厅 | 192.81平米 | 东南 南 北 西北 | 精装 | 中楼层(共31层)  | 塔楼,12人关注 / 5个月以前发布,140,"7,262元/平"
碧桂园凤凰城 142平大四房 采光充足 楼层好 湖景房,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 144.11平米 | 南 东南 | 精装 | 低楼层(共18层)  | 塔楼,10人关注 / 9个月以前发布,92,"6,385元/平"
南京仙林东宝华山旁碧桂园大学印象,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.08平米 | 南 北 | 精装 | 高楼层(共13层)  | 板塔结合,8人关注 / 一年前发布,98,"7,963元/平"
碧桂园仙林东郡两房开发商装修诚意出售,碧桂园仙林东郡 -宝华商圈,2室1厅 | 84.28平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,65,"7,713元/平"
芷兰湾三房两卫 双阳台 业主诚心卖,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 133.55平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,12人关注 / 9个月以前发布,75,"5,616元/平"
优质好房源。网红户型，高楼层。,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 125.98平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,86,"6,827元/平"
距离黄梅站300米左右，南北通透，视野开阔采光无遮挡,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 96.46平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,21人关注 / 6个月以前发布,62.9,"6,521元/平"
碧桂园临湖苑户型方正南北通 价格低 位置好,碧桂园凤凰城临湖苑 -碧桂园凤凰城,4室2厅 | 142.25平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,7人关注 / 3个月以前发布,98,"6,890元/平"
格局好，楼层好，采光足，视野开阔，朝南,恒大雅苑 -宝华商圈,2室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,9人关注 / 4个月以前发布,67,"7,363元/平"
"柏丽湾湖景房，大平层阳台大,楼间距大光好",碧桂园凤凰城柏丽湾 -碧桂园凤凰城,5室2厅 | 273.78平米 | 南 | 简装 | 低楼层(共31层)  | 塔楼,25人关注 / 11个月以前发布,157,"5,735元/平"
高瞻远瞩奈斯房，视野一点不遮挡，自带露台三变两满二,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 120.19平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,17人关注 / 5个月以前发布,105,"8,737元/平"
此房满两年，格局视野开阔，一梯一户，出行方便。宽敞,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室2厅 | 179平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,13人关注 / 一年前发布,107,"5,978元/平"
仙林万达茂 四季金辉毛坯三房  山景住宅,四季金辉 -宝华商圈,3室2厅 | 88.75平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 塔楼,102人关注 / 一年前发布,73,"8,226元/平"
地铁口现房！边户大三房两卫采光好！满二,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 133.91平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 8个月以前发布,83,"6,199元/平"
格局好楼层好采光足 视野开阔，户型方正,四季金辉 -宝华商圈,3室2厅 | 85.67平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,70,"8,171元/平"
柏丽湾大平层，户型好，楼层好，满两年,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,4室1厅 | 179.55平米 | 东南 西北 | 精装 | 高楼层(共31层)  | 塔楼,8人关注 / 6个月以前发布,102,"5,681元/平"
宝华新街口 成熟配套小区  户型方正,恒大雅苑 -宝华商圈,2室2厅 | 90.88平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,80,"8,803元/平"
公园道 3室2厅 南,公园道 -句容市区,3室2厅 | 112平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 8天以前发布,122.8,"10,965元/平"
碧桂园凤凰城芷兰湾 4室2厅 南,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,4室2厅 | 175.95平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 8天以前发布,128,"7,275元/平"
低密度花园洋房 楼层位置好 满二 近地铁口,仙林悦城新街坊 -宝华商圈,3室2厅 | 124.78平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,36人关注 / 8个月以前发布,110,"8,816元/平"
湖景房，环境好 ，安静，满两年,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室1厅 | 105平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 22天以前发布,64.5,"6,143元/平"
满二，高楼层，采光很好，精装修,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 90.41平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,59.8,"6,615元/平"
新小区，精装修，小面积三房，楼层好，采光好,碧桂园凤凰城星悦湾 -碧桂园凤凰城,3室1厅 | 86.97平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 18天以前发布,57.8,"6,646元/平"
碧桂园凤凰城翰林湾，精装修三房。,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 96.62平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 17天以前发布,59,"6,107元/平"
云玺苑 3室1厅 南,云玺苑 -碧桂园凤凰城,3室1厅 | 107.91平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 20天以前发布,70,"6,487元/平"
"此房中楼层,视野宽阔，采光充足，配套设施齐全",碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 16天以前发布,58,"5,162元/平"
碧桂园凤凰城·凤仪苑 4室1厅 南,碧桂园凤凰城·凤仪苑 -碧桂园凤凰城,4室1厅 | 166.36平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 28天以前发布,94,"5,651元/平"
地铁口 四房 采光好 中间楼层,碧桂园凤凰城星悦湾 -碧桂园凤凰城,4室1厅 | 121.97平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼,4人关注 / 24天以前发布,65.3,"5,354元/平"
临湖苑 三房朝南 好楼层 好视野 好采光,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 99.84平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 23天以前发布,66,"6,611元/平"
双地铁 山景洋房带电梯 房东诚心出售 可刀,香山壹境 -宝华商圈,3室2厅 | 76.86平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 16天以前发布,49,"6,376元/平"
楼层好，采光充足，配套设施完整，交通便利,仙林悦城 -宝华商圈,2室1厅 | 64.75平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,52,"8,031元/平"
你想要的江山  她与你风雨兼程,碧桂园世纪城邦 -句容,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,50,"5,051元/平"
地铁口大三房，采光无遮挡，二次装修拎包入住,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 133.88平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 1个月以前发布,89,"6,648元/平"
招商国际E城 3室1厅 南,招商国际E城 -宝华商圈,3室1厅 | 95平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 12天以前发布,120,"12,632元/平"
碧桂园凤凰城7期翰林湾小三房，三房朝南，视野开阔,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 91.99平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,18人关注 / 一年前发布,56,"6,088元/平"
新房交付新房 位置好 户型方正 交通便利 业主诚心出售,碧桂园凤凰城 -碧桂园凤凰城,4室2厅 | 122平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 15天以前发布,89,"7,296元/平"
南京东 双地铁 靠南京万达茂z近 房东急售！,和昌仙林国际 -宝华商圈,3室2厅 | 103.06平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,2人关注 / 15天以前发布,80,"7,763元/平"
恒大旁，配套全，实用两房，满两年，看房有钥匙,天正理想城 -宝华商圈,2室2厅 | 74.28平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,8人关注 / 10个月以前发布,52,"7,001元/平"
2房朝南 前后双阳台 南北通透 采光好 有车位,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 126.13平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,10人关注 / 一年前发布,73,"5,788元/平"
楼层好，购物方便，值得购买，户型通透。,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 4个月以前发布,60,"5,340元/平"
全南户型，双阳台，交通方便，大飘窗，采光好,仙林悦城 -宝华商圈,2室2厅 | 67.37平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,53,"7,868元/平"
万达茂旁  中间楼层 二次精装 拎包入住,仙林悦城 -宝华商圈,2室1厅 | 63.84平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,8人关注 / 5个月以前发布,50,"7,833元/平"
碧桂园凤凰城柏丽湾 3室1厅 南,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室1厅 | 92平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 4天以前发布,58,"6,305元/平"
此房格局好，采光足，视野开阔，朝南，户型方正。,花山人家 -宝华商圈,3室1厅 | 128平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 12天以前发布,63,"4,922元/平"
恒大雅苑  精装修 *高得房率 随时看房  采光好,恒大雅苑 -宝华商圈,1室1厅 | 59.27平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,48人关注 / 一年前发布,25,"4,218元/平"
逸品汤山二期低层房交通便利值得拥有,逸品汤山二期 -碧桂园凤凰城,2室2厅 | 85.1平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,19人关注 / 一年前发布,48.8,"5,735元/平"
仙林大道旁 央企 中间楼层 采光无遮挡,招商国际E城 -宝华商圈,1室1厅 | 46.73平米 | 南 北 | 精装 | 高楼层(共23层)  | 塔楼,24人关注 / 一年前发布,26,"5,564元/平"
黄梅新村东区大两房，家具家电齐全，拎包入住,黄梅新村东区 -碧桂园凤凰城,2室2厅 | 87.58平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 9个月以前发布,46,"5,253元/平"
此房满二年 ，精装家电全， 楼层好， 采光无遮挡。,碧桂园凤凰城 -碧桂园凤凰城,2室2厅 | 87.25平米 | 东南 | 简装 | 高楼层(共30层)  | 塔楼,3人关注 / 一年前发布,55,"6,304元/平"
香山壹境 两房急售 业主诚心出售 有钥匙随时看房,香山壹境 -宝华商圈,2室1厅 | 73平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,49,"6,713元/平"
