标题,开发商,房子信息,发布信息,售价/万,单价
开发商统装大三房，满5唯一，自住保养新,澜调国际 -湖东,3室2厅 | 141.36平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 6天以前发布,550,"38,908元/平"
首开春天花园 精装修 家具家电齐全 诚心出售,首开班芙春天花园北区 -元和,3室2厅 | 97.78平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,2人关注 / 26天以前发布,186,"19,023元/平"
急售 恒基旭辉城 新装修未入住 中间楼层，看房随时,恒基旭辉城 -浒墅关经济技术开发区,3室2厅 | 89.9平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,3人关注 / 17天以前发布,186,"20,690元/平"
明星楼盘+王炸户型+满五唯一+钻石楼层+地铁口50米,棕榈湾 -花桥,4室2厅 | 122.42平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,4人关注 / 16天以前发布,309,"25,241元/平"
万达新上房源 满五唯一  精装修 领包入住,万达华府 -城南,3室2厅 | 89.32平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 19天以前发布,188,"21,048元/平"
院子可以扩精装婚房空置随时可看,新创宝带熙岸 -横塘,2室2厅 | 86.43平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,6人关注 / 26天以前发布,204,"23,603元/平"
万科魅力花园 3室2厅 南,万科魅力花园 -花桥,3室2厅 | 88.3平米 | 南 | 精装 | 中楼层(共41层)  | 板塔结合,0人关注 / 29天以前发布,178,"20,159元/平"
金仓华府 三房 精装修拎包入住 房型方正 楼层和采光好,金仓华府 -城厢,3室2厅 | 101.75平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,1人关注 / 20天以前发布,155,"15,234元/平"
胥江府89平，2年前30万精装，满五年，楼层好，有车位,中海胥江府 -胥江,3室1厅 | 89.6平米 | 南 | 精装 | 27层  | 板楼,3人关注 / 16天以前发布,288,"32,143元/平"
光大花园  多层二楼上下楼 很方便 随时看,光大花园 -周市,3室2厅 | 111.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 25天以前发布,203,"18,262元/平"
绿城品质 小区人车分流 精装修诚心出售,绿城春江明月 -木渎,3室2厅 | 131.62平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,2人关注 / 22天以前发布,240,"18,235元/平"
新出炉高品质暖气洋房 满五唯一 前排无遮挡 钻石楼层,新城红树湾 -太湖新城（吴江）,3室2厅 | 90.41平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 27天以前发布,219,"24,223元/平"
高铁新城 精装 带车位 南师大 前排视野开阔 急售出售,中海珑湾 -高铁新城,3室2厅 | 123.52平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 16天以前发布,345,"27,931元/平"
中央景城 137一样户型 60万装修 4期大窗 美克美家家具,中央景城 -白塘,3室2厅 | 122.38平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,6人关注 / 28天以前发布,645,"52,705元/平"
全新装修，中 ，央空调！随时看房！,碧悦湾 -张浦,3室2厅 | 123.58平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 23天以前发布,195,"15,780元/平"
此房满五税少 毛坯通透户型 位置好是你置换的首要选择,罗马假日 -玉山城西,3室2厅 | 109.82平米 | 南 | 简装 | 低楼层(共11层)  | 塔楼,0人关注 / 22天以前发布,220,"20,033元/平"
满二年，视野开阔，采光十足，交通配套齐全。,恒基旭辉城 -浒墅关经济技术开发区,3室1厅 | 89.2平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,2人关注 / 23天以前发布,168,"18,835元/平"
房子全新装修，家电品牌，精装修保养好,樾碧花园 -太湖新城（吴江）,3室2厅 | 90.06平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 29天以前发布,193,"21,431元/平"
此房户型正气无浪费面积位置便利楼层好楼幢好。,中房颐园 -太湖新城（吴江）,4室2厅 | 142.86平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 29天以前发布,360,"25,200元/平"
保利悦玺地铁口精装三房诚心出售,保利悦玺 -尹山湖,3室2厅 | 94.68平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,9人关注 / 21天以前发布,259,"27,356元/平"
韵动汇精装三房，中间楼层，采光好,韵动汇 -娄葑,3室1厅 | 115.16平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 17天以前发布,325,"28,222元/平"
娄江新城华源二期，大三房两卫精装修拎包入住,华源上海城 -娄江新城,3室2厅 | 141.55平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 24天以前发布,196,"13,847元/平"
新上好房 石湖湾全新毛坯四房 景观楼层视野 开阔,世茂石湖湾 -城南,4室2厅 | 159.21平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 24天以前发布,495,"31,092元/平"
一楼带院 三十平院子 紧凑三房 等待有缘人,木杏新村 -十全街,3室1厅 | 73.26平米 | 南 | 简装 | 低楼层(共3层)  | 板塔结合,0人关注 / 25天以前发布,312,"42,589元/平"
繁华里 全新精装三房 中上楼层 采光视野都好 满二税少,繁华里 -花桥,3室2厅 | 89.47平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,3人关注 / 26天以前发布,208,"23,249元/平"
急售急售，新上12组团商品房，独库16平方前排无遮挡,东港新村 -东环,3室1厅 | 87.56平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 20天以前发布,265,"30,265元/平"
设计师空间重塑强收纳高颜值，通透浪漫精装地铁正三房,榭雨苑 -东沙湖,3室2厅 | 88.29平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2人关注 / 16天以前发布,316.5,"35,848元/平"
恒基精装30万，没有住过人，视野好。采光好，,恒基旭辉城 -浒墅关经济技术开发区,3室2厅 | 89.33平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,7人关注 / 17天以前发布,197,"22,054元/平"
碧桂园三房两厅两卫毛胚交付装修空间大,碧桂园凤凰城 -浏河,3室1厅 | 120.75平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,1人关注 / 11天以前发布,128,"10,601元/平"
一楼院子 适合养老自住 看房有钥匙诚心出售,香城花园一区 -元和,2室2厅 | 88.94平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 7天以前发布,180,"20,239元/平"
品质社区，小区前排，银都保利旁，满五年 省个税,裕花园张浦 -张浦,3室2厅 | 102.24平米 | 南 | 简装 | 低楼层(共27层)  | 塔楼,0人关注 / 13天以前发布,155,"15,161元/平"
物业自持，环境好，入住率高，配套全，出行方便。,碧桂园凤凰城 -浏河,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 10天以前发布,113.8,"12,370元/平"
此房户型好，楼层高 景观视线好，前排无遮挡。,碧桂园凤凰城 -浏河,3室2厅 | 97.12平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 15天以前发布,119,"12,253元/平"
急！大润发旁，金枫美地，方正两房，带车库，不靠高架,金枫美地 -木渎,2室2厅 | 85.05平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,165,"19,401元/平"
九龙仓碧堤雅苑 位置很好 中间楼层 全屋地暖 采光很好,九龙仓碧堤雅苑 -尹山湖,4室2厅 | 140.84平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,6人关注 / 10天以前发布,355,"25,206元/平"
润达新村 2室1厅 南,润达新村 -胥江,2室1厅 | 67.23平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 8天以前发布,135,"20,081元/平"
黄城花园东区 大三房南北通 高楼层 诚心卖 看房有钥匙,黄城花园东区 -花桥,3室2厅 | 148.84平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 3天以前发布,214.8,"14,432元/平"
好户型，好楼层诚心出售看房方便,绿地21新城 -开发区,3室1厅 | 110.2平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 5天以前发布,210,"19,057元/平"
满五唯一，采光充足，交通便利，万达商圈。,凤凰城 -周市,2室1厅 | 61.15平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 6天以前发布,89,"14,555元/平"
娄江新城华源上海城三房两厅  精装修,华源上海城 -娄江新城,3室1厅 | 141.55平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,2人关注 / 14天以前发布,168,"11,869元/平"
鑫苑国际城市花园大两房，婚房装修，拎包入住。,鑫苑国际城市花园(昆山市) -花桥,2室1厅 | 88.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,30人关注 / 5天以前发布,155,"17,420元/平"
嘉和丽园，二加一户型，满五唯一，省个税,嘉和丽园 -元和,3室2厅 | 97.01平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 6天以前发布,165,"17,009元/平"
万达商圈  景观层，  采光好  户型方正 有钥匙,江南明珠苑 -周市,3室2厅 | 132.14平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 14天以前发布,285,"21,569元/平"
乐家精装两房，双阳台，诚心出售，看房方便,伟业迎春乐家 -太湖新城（吴江）,3室2厅 | 87.52平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 13天以前发布,149,"17,025元/平"
金郡洋房东户，中间楼层，精装修，拎包入住，随时看房,新城金郡南区二期 -城南,3室2厅 | 88.21平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 9天以前发布,209,"23,694元/平"
中上楼层，飞机户型，东边户。阳光充沛。精装修,理想家园 -浒墅关经济技术开发区,3室2厅 | 128.19平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 11天以前发布,205,"15,992元/平"
