标题,开发商,房子信息,发布信息,售价/万,单价
翠竹新村 未占用 随时看房 价格好谈,翠竹新村 -红梅,2室1厅 | 67.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 3个月以前发布,76.8,"11,427元/平"
西新桥二村 三房两厅 两房朝南 通风好 看房方便,西新桥二村 -五星,3室1厅 | 85.9平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 4天以前发布,92,"10,711元/平"
新城公馆精装两房一楼带院子 房东诚心售,新城公馆-天域 -湖塘镇,2室1厅 | 80.44平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 17天以前发布,144.8,"18,001元/平"
地铁1号线华润凯旋门二期 精装三房 楼层高 视野好,华润凯旋门二期 -茶山,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 10天以前发布,240,"19,673元/平"
勤业一二三村 2室1厅 南 北,勤业一二三村 -五星,2室1厅 | 56.5平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,62,"10,974元/平"
城市中央美居  ，前排无遮挡  全天采光  视野开阔,城市中央美居 -永红,4室2厅 | 130.66平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 13天以前发布,253,"19,364元/平"
住市府版块、万达商圈、属三井街道交通配套,中海龙城花园 -三井,3室1厅 | 97.33平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,2人关注 / 5个月以前发布,202,"20,755元/平"
世茂香槟湖刚需小三房 楼层好 有钥匙随时看房,世茂香槟湖四期 -三井,3室2厅 | 88.91平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,10人关注 / 8个月以前发布,188,"21,145元/平"
必买好房  楼层好  保养新  采光刺眼,香缇湾花园 -红梅,2室2厅 | 96平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 3个月以前发布,132.8,"13,834元/平"
华润中吴府，四开间朝南，总价低单价低，随时可看房,华润国际社区中吴府 -茶山,4室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,15人关注 / 6个月以前发布,220,"16,542元/平"
新上 玉龙湾花园方正两房 远离铁路 房东忍痛割爱,玉龙湾花园 -三井,2室2厅 | 88.69平米 | 东南 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 3个月以前发布,120,"13,531元/平"
小高层中间楼层三房两卫 阳湖郡 有钥匙 带车位,绿都万和城阳湖郡 -三井,3室2厅 | 116.88平米 | 南 | 毛坯 | 低楼层(共20层)  | 板塔结合,6人关注 / 6个月以前发布,205,"17,540元/平"
绿都万和城七区 4室2厅 南,绿都万和城七区 -三井,4室2厅 | 130.6平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,6人关注 / 1个月以前发布,260,"19,909元/平"
新城公馆荣域 精装未入住 中yang空调 楼层好物业好,新城公馆荣域 -湖塘镇,3室2厅 | 89.67平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,192,"21,412元/平"
顶楼复式，带60平大露台，精装修价优急售！,大诚苑 -三井,4室2厅 | 164.03平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,36人关注 / 10个月以前发布,280,"17,071元/平"
新北万达商圈无遮挡视野好房东诚信出售 百米楼间距.,雅居乐星河湾 -三井,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,6人关注 / 6个月以前发布,182,"18,572元/平"
此房自住理财均OK，非此房莫属！,左邻右里 -东城街道,3室1厅 | 61.35平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,63.8,"10,400元/平"
青枫公园旁金色领寓 边户三房户型 小高层中间楼层,金色领寓 -北港,3室1厅 | 107.28平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,1人关注 / 25天以前发布,150,"13,983元/平"
好楼层，精装修，有个小车库，拎包入住,景阳花园 -西城街道,2室2厅 | 128平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,82.8,"6,469元/平"
银河湾明苑 精装三室 房东诚心出售 看房方便,银河湾明苑二期 -茶山,3室2厅 | 93.89平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,155,"16,509元/平"
新城荣域 精装三房 随时可看 价格可谈,新城公馆荣域 -湖塘镇,3室2厅 | 88.62平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,196,"22,117元/平"
御庭园复式，业主装修200多W，全屋进口定制,御庭园 -河海,5室2厅 | 181.5平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 28天以前发布,600,"33,058元/平"
全天采光 满五唯一 大三房精装修 南-北通透 荣亨逸都,荣亨逸都 -永红,3室2厅 | 127.2平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 21天以前发布,185,"14,545元/平"
次新小区 三开间朝南 好楼层全天采光 产权清晰,九龙仓荣华里 -薛家,3室1厅 | 87.8平米 | 南 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 16天以前发布,134.9,"15,365元/平"
弘阳广场旁精装修 采光好 家具全留通透户型看房方便,弘阳上城二期 -兰陵街道,3室2厅 | 102.35平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 28天以前发布,170,"16,610元/平"
满五唯一，格局分布合理，空间感好，通透性强。,花园新村 -五星,2室1厅 | 54.36平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 25天以前发布,62,"11,406元/平"
白云新村  南北通透  交通便利,白云新村 -五星,2室1厅 | 66平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 14天以前发布,70,"10,607元/平"
房东回老家发展 急售 楼层好 采光佳 精装自住两房,锦绣天地 -河海,2室1厅 | 76.4平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 14天以前发布,146,"19,110元/平"
怡盛花园111平三房出售 价格低诚心售,怡盛花园 -三井,3室2厅 | 111.47平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 25天以前发布,210,"18,840元/平"
郡未来 毛坯通透三房 满两年 采光好 有钥匙随时看,新城郡未来 -湖塘镇,3室2厅 | 93.79平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,170,"18,126元/平"
四季新城 大三房 诚售置换 全天采光 通透户型,四季新城 -湖塘镇,3室2厅 | 127.94平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,145,"11,334元/平"
青枫公园 宝龙广场旁 精装修2房  业主诚心出售,景瑞曦城 -北港,2室2厅 | 96平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,8人关注 / 5个月以前发布,139.8,"14,563元/平"
中海铂悦公馆，精装四房，中间楼层，采光无影响,中海铂悦公馆 -雕庄,4室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,4人关注 / 一年前发布,306,"21,550元/平"
和平国际旁精装3房，准电梯房全天采光！随时看房,华景园 -茶山,3室2厅 | 103.71平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,142,"13,693元/平"
飞龙吾悦旁  精装两室，保养好  诚心出售,绿都万和城2区 -三井,2室2厅 | 87.71平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,143.8,"16,395元/平"
精装2房 不靠铁路 房子保养很好 诚心出售 拎包入住,香缇湾花园 -红梅,2室2厅 | 94.14平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,146,"15,509元/平"
嘉禾尚郡毛坯四房 中上楼层视野开阔采光好 满五有钥匙,嘉禾尚郡花园 -三井,4室2厅 | 125.27平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 9个月以前发布,172,"13,731元/平"
铂悦花园 南北双阳台 小区花园位置 采光好随时看房,中海铂悦公馆 -雕庄,3室1厅 | 127.15平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 3天以前发布,245,"19,269元/平"
精装修三房 拎包入住 采光刺眼 房东诚心出售,世茂香槟湖二期 -三井,3室1厅 | 109.08平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,4人关注 / 8个月以前发布,200,"18,336元/平"
金百花园2房 前无遮挡 清爽舒适 交通便利 拎包入住,金百花园 -三井,2室2厅 | 96.28平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 2个月以前发布,131.5,"13,659元/平"
店长推荐。谁看谁喜欢。全新装修。家电齐全。拎包入住,新城蓝钻景庭 -三井,2室1厅 | 77.32平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,7人关注 / 2个月以前发布,99.8,"12,908元/平"
南向别墅采光视频豪无遮挡 满五唯一能省税 精装拎包住,锦珑湾花园 -河海,3室2厅 | 126.75平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,190,"14,991元/平"
毛坯三房双阳台，满二，配套齐全，交通便利，小区环境,路劲城市印象 -永红,3室1厅 | 112.69平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,198,"17,571元/平"
绿都品质社区，3开间朝南，房东诚售,绿都万和城阳湖郡 -三井,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,3人关注 / 5个月以前发布,210,"17,949元/平"
得房率高， 保养新 户型方正.采光无遮挡,路劲城市花园 -西林,4室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,206,"17,311元/平"
满五省税。店长推荐。价格美丽。楼层采光都好。,新城•悠活城 -薛家,3室1厅 | 75平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 3天以前发布,108,"14,400元/平"
吾悦国际广场 3室2厅 南,吾悦国际广场 -南大街,3室2厅 | 126.8平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,0人关注 / 6天以前发布,280,"22,083元/平"
典雅花园 2室2厅 南 北,典雅花园 -三井,2室2厅 | 90.15平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 6天以前发布,210,"23,295元/平"
本房位置佳，配套设施齐全，保养好。,南门大街 -东城街道,3室1厅 | 60平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 7天以前发布,41.8,"6,967元/平"
东印宿舍，两房，房东诚心售，有钥匙随时看房,东印宿舍 -青龙,2室1厅 | 65.77平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,4人关注 / 5个月以前发布,59.2,"9,002元/平"
龙湖小面积，易入手，高品质装修，看了都喜欢,龙湖龙誉城北区 -五星,3室2厅 | 88.88平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,10人关注 / 3个月以前发布,205,"23,065元/平"
恐龙园旁康桥水郡精装小三房拎包住满五唯一省税,康桥水郡 -三井,3室2厅 | 89.42平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,9人关注 / 4个月以前发布,135,"15,098元/平"
D铁口  凤凰名城  精装两房  南北通  楼层好 随时看房,凤凰名城 -新桥,2室2厅 | 86.58平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,132,"15,247元/平"
香缇湾花园  小户型  易入手 不靠铁路 必买好房,香缇湾花园 -红梅,2室2厅 | 95.73平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,148,"15,461元/平"
新市府飞龙吾悦万和城旁，银一城二期，装修好，院开门,银河湾第一城二期 -三井,2室2厅 | 78.78平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,4人关注 / 2个月以前发布,99,"12,567元/平"
急售！锦绣天地 朗诗旁 2房毛坯 满二 房东去上海换房,锦绣天地 -河海,2室2厅 | 76.56平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 4个月以前发布,139,"18,156元/平"
景观楼，顶楼复式，户型方正，精装修，保养完好。,金色新城东区 -南大街,5室2厅 | 177平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 31天以前发布,288,"16,272元/平"
翠园新村北区 3室1厅 南,翠园新村北区 -东城街道,3室1厅 | 83平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 13天以前发布,36.8,"4,434元/平"
常州万科城 3室2厅 南,常州万科城 -湖塘镇,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 9天以前发布,181,"15,211元/平"
小区中间位置，南北格局，楼层好，视野宽阔,莱蒙城·铂晶 -湖塘镇,2室2厅 | 82.67平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 4天以前发布,137,"16,572元/平"
路劲城市花园 3室2厅 南,路劲城市花园 -西林,3室2厅 | 85.3平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,136,"15,944元/平"
典雅花园 2室2厅 南,典雅花园 -三井,2室2厅 | 91.13平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,226,"24,800元/平"
万和城精装三房，楼层好 采光刺眼，诚心出售价格可谈,绿都万和城五区 -三井,3室2厅 | 96.92平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 9个月以前发布,165,"17,025元/平"
繁华里 97平精装3房195万全天采光 1楼带花园,繁華里 -河海,3室2厅 | 97.47平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 6个月以前发布,195,"20,007元/平"
新城 悠活城 好楼层，采光无遮挡 视野通透,新城•悠活城 -薛家,3室1厅 | 74.93平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 5个月以前发布,95,"12,679元/平"
香缇湾花园，100平大露台，实用性很强,香缇湾花园 -红梅,3室2厅 | 111平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 2个月以前发布,148,"13,334元/平"
泰盈八千里新上房源   看房提前预约    业主诚意,泰盈八千里 -西林,3室2厅 | 114平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 5个月以前发布,148,"12,983元/平"
新城域精装小三房  品牌家具家电  拎包入住,新城域花园 -湖塘镇,3室2厅 | 93.23平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,158.8,"17,034元/平"
新濠澜境精装三房两厅两卫 首排全天采光 满2随时看房,新濠澜境 -湖塘镇,3室2厅 | 103.24平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,20人关注 / 一年前发布,134.9,"13,067元/平"
新城悠活城 三房两厅一卫 精装修 价格可谈,新城•悠活城 -薛家,3室2厅 | 78.04平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 1个月以前发布,94.9,"12,161元/平"
勤业四村 2室1厅 南,勤业四村 -五星,2室1厅 | 60.54平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 26天以前发布,68,"11,233元/平"
滨江明珠城   精装两房  有钥匙   看房方便,滨江明珠城 -新桥,2室1厅 | 83.14平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,3人关注 / 25天以前发布,115,"13,833元/平"
故园路宿舍欧尚地铁一号线翠竹站，诚意出售,故园路宿舍 -红梅,3室1厅 | 67.1平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 26天以前发布,80,"11,923元/平"
玉龙湾花园 2室2厅 南,玉龙湾花园 -三井,2室2厅 | 92平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 19天以前发布,129,"14,022元/平"
低总价两房，楼层好 采光充足，交通便利,梧桐香郡花园西区 -北港,2室2厅 | 83.67平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 18天以前发布,125,"14,940元/平"
世茂香槟湖4期，简装两房两厅，满两年！有钥匙诚心售,世茂香槟湖四期 -三井,2室2厅 | 80.6平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,138,"17,122元/平"
火车站商圈 怡康花园小高层 精致三房两卫 空置,怡康花园 -红梅,3室2厅 | 137.26平米 | 南 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 18天以前发布,320,"23,314元/平"
翰学花语江南精装修未入住141平四房二卫 景观楼层,央著瑞庭 -青龙,4室2厅 | 141.47平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,210人关注 / 6个月以前发布,350,"24,741元/平"
香榭丽园四房东边户 看房有钥匙,香榭丽园 -湖塘镇,4室2厅 | 126.5平米 | 东 南 | 简装 | 低楼层(共34层)  | 平房,0人关注 / 27天以前发布,167.5,"13,242元/平"
新城郡未来 4室1厅 南,新城郡未来 -湖塘镇,4室1厅 | 127.52平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 28天以前发布,259.88,"20,380元/平"
凤凰新城精装四房，拎包入住，房东诚售，看房方便。,中海铂悦公馆 -雕庄,4室2厅 | 166.91平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,368,"22,048元/平"
盛世名门小区 地铁口 诚心出售 采光好,盛世名门 -红梅,2室2厅 | 96.22平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,2人关注 / 11个月以前发布,175,"18,188元/平"
楼层好视野空旷，远离高架不吵闹，拎包入住,香溢紫郡 -青龙,3室2厅 | 109.21平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,2人关注 / 3个月以前发布,166,"15,201元/平"
恐龙园世茂二期 满5省税 随时看房 全天采光 无遮挡,世茂香槟湖二期 -三井,2室2厅 | 88.4平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 11天以前发布,164,"18,553元/平"
泰和之春精装四房，看房方便，随时可看,泰和之春 -雕庄,4室2厅 | 146.71平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 10个月以前发布,307,"20,926元/平"
青枫公园精装3房2卫 带车位双阳台 满五年诚意出售,景瑞曦城 -北港,3室2厅 | 125.28平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,13人关注 / 11个月以前发布,185,"14,767元/平"
香梅花园精装3房 中上楼层采光好 满五唯一省税,香梅花园 -茶山,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,6人关注 / 10个月以前发布,220,"17,128元/平"
采光充足通风好。户型方正，三开间南，双阳台环境好,华润国际社区中吴府 -茶山,4室2厅 | 134.29平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,11人关注 / 一年前发布,245,"18,245元/平"
新北区  万达广场  常发旁 精装修 拎包入住 复式,天誉城市花园二期 -三井,2室1厅 | 86.17平米 | 南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 13天以前发布,122,"14,159元/平"
广成路小区 2室1厅 南,广成路小区 -永红,2室1厅 | 65平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,65,"10,000元/平"
华润凯旋门二期 3室2厅 南 北,华润凯旋门二期 -茶山,3室2厅 | 88.06平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,180,"20,441元/平"
全天采光，房东诚意出售，楼层好视线好,新城公馆风尚 -湖塘镇,2室2厅 | 87.68平米 | 南 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 14天以前发布,147.2,"16,789元/平"
铂悦公馆 小高层 纯毛坯 楼层好视野佳 看房方便,中海铂悦公馆 -雕庄,3室2厅 | 127.15平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,258,"20,291元/平"
关于怡景名园的房源点评以及优点,怡景名园 -薛家,3室2厅 | 126.8平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 9天以前发布,130,"10,253元/平"
满五唯一、万达商圈、诚心出售 看房方便,福地聚龙苑 -三井,2室1厅 | 97.05平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,7人关注 / 7个月以前发布,179,"18,445元/平"
怡美花园 精装修 前无遮挡 拎包入住,怡美花园 -五星,2室2厅 | 84.73平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,122,"14,399元/平"
坐拥城市繁华，户型正气名骏家园精装2室，随时看房,名骏家园 -南大街,2室2厅 | 88.6平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 13天以前发布,230,"25,960元/平"
玉龙湾花园大两房！装修精致保养好 视野佳 拎包住,玉龙湾花园 -三井,2室2厅 | 91.67平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,4人关注 / 7个月以前发布,128,"13,964元/平"
诚售 地 铁 口金色领寓精装三房东边户 保养好,金色领寓 -北港,3室2厅 | 119.6平米 | 东南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,167,"13,964元/平"
河阳花苑，满五唯一，采光好无遮挡，通透，看房方便。,河阳花苑 -永红,2室2厅 | 104.88平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,3人关注 / 6个月以前发布,158,"15,065元/平"
天宁吾悦旁   香溢紫郡 大三房 业主诚售 随时看房,香溢紫郡 -青龙,3室2厅 | 133平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,216,"16,241元/平"
怡美花园 精装2房 保养好 采光好 拎包入住,怡美花园 -五星,2室2厅 | 84.7平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 7天以前发布,115,"13,578元/平"
天鹅湖花园大润发旁 精装 拎包即住,天鹅湖花园 -茶山,3室2厅 | 134.72平米 | 南 北 | 精装 | 中楼层(共24层)  | 塔楼,1人关注 / 7个月以前发布,199,"14,772元/平"
近万达吾悦 聚湖东路 次新小区 楼间距大 绿化高 诚售,万俊金域丹堤 -湖塘镇,3室2厅 | 121平米 | 南 北 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 6天以前发布,175,"14,463元/平"
新天地花苑精装2房，双空置，采光全天没有遮挡,新天地花苑 -红梅,2室2厅 | 89.98平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,0人关注 / 8天以前发布,250,"27,784元/平"
时代上院3室1卫，诚心出售看房方便有钥匙，价格可谈,九龙仓时代上院 -三井,3室1厅 | 87.89平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,158,"17,978元/平"
德禾豪景精装修小三房，价格包含汽车位,德禾豪景 -湖塘镇,3室2厅 | 89.87平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,3人关注 / 9个月以前发布,150,"16,691元/平"
四开间朝南，精装修，采光好，闲置急售，随时看房,豪庭花园 -三井,4室2厅 | 167.89平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,7人关注 / 5个月以前发布,399,"23,766元/平"
青枫公园旁  全天采光 精致两房,景瑞英郡花苑 -北港,2室1厅 | 85.22平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,126,"14,786元/平"
白马公馆 纯毛坯边户 视野开阔 看房方便,白马公馆 -薛家,3室2厅 | 127.96平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,163,"12,739元/平"
阳光龙庭。地理位置佳。交通便利。价格可谈。,阳光龙庭 -青龙,2室1厅 | 76.33平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,145,"18,997元/平"
阳光龙庭85.7平130.6万房东急售有钥匙拎包入住,阳光龙庭 -青龙,3室2厅 | 85.72平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 10天以前发布,130.6,"15,236元/平"
新北万达旁 楼层好，视野宽阔，采光充足,江南春晓花园 -三井,3室2厅 | 108.07平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 10天以前发布,143,"13,233元/平"
龙湖天街旁 精装两居室 三开间朝南户型  采光充足。,新城香悦半岛 -五星,2室2厅 | 80.63平米 | 南 | 精装 | 低楼层(共37层)  | 塔楼,0人关注 / 6天以前发布,130,"16,124元/平"
新上 丽景花园 博实  采光好 无遮挡，业主诚心出售,丽景花园 -南大街,3室1厅 | 98.9平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,325,"32,862元/平"
新城蓝钻苑南区 2室2厅 南,新城蓝钻苑南区 -三井,2室2厅 | 85.79平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 3个月以前发布,133,"15,503元/平"
世茂1期 精装3房两卫，采光刺眼  保养较好 推窗见水,世茂香槟湖一期 -三井,3室2厅 | 135.1平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 1个月以前发布,245,"18,135元/平"
银河湾二期精装两房 采光佳 拎包入住,银河湾第一城二期 -三井,2室2厅 | 79.11平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 4个月以前发布,122,"15,422元/平"
精装两房  全体采光 拎包入住 诚售价格可谈,新城域花园二期 -湖塘镇,2室1厅 | 78平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,127,"16,283元/平"
