标题,开发商,房子信息,发布信息,售价/万,单价
户型方正   采光靓 此房满五唯一,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 109.49平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 14天以前发布,139,"12,696元/平"
五象湖畔，湖景四房，看房方便，随时过户,碧桂园天玺湾 -玉洞,4室2厅 | 123.33平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,8人关注 / 8个月以前发布,138,"11,190元/平"
老骥伏枥，志在千里，不妨来看个房。,瀚林·御景 -西大,4室2厅 | 121.56平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,5人关注 / 3个月以前发布,123,"10,119元/平"
总部基地 邕江边 地铁口旁  精装三房 高楼层户型好,广源大都会 -五象核心区,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,10人关注 / 一年前发布,129,"13,579元/平"
万达茂·御江国际 4室2厅 西南,万达茂·御江国际 -五象文旅,4室2厅 | 136平米 | 西南 | 毛坯 | 中楼层(共32层)  | 板塔结合,5人关注 / 9个月以前发布,131,"9,633元/平"
五象湖高-端住宅区，尽享湖景视野,盛邦珑湖 -玉洞,6室2厅 | 130.42平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,175,"13,419元/平"
欧亚梦都  4房2厅  业主诚心出售 看房方便,欧亚梦都 -白沙星光,4室2厅 | 154.67平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,4人关注 / 3个月以前发布,99,"6,401元/平"
联发尚品 大三房 户型方正 业主诚意出售  看房方便,联发·尚品 -仙葫,3室2厅 | 121.56平米 | 南 西南 | 简装 | 低楼层(共14层)  | 板塔结合,2人关注 / 1个月以前发布,77,"6,335元/平"
高楼层，大三房，精装修，采光好，房屋任凭设计。,融晟公園大地B区 -五一路,3室2厅 | 111.1平米 | 东南 | 简装 | 高楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,75,"6,751元/平"
五象新区123平米4房全屋高档装修，即买即住，看湖,天誉花园5组团 -五象文旅,4室2厅 | 123.34平米 | 西北 | 精装 | 中楼层(共30层)  | 板塔结合,2人关注 / 3个月以前发布,115.9,"9,397元/平"
广源国际社区 3号线地铁口 高品质生活小区,广源国际社区 -东盟商务区,3室2厅 | 105.54平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 6天以前发布,165,"15,634元/平"
五象东精装三房..中高楼层业主急卖,大唐果(邕宁区) -龙岗,3室2厅 | 89.01平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 7天以前发布,81.5,"9,157元/平"
地铁5号线和狮山公园在小区旁边，300米就是东沟岭菜市,瀚林山水源 -东沟岭,3室1厅 | 87.09平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 3天以前发布,80,"9,186元/平"
此房户型采光好，大阳台，物业管理好  交通便利。,建兴苑 -金湖,5室2厅 | 233.4平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 5天以前发布,389,"16,667元/平"
富宁新兴苑精装2房，电梯8楼，地铁5号线,富宁新兴苑 -五一路,2室2厅 | 82.13平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 10天以前发布,60,"7,306元/平"
祥达花园 4室2厅 南 北,祥达花园 -白沙星光,4室2厅 | 138.06平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 12天以前发布,88,"6,375元/平"
精装大三房，满五不唯一，无欠款，拎包入住,时代茗城 -东沟岭,3室2厅 | 98平米 | 东南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 5天以前发布,123,"12,552元/平"
万科金域中央 4室2厅 东南,万科金域中央 -玉洞,4室2厅 | 110平米 | 东南 | 精装 | 低楼层(共47层)  | 塔楼,0人关注 / 6天以前发布,143,"13,000元/平"
龙光君御华府，航洋商圈，双凤翔，龙光物业，毛坯4房,龙光·君御华府 -凤岭北,4室2厅 | 124.68平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,223.2,"17,902元/平"
新中式风格，少有的精品，业主诚心出售,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 109.49平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 25天以前发布,155,"14,157元/平"
万达茂旁丽景湾 精致三房 拎包入住 诚售,阳光城丽景湾 -龙岗,3室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 25天以前发布,87,"10,117元/平"
头排一线江景无遮挡，高楼层，景观视野好，精装未住过,华发国宾壹号 -柳沙,5室2厅 | 143平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 30天以前发布,290,"20,280元/平"
一线江景精装4房 高楼层 采光视野好 旁边就是柳沙公园,半岛·半山 -柳沙,4室2厅 | 136.52平米 | 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 25天以前发布,140,"10,255元/平"
总部基地 万科双阳台四房 地铁口 出行便利 东南向,万科金域中央 -玉洞,4室1厅 | 125.64平米 | 东南 南 | 其他 | 低楼层(共44层)  | 塔楼,3人关注 / 6个月以前发布,170,"13,531元/平"
业主诚心出售 万达茂民主路*旁 毛坯4房 户型方正,万达茂·御江国际 -五象文旅,4室2厅 | 126.16平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,120,"9,512元/平"
青秀山+精装4房+未入住+有证看房方便,禧悦都 -凤岭南,4室2厅 | 110.15平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,158,"14,345元/平"
中房翡翠时光 3室2厅 南 北,中房翡翠时光 -琅东,3室2厅 | 123.61平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,168,"13,592元/平"
保利大五房 精装 楼层好 采光充足 业主急售,保利·领秀前城青秀郡 -凤岭南,5室2厅 | 134.53平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,180,"13,380元/平"
近南湖 区质量技术监督局宿舍 精装4房 另带12平杂物房,星湖路26号 -星湖,4室2厅 | 126.86平米 | 南 西南 | 简装 | 中楼层(共8层)  | 板楼,6人关注 / 6个月以前发布,132,"10,406元/平"
房子已经有房产证 业主诚心出售 楼层高采光好,龙光·玖誉湖 -五象文旅,4室2厅 | 119.92平米 | 南 北 | 精装 | 中楼层(共20层)  | 塔楼,56人关注 / 6个月以前发布,103,"8,590元/平"
五象湖畔，湖景四房，看房方便，随时过户,碧桂园天玺湾 -玉洞,4室2厅 | 123.3平米 | 东南 | 精装 | 中楼层(共11层)  | 板塔结合,4人关注 / 8个月以前发布,128,"10,382元/平"
华润二十四城 4室1厅 南,华润二十四城 -五象湖,4室1厅 | 128平米 | 南 | 其他 | 中楼层(共53层)  | 板塔结合,0人关注 / 9天以前发布,215,"16,797元/平"
128户型大四房，精装好房，产权清晰,华润二十四城 -五象湖,4室2厅 | 126.88平米 | 南 北 | 精装 | 高楼层(共49层)  | 塔楼,1人关注 / 4个月以前发布,185,"14,581元/平"
金源城三房，三号地铁口，有钥匙，业主急售，金源悦府,金源悦府 -东沟岭,3室2厅 | 95.82平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 22天以前发布,85,"8,871元/平"
近5号线，滨江公园，户型方正，通风采光，产权清晰。,龙光水悦龙湾御江 -西大,3室2厅 | 89.16平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,102,"11,441元/平"
满五 荣和山水绿城 朝南 电梯房 精装修 诚心出售,荣和山水绿城B1组团 -北湖南,3室2厅 | 87.81平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 10天以前发布,80,"9,111元/平"
滨湖路隔壁 公路局单位大院 业主诚心出售,公路局住宅小区 -金湖,3室2厅 | 111.34平米 | 东南 | 简装 | 中楼层(共17层)  | 板塔结合,0人关注 / 27天以前发布,266,"23,891元/平"
融晟公园大地 4房2厅 大平层142.99平 精装急卖,融晟公園大地B区 -五一路,4室2厅 | 142.99平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 21天以前发布,105,"7,344元/平"
天昌东盟中央城 3室2厅 南,天昌东盟中央城 -东盟商务区,3室2厅 | 83.21平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,1人关注 / 18天以前发布,170,"20,431元/平"
满五唯一！昌泰鑫金绿洲全新精装三房，业主自住保养新,昌泰鑫金绿洲 -经开区,3室2厅 | 86.35平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 28天以前发布,85,"9,844元/平"
采光通风好，户型布局合理，精装修风格漂亮,合景·天峻广场 -龙岗,4室2厅 | 114.52平米 | 南 北 | 精装 | 高楼层(共36层)  | 板塔结合,0人关注 / 18天以前发布,114.5,"9,999元/平"
联发尚筑120平大四房户型，带车位出售，132万！,联发尚筑 -东沟岭,4室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 19天以前发布,132,"11,000元/平"
云星钱隆首府 5室2厅 南,云星钱隆首府 -五象核心区,5室2厅 | 219.5平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 9天以前发布,328,"14,944元/平"
新兴苑 中间楼层 急售 保养好 诚心卖,竹溪新兴苑 -柳沙,4室2厅 | 150.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 3个月以前发布,122,"8,107元/平"
南湖公园旁 琅西地铁口 4房1厅双阳台 精装修 拧包入住,琅园锦绣前程 -金湖,4室1厅 | 136.61平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,135,"9,883元/平"
"户型很方正，采光通风都好,居室布局合理，通风良好",阳光城丽景湾 -龙岗,4室2厅 | 121.65平米 | 北 南 | 精装 | 低楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,125,"10,276元/平"
中间楼层，户型方正，保养好，大阳台,龙光·水悦龙湾 -西大,4室2厅 | 116.34平米 | 南 北 | 精装 | 中楼层(共34层)  | 平房,6人关注 / 6个月以前发布,122,"10,487元/平"
低楼层 采光好 架空一楼 价格实惠看房方便,秀山花园 -东盟商务区,4室2厅 | 164.59平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,2人关注 / 1个月以前发布,120,"7,291元/平"
保利21世家 南北通透 格局好 业主诚心卖,保利21世家 -东盟商务区,4室2厅 | 138.5平米 | 南 北 | 简装 | 高楼层(共24层)  | 板塔结合,21人关注 / 一年前发布,260,"18,773元/平"
小高层 五象新区 江边 江景房,澜湾九里二期 -五象核心区,4室2厅 | 130.6平米 | 东南 南 | 精装 | 中楼层(共23层)  | 板塔结合,2人关注 / 5个月以前发布,175,"13,400元/平"
单价5字头，月供2500买双地铁口大三房，红本在手,南宁奥园洛杉矶组团 -经开区,3室2厅 | 120平米 | 东南 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,67,"5,584元/平"
恒大苹果园金色阳光 中间楼层 精装大三房 朝小区安静,恒大苹果园·金色阳光 -琅东,3室1厅 | 128.97平米 | 南 | 其他 | 中楼层(共17层)  | 平房,0人关注 / 9天以前发布,99,"7,677元/平"
凤岭北 霖峰壹号 毛坯五房  3梯3户 朝南,霖峰壹号3组团 -凤岭北,4室2厅 | 141平米 | 南 | 毛坯 | 58层  | 板塔结合,0人关注 / 16天以前发布,208,"14,752元/平"
带150平自家使用大露台！澜城业主二次精装没入住三房,龙光玖誉城澜城 -经开区,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共20层)  | 暂无数据,2人关注 / 8天以前发布,102,"11,461元/平"
满五不唯一+近S中，带车位，二卫，业主急售。,中房翡翠园二期 -琅东,3室1厅 | 104.5平米 | 东南 | 简装 | 低楼层(共11层)  | 板塔结合,1人关注 / 3个月以前发布,126,"12,058元/平"
民族大道地铁东盟站口 荣和品牌 精装三房 南北,荣和·东盟国际 -凤岭北,3室2厅 | 111.7平米 | 南 北 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,128,"11,460元/平"
万象城地铁口民族大道德瑞花园大户型有证满五年,德瑞花园 -凤岭北,3室2厅 | 109.46平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 1个月以前发布,140,"12,791元/平"
凤岭北满五唯一大四房 中高层视野无遮挡,荣和·千千树 -凤岭北,4室2厅 | 91.82平米 | 东南 南 | 毛坯 | 中楼层(共42层)  | 塔楼,1人关注 / 3个月以前发布,140,"15,248元/平"
房子业主急出售  随时可以看房         采光好 楼层好,幸福华府2+1 -玉洞,3室1厅 | 89.69平米 | 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,11人关注 / 7个月以前发布,56,"6,244元/平"
喜欢逛江边吗？下楼就到！环境堪比盛科城,光明·澜湾九里 -五象核心区,3室2厅 | 88.01平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,20人关注 / 一年前发布,105,"11,931元/平"
盛天茗城 东盟商务区两房 业主诚心放卖 看房方便,盛天茗城 -东盟商务区,2室2厅 | 85.17平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 3个月以前发布,145,"17,025元/平"
拎包入住  全新装修  户型方正  业主诚售,保利领秀前城秀程府 -凤岭南,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,138,"15,506元/平"
阳光城丽景湾 3室2厅 东南,阳光城丽景湾 -龙岗,3室2厅 | 84.03平米 | 东南 | 精装 | 高楼层(共38层)  | 板塔结合,1人关注 / 4个月以前发布,80,"9,521元/平"
航洋商圈后面，双凤翔，业主急售好谈价,怡心园 -凤岭北,3室2厅 | 149.24平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,10人关注 / 一年前发布,166,"11,124元/平"
此房楼层高采光充足视野好，近地铁，五象总部基地商圈,朗玥湖山 -五象核心区,3室2厅 | 130.67平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 3个月以前发布,200,"15,306元/平"
保利心语 ，成熟老城区，交通便利，业主诚心出售,保利心语 -北湖南,3室2厅 | 91平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,7人关注 / 7个月以前发布,108,"11,869元/平"
全景青山视野好楼栋好户型 近百万装修 几乎没住过可谈,绿海云天 -东盟商务区,3室2厅 | 132.81平米 | 南 | 精装 | 低楼层(共12层)  | 塔楼,6人关注 / 3个月以前发布,212,"15,963元/平"
江南万达商圈 低总价2房 有钥匙看房方便,亭子小区 -白沙星光,2室1厅 | 63平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,93人关注 / 7个月以前发布,30,"4,762元/平"
万达精装好房推荐，高层采光好，地铁口，有钥匙看房。,万达华府B区 -白沙星光,3室2厅 | 100.53平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,126,"12,534元/平"
邕江边上  中铁交通天地明珠  户型方正,中铁交通天地明珠 -龙岗,3室2厅 | 93.01平米 | 东南 | 毛坯 | 中楼层(共22层)  | 板塔结合,2人关注 / 一年前发布,81,"8,709元/平"
东商区盛天华府+成熟位置+满五唯一免双税,盛天华府 -东盟商务区,3室2厅 | 89.54平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 3个月以前发布,198.8,"22,203元/平"
双地铁口宝能五象湖一号3-2-1-2 92.00m² 120 万,宝能五象湖一号 -五象湖,3室2厅 | 92.07平米 | 北 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,115,"12,491元/平"
双地铁口合景天汇广场3-2-1-2 102.00m² 129 万,合景天汇广场 -五象湖,3室2厅 | 102平米 | 西 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,129,"12,648元/平"
江南万达商圈 低总价2房 光线好,广西工业建筑设计研究院住宅大院 -白沙星光,2室1厅 | 52.86平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,42人关注 / 一年前发布,35,"6,622元/平"
产权清晰 高楼层 开发商精装 小区人车分流 小区新,碧桂园星荟 -东沟岭,3室2厅 | 89.79平米 | 南 | 精装 | 33层  | 塔楼,8人关注 / 4个月以前发布,94,"10,469元/平"
莱茵湖畔 3室2厅 南 北,莱茵湖畔 -琅东,3室2厅 | 89.06平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,3人关注 / 1个月以前发布,102,"11,453元/平"
华润二十四城3房两厅两卫，朝南户型，精装修,华润二十四城 -五象湖,3室2厅 | 88.91平米 | 南 | 精装 | 中楼层(共53层)  | 塔楼,1人关注 / 3个月以前发布,145,"16,309元/平"
急售 永凯春晖花园 146平大四房 户型方正 看房方便,永凯春晖花园西C区 -凤岭北,4室2厅 | 146.16平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,8人关注 / 一年前发布,162,"11,084元/平"
启美新城 金象三区繁华地段 购物出行都便利 读景华,启美新城 -玉洞,3室1厅 | 101平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,76,"7,525元/平"
五象多媒体Z心旁，精装三房。楼层好，急售,五象大唐果 -五象文旅,3室2厅 | 90.4平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 3个月以前发布,85,"9,403元/平"
金象三区，全新装修，没有入住过，地铁口,秀和路 -玉洞,3室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,30人关注 / 5个月以前发布,55,"5,239元/平"
业主诚心出售 绿地品质 精装3房 位置安静,绿地西城国际花都 -石埠,3室2厅 | 95.19平米 | 东 南 | 精装 | 中楼层(共32层)  | 暂无数据,3人关注 / 6个月以前发布,85,"8,930元/平"
少有的带花园，使用面积达到130多平，外扩20多平,恒大苹果园·金色阳光 -琅东,3室2厅 | 108.07平米 | 南 | 简装 | 低楼层(共7层)  | 塔楼,11人关注 / 一年前发布,80,"7,403元/平"
民族大道地铁凤岭口 塞纳维拉花园 一梯两户 精装3房,塞纳维拉花园 -凤岭北,3室2厅 | 131.38平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,6人关注 / 2个月以前发布,130,"9,895元/平"
此房格局通透，视野宽阔，采光充足，配套设施齐全,绿地中央广场二期 -青秀万达,4室2厅 | 143.84平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 1个月以前发布,235,"16,338元/平"
青秀区，民族大道莱茵湖畔 4房2厅2卫,莱茵湖畔 -琅东,4室2厅 | 124.57平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,142,"11,400元/平"
带产权车位，毛坯房，无抵押，产权清晰，有钥匙随时看,吉祥家园 -凤岭北,3室2厅 | 110.17平米 | 东南 | 毛坯 | 25层  | 塔楼,21人关注 / 一年前发布,115,"10,439元/平"
处于风岭北的成熟地段小3房，产权清晰，,凤岭在水一方 -凤岭北,3室2厅 | 99.23平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,8人关注 / 6个月以前发布,80,"8,063元/平"
南湖畔 金花茶公园 统计局宿舍 朝南大3房 带杂物房,广西区统计局宿舍 -东葛路,3室2厅 | 96.2平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 5个月以前发布,122,"12,682元/平"
东盟商务区，民歌湖旁，精装大三房，户型方正,广源国际社区 -东盟商务区,3室2厅 | 105.49平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,14人关注 / 7个月以前发布,155,"14,694元/平"
港保苑精装三房，楼下地铁商务区，江边近，诚心出售,港保苑 -五象核心区,3室2厅 | 123.63平米 | 南 | 精装 | 低楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,120,"9,707元/平"
凤岭北 ，精装125平 大四房 三面采光  小区中间位置,凤岭名园 -凤岭北,4室2厅 | 124.33平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,15人关注 / 一年前发布,122,"9,813元/平"
嘉和城塞纳北岸93平户型方正，视野开阔，采光好。,嘉和城塞纳北岸 -兴宁东,4室2厅 | 93.8平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,68,"7,250元/平"
五象东 3房2厅2卫 户型方正 楼层好,碧桂园天悦湾 -蒲庙,3室2厅 | 102.73平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,4人关注 / 4个月以前发布,78,"7,593元/平"
钱隆江南 业主诚心出售 三面采光视野好  高楼层,云星钱隆江南 -白沙星光,4室2厅 | 99平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,100,"10,102元/平"
恒大苹果园 大四房 毛坯 有证,恒大苹果园·东方诗韵 -琅东,4室2厅 | 168.25平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,4人关注 / 9个月以前发布,116,"6,895元/平"
东风路地铁口 金玖世家精装3房 万象汇 祖龙,金玖世家 -玉洞,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 9个月以前发布,90,"10,113元/平"
五象总部基地 体育馆旁 地铁口四号线,光明·澜湾九里 -五象核心区,3室2厅 | 88.71平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,31人关注 / 9个月以前发布,100,"11,273元/平"
嘉和城温莎北郡3房2厅 精装修 联系看房,嘉和城温莎北郡 -兴宁东,3室2厅 | 84.43平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,3人关注 / 2个月以前发布,62,"7,344元/平"
五象总部基地，地铁口，临江三房，好楼层，值得看！！,金源一品 -五象核心区,3室1厅 | 97.59平米 | 南 | 毛坯 | 高楼层(共39层)  | 塔楼,7人关注 / 一年前发布,108,"11,067元/平"
4、5号线，成熟大型社区新装修全屋硅藻泥,龙光普罗旺斯香槟 -经开区,4室1厅 | 136平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 2个月以前发布,99,"7,280元/平"
五象新区，天誉花园毛坯两房，户型方正,天誉花园4组团 -五象文旅,2室1厅 | 55.79平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,33人关注 / 一年前发布,50,"8,963元/平"
万科公园里 4房2卫 4号线地铁 业主诚意置换看房方便,万科公园里 -五象文旅,4室2厅 | 107.38平米 | 南 | 精装 | 中楼层(共35层)  | 板塔结合,11人关注 / 7个月以前发布,129,"12,014元/平"
4房朝南，4号线地铁口，保养很好,南宁恒大城 -经开区,4室2厅 | 143.52平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,118,"8,222元/平"
荣和大地精装三房两厅两卫南向楼层好视野好，随时看房,荣和大地二组团 -凤岭北,3室2厅 | 89.13平米 | 东南 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,140,"15,708元/平"
南宁恒大华府 3室2厅 南,南宁恒大华府 -东沟岭,3室2厅 | 128.32平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,5人关注 / 6个月以前发布,110,"8,573元/平"
二七二低价2房，配套齐全，和蔼业主诚心出售,广西壮族自治区二七二地质队 -经开区,2室2厅 | 54.16平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 2个月以前发布,35,"6,463元/平"
业主急急急卖，可看房，中高层，手快有,金源一品 -五象核心区,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共39层)  | 塔楼,3人关注 / 2个月以前发布,115,"11,617元/平"
有钥匙 一号线地铁口 瑞士花园 两房 随时能看房,瑞士花园 -心圩区,2室1厅 | 95.1平米 | 北 | 简装 | 低楼层(共7层)  | 板塔结合,16人关注 / 5个月以前发布,46,"4,838元/平"
地铁五号线 狮山公园 南城百货 明秀东路小 学,荣和·山水绿城B2组团 -北湖南,3室2厅 | 87.08平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 24天以前发布,88,"10,106元/平"
此房证件齐全，户型方正，采光通风好，格局通透。,台湾街宜兰湾 -西大,3室1厅 | 88.96平米 | 北 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 26天以前发布,84,"9,443元/平"
中铁云景山语城 5室2厅 南,中铁云景山语城 -凤岭北,5室2厅 | 143平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 7天以前发布,235,"16,434元/平"
合景香悦四季4-2-1-2 122.00m² 109 万,合景香悦四季 -玉洞,4室2厅 | 121.73平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 7天以前发布,109,"8,955元/平"
3房 满五唯一 业主很有诚意 金源悦府,金源悦府 -东沟岭,3室2厅 | 95.82平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 24天以前发布,87,"9,080元/平"
大型社区 楼龄新  中房翡翠园二期,中房翡翠园二期 -琅东,4室2厅 | 138.73平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,6人关注 / 4个月以前发布,170,"12,255元/平"
