标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
河东香林雅郡 清水大三房 有钥匙 产权满二,香林雅郡 -河东南区,3室2厅 | 117平米 | 南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 9天以前发布,75.8,"6,479元/平"
市中区 近裕丰街 大3室带阳台 有小区有门卫,育才路街道工作委员会宿舍 -市中区,3室2厅 | 136.5平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,66,"4,836元/平"
金海国际 大三室 带两个产权车位 产权在手,金海国际 -北门区,3室2厅 | 139平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,113,"8,130元/平"
一楼2室2厅一厨一卫关门卖，拎包入住,泰佳尔阳光城 -南门区,2室2厅 | 71.35平米 | 东南 | 简装 | 地下室(共8层)  | 暂无数据,0人关注 / 14天以前发布,41.8,"5,859元/平"
此房电梯中低楼层，采光好，出行购房方便，户型方正，,未来上层 -射洪县,2室2厅 | 85.19平米 | 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,59,"6,926元/平"
荣兴丽苑小区 2室交通便利小区环境干净舒适 适合居住,荣兴丽苑 -北门区,2室2厅 | 80平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,38,"4,750元/平"
犀牛提2楼可看江景 精装三室 图片真实 直接拎包入住,滨江北路267号 -市中区,3室2厅 | 94.1平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,59.8,"6,355元/平"
中庭位置 中间楼层 朝南 带车位 两家人用一部电梯,邦泰河东院子 -河东北区,3室1厅 | 115平米 | 东南 | 毛坯 | 中楼层(共12层)  | 板塔结合,0人关注 / 8天以前发布,129,"11,218元/平"
滨江尚郡3室2卫东南朝向122平82.9万江景房宜居,滨江尚郡 -射洪县,3室2厅 | 122平米 | 东 | 其他 | 高楼层(共23层)  | 暂无数据,0人关注 / 7天以前发布,82.9,"6,796元/平"
江景精装温馨三房全新装修随时看房拎包入住,介福金都 -北门区,3室2厅 | 83.85平米 | 东 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 6天以前发布,72.8,"8,683元/平"
西南朝向小区位置好环境好，绿化覆盖率高,邦泰河东院子 -河东北区,3室2厅 | 105平米 | 西南 | 毛坯 | 高楼层(共10层)  | 暂无数据,0人关注 / 7天以前发布,97,"9,239元/平"
人民银行宿舍 4室3厅 东南 西南,人民银行宿舍 -市中区,4室3厅 | 134平米 | 东南 西南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 5天以前发布,69.8,"5,209元/平"
东海岸两房两厅一厨一卫业主诚心出售,东海岸 -河东北区,2室1厅 | 55.6平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,49,"8,813元/平"
东城一品电梯中层看房方便有钥匙,东城一品 -河东北区,4室2厅 | 120.31平米 | 东 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 2天以前发布,81.8,"6,800元/平"
凯旋城 3室2厅 东南,凯旋城 -市中区,3室2厅 | 95.34平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3天以前发布,64.8,"6,797元/平"
万达旁  一梯两户电梯洋房  中式装修花了60万 带车位,正黄金域央墅 -河东北区,4室2厅 | 120平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 7天以前发布,180,"15,000元/平"
交通便利，小区环境干净舒适，适合居住,遂宁花园 -北门区,3室2厅 | 103平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,55.8,"5,418元/平"
有一层地下室100平左右，已经做好镇楼，带产权车位。,江山原筑 -仁里场区,3室2厅 | 103平米 | 东南 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,97,"9,418元/平"
可以成熟何必赌未来，绿地全新精装领包入住，价格可谈,绿地二期锦华名门 -市中区,3室2厅 | 96平米 | 东南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 1天以前发布,116,"12,084元/平"
急售 金科优质房源 带装修关门卖 看房方便,金科·集美天宸 -物流港区,3室2厅 | 93.3平米 | 东 | 精装 | 低楼层(共14层)  | 暂无数据,0人关注 / 1天以前发布,60,"6,431元/平"
华翔城三期 3室2厅 南,华翔城三期 -物流港区,3室2厅 | 79.28平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1天以前发布,54.8,"6,913元/平"
市中区顶跃带屋顶花园单位房电梯在安,锦卫苑 -市中区,4室2厅 | 163平米 | 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1天以前发布,68.8,"4,221元/平"
遂宁花园 大楼盘 大三室 看中庭,遂宁花园 -北门区,3室2厅 | 132平米 | 东 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,86.8,"6,576元/平"
交警支队宿舍四室两厅两卫，停车方便，做了海绵工程,交警支队宿舍 -北门区,4室2厅 | 284.8平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,135,"4,741元/平"
南门 南城丽都 使用面积大 4房 现浇房 居住舒适方便,南城丽都 -南门区,4室2厅 | 63.56平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 29天以前发布,36.8,"5,790元/平"
河东一期 9.9万新  精装两房  正看大中庭,东城一品 -河东北区,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,1人关注 / 28天以前发布,72.8,"8,466元/平"
虹桥路北转盘。妇幼保健院宿舍单位房大三室,妇幼保健院小区 -射洪县,3室2厅 | 128.71平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,45.8,"3,559元/平"
明月路花园小区，精装大四房，户型方正，,翠谷地小区 -北门区,3室2厅 | 120平米 | 西南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,49.5,"4,125元/平"
金港国际装修三房 出行方便 配套齐全,金港国际 -市中区,3室2厅 | 110平米 | 东南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 18天以前发布,76,"6,910元/平"
城北两室  小区环境干净舒适 可停车,银华小区 -射洪县,2室1厅 | 55.05平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,15,"2,725元/平"
龙腾御锦 2室2厅 南,龙腾御锦 -河东南区,2室2厅 | 49.73平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 25天以前发布,48,"9,653元/平"
珠江佳苑2室2厅1厨1卫格局规整通透，适合居住,珠江佳苑 -射洪县,2室2厅 | 87.75平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,54,"6,154元/平"
石油单位专用物业 户型方正 小区环境好 满二,石油南苑C区 -南门区,2室2厅 | 80.04平米 | 西北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,32,"3,999元/平"
盛世锦城 2室2厅 东南,盛世锦城 -南门区,2室2厅 | 84.39平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,45,"5,333元/平"
新城次新小区  户型方正  房东诚心出售 可按揭,江山佲座 -大英县,3室2厅 | 107平米 | 东 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 26天以前发布,59.6,"5,571元/平"
珠江佳苑3室2厅1厨2卫格局方正，采光充足适合居住,珠江佳苑 -射洪县,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,68,"5,231元/平"
河东 成熟商圈 精装套三关门出售 保养新色,杰灵小区 -河东北区,3室2厅 | 107.43平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,49.8,"4,636元/平"
凉湾安置房小区交通便利 小区环境干净舒适 适合居住,凉湾安置房 -大英县,3室2厅 | 107平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,36,"3,365元/平"
北门 花园小区 步梯好楼层 诚心出售 装修新色,金色海岸 -北门区,3室2厅 | 132.72平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,80.8,"6,089元/平"
北门  滨江路 小三室 电梯高层 诚心出售 价格可谈,盛世上江城 -北门区,3室1厅 | 87平米 | 东南 | 其他 | 高楼层(共32层)  | 平房,0人关注 / 11天以前发布,63,"7,242元/平"
此房产权在手 采光通风充足，家具家电齐全 拎包入住,福光庙村安置房 -物流港区,3室2厅 | 99平米 | 东南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 6天以前发布,67,"6,768元/平"
楼层适中，户型方正采光好，视线开阔。,融创九樾府 -物流港区,3室2厅 | 92平米 | 南 | 其他 | 中楼层(共15层)  | 板塔结合,0人关注 / 3天以前发布,69.8,"7,587元/平"
物流港好房，有产权，随时可过户,华翔城一组团 -物流港区,3室2厅 | 109平米 | 东南 | 其他 | 高楼层(共34层)  | 暂无数据,0人关注 / 7天以前发布,60.8,"5,578元/平"
南滨帝景B区 3室2厅 东南,南滨帝景B区 -南门区,3室2厅 | 93平米 | 东南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 3天以前发布,85,"9,140元/平"
碧桂园中环壹号 4室2厅 南,碧桂园中环壹号 -物流港区,4室2厅 | 117.93平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 5天以前发布,100,"8,480元/平"
急售 南门电梯新房碧水新城 金典两房 看房方便,碧水新城 -物流港区,2室2厅 | 79平米 | 东 | 其他 | 中楼层(共13层)  | 暂无数据,0人关注 / 3天以前发布,30.8,"3,899元/平"
商务区翰林名苑精装3房2卫拎包入住,翰林名苑 -市中区,3室2厅 | 109平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 2天以前发布,95,"8,716元/平"
奥城江景房出售，视野好，户型方正，喊价103.8万可谈,奥城花园北区 -河东北区,3室2厅 | 115.8平米 | 西南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 5天以前发布,103.8,"8,964元/平"
小区安全卫士 绿化好 购物方便 交通便利,楠木小区 -南门区,3室2厅 | 88.94平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,43.8,"4,925元/平"
商务区   电梯   三室   精装拎包入住,凯旋豪庭 -南门区,3室1厅 | 82.4平米 | 东南 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 5天以前发布,68,"8,253元/平"
此房满五年 户型格局方正规整 装修风格清新怡人,魅力城 -河东北区,2室2厅 | 72.26平米 | 东南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 2天以前发布,70,"9,688元/平"
河东置信丽府 正规四房 装修好未住人 带点平台,置信丽府A区 -河东北区,4室2厅 | 126平米 | 东南 | 其他 | 低楼层(共23层)  | 暂无数据,0人关注 / 2天以前发布,145,"11,508元/平"
物管费停车费便宜，地理位置较好。小区成色新，,联福家园一期 -河东北区,3室2厅 | 78.09平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,59.8,"7,658元/平"
金科美湖湾香山 4室2厅 南,金科美湖湾香山 -仁里场区,4室2厅 | 125平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1天以前发布,125,"10,000元/平"
圣平家园 2室2厅 西南,圣平家园 -南门区,2室2厅 | 76平米 | 西南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 6天以前发布,43.8,"5,764元/平"
四房双卫，出角方便，实得面积可以，公摊小,河东教师公寓 -市中区,3室2厅 | 176平米 | 东南 东 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,69.8,"3,966元/平"
金海国际，看江大3室，产权满2年,金海国际 -北门区,3室2厅 | 138.36平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,95.8,"6,924元/平"
三室两厅双卫，接手立即装修入住。,万隆花苑 -射洪县,3室2厅 | 121.38平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,51.8,"4,268元/平"
花果山脚下三室两厅双卫 简装  低楼层 诚心.出售,登云路20号 -射洪县,3室2厅 | 131.5平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,38,"2,890元/平"
北门，翰林名苑，电梯两房，带车位，76.34平米,翰林名苑 -市中区,2室2厅 | 76.34平米 | 西北 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,88.5,"11,593元/平"
香溪苑 5室2厅 西北,香溪苑 -北门区,5室2厅 | 207平米 | 西北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,120,"5,798元/平"
燕山小    学隔壁  正儿八经的娃儿念书很方便,燕山街 -北门区,3室2厅 | 101平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,38,"3,763元/平"
信用社宿舍急售大三房买到即可入住,信用社宿舍（南兴街） -北门区,3室2厅 | 141.87平米 | 东南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,45.8,"3,229元/平"
满五唯一，税费低 城南大小区，景观好,滨江河畔南区 -射洪县,3室2厅 | 99.69平米 | 西北 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,69.6,"6,982元/平"
子昂金都位于子昂广场花园小区现浇房中间楼层,子昂金都小区 -射洪县,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,68.8,"5,686元/平"
急卖未来城三室两厅 电梯小高层 居住舒适 出行方便,遂宁花园未来城 -北门区,3室2厅 | 133.95平米 | 东南 | 精装 | 低楼层(共11层)  | 塔楼,14人关注 / 一年前发布,83.8,"6,257元/平"
此房带平台，使用面积还很大。私家使用,中天外滩 -南门区,3室2厅 | 120.65平米 | 东南 | 精装 | 低楼层(共12层)  | 暂无数据,1人关注 / 8个月以前发布,83.8,"6,946元/平"
楠兴小区 3室2厅2卫 现浇3房诚意出售 看房方便,楠兴小区 -南门区,3室2厅 | 124.74平米 | 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,50,"4,009元/平"
南门南城丽都现浇两房有小区物管,南城丽都 -南门区,2室2厅 | 67.53平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,41.8,"6,190元/平"
北门，北固雅居3楼，3 楼精装3室楼，满五唯一,北固雅居 -北门区,3室2厅 | 95.64平米 | 北 | 精装 | 中楼层(共4层)  | 暂无数据,9人关注 / 10个月以前发布,49.8,"5,208元/平"
石油南苑C区两室两厅  首付18万左右 简装也可入住,石油南苑C区 -南门区,2室2厅 | 80.22平米 | 东 西北 | 简装 | 高楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,32,"3,990元/平"
龙腾青年公社 3室2厅 东南,龙腾青年公社 -河东南区,3室2厅 | 96.56平米 | 东南 | 毛坯 | 高楼层(共20层)  | 塔楼,2人关注 / 一年前发布,70,"7,250元/平"
河东体育馆旁 电梯毛坯三房 户型方正无浪费,东方明珠 -河东南区,3室2厅 | 125.14平米 | 东南 | 毛坯 | 低楼层(共21层)  | 塔楼,8人关注 / 一年前发布,83,"6,633元/平"
单价4000 中装大四房 拎包入住 税低 双证齐全,布针织二厂宿舍 -南门区,4室2厅 | 158.2平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,59.6,"3,768元/平"
仁仁广场住宅3-2-1-1户型方正，采光好 出行方便,仁仁广场住宅 -市中区,3室2厅 | 93平米 | 东 | 其他 | 中楼层(共28层)  | 板楼,5人关注 / 一年前发布,70.8,"7,613元/平"
此房业主急卖，小区环境好，安静不吵闹，适合居家。,保利养生谷二期 -未知商圈,4室2厅 | 138.46平米 | 东南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,106.7,"7,707元/平"
香溪新城4-2-1-2 155.00m² 90 万,香溪新城 -北门区,4室2厅 | 155平米 | 东南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,82,"5,291元/平"
香溪苑清水电梯中间楼层 客厅*大 户型方正有钥匙,香溪苑 -北门区,4室3厅 | 174平米 | 西北 | 毛坯 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,84.96,"4,883元/平"
万福花园  4室 精装修 出行方便  配套设施齐全,万福花园 -大英县,4室2厅 | 136.9平米 | 西南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,56.6,"4,135元/平"
越秀锦苑小区3室2厅交通便利小区环境干净舒适适合居住,越秀锦苑 -北门区,3室2厅 | 112平米 | 东 | 其他 | 低楼层(共6层)  | 暂无数据,18人关注 / 一年前发布,50.8,"4,536元/平"
市中区+新小区+绿化面积大+生活配套齐全,绿地二期锦华名门 -市中区,3室2厅 | 96平米 | 西北 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 15天以前发布,72.8,"7,584元/平"
环境优美 环境好 产权齐全 可以按揭 看房方便,华翔城二期 -物流港区,3室2厅 | 88.89平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 14天以前发布,58,"6,525元/平"
业主精装修，看房有钥匙，产权在手,荣海花间集 -河东北区,4室2厅 | 114平米 | 东南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 14天以前发布,94,"8,246元/平"
北门好地段，2楼，拎包入住，装修干净整洁,富强小区 -北门区,3室2厅 | 127平米 | 东 | 精装 | 低楼层(共9层)  | 平房,0人关注 / 7个月以前发布,55.8,"4,394元/平"
明月路单位宿舍 大三房出售 小区环境好 价格可谈,新华文轩 -北门区,3室2厅 | 183.5平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,65,"3,543元/平"
御景山 精装大三房 户型方正 看房有钥匙方便 诚售,北兴御景山 -北门区,3室2厅 | 114.5平米 | 西 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 8个月以前发布,82,"7,162元/平"
明月丽景小区4室2厅交通便利小区环境干净舒适适合居住,明月丽景 -北门区,4室2厅 | 141.05平米 | 东南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,71,"5,034元/平"
南涪小区二期交通便利 小区环境干净舒适 适合居住,南涪小区二期 -射洪县,3室2厅 | 127平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,48,"3,780元/平"
北门蜀秀东街 交通便利 环境干净舒适 适合居住,飞虹街 -北门区,6室2厅 | 340平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 13天以前发布,149.8,"4,406元/平"
机房街160好位于机房街二期工程房子是三室两厅一卫,机房街160号 -射洪县,3室2厅 | 107平米 | 东 | 简装 | 高楼层(共8层)  | 暂无数据,1人关注 / 6个月以前发布,35,"3,272元/平"
水丽佳苑，位于滨江路旁交通方便，刚需客户在必备。,水丽佳苑 -北门区,3室2厅 | 147平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,70,"4,762元/平"
两梯六户。公务员小区.环境优美,东城绿洲A区 -河东北区,3室2厅 | 140.49平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,2人关注 / 一年前发布,93.3,"6,642元/平"
此房业主诚心出售，三室两厅两卫,金科美湖湾二期 -仁里场区,3室2厅 | 110平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,97,"8,819元/平"
河东中芯 顶跃 产权满5年 装修了的 大跃层 霸气得很,东城一品 -河东北区,5室2厅 | 145.37平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,120,"8,255元/平"
一梯两户 电梯入户，业主诚心出售，带个车位。,置信丽府B区 -河东北区,4室2厅 | 138.9平米 | 东南 | 其他 | 中楼层(共10层)  | 暂无数据,0人关注 / 12天以前发布,135,"9,720元/平"
北门滨江路，出行方便，小区环境好,滨江雅居 -北门区,4室2厅 | 169平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,81.8,"4,841元/平"
