标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
下中坝上河湾，国企开发商，精装修诚心出售,交投置地上河湾三期 -川东北金融中心,3室2厅 | 97.03平米 | 北 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 7天以前发布,73.8,"7,606元/平"
市政新区 精装 小洋房 ，采光好、户型方正,塞维利亚 -市政新区,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 2天以前发布,68,"7,556元/平"
嘉陵主城区 联排别墅 上下三层 房东诚心出售 随时看房,水慕清華 -嘉陵广场,4室2厅 | 248平米 | 南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,1人关注 / 2个月以前发布,130,"5,242元/平"
西山运动场隔壁 户型方正 电梯大三房 朝南  采光很好,生态环境局宿舍 -西山运动场,3室2厅 | 154.97平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,14人关注 / 8个月以前发布,46,"2,969元/平"
此房采光充足，没有高税，配套齐全.小区有停车位。,宏业四桂坊居 -大西街,2室2厅 | 78.03平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,36.9,"4,729元/平"
清泉小区·西区 4室2厅 南,清泉小区·西区 -市政新区,4室2厅 | 183平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,118,"6,449元/平"
和韵名都电梯新房毛坯房诚心出售,和韵名都 -市政新区,3室2厅 | 80.06平米 | 东南 东北 | 毛坯 | 低楼层(共24层)  | 塔楼,2人关注 / 13天以前发布,35,"4,372元/平"
金鱼岭延安路口带装修大两房.产权在手,延安巷55号 -延安路,2室2厅 | 67.96平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5天以前发布,28.9,"4,253元/平"
南高敩区精装大三房 户型方正  0,水岸花都三期 -西山风景区,3室2厅 | 126平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 11天以前发布,41,"3,254元/平"
优质楼层，适合老年人养老居住，装修很不错。,文明街 -南门坝,3室1厅 | 69.1平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 9天以前发布,35.8,"5,181元/平"
滨江景城 4室1厅 南,滨江景城 -江东大道,4室1厅 | 130平米 | 南 | 其他 | 中楼层(共16层)  | 塔楼,1人关注 / 9天以前发布,85,"6,539元/平"
气象公园旁 睿景湾 电梯中间 楼层 户型好 有钥匙,睿景湾 -市政新区,3室2厅 | 98.43平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,2人关注 / 9天以前发布,50,"5,080元/平"
顺庆主城区，交通方便，配套齐全，房型方正，采光好。,宁安巷81号附3号 -北湖公园,2室1厅 | 64平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,35,"5,469元/平"
大西街87号 2室2厅 东南,大西街87号 -大西街,2室2厅 | 84平米 | 东南 | 简装 | 低楼层(共9层)  | 暂无数据,0人关注 / 3天以前发布,25.5,"3,036元/平"
大盘小区中庭的二楼大三室带装修诚心出售,香榭春天南区 -延安路,3室2厅 | 111.22平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,51.5,"4,631元/平"
米兰阳光 精装电梯房 拧包入住 价格可议,米兰阳光 -市政新区,3室2厅 | 113.17平米 | 西北 | 精装 | 中楼层(共17层)  | 塔楼,1人关注 / 1个月以前发布,70,"6,186元/平"
顺庆主城区，生活配套齐全，交通便利。,顺庆实验小学家属院 -金泉路,3室2厅 | 143.01平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,46,"3,217元/平"
顶跃带露 台  小区中庭  精装无漏水痕迹,明宇·帝壹家西区 -南门坝,3室2厅 | 90.3平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,55,"6,091元/平"
大盘小区  电梯小高层  精装全齐  拎包入住,瑞露嘉都 -南门坝,3室2厅 | 129平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,2人关注 / 2个月以前发布,77,"5,969元/平"
主城区大盘小区 环境优美 清水电梯房,家益·江天一色 -人民花园,3室2厅 | 124.29平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,84,"6,759元/平"
下楼就是新世纪购物广场生活方便。,新世纪购物广场 -五星花园,3室2厅 | 86.66平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,3人关注 / 8个月以前发布,50.8,"5,862元/平"
业主诚心出售，带产权车位，看上了都好商量,江东华府 -江东大道,3室2厅 | 93.39平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,36人关注 / 一年前发布,77,"8,245元/平"
嘉陵主城区 电梯精装大三房 拎包入住 随时看房,世纪名扬 -嘉陵广场,3室2厅 | 99.34平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,4人关注 / 3个月以前发布,61.8,"6,222元/平"
小区24小时保安，可停车，配套齐全,荣欣小区 -安汉广场,3室2厅 | 119.05平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,9人关注 / 4个月以前发布,51.5,"4,326元/平"
南门坝蓝光1227旁   正中庭 全屋地暖  无高税,瑞露嘉都·彼岸 -南门坝,4室2厅 | 122.46平米 | 西南 | 精装 | 中楼层(共30层)  | 塔楼,14人关注 / 一年前发布,86,"7,023元/平"
"适合养老的老人和带孩子读书的家庭,楼层好",花市街48号 -北湖公园,3室1厅 | 83.42平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,38,"4,556元/平"
中楼层，精装，家具齐，安静不临街,香榭春天南区 -延安路,3室2厅 | 109.49平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,57,"5,206元/平"
师院校区内，不临街，小区中庭、拎包入住,师院老校区宿舍 -北湖公园,3室1厅 | 67平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,72,"10,747元/平"
阳春家园 全新装修 拎包入住 手慢无,阳春家园 -王府井,3室1厅 | 100平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 20天以前发布,56,"5,600元/平"
军事化管理，一级物业。保利旁 户型方正,万科·金润华府三期 -川东北金融中心,3室2厅 | 84.41平米 | 西 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 31天以前发布,69,"8,175元/平"
嘉陵主城  挨着生态公园  嘉陵广场  近主路出行方便,奥斯汀小镇 -嘉陵广场,3室2厅 | 93.74平米 | 东南 | 精装 | 低楼层(共6层)  | 塔楼,1人关注 / 20天以前发布,63,"6,721元/平"
精装小三房 自住装修 领包入住,阳光江山金岸小区 -江东大道,3室2厅 | 67.92平米 | 东 东南 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 28天以前发布,41.8,"6,155元/平"
锦通紫薇花园 3室1厅 南,锦通紫薇花园 -江东大道,3室1厅 | 93.6平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,2人关注 / 26天以前发布,48,"5,129元/平"
恒大绿洲 4室2厅 南,恒大绿洲 -市政新区,4室2厅 | 160.35平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 24天以前发布,88,"5,488元/平"
天来豪庭精装三房！朝小区中庭！,天來豪庭 -江东大道,3室2厅 | 105平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 13天以前发布,70,"6,667元/平"
地段配套成熟。楼层低，装修好，无抵押，上手可入住,御景江山（玉景江山） -安汉广场,3室2厅 | 85.8平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 2个月以前发布,37,"4,313元/平"
此房无高税，业主诚心出售，标准三房两卫,筑韵丽都花园 -市政新区,3室2厅 | 85.55平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 11天以前发布,45,"5,261元/平"
1227 蓝光香江国际 业主诚心出售,蓝光·香江国际 -南门坝,3室2厅 | 90.2平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 15天以前发布,73.8,"8,182元/平"
鸿通翡翠南玺台 一梯两户电梯洋房 带双阳台 彩光好,鸿通翡翠城南玺台 -南充北站,3室2厅 | 109.08平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,2人关注 / 15天以前发布,65,"5,959元/平"
果山公园  精装三房 户型好 房龄新 业主急售,美亚花园 -滨江大道,3室2厅 | 95.61平米 | 东南 南 | 其他 | 中楼层(共8层)  | 平房,0人关注 / 3个月以前发布,38,"3,975元/平"
华林 两梯四户 全新装修 房东急售,华林广场 -南湖,3室2厅 | 102.39平米 | 西南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,74.6,"7,286元/平"
延安路天然气公司单位房标准1室1厅1厨1卫诚心出售,天然气公司单位房 -延安路,1室2厅 | 52.9平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3天以前发布,26,"4,915元/平"
房东 急售 满庭芳中间楼层  三房双卫,锦通·满庭芳 -西山风景区,3室2厅 | 115.62平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 7个月以前发布,56,"4,844元/平"
南门坝核 心地段，近公园，市场，学 校，交通，,瑞露嘉都·彼岸 -南门坝,3室2厅 | 117平米 | 东南 南 | 精装 | 中楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,73,"6,240元/平"
急售嘉陵区 水岸花都三期 正规三室,水岸花都三期 -西山风景区,3室2厅 | 93.36平米 | 东 | 其他 | 高楼层(共7层)  | 板楼,22人关注 / 一年前发布,35.2,"3,771元/平"
阳光江山金岸小区 3室1厅 东南,阳光江山金岸小区 -江东大道,3室1厅 | 67平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,39,"5,821元/平"
江与城 精装大四房 安静望小区花园,江与城 -市政新区,4室2厅 | 116平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,96,"8,276元/平"
交投置地·上河湾一期 3室2厅 东南,交投置地·上河湾一期 -川东北金融中心,3室2厅 | 109平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,78,"7,156元/平"
泰合慢城八岛 3室2厅 东南,泰合慢城八岛 -江东大道,3室2厅 | 110平米 | 东南 | 精装 | 中楼层(共9层)  | 塔楼,1人关注 / 2天以前发布,75,"6,819元/平"
果城路单位房诚心出售正两房采光好,果城路70号 -人民花园,2室1厅 | 61.56平米 | 南 北 | 精装 | 高楼层(共7层)  | 平房,4人关注 / 7个月以前发布,29.8,"4,841元/平"
滨江大道 精装套二 中间楼层， 拎包入住,九道拐小区 -滨江大道,2室1厅 | 42.91平米 | 南 北 | 精装 | 中楼层(共8层)  | 平房,0人关注 / 1个月以前发布,23,"5,361元/平"
北干道延安路城北阳光大润发旁2室2厅20多万08年房新区,城北阳光 -延安路,2室2厅 | 71.73平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,27.9,"3,890元/平"
大户型采光充足配套设施齐全交通便利,蓝光香江国际二期三区 -西山风景区,4室2厅 | 138平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 13天以前发布,85.5,"6,196元/平"
顺庆主城区，生活配套齐全，交通便利。,天地山水 -西山风景区,3室2厅 | 128平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,82,"6,407元/平"
金泉路大盘小区楼层好，停车方便2室精装房,波特曼商品房小区 -金泉路,2室2厅 | 75.26平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 8天以前发布,27,"3,588元/平"
嘉陵区 希望城商圈 电梯中间楼层 无高税 随时看房,希望城一区 -南湖,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 1个月以前发布,62.8,"6,475元/平"
奥斯汀小镇5+1楼中楼 带产权车位 房东诚心出售,奥斯汀小镇 -嘉陵广场,4室2厅 | 121.46平米 | 东南 | 精装 | 高楼层(共5层)  | 塔楼,1人关注 / 3个月以前发布,86,"7,081元/平"
大盘小区环境好，无高税。户型方正。,瑞露嘉都·彼岸 -南门坝,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,74,"6,325元/平"
位于主城区  配套成熟  出行方便,燎原小区 -火车站,4室2厅 | 139.02平米 | 西 东 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,39.6,"2,849元/平"
西门巷13号 3室1厅 南,西门巷13号 -金泉路,3室1厅 | 65平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,26,"4,000元/平"
英伦城邦 3室2厅 西 西南,英伦城邦 -白土坝,3室2厅 | 87平米 | 西 西南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,78,"8,966元/平"
房东急售，无高税，中间楼层，随时看房,万科金润华府 -川东北金融中心,4室2厅 | 124平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 17天以前发布,80,"6,452元/平"
白土坝，3室，户型方正，清水房,云庐 -华凤,3室2厅 | 101.94平米 | 东 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 19天以前发布,60,"5,886元/平"
中间楼层 无高税 价格可议 看房方便,滨江首座 -延安路,1室1厅 | 41平米 | 西南 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 17天以前发布,29.8,"7,269元/平"
户型方正，采光好，嘉陵主城区，配套成熟，,星宇·城南家园 -嘉陵广场,2室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 19天以前发布,34,"3,778元/平"
燎原小区 2室1厅 南,燎原小区 -火车站,2室1厅 | 37平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,19.8,"5,352元/平"
仪凤街124号 2室2厅 东南,仪凤街124号 -滨江大道,2室2厅 | 79.49平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 22天以前发布,13,"1,636元/平"
此房位于市区繁华地段，简单装修 配套齐全,新世纪购物广场 -五星花园,2室2厅 | 73.56平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,13人关注 / 一年前发布,38.9,"5,289元/平"
此房楼层低，出行、购物、上学等都方便。,骏达小区 -五星花园,2室2厅 | 60平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,1人关注 / 14天以前发布,21,"3,500元/平"
南门北街16号 1室2厅 南,南门北街16号 -南门坝,1室2厅 | 45平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 15天以前发布,24,"5,334元/平"
楠苑翠庭精装3室2厅2卫停车方便,楠苑翠庭 -西山风景区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 20天以前发布,55.5,"4,081元/平"
万科三期，品牌家具装修，军事化管理,万科·金润华府三期 -川东北金融中心,3室1厅 | 84.41平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 14天以前发布,65,"7,701元/平"
公园大地旁 精装大三房 电梯小洋房 随时可看,上南印象 -南湖,3室2厅 | 103平米 | 东 | 其他 | 高楼层(共10层)  | 塔楼,0人关注 / 14天以前发布,53.8,"5,224元/平"
星星巷5号 2室1厅 东南,星星巷5号 -北湖公园,2室1厅 | 55.5平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,25.8,"4,649元/平"
顺庆区西山镇泰路教育局机关大院电梯精装修,南充市教育局机关大院 -西山风景区,3室2厅 | 132.26平米 | 东南 | 其他 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,56.8,"4,295元/平"
滨江大道大两房精装修俯瞰清泉坝江景房东急售,上层·上品 -延安路,2室2厅 | 77.78平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 14天以前发布,53,"6,815元/平"
正规两房，视线好，采光好，户型方正,表方街46号 -金泉路,2室2厅 | 69.33平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,4人关注 / 3个月以前发布,17.8,"2,568元/平"
白马湖商圈，视野开阔，房东诚心出售,蓝光香江国际二期三区 -西山风景区,3室2厅 | 104平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,57,"5,481元/平"
香槟尚城 精装大三房 房东诚心出售,香槟尚城 -嘉陵广场,3室2厅 | 114.34平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,62.6,"5,475元/平"
西山秘境精装电梯房，价格低朝向好楼层适中。,阳光西山秘境 -西山风景区,3室2厅 | 83平米 | 东南 | 精装 | 中楼层(共27层)  | 暂无数据,1人关注 / 5个月以前发布,51,"6,145元/平"
南门坝恒河小区精装修急于出售。。,南门北街16号 -南门坝,2室2厅 | 60平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,41人关注 / 7个月以前发布,26.4,"4,400元/平"
"户型方正.正朝小区中庭，视野采光很好,房东诚心出售",阳光西山秘境 -西山风景区,3室1厅 | 81.92平米 | 东南 南 西南 | 精装 | 高楼层(共27层)  | 暂无数据,1人关注 / 4个月以前发布,58,"7,081元/平"
大四房配套成熟中间楼层居住环境舒适,南湖凯旋广场 -南湖,4室2厅 | 103平米 | 东 东南 南 西南 西 | 毛坯 | 中楼层(共32层)  | 塔楼,2人关注 / 3个月以前发布,62,"6,020元/平"
希望城精装三房 无高税 拎包入住,希望城二区 -南湖,3室2厅 | 101.97平米 | 南 | 精装 | 高楼层(共22层)  | 塔楼,2人关注 / 8个月以前发布,66.5,"6,522元/平"
柏林春天6+1顶跃 产权大 实得大 有钥匙 欢迎实地看房,柏林春天 -市政新区,4室3厅 | 143.19平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,42人关注 / 7个月以前发布,59.8,"4,177元/平"
西师负小中间楼层，配套成熟，拎包入住，什么都方便。,宁安巷210号 -北湖公园,3室2厅 | 122平米 | 东南 | 简装 | 低楼层(共9层)  | 板楼,7人关注 / 一年前发布,60,"4,919元/平"
大北街精装两房急售  二楼低层出行方便,大北街209号 -滨江大道,2室2厅 | 70平米 | 东南 | 精装 | 中楼层(共4层)  | 平房,11人关注 / 8个月以前发布,29.8,"4,258元/平"
户型方正，可用面积大，采光好，配套齐全。,蓝光香江国际二期六区 -西山风景区,4室1厅 | 107平米 | 东 | 毛坯 | 高楼层(共20层)  | 塔楼,7人关注 / 4个月以前发布,50.8,"4,748元/平"
江东大道清水三房 配套齐全 交通方便  一个字形容 好,幸福里 -江东大道,3室1厅 | 98平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,36人关注 / 11个月以前发布,54,"5,511元/平"
房东诚心卖    电梯房     配套齐全,王府花园 -嘉陵广场,4室2厅 | 122平米 | 南 | 简装 | 中楼层(共16层)  | 塔楼,2人关注 / 4个月以前发布,60,"4,919元/平"
南高嘉陵政府旁状元小區地中海蓝，大三室两厅两卫,地中海蓝 -嘉陵广场,3室2厅 | 124.5平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,68,"5,462元/平"
户型方正.，房东诚心出售，视野采光很好.,阳光西山秘境 -西山风景区,3室2厅 | 88.02平米 | 东南 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,56,"6,363元/平"
配套成熟，拎包入住，低楼层，小区安静,川中监狱高坪家属区 -川东北金融中心,3室2厅 | 95.78平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,46,"4,803元/平"
新上好房海山半岛 正规四房带花园,海山半島花園 -西山风景区,4室2厅 | 158平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板塔结合,26人关注 / 一年前发布,56.8,"3,595元/平"
春风紫金港 3室2厅 南 北,春风紫金港 -川东北金融中心,3室2厅 | 102平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,81,"7,942元/平"
紫金港朝南户型，看小区中庭，房东急售，价格可谈,春风紫金港 -川东北金融中心,3室2厅 | 111.3平米 | 东南 | 毛坯 | 中楼层(共26层)  | 塔楼,6人关注 / 4个月以前发布,80,"7,188元/平"
丰登路113号院 3室2厅 东,丰登路113号院 -金泉路,3室2厅 | 111平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,59.8,"5,388元/平"
下中坝金融中 心旁空房套三，看房方便,万科·金润华府三期 -川东北金融中心,3室2厅 | 84.41平米 | 西 | 简装 | 高楼层(共33层)  | 暂无数据,5人关注 / 一年前发布,50,"5,924元/平"
此房满五年，小区中庭，采光好 户型方正 无浪费面积,香洲郡 -嘉陵广场,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,3人关注 / 1个月以前发布,49.9,"4,578元/平"
蓝光香江国际二期清水三房，房东诚意出售。,蓝光香江国际二期四区 -西山风景区,3室2厅 | 95.58平米 | 东南 | 毛坯 | 低楼层(共30层)  | 塔楼,10人关注 / 9个月以前发布,52,"5,441元/平"
此房户型方正，小区环境优美。中南品质大盘。,中南漫悦湾二期 -都京坝,4室2厅 | 148平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,99,"6,690元/平"
江景房，中间楼层，视野开阔，无高税,碧桂园 -文峰,3室2厅 | 105平米 | 东北 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,54,"5,143元/平"
果城路 区政府院 三楼 停车方便,果城路区政府院 -人民花园,3室2厅 | 90平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,62,"6,889元/平"
五桥头江景房，中南大盘，边户，一线江景房，看得远,中南春江阅 -江东大道,3室2厅 | 99.15平米 | 西南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 6个月以前发布,71,"7,161元/平"
视野宽阔 采光充足 面积很大 绿化高,星光苑 -火车站,3室1厅 | 118.95平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,46.4,"3,901元/平"
位于五星花园 可以简单的停车，不临街，视野开阔,文化路38号 -五星花园,3室2厅 | 86.4平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,36,"4,167元/平"
小区正中庭位置，精装修，楼层好  诚心急售,蓝光·香江国际 -南门坝,3室2厅 | 129.18平米 | 东南 | 精装 | 中楼层(共41层)  | 塔楼,1人关注 / 1个月以前发布,98,"7,587元/平"
滨江大道 胜利路33号 盐业局单位房 4楼精装两室,胜利路33号 -人民花园,2室2厅 | 65平米 | 西南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,29,"4,462元/平"
步梯好楼层，带产权车位，物美价廉,祥和小区(群兴南路) -南充北站,3室2厅 | 98平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,6人关注 / 5个月以前发布,23,"2,347元/平"
蝶院 3室2厅 东南,蝶院 -江东大道,3室2厅 | 104.2平米 | 东南 | 精装 | 低楼层(共29层)  | 板塔结合,2人关注 / 1个月以前发布,66,"6,334元/平"
市政新区 恒河常春藤 套三双卫 洋房采光好,恒河·常春藤大院 -市政新区,3室2厅 | 105平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼,11人关注 / 6个月以前发布,51.5,"4,905元/平"
蓝光二期精装三房 户型采光良好 配套成熟,蓝光香江国际二期 -西山风景区,3室2厅 | 99.5平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 1个月以前发布,73.8,"7,418元/平"
上河湾三期 精装修 基本没住过 采光好 欲购从速,交投置地上河湾三期 -川东北金融中心,3室2厅 | 89.7平米 | 东南 | 精装 | 中楼层(共23层)  | 塔楼,3人关注 / 2个月以前发布,69,"7,693元/平"
清泉坝精装修经典三房。小区新颖居住吴压抑感,蓝光COCO香江2期 -清泉坝,3室2厅 | 81平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 2个月以前发布,61.5,"7,593元/平"
五星花园，大三房，教育资源丰富，出行方便,文华巷47号 -未知商圈,3室2厅 | 94.68平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,6人关注 / 4个月以前发布,32,"3,380元/平"
阳春路，抬高一楼带花园，学市场近，有小区可停车，,上上城小区 -安汉广场,3室2厅 | 115平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 6个月以前发布,58.8,"5,114元/平"
安汉广场 近两年的新小区 精装套三双卫 未入住 急售,阳光天誉 -安汉广场,3室1厅 | 82.5平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,3人关注 / 6个月以前发布,52,"6,304元/平"
此房无高税 户型方正 房东诚心卖 地段不用说,玉屏花苑 -西山风景区,3室2厅 | 125.44平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,39.5,"3,149元/平"
正南朝向，江景房，户型方正，楼下就是公园,江东华府 -江东大道,3室1厅 | 98.31平米 | 东南 | 其他 | 高楼层(共26层)  | 塔楼,7人关注 / 5个月以前发布,61,"6,205元/平"
