标题,开发商,房子信息,发布信息,售价/万,单价
盛和园 3室2厅 东南,盛和园 -赤坎开发区,3室2厅 | 102平米 | 东南 | 毛坯 | 中楼层(共36层)  | 塔楼,0人关注 / 29天以前发布,133,"13,040元/平"
华盛城市花园 3室2厅 东,华盛城市花园 -金城片区,3室2厅 | 100平米 | 东 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,130,"13,000元/平"
帝景银湾 4室1厅 北,帝景银湾 -金城片区,4室1厅 | 92平米 | 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 6个月以前发布,125,"13,587元/平"
帝景银湾 4室2厅 东南,帝景银湾 -金城片区,4室2厅 | 108.42平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,137,"12,637元/平"
此房朝向好，户型好，采光充足，使用率高，户型方正。,荣盛华府 -赤坎开发区,5室2厅 | 143平米 | 东南 东 | 毛坯 | 低楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,168,"11,749元/平"
业主价格便宜出售  高升工作发展 看房方便,恒大帝景 -赤坎开发区,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,7人关注 / 一年前发布,117,"11,360元/平"
海静小区 3室2厅 东,海静小区 -海滨片区,3室2厅 | 97.03平米 | 东 | 简装 | 高楼层(共9层)  | 板楼,3人关注 / 5个月以前发布,45,"4,638元/平"
雅仕居 3室2厅 南 北,雅仕居 -城市美林片区,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,98,"10,000元/平"
金沙湾社区中层三房 满五唯一 南北双向花园 上学方便,金沙湾一期陶然居 -金沙湾片区,3室2厅 | 99平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,80,"8,081元/平"
华盛城市花园 4室2厅 东南,华盛城市花园 -金城片区,4室2厅 | 99平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,1人关注 / 2个月以前发布,155,"15,657元/平"
人民路29号 3室2厅 东南,人民路29号 -遂溪县,3室2厅 | 82平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,25,"3,049元/平"
有小区管理，采光充足，楼层好，视野宽阔,绿村路16号之一 -鼎盛片区,3室2厅 | 82平米 | 东 | 简装 | 低楼层(共9层)  | 暂无数据,1人关注 / 3个月以前发布,48,"5,854元/平"
十二中宿舍楼 3室2厅 东南,十二中宿舍楼 -东风片区,3室2厅 | 78.47平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,36,"4,588元/平"
鼎能•东盟城 精装四房 配套齐全 看房方便,鼎能•东盟城 -京基片区,4室2厅 | 105平米 | 东 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,105,"10,000元/平"
盛和园 3室2厅 南,盛和园 -赤坎开发区,3室2厅 | 104平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,1人关注 / 3个月以前发布,135,"12,981元/平"
幸福花苑 南北对流 精装3房 视野开阔 客餐分离,幸福花苑 -百园片区,3室2厅 | 106.25平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 1个月以前发布,56,"5,271元/平"
华都汇 2室2厅 南 北,华都汇 -城市假日片区,2室2厅 | 88.16平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 塔楼,3人关注 / 5个月以前发布,95,"10,776元/平"
绿林路5号 2室2厅 西,绿林路5号 -国贸中心区,2室2厅 | 104.3平米 | 西 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,31.9,"3,059元/平"
户型方正，交通便利，配套成熟，购物生活方便,南亚郦都四期 -麻章区,3室2厅 | 96平米 | 东南 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 3个月以前发布,52,"5,417元/平"
南亚郦都四期 2室1厅 南,南亚郦都四期 -麻章区,2室1厅 | 54平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 23天以前发布,33,"6,112元/平"
东新豪园 诚心出售随时签约 看房方便,东新豪园 -南站片区,3室2厅 | 108平米 | 东南 | 精装 | 中楼层(共21层)  | 塔楼,3人关注 / 7个月以前发布,95,"8,797元/平"
开发区城芯成熟小区江南世家 中楼层四房诚心出售,江南世家 -城市假日片区,4室2厅 | 106平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,3人关注 / 7个月以前发布,135,"12,736元/平"
中国海关 3室2厅 南,中国海关 -城市美林片区,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共10层)  | 板塔结合,0人关注 / 2个月以前发布,70,"5,834元/平"
锦绣华景复式  小区管理好  绿化多,锦绣华景一二期 -城市假日片区,3室3厅 | 155平米 | 北 | 精装 | 高楼层(共8层)  | 板楼,63人关注 / 一年前发布,89,"5,742元/平"
农垦东院 3室1厅 东南,农垦东院 -湿地公园片区,3室1厅 | 73平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,42,"5,754元/平"
中间靓楼层南北对流通透大四房业主精装修,盛和园 -赤坎开发区,4室2厅 | 134平米 | 东 西 | 精装 | 中楼层(共37层)  | 板塔结合,2人关注 / 6个月以前发布,175,"13,060元/平"
业主诚意出售带前后花园的精改二层复式洋楼,华盛新城 -金城片区,5室3厅 | 230平米 | 东南 北 | 精装 | 低楼层(共12层)  | 板塔结合,19人关注 / 8个月以前发布,190,"8,261元/平"
公园一号全园景 大3房   全新装修   看房方便,公园一号 -赤坎开发区,3室2厅 | 141.96平米 | 东 西 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 6个月以前发布,159,"11,201元/平"
南國豪苑 5室2厅 东,南國豪苑 -赤坎开发区,5室2厅 | 162平米 | 东 | 精装 | 低楼层(共31层)  | 板塔结合,4人关注 / 10个月以前发布,305,"18,828元/平"
碧绿花园一期正规三房两厅 户型方正 业主诚意出售,碧绿花园一期 -湿地公园片区,3室2厅 | 127平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,38人关注 / 一年前发布,73,"5,749元/平"
万达繁华商圈，生活便利，市区休闲娱乐好去处,荣盛华府 -赤坎开发区,4室2厅 | 126平米 | 东南 | 精装 | 高楼层(共38层)  | 板塔结合,1人关注 / 1个月以前发布,155,"12,302元/平"
荣盛华府 南向三房 中间楼层 业主诚心出售,荣盛华府 -赤坎开发区,3室2厅 | 87.36平米 | 南 | 毛坯 | 中楼层(共38层)  | 板塔结合,0人关注 / 1个月以前发布,110,"12,592元/平"
新澳城市花园2+1房，花园式小区，满五唯一免个税,新澳城市花园 -新澳城市花园片区,3室2厅 | 81.49平米 | 东南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 7个月以前发布,102,"12,517元/平"
计生委宿舍 2室1厅 东南,计生委宿舍 -国贸中心区,2室1厅 | 88平米 | 东南 | 精装 | 高楼层(共9层)  | 板楼,2人关注 / 一年前发布,32,"3,637元/平"
业主急售，有客快推，价格可商量,顺江帝景城 -京基片区,3室2厅 | 155平米 | 东 | 毛坯 | 高楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,220,"14,194元/平"
满五唯一，刚需小两房，含电动车位，业主自住，急售！,泰汇广场 -工农片区,2室1厅 | 64平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,13人关注 / 7个月以前发布,57.8,"9,032元/平"
满五年 税费少 诚心卖 装修保养好,荣基花园 -海滨片区,4室2厅 | 167平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,6人关注 / 一年前发布,136,"8,144元/平"
西粤京基城三期 5室1厅 南,西粤京基城三期 -赤坎开发区,5室1厅 | 171平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,6人关注 / 7个月以前发布,255,"14,913元/平"
锦华海滨花园 4室2厅 南,锦华海滨花园 -城市假日片区,4室2厅 | 155平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,5人关注 / 7个月以前发布,100,"6,452元/平"
瞧过来，降37万着急pao售，城市假日E区5房，两梯两户,城市假日花园E区一期 -城市假日片区,5室2厅 | 175.6平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,2人关注 / 1个月以前发布,220,"12,529元/平"
公园房，配套完善，万达商圈，南北对流,御景珺庭A区 -赤坎开发区,4室2厅 | 148平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 塔楼,3人关注 / 10个月以前发布,190,"12,838元/平"
西粤京基城三期 精装四房 配套齐全 看房方便,西粤京基城三期 -赤坎开发区,5室2厅 | 138平米 | 东 | 精装 | 中楼层(共30层)  | 板塔结合,10人关注 / 6个月以前发布,165,"11,957元/平"
满五唯一免个税，伟城海丰花园三房电梯房，看房方便,伟城海丰花园 -南站片区,3室2厅 | 108.9平米 | 南 北 | 简装 | 低楼层(共9层)  | 板塔结合,3人关注 / 3个月以前发布,73,"6,704元/平"
新澳    此房干净整洁，空间利用合理,新澳城市花园 -新澳城市花园片区,4室2厅 | 95平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,6人关注 / 一年前发布,122,"12,843元/平"
装修保养很好，可拎包入住。户型方正，交通便利,公积金宿舍 -海滨片区,3室2厅 | 99平米 | 东南 南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 3个月以前发布,71,"7,172元/平"
繁华地段 、小区环境优美3、物业管理规范,保利·原景花园 -工农片区,4室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,110,"9,017元/平"
澳海城  小区管理好  园林大   户型方正,澳海城 -赤坎开发区,3室2厅 | 111平米 | 北 | 精装 | 高楼层(共29层)  | 板塔结合,4人关注 / 6个月以前发布,156,"14,055元/平"
南亚郦都四期 3室2厅 东,南亚郦都四期 -麻章区,3室2厅 | 98.16平米 | 东 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 30天以前发布,63,"6,419元/平"
南亚郦都一期 2室2厅 南 北,南亚郦都一期 -麻章区,2室2厅 | 92平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 18天以前发布,55,"5,979元/平"
金沙湾三期海怡园 3室2厅 南,金沙湾三期海怡园 -金沙湾片区,3室2厅 | 130.9平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 24天以前发布,87,"6,647元/平"
新世纪花园 2室2厅 东南,新世纪花园 -鼎盛片区,2室2厅 | 62平米 | 东南 | 精装 | 高楼层(共9层)  | 板塔结合,2人关注 / 23天以前发布,45,"7,259元/平"
此房装修保养很好，可以拎包入住,园林处宿舍（民享西一路） -国贸中心区,3室2厅 | 79平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,48,"6,076元/平"
赤坎开发区京基住宅片区 中楼层看花园 南北对流大四房,西粤京基城二期 -赤坎开发区,4室2厅 | 144平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,174,"12,084元/平"
