标题,开发商,房子信息,发布信息,售价/万,单价
伽蓝艺墅 2室2厅 南,伽蓝艺墅 -邯山区,2室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 15天以前发布,104,"9,044元/平"
美的·拉德芳斯北区 3室2厅 南,美的·拉德芳斯北区 -丛台区,3室2厅 | 120.29平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,145,"12,055元/平"
地质苑，一层带40平小院，老证,中煤地质局家属院 -丛台区,3室2厅 | 70.04平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 22天以前发布,86,"12,279元/平"
市一招院 2室1厅 南,市一招院 -丛台区,2室1厅 | 44.37平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,48,"10,819元/平"
文庙社区 2室1厅 南,文庙社区 -丛台区,2室1厅 | 45.87平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 21天以前发布,49,"10,683元/平"
广泰小区  南北通透 中间楼层 可贷款税费低,广泰小区 -丛台区,3室2厅 | 94平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 25天以前发布,115,"12,235元/平"
广泰小区 4室2厅 北 南,广泰小区 -丛台区,4室2厅 | 128平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 26天以前发布,140,"10,938元/平"
光明南大街60号院 3室2厅 南 北,光明南大街60号院 -邯山区,3室2厅 | 156.9平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,135,"8,605元/平"
宏达名都花园9层洋房带电梯一梯两户公摊小,宏达名都花园 -邯山区,3室2厅 | 174.24平米 | 南 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 19天以前发布,180,"10,331元/平"
恒大翡翠华庭 3室2厅 南 北,恒大翡翠华庭 -丛台区,3室2厅 | 140平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,160,"11,429元/平"
宏达名都花园9层洋房带电梯一梯两户公摊小,宏达名都花园 -邯山区,3室2厅 | 174.24平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 19天以前发布,185,"10,618元/平"
荣盛阿尔卡迪亚蓝天城 3室2厅 南 北,荣盛阿尔卡迪亚蓝天城 -邯山区,3室2厅 | 117.41平米 | 南 北 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 21天以前发布,120,"10,221元/平"
揽和园 3室2厅 南 北,揽和园 -邯山区,3室2厅 | 106平米 | 南 北 | 简装 | 中楼层(共21层)  | 暂无数据,0人关注 / 18天以前发布,118,"11,133元/平"
三中 中华大街 和平路 三居 好楼层   随时看房！,邮政院 -丛台区,3室1厅 | 68.54平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,76,"11,089元/平"
曙光4小 25中本部 精装修南北通透 带小房,华联院 -丛台区,2室2厅 | 60.02平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,70,"11,663元/平"
大型社区，低楼层，南北通透三居室老证可贷款带小房,春晖小区(丛台区) -丛台区,2室2厅 | 74平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,91,"12,298元/平"
水利局老院 2室1厅 南 北,水利局老院 -邯山区,2室1厅 | 50.53平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 17天以前发布,49,"9,698元/平"
万浩家园 2室2厅 南,万浩家园 -邯山区,2室2厅 | 98平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,100,"10,205元/平"
运福院 3室2厅 南,运福院 -邯山区,3室2厅 | 73平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 9天以前发布,69,"9,453元/平"
复兴区，赵苑中X 东边，看房方便 可贷款,中煤特凿处家属院东院 -复兴区,2室1厅 | 51.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,34,"6,547元/平"
矿院，工程大学，光明街，2居，单价8500,邯郸市邯山区矿院西街农资院 -邯山区,2室1厅 | 56平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42,"7,500元/平"
丰源小区 3室2厅 南 北,丰源小区 -丛台区,3室2厅 | 98.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,105,"10,660元/平"
棉一生活区 2室1厅 南 北,棉一生活区 -邯山区,2室1厅 | 61平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,62,"10,164元/平"
化工1居委楼 2室1厅 东,化工1居委楼 -复兴区,2室1厅 | 51.85平米 | 东 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,40,"7,715元/平"
贸易街99号院 2室1厅 南,贸易街99号院 -邯山区,2室1厅 | 57.2平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,50,"8,742元/平"
紫光苑 3室2厅 南 北,紫光苑 -邯山区,3室2厅 | 116.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,130,"11,185元/平"
阳光欧尚 5室2厅 南,阳光欧尚 -丛台区,5室2厅 | 241平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,290,"12,034元/平"
天兆花园(丛台区) 3室2厅 南 北,天兆花园(丛台区) -丛台区,3室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 23天以前发布,110,"9,017元/平"
美乐城龙湖 广泰新装修三居室 诚心出售 采光好通风好,广泰小区 -丛台区,3室2厅 | 116平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 25天以前发布,120,"10,345元/平"
龙湖旁广厦小区南北三居室老证可贷款环境好,广厦小区 -丛台区,3室2厅 | 87平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,106,"12,184元/平"
人和小区一期 3室2厅 南 北,人和小区一期 -丛台区,3室2厅 | 133平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,196,"14,737元/平"
黄 金次顶层，满五唯一，价格带车位，带地下室,锦花小区 -复兴区,3室2厅 | 146平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 18天以前发布,145,"9,932元/平"
恒大翡翠华庭 3室2厅 南,恒大翡翠华庭 -丛台区,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 31天以前发布,168,"12,263元/平"
房主急售！南北通透三居室老证唯一可贷款带地下室！,狮城阳光 -丛台区,3室1厅 | 170平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,269,"15,824元/平"
盛海蓝郡 3室2厅 南 北,盛海蓝郡 -丛台区,3室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,100,"6,667元/平"
黎明街小，学，23中，，，，，，，，,市审计局住宅 -丛台区,3室2厅 | 82平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,94,"11,464元/平"
隆德园小区 4室2厅 东 西,隆德园小区 -邯山区,4室2厅 | 131平米 | 东 西 | 简装 | 高楼层(共10层)  | 板楼,0人关注 / 27天以前发布,115,"8,779元/平"
金科碧桂园翡翠郡 5室3厅 南 北,金科碧桂园翡翠郡 -邯山区,5室3厅 | 265平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 31天以前发布,560,"21,133元/平"
荣盛锦绣花苑 看房方便 有证可贷款  物业费低！,荣盛锦绣花苑 -丛台区,3室2厅 | 139.63平米 | 南 北 | 精装 | 低楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,175,"12,534元/平"
荣盛阿尔卡迪亚碧水湾 3室2厅 南 北,荣盛阿尔卡迪亚碧水湾 -邯山区,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 13天以前发布,142,"10,924元/平"
邯山区绿化南路甲35号院 3室2厅 南 北,邯山区绿化南路甲35号院 -邯山区,3室2厅 | 90.8平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,91,"10,023元/平"
百家新城先锋苑 2室2厅 南,百家新城先锋苑 -复兴区,2室2厅 | 108平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 13天以前发布,90,"8,334元/平"
金丰裕园三室两厅105平面120万精装带家具家电南北通透,金丰裕园 -复兴区,3室2厅 | 105.4平米 | 南 北 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 15天以前发布,120,"11,386元/平"
苹果怡园 3室2厅 南 北,苹果怡园 -丛台区,3室2厅 | 131.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,126,"9,582元/平"
连城别苑美墅 4室2厅 南 北,连城别苑美墅 -丛台区,4室2厅 | 220平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,460,"20,910元/平"
泰祥小区 3室2厅 南 北,泰祥小区 -丛台区,3室2厅 | 90平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,100,"11,112元/平"
百家乐园生活小区（A区） 3室2厅 南 北,百家乐园生活小区（A区） -复兴区,3室2厅 | 95.7平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 16天以前发布,80,"8,360元/平"
荣盛阿尔卡迪亚蓝天城 4室2厅 南 北,荣盛阿尔卡迪亚蓝天城 -邯山区,4室2厅 | 150平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 17天以前发布,170,"11,334元/平"
陵园路89号院 2楼 3室 绿化路 3中 看房方便 一三八,陵园路89号院 -邯山区,3室1厅 | 61.33平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 12天以前发布,51,"8,316元/平"
邯峰小区 3室2厅 南 北,邯峰小区 -邯山区,3室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 12天以前发布,96,"10,213元/平"
滏新家园 3室2厅 南 北,滏新家园 -丛台区,3室2厅 | 136平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,176,"12,942元/平"
罗兰春天 5室2厅 南 北,罗兰春天 -丛台区,5室2厅 | 220平米 | 南 北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 11天以前发布,450,"20,455元/平"
老证 精装 通透三居室  房证满两年 可以贷款,嘉大如意 -丛台区,3室2厅 | 136.85平米 | 北 南 | 其他 | 低楼层(共29层)  | 暂无数据,0人关注 / 9天以前发布,103,"7,527元/平"
龙盘锦绣 3室2厅 南 北,龙盘锦绣 -丛台区,3室2厅 | 115平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 9天以前发布,140,"12,174元/平"
报社家属院 3室2厅 南,报社家属院 -邯山区,3室2厅 | 111.5平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,110,"9,866元/平"
邯钢罗一生活区 3室2厅 南 北,邯钢罗一生活区 -邯山区,3室2厅 | 107.69平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 9天以前发布,105,"9,751元/平"
广安小区 3室2厅 南 北,广安小区 -丛台区,3室2厅 | 87平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 9天以前发布,110,"12,644元/平"
邯山南大街乙130号院 2室1厅 东 西,邯山南大街乙130号院 -邯山区,2室1厅 | 66平米 | 东 西 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 31天以前发布,57,"8,637元/平"
拉德芳斯两居室交房未住，毛坯房，看房方便，，，，,美的·拉德芳斯北区 -丛台区,2室2厅 | 96平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,110,"11,459元/平"
禽蛋公司家属院 2室2厅 南,禽蛋公司家属院 -邯山区,2室2厅 | 65.28平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,50,"7,660元/平"
美的精装交付，随时看房，业主 配 合过户,美的悦江府 -邯山区,3室2厅 | 107.04平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,2人关注 / 26天以前发布,126,"11,772元/平"
邯郸宾馆家属院 2室1厅 南,邯郸宾馆家属院 -丛台区,2室1厅 | 56平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,98,"17,500元/平"
四中家属院 3室2厅 南,四中家属院 -邯山区,3室2厅 | 97平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,85,"8,763元/平"
赵都新城光和园 2室2厅 南,赵都新城光和园 -邯山区,2室2厅 | 95.53平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 24天以前发布,102,"10,678元/平"
美的.拉德芳斯南区 4室2厅 东南 北,美的.拉德芳斯南区 -丛台区,4室2厅 | 190.47平米 | 东南 北 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 23天以前发布,225,"11,813元/平"
非顶，明厅，带10平地下室，好位置，户型好,广泰小区 -丛台区,2室1厅 | 68.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,84,"12,210元/平"
茂盛苑小区79号院 3室2厅 南 北,茂盛苑小区79号院 -邯山区,3室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,92,"9,893元/平"
赵都新城美和园 3室2厅 南 北,赵都新城美和园 -邯山区,3室2厅 | 92.7平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 19天以前发布,100,"10,788元/平"
高铁站未来城小高层96.8平77万有证可贷有钥匙,隆基泰和悦都 -丛台区,3室2厅 | 96.8平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,77,"7,955元/平"
丛台路甲五十号院 3室1厅 南 北,丛台路甲五十号院 -丛台区,3室1厅 | 73平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 29天以前发布,110,"15,069元/平"
荣盛阿尔卡迪亚蓝天城 3室2厅 南,荣盛阿尔卡迪亚蓝天城 -邯山区,3室2厅 | 116平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 18天以前发布,138,"11,897元/平"
陵园路锦绣苑，南北通透经典三居，干净整洁，采光充足,锦绣苑小区 -邯山区,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 18天以前发布,98,"10,889元/平"
市三建家属院 2室1厅 南,市三建家属院 -丛台区,2室1厅 | 46.5平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,45,"9,678元/平"
龙旺名城 视野开阔·············,龙旺名城 -邯山区,2室1厅 | 85.5平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 21天以前发布,78,"9,123元/平"
房主急售！中间楼层，南北通透两居室，老证带小房,郝庄巷44号 -丛台区,2室1厅 | 57.99平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,61,"10,520元/平"
金碧苑北区 3室1厅 南 北,金碧苑北区 -邯山区,3室1厅 | 103.29平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 15天以前发布,75,"7,262元/平"
汉成华都 3室2厅 南 北,汉成华都 -丛台区,3室2厅 | 157平米 | 南 北 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 12天以前发布,140,"8,918元/平"
劳动路3号院 2室2厅 南 北,劳动路3号院 -邯山区,2室2厅 | 58.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,55,"9,402元/平"
朝阳路11号院 3室1厅 南 北,朝阳路11号院 -丛台区,3室1厅 | 72.68平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 12天以前发布,78,"10,732元/平"
美的城 3室2厅 南 北,美的城 -邯山区,3室2厅 | 118.46平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 13天以前发布,140,"11,819元/平"
29中家属院 2室1厅 南 北,29中家属院 -邯山区,2室1厅 | 67平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,60,"8,956元/平"
蓝天金地 2室2厅 南 北,蓝天金地 -丛台区,2室2厅 | 109.95平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 11天以前发布,97,"8,823元/平"
赵都新城金和园 2室2厅 南,赵都新城金和园 -邯山区,2室2厅 | 88平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 12天以前发布,95,"10,796元/平"
邻中华大街、儿童医院、育华，蓝天金地小区，,蓝天金地 -丛台区,2室2厅 | 106.85平米 | 南 北 | 其他 | 低楼层(共13层)  | 暂无数据,0人关注 / 10天以前发布,85,"7,956元/平"
西小屯社区 2室2厅 南,西小屯社区 -复兴区,2室2厅 | 92.3平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 10天以前发布,35,"3,792元/平"
新兴家属院 3室1厅 南 北,新兴家属院 -丛台区,3室1厅 | 66平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 11天以前发布,125,"18,940元/平"
业主诚心出售，看房方便，户型方正，格局好，位置佳！,硝厂胡同四号院 -丛台区,3室2厅 | 168平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,140,"8,334元/平"
安泰小区  南北通透大三居  好楼层  看房方便,安泰小区 -复兴区,3室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,116,"9,831元/平"
西部美的城旁边 三层 大三居 南北通透 有证 能贷款！,锦辉小区 -复兴区,3室2厅 | 100.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,14人关注 / 一年前发布,68,"6,780元/平"
邯郸明珠花园B区 3室2厅 南 北,邯郸明珠花园B区 -邯山区,3室2厅 | 108.61平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,130,"11,970元/平"
罗城头 工程大学家属院 社区干净整洁 房子可贷款,河北工程大学家属院 -邯山区,3室1厅 | 69.69平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,70,"10,045元/平"
中华南！6层电梯洋房  大四居 精装未住！带家具！,南湖花园 -邯山区,4室2厅 | 139.98平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,190,"13,574元/平"
精装四房  品质住宅  次顶  采光视野好  荀子三小,碧桂园越溪府 -丛台区,4室2厅 | 143.5平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,3人关注 / 6个月以前发布,180,"12,544元/平"
钥匙房鑫域国际 四室三卫楼.王位置 可随意装修落地窗,鑫域国际 -丛台区,4室2厅 | 227.17平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 8个月以前发布,217,"9,553元/平"
政和小区 价格合适 电梯房 满五唯一 带地下室,政和小区二号院 -丛台区,3室2厅 | 152平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,154,"10,132元/平"
赵都新城绿和园 3室2厅 南 北,赵都新城绿和园 -邯山区,3室2厅 | 125.5平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,3人关注 / 9个月以前发布,130,"10,359元/平"
邯郸东南部成熟社区，浙商旁，配套成熟。,桃源山庄 -邯山区,2室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,96,"9,505元/平"
金碧苑北区 2室2厅 南 北,金碧苑北区 -邯山区,2室2厅 | 102.5平米 | 南 北 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,90,"8,781元/平"
