标题,开发商,房子信息,发布信息,售价/万,单价
南岗区 学府地铁好房 复旦街 哈西 枫蓝国际 采光充足,枫蓝国际 -哈西商圈,1室1厅 | 62.83平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 8个月以前发布,68,"10,823元/平"
福泰名苑 精装2室1厅 不底不顶 视野好 看房方便,福泰名苑 -动力区,2室1厅 | 81.35平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 11天以前发布,51,"6,270元/平"
会展商圈 泰海花园小区 通透户型 采光好 位置好,泰海花园小区 -南岗会展商圈,2室1厅 | 61.67平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,72,"11,676元/平"
汉兴街 6室2厅 东 南 西,汉兴街 -西大桥商圈,6室2厅 | 354.62平米 | 东 南 西 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 8天以前发布,185,"5,217元/平"
六顺街 一楼层 西向采光嘎嘎好 交通便利 拎包入住,六顺街 -菜艺商圈,1室1厅 | 32平米 | 西 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,24,"7,500元/平"
封闭高层小区 绿化好 拎包入住 看房方便 价格可谈,滨港水岸C区 -靖宇公园,2室1厅 | 68.95平米 | 西 | 精装 | 中楼层(共29层)  | 板楼,1人关注 / 6天以前发布,61,"8,847元/平"
珑瑞小区 三室南北通透明厅采光好楼层好,珑瑞小区 -尚志公园,3室1厅 | 84.38平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 15天以前发布,67.5,"8,000元/平"
玛克威商圈 大润发市 购物便利 离市四院近 24小时供热,滨江新城好民居 -玛克威,2室1厅 | 116.05平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 9个月以前发布,109,"9,393元/平"
中山名苑 封闭小区两室明厅 楼层好采光佳视野开阔,中山名苑 -菜艺商圈,2室1厅 | 96.45平米 | 西北 | 简装 | 中楼层(共25层)  | 板楼,10人关注 / 一年前发布,90,"9,332元/平"
群力中海紫御观邸 洋房137米满二毛坯小区中间随时看房,中海·紫御观邸 -群力新区,3室2厅 | 136.96平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,18人关注 / 5个月以前发布,225,"16,429元/平"
四史街 南北通透 两室明厅 格局板正 交通便利,四史街 -菜艺商圈,2室1厅 | 98.42平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,69.8,"7,093元/平"
公务员小区 南北通透 两室明厅 无冷不挡 不临街,河政花园（公务员小区） -公路大桥,2室2厅 | 93.46平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 一年前发布,87,"9,309元/平"
美丽洋房1带2复式，带花园，有地下，精装修没住过,美丽洋房小区 -松北商圈,3室2厅 | 186.15平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,70人关注 / 一年前发布,189,"10,154元/平"
三室一厅简单装修 出门就是地铁 房主诚心出售,丽景花园 -哈尔滨新区,3室1厅 | 155.77平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,4人关注 / 8个月以前发布,78.5,"5,040元/平"
安埠小区南区 南北通透  交通便利 繁华地段,安埠小区南区 -安埠商圈,3室1厅 | 80.45平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,6人关注 / 一年前发布,67.8,"8,428元/平"
大正莅江 婚装三室双卫  满二精装未住 楼层好 采光好,大正莅江二期 -松北商圈,3室2厅 | 128.1平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,11人关注 / 一年前发布,155,"12,100元/平"
满五唯一  南北通透  无冷不挡 户型好 不是顶楼,阳光绿色家园 -南岗会展商圈,3室2厅 | 163.76平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,86,"5,252元/平"
香树湾3室1厅精装修南北东大开间电梯房有钥匙满二,香树湾 -松北商圈,3室1厅 | 101.27平米 | 东 南 北 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 2个月以前发布,75,"7,406元/平"
房主急售 三室两卫 诚心出售可贷款,红星威尼斯庄园 -松北商圈,3室1厅 | 111.58平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,9人关注 / 一年前发布,92.8,"8,317元/平"
欧洲新城三室双卫单价一米一万中装格局板正,欧洲新城 -西大桥商圈,3室2厅 | 167.68平米 | 南 北 | 简装 | 高楼层(共27层)  | 板塔结合,6人关注 / 一年前发布,138,"8,230元/平"
此房满五没有大税；看房方便，房租诚心出售,新新怡园 -松北商圈,3室2厅 | 151.64平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,2人关注 / 3个月以前发布,116,"7,650元/平"
哈西保利颐和家园二室二厅101.18米88万,保利颐和家园 -哈西商圈,2室2厅 | 101.18平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,88,"8,698元/平"
盛世香湾 电梯洋房 大两室毛坯 装修都可以 小区环境好,盛世香湾 -松北商圈,3室2厅 | 113.81平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,76.8,"6,749元/平"
军转小区 楼层好 视野开阔 拎包入住 无冷不档！,三辅三道街27号 -菜艺商圈,3室2厅 | 138平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,15人关注 / 一年前发布,89.8,"6,508元/平"
此房为简装。 两室一厅 两室户型 包烧好,南十二道街 -阿拉伯广场,2室1厅 | 69.2平米 | 东 西 | 简装 | 中楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,45.3,"6,547元/平"
福顺尚都有车位车位10万三室双卫15楼中间楼层可公积金,福顺尚都 -哈西商圈,3室2厅 | 161.84平米 | 南 北 | 精装 | 23层  | 板楼,14人关注 / 一年前发布,170,"10,505元/平"
哈西东方新天地 两室一厅 中间楼层 诚意出售 看房方便,东方新天地 -哈西商圈,2室1厅 | 83.58平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,93,"11,128元/平"
采光好，不挡光，视野好，交通出行便利。,滨江新城好民居 -玛克威,2室1厅 | 61.43平米 | 西北 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 25天以前发布,49.8,"8,107元/平"
学院路 地铁口新区6校 一楼带50米花园 出行便利落地窗,师大嘉园 -哈尔滨新区,1室1厅 | 55.47平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 24天以前发布,45.8,"8,257元/平"
西大直街 和兴路 林兴路 通达街 学府路,汉元街 -西大桥商圈,2室1厅 | 50.47平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 27天以前发布,38,"7,530元/平"
奋斗，萧红，电梯房全天阳光，看房方便 ，适合居住,建设街 -花园铁岭继红校,2室1厅 | 172.71平米 | 西南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 4天以前发布,135,"7,817元/平"
欢乐颂小区 三室一厅 精装修 南北通透,华润欢乐颂 -松北商圈,3室1厅 | 123平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 7天以前发布,115,"9,350元/平"
西大直街铁路局满洲里街 1999年 团结 萧红 3楼 公积金,满洲里街 -团结萧红校哈站北秀宾馆,3室1厅 | 108.83平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,10人关注 / 一年前发布,115,"10,567元/平"
世茂都柏林 下证满两年，精装修，格局规整。,世茂都柏林 -松北商圈,3室2厅 | 123.69平米 | 南 北 东 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,107,"8,651元/平"
金安向日葵，两室两厅精装修，拎包入住。,金安·向日葵 -群力新区,2室2厅 | 117.71平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,10人关注 / 一年前发布,238,"20,220元/平"
满五唯一，房主诚心出售 封闭小区 两室明厅,龙信家园 -先锋路商圈,2室2厅 | 114.68平米 | 西 东 | 简装 | 低楼层(共22层)  | 板楼,0人关注 / 23天以前发布,85,"7,412元/平"
此房下证满两年，精装修，前排无遮挡，视野开阔。,万达华园 -松北商圈,2室1厅 | 92.32平米 | 南 | 精装 | 低楼层(共49层)  | 板楼,0人关注 / 24天以前发布,82,"8,883元/平"
"香中小区,封闭小区,2000以后,2室大明厅,",香中小区 -尚志公园,2室1厅 | 134.38平米 | 西南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 10天以前发布,68.8,"5,120元/平"
封闭小区，户型好，楼层采光视野好，欢迎咨询,上和城 -太平商圈,2室1厅 | 120.93平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 10天以前发布,115,"9,510元/平"
一个有诗意的小区，Ji品19楼。看房方便 着急卖~,凡尔赛诗城 -哈南商圈,2室1厅 | 72.59平米 | 东 西 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 15天以前发布,67.8,"9,341元/平"
世茂蓝屿 无增值税 视野开阔 配套齐全 交通便利,世茂蓝屿(世茂滨江新城三期) -松北商圈,2室2厅 | 119.41平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,102,"8,542元/平"
产权清晰，无遮挡，采光充足，配套设施全面，交通便利,大都会新天地五期 -哈尔滨新区,2室1厅 | 74.34平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,63.8,"8,583元/平"
信恒 虹桥 两室一厅 三楼 南北通透 拎包即住,信恒现代城 -南岗会展商圈,2室1厅 | 81.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,15人关注 / 一年前发布,82,"10,062元/平"
此房满5年 看房方便 视野好 无遮挡 生活便利 出行方便,祥和家园 -动力区,3室1厅 | 101.87平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,3人关注 / 3个月以前发布,77,"7,559元/平"
白毛小区 东风校 采光充足 横道市场 尚志公园,白毛小区 -尚志公园,2室1厅 | 102.79平米 | 西南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,73,"7,102元/平"
产权清晰，无遮挡，采光充足，配套设施全面，交通便利,伸马托斯卡纳 -哈尔滨新区,2室1厅 | 97平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4天以前发布,79.8,"8,227元/平"
地恒托斯卡纳四期 3室1厅 南,地恒托斯卡纳四期 -哈尔滨新区,3室1厅 | 74平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 12天以前发布,79.8,"10,784元/平"
北岸明珠，视野宽广，交通便利 诚心出售,北岸明珠 -松北商圈,3室2厅 | 152.66平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,18人关注 / 一年前发布,120,"7,861元/平"
世财滨江音乐花园 精装修未住 看房方便,世财滨江音乐花园 -松北商圈,3室2厅 | 174.61平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 3个月以前发布,129,"7,388元/平"
哈西中海雍景熙岸 南北通透三居室 双南卧室 精装 继红,中海·雍景熙岸 -哈西商圈,3室2厅 | 105.47平米 | 南 北 | 精装 | 34层  | 板楼,5人关注 / 2个月以前发布,158,"14,981元/平"
南北通透三居室，电梯楼，只能全款交易,劳动技师家属楼 -哈尔滨新区,3室1厅 | 140.14平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,20人关注 / 4个月以前发布,30,"2,141元/平"
万达秀园前排精装修三居室视野无遮挡全天采光,万达·秀园 -松北商圈,3室1厅 | 137.38平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,120,"8,735元/平"
丽景花园，地铁口，看房方便看房子随时,丽景花园 -哈尔滨新区,2室2厅 | 130.49平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,65,"4,982元/平"
松北新区 泓林金色地表 两室明厅 志华商圈 地铁公交,泓林金色地标 -哈尔滨新区,2室1厅 | 96.81平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 6个月以前发布,44.5,"4,597元/平"
保利一期 地铁口 精装未住 随时看房 有钥匙 满五唯一,保利观澜 -松北商圈,3室2厅 | 125.92平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 2个月以前发布,107,"8,498元/平"
海吉雅乐都 3室1卫 拎包入住 精装 可贷款,海吉雅·乐都 -哈尔滨新区,3室1厅 | 128平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 5个月以前发布,83,"6,485元/平"
绿园小区 4楼 南北通透 两室一厅,绿园小区 -省医院商圈,2室1厅 | 99.93平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,96.5,"9,657元/平"
会展商圈 开发区 盟科时代 封闭小区 电梯房,盟科时代 -龙塔,5室2厅 | 327平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,10人关注 / 5个月以前发布,239,"7,309元/平"
满二 精装修 家具家电全带 全天采光 中间层 诚心卖,汇锦庄园 -群力新区,4室1厅 | 217平米 | 南 北 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 5天以前发布,395,"18,203元/平"
钻石湾 精装  洋房  好楼层,钻石湾 -松北商圈,3室2厅 | 128.92平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,195,"15,126元/平"
富力江湾三室两厅户型 道里商圈 交通方便 拎包即住,富力江湾新城 -公路大桥,3室2厅 | 221平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 7天以前发布,470,"21,267元/平"
南北通透    采光视野好   精装修  无大税,龙鸿怡家 -松北商圈,4室2厅 | 181.84平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,139.9,"7,694元/平"
地恒托斯卡纳二期 2室1厅 南,地恒托斯卡纳二期 -哈尔滨新区,2室1厅 | 68平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 15天以前发布,39.8,"5,853元/平"
澜悦东方  新上房源  精装修  拎包入住  下楼地铁口,瀾悦東方 -动力区,2室1厅 | 88平米 | 东 西 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 15天以前发布,115,"13,069元/平"
哈西商圈 交通 购物方便 采光充足 视野开阔 入住率高,天悦国际 -哈西商圈,1室1厅 | 75平米 | 东 | 精装 | 22层  | 板楼,0人关注 / 9天以前发布,82,"10,934元/平"
滨港水岸D区 两室明厅 精装修 中间楼层,好民居滨港水岸D区 -靖宇公园,2室1厅 | 65平米 | 西北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 11天以前发布,56.8,"8,739元/平"
公滨路 红旗大街 5楼 东西通透采光好地点好,公滨路 -永泰商圈,2室1厅 | 48.84平米 | 东 西 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 10天以前发布,34.8,"7,126元/平"
二环里 爱丁堡 2010年封闭小区 电梯高层两室明厅H户型,爱丁堡 -建国公园,2室1厅 | 124.59平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 9天以前发布,102,"8,187元/平"
儿童公园 两室大明厅 精装修业主诚心出售,中和街 -儿童公园,2室1厅 | 61.06平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 3个月以前发布,56,"9,172元/平"
学院路地理信息产业园两室一厅三楼毛坯出售,地理信息产业园 -哈尔滨新区,2室1厅 | 87.01平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,34.8,"4,000元/平"
户型嘎嘎好。出门地铁口。采光晃眼,枫蓝国际 -哈西商圈,2室1厅 | 94.02平米 | 东 南 | 简装 | 32层  | 板楼,2人关注 / 6个月以前发布,103,"10,956元/平"
新新怡园小区 交通便利 小区环境好 居住舒适,新新怡园 -松北商圈,2室1厅 | 112.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,78,"6,946元/平"
万达华园 南北通透 两室拎包就能住 好楼层,万达华园 -松北商圈,2室1厅 | 92.7平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,95,"10,249元/平"
房子位置好香二39公园，地铁站比优特通乡商店,香坊大街 -尚志公园,2室1厅 | 72.17平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,1人关注 / 7个月以前发布,41,"5,682元/平"
人和名苑儿童公园 封闭小区 马家沟,人和名苑 -儿童公园,1室1厅 | 39.62平米 | 西北 | 精装 | 低楼层(共3层)  | 板楼,7人关注 / 一年前发布,54.8,"13,832元/平"
虹桥 会展商圈 地铁 红旗示范新区  淮河路 红旗大街,红旗示范新区 -南岗会展商圈,2室1厅 | 55.23平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,43,"7,786元/平"
学府名居经典位置好楼层八千多一米精致品牌装修,学府名居小区 -哈南商圈,1室1厅 | 41.1平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,34,"8,273元/平"
丽景花园 近地铁 环境好 格局板正 附带大花园,丽景花园 -哈尔滨新区,2室1厅 | 91平米 | 南 西 北 | 简装 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,69.5,"7,638元/平"
珠江路地铁口4楼两室一厅南北通透精装81米62.5万,嵩山路 -龙塔,2室1厅 | 80.74平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,62.5,"7,741元/平"
房主急售 没有毛病 看房方便 位置好,红旗示范新区 -南岗会展商圈,2室1厅 | 56.62平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,50.5,"8,920元/平"
学府名苑，封闭小区，绿化覆盖，地铁公交站，凯德商圈,学府名苑(南岗区) -师大附小沙曼小区,1室1厅 | 56.73平米 | 东 | 简装 | 高楼层(共29层)  | 板楼,0人关注 / 9个月以前发布,58.8,"10,365元/平"
香安街两室一厅低楼层，年限新可贷款,香安街 -菜艺商圈,2室1厅 | 76.12平米 | 东 西 | 简装 | 低楼层(共9层)  | 板楼,3人关注 / 一年前发布,48.8,"6,411元/平"
保利公园九号 两室 好楼层采光好 满五唯一,保利公园九号 -松北商圈,2室2厅 | 73.78平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,61.8,"8,377元/平"
欧美亚世界阳光2室电梯房采光好南精装修拎包入住可议,欧美亚世界阳光 -松北商圈,2室2厅 | 105.89平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,22人关注 / 一年前发布,57,"5,383元/平"
房主急售 此房满二年无大税 精装修 看房方便,裕赐俯季 -先锋路商圈,2室1厅 | 107.47平米 | 东 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,4人关注 / 7个月以前发布,149,"13,865元/平"
装修好 视野好 没有毛病 看房方便,红旗示范新区 -南岗会展商圈,1室1厅 | 37.11平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,42.8,"11,534元/平"
精装修南北通透三楼，儿童公园，地铁一号线,中和街 -儿童公园,2室1厅 | 55.46平米 | 北 东 | 精装 | 中楼层(共6层)  | 板楼,30人关注 / 6个月以前发布,42,"7,574元/平"
财智电梯 两室明厅 双地铁 双公园 可公积金贷,财智公馆 -公路大桥,2室1厅 | 52.06平米 | 东 | 简装 | 中楼层(共21层)  | 板楼,2人关注 / 9个月以前发布,44,"8,452元/平"
"商圈：学府凯德附和兴陪读,采光好，阳光楼层好供暖好",利兴小区 -师大附小沙曼小区,2室1厅 | 66.14平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,32人关注 / 11个月以前发布,41,"6,199元/平"
香树湾洋房，j精装修，步梯公摊小,香树湾 -松北商圈,2室1厅 | 97.16平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,85,"8,749元/平"
香安街 楼层好 视野开阔 拎包入住 无冷不档！！！！,香安街 -菜艺商圈,1室1厅 | 34.48平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,12人关注 / 一年前发布,18,"5,221元/平"
柏林四季精装修 拎包即住 家具家电齐全 看房有钥匙,柏林四季 -哈尔滨新区,2室1厅 | 84.7平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,52.8,"6,234元/平"
