标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
市中 市妇幼 琵琶王立交桥 精装三房 港九湾 证齐,港九湾 -洛王,3室2厅 | 137.8平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 7天以前发布,91.5,"6,641元/平"
天伦城洋房 一梯两户 带露台 复式电梯大六房 证齐可贷,天伦城 -天伦城,6室2厅 | 248.11平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 4天以前发布,140,"5,643元/平"
急售 沿湖路 毛坯电梯三房 7米阳台 东风湖全湖景,洞庭名邸 -九华山,3室2厅 | 105.91平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 26天以前发布,56,"5,288元/平"
步行街北辅道   路桥一公司 中装低层大三房带大杂物间,路桥一公司 -步行街,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 14天以前发布,54.6,"5,103元/平"
洞麻一区 3室2厅 南,洞麻一区 -岳纺,3室2厅 | 88.6平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,36,"4,064元/平"
八字门 王家河 园林小区 精装 采光好 满2 方便看房,中天· 维益家园 -八字门,3室2厅 | 124平米 | 南 北 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 8天以前发布,79.8,"6,436元/平"
精装大三房，户型周正，交通便利，上学方便。,金子湾春晖花园 -八字门,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 8天以前发布,88,"6,770元/平"
天伦国际，精装小两房，低价出售,天伦国际 -五里牌,2室2厅 | 93平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 8天以前发布,89,"9,570元/平"
青年中路 祥源城市之光 毛坯大四房 优价出售,祥源城市之光 -杨树塘,4室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 3天以前发布,145,"10,741元/平"
八字门 珍珠山   十五中园林小区精装三房诚心出售,星河国际 -八字门,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,81,"8,100元/平"
王家河畔 东城 熙园壹号 电梯四房 证满两年,熙园壹号 -八字门,4室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,6人关注 / 4个月以前发布,89.8,"6,415元/平"
八字门高档小区房-电梯中高层。,天邦新龙苑 -八字门,3室1厅 | 108平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,2人关注 / 6个月以前发布,71,"6,575元/平"
业主诚心出售，全屋精装，看中价格可谈,景凯阳光城 -新路口,3室2厅 | 117.05平米 | 南 北 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 11天以前发布,78.8,"6,733元/平"
沃尔玛铁路小区旁 精装两室两厅 证件齐全 接受贷款,泰和综合楼 -火车站,2室2厅 | 97.92平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 15天以前发布,27,"2,758元/平"
红日家园，电梯，纯板楼，精装三房,红日家园 -冷水铺,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 6天以前发布,58,"5,273元/平"
五里牌 水运小区 精装 两房两厅 3楼仅售49.8万,水运小区 -五里牌,2室2厅 | 87平米 | 东 西 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,49.8,"5,725元/平"
南湖壹号 4室2厅 南,南湖壹号 -南湖新区,4室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 2天以前发布,92,"6,716元/平"
王家河畔，恒大华府精装三房，拎包入住，可贷,长动社区 -冷水铺,3室2厅 | 66平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,11人关注 / 4个月以前发布,35,"5,304元/平"
小高层，全明三开间朝南，满二，洛王步步高 新天地,岳陽新天地 -洛王,3室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,0人关注 / 18天以前发布,65,"6,133元/平"
洛王步步高，次新楼盘毛坯三房，诚心出售，满2,辉祥家园 -洛王,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,51.8,"4,585元/平"
步行街东茅岭五里牌新路口火车站全新精装3房2厅,岳阳市水利水电勘测设计院 -五里牌,3室2厅 | 75.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,4人关注 / 3个月以前发布,48,"6,331元/平"
八字门 精装电梯三房 拎包入住 证齐可贷,宜居金石花园 -八字门,3室2厅 | 123.98平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,5人关注 / 一年前发布,92,"7,421元/平"
天伦国际 3室2厅 南,天伦国际 -五里牌,3室2厅 | 115.74平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 11天以前发布,106,"9,159元/平"
南湖地段，名门世家电梯毛坯三房，诚心出售满2,南湖·名門世家 -苗圃,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 9天以前发布,108,"8,710元/平"
东风湖富川，电梯精装三房。拎包入住，可贷满五,鸿景园 -岳纺,3室2厅 | 91平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 6天以前发布,65,"7,143元/平"
星浩汇景城 4室2厅 南,星浩汇景城 -八字门,4室2厅 | 146平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 8天以前发布,92,"6,302元/平"
东城恒源玖璋电梯精装四房，拎包入住，满2,恒源玖章 -八字门,4室2厅 | 128平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,115,"8,985元/平"
长炼小区   带电梯  精致三房，外带储藏室,长炼小区 -东升社区,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,62,"6,527元/平"
阳光美居 4室2厅 南 北,阳光美居 -冷水铺,4室2厅 | 125.41平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 23天以前发布,73,"5,821元/平"
八字门珍珠山，中南步梯精装三房，拎包入住，可贷,中南批发交易大市场 -八字门,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共4层)  | 板塔结合,1人关注 / 20天以前发布,56.8,"4,814元/平"
湖滨大道，南湖，千亩湖，南湖壹号,南湖壹号 -南湖新区,4室2厅 | 156.67平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 17天以前发布,109,"6,958元/平"
大润发天伦国际，电梯精装三房中层，诚心出售满2,天伦国际 -五里牌,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 19天以前发布,110,"9,822元/平"
八字门天邦钻石山精装三房诚心出售,天邦·钻石山 -八字门,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 29天以前发布,89.9,"6,760元/平"
五里牌  钢球厂单位房  三房带平台办公自住两相宜证齐,湖南钢球厂单位房 -五里牌,3室1厅 | 87.15平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,6人关注 / 7个月以前发布,42,"4,820元/平"
朝阳 步步高  尚书佳苑 毛坯大三房  电梯高层  带车位,尚书佳苑 -花板桥,3室2厅 | 130.08平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,93.8,"7,211元/平"
锦绣河山 王家河旁 湖景房 证满2急售 可贷款风景好,锦绣河山 -海棠社区,4室2厅 | 160平米 | 南 | 毛坯 | 高楼层(共7层)  | 平房,0人关注 / 9天以前发布,82,"5,125元/平"
宏润家園 3室2厅 南,宏润家園 -南湖新区,3室2厅 | 124.92平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,3人关注 / 3个月以前发布,74,"5,924元/平"
东茅岭一医院家属院 3室1厅 南,东茅岭一医院家属院 -火车站,3室1厅 | 78平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,49.8,"6,385元/平"
八字门，太阳桥市场，两证齐全，接受贷款,青年东路南218号 -八字门,3室2厅 | 100.57平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,17人关注 / 6个月以前发布,43,"4,276元/平"
岳阳大道，白杨坡，单位房，大三房,市政府蔬菜办生活区 -李家冲,3室2厅 | 130平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 14天以前发布,55,"4,231元/平"
东风湖 岳纺 视野开阔 阳光大三房 证件齐全满两年,碧水香樟 -岳纺,3室2厅 | 125.23平米 | 南 北 | 简装 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,81.8,"6,532元/平"
小区环境良好，地段好，交通方便,环球中心 -桥西,3室2厅 | 107.01平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,85,"7,944元/平"
巴陵中路648号 3室2厅 南,巴陵中路648号 -新路口,3室2厅 | 81.36平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 2个月以前发布,44.8,"5,507元/平"
湘岳兰庭 2室2厅 南,湘岳兰庭 -新路口,2室2厅 | 95.21平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 9天以前发布,62.8,"6,596元/平"
湘岳兰庭 3室2厅 南,湘岳兰庭 -新路口,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 12天以前发布,88,"6,154元/平"
五里牌 运通街 湘运大院 有院子 好停车 居4楼南北通透,运通街社区 -五里牌,3室2厅 | 91.75平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,6人关注 / 3个月以前发布,50,"5,450元/平"
八字门 中南批发大市场  精装四房出售,中南批发交易大市场 -八字门,4室2厅 | 144.42平米 | 南 北 | 精装 | 低楼层(共3层)  | 板塔结合,0人关注 / 5天以前发布,56,"3,878元/平"
玉林小区 4室2厅 南,玉林小区 -新路口,4室2厅 | 163.6平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,68,"4,157元/平"
南湖广场，岳宾小区，两房南北通透,岳宾小区 -南湖,2室2厅 | 64.79平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,36,"5,557元/平"
明辉佳苑 3室2厅 南,明辉佳苑 -五里牌,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 4天以前发布,68,"6,018元/平"
八字门  东城旁 单位房 金辉小区 精装三房,金辉小区 -八字门,3室2厅 | 149平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2天以前发布,88,"5,907元/平"
王家河大型小区 锦绣河山 4楼精装大三房 带杂物间,锦绣河山 -海棠社区,3室2厅 | 136.06平米 | 南 | 精装 | 中楼层(共7层)  | 平房,2人关注 / 1个月以前发布,75,"5,513元/平"
八字门 富兴地产 精装三房 证齐全可贷款 过户费低,富兴嘉城 -八字门,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,65.6,"5,248元/平"
金石花园，岳阳大道，八字门，金税洋,宜居金石花园 -八字门,3室2厅 | 127.81平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,85,"6,651元/平"
南湖螺丝港步行街东风广场治安大队家属房精装三房中层,东风广场治安支队家属区 -螺丝港,3室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 3个月以前发布,50,"5,264元/平"
洛王步步高，阳光美居电梯精装三房，诚心出售满2,阳光美居 -冷水铺,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8天以前发布,82,"6,508元/平"
七中 新路口 中建岳阳边 精装四房,景凯阳光城 -新路口,4室2厅 | 102平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 8天以前发布,81,"7,942元/平"
东风广场精装4房带2个平台楼层好停车方便,云梦路354号 -螺丝港,4室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 20天以前发布,63.8,"5,548元/平"
十五中   春晖花园三房两厅两卫，证齐满五年,金子湾春晖花园 -八字门,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共15层)  | 板塔结合,0人关注 / 27天以前发布,72,"6,000元/平"
环境优美，生态宜居，交通便利，采光良好，配套完备,碧桂园·凤凰城 -南湖新区,3室2厅 | 125.1平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 20天以前发布,65,"5,196元/平"
带杂物间 湖边上 小区环境很好，停车方便,朝阳小区 -花板桥,3室2厅 | 126平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 29天以前发布,85,"6,747元/平"
格局优雅 采光好 楼层好 视野开阔,望湖公寓 -南湖,2室2厅 | 95.61平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,60,"6,276元/平"
五里牌嘉龙公馆，精装三房保养就成新 高楼层视野开阔,君临嘉龙公馆 -五里牌,2室2厅 | 87.1平米 | 东 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 27天以前发布,81.8,"9,392元/平"
千庙湖湘天国际花园，步梯精装三房，拎包入住可贷,湘天国际花园 -苗圃,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 29天以前发布,79,"6,125元/平"
白杨坡 精装三房 复式结构 精装三房 过户费低可贷款,碧翠华庭 -李家冲,3室2厅 | 131.58平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,3人关注 / 25天以前发布,72,"5,472元/平"
五里牌嘉龙公馆，电梯精装三房，带小平台诚心出售,君临嘉龙公馆 -五里牌,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,2人关注 / 25天以前发布,71.5,"8,034元/平"
新路口电梯大三房 十二忠旁 证齐可贷款 随时看房,中国人寿大厦 -火车站,3室2厅 | 144平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,1人关注 / 30天以前发布,68,"4,723元/平"
珍珠山，北港新辉华府电梯精装三房。拎包入住，可贷,新輝華府 -八字门,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 18天以前发布,76.8,"7,046元/平"
恒大绿洲 3室1厅 南 北,恒大绿洲 -东站,3室1厅 | 111.78平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 12天以前发布,80,"7,157元/平"
八字门园林小区，天邦新龙苑电梯毛坯三房，满2,天邦新龙苑 -八字门,3室2厅 | 108平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 11天以前发布,65,"6,019元/平"
城东片区天邦钻石山 楼间距宽 毛坯大三房 证齐可贷,天邦·钻石山 -八字门,3室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 10天以前发布,75,"5,640元/平"
金辉小区东城小东边带车库打包毛坯,金辉小区 -八字门,4室2厅 | 169平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 15天以前发布,71,"4,202元/平"
板桥福邸 5室2厅 南 北,板桥福邸 -花板桥,5室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 10天以前发布,113,"8,433元/平"
洛王新天地藕塘坡社区中间楼层通透采光好拎包入住,藕塘坡社区 -洛王,3室2厅 | 100.68平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,42,"4,172元/平"
步行街，三房一厅，楼梯四楼出售,桥头社区 -步行街,3室1厅 | 71.38平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 24天以前发布,29.5,"4,133元/平"
岳陽新天地 2室1厅 南,岳陽新天地 -洛王,2室1厅 | 80平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 10天以前发布,42,"5,250元/平"
东风湖 步行街旁 单位房 倆房 证件齐全 就是贷款,洞麻二区 -岳纺,2室2厅 | 49平米 | 南 北 | 精装 | 中楼层(共5层)  | 平房,16人关注 / 8个月以前发布,29,"5,919元/平"
岳阳新天地 4房两厅两卫  接受贷款看房方便,岳陽新天地 -洛王,4室2厅 | 123.2平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,2人关注 / 5个月以前发布,71.8,"5,828元/平"
花板桥步步高，缤纷年华电梯精装三房，诚心出售，可贷,缤纷年华 -新路口,3室2厅 | 88平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 2个月以前发布,61.8,"7,023元/平"
港九湾 市妇幼旁 电梯精装修 楼层好 满五唯一诚心卖,港九湾 -洛王,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,11人关注 / 5个月以前发布,75.8,"7,019元/平"
岳阳新天地优质毛坯小3房诚心出售,岳陽新天地 -洛王,3室2厅 | 99.82平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,8人关注 / 3个月以前发布,53.5,"5,360元/平"
新路口市妇幼，步梯精装三房，拎包入住。楼层好，可贷,财富花园 -新路口,3室2厅 | 130.2平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 10个月以前发布,58.8,"4,517元/平"
王家河畔大型小区，滨水天悦电梯毛坯三房诚心出售满2,滨水天悦 -八字门,4室2厅 | 124.7平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,2人关注 / 4个月以前发布,75,"6,015元/平"
此房户型周朝南正，诚心出售，价格实惠，交通方便，,恒源玖章 -八字门,3室2厅 | 94平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,73,"7,766元/平"
凯旋城带车位便宜出售证件满2年 楼层好看房有钥匙,凯旋城 -八字门,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,88,"6,822元/平"
南湖美食街 螺丝港小区三房 证满两年 接受贷款,螺丝港小区 -螺丝港,3室2厅 | 95平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,47,"4,948元/平"
此房满五不唯一 出行方便  小区环境优美,东城雅苑 -东站,3室2厅 | 128.95平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,62,"4,809元/平"
小区环境优美，出行便利。楼层好，采光不错,中建彩虹阁 -新路口,2室2厅 | 90.92平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,1人关注 / 4个月以前发布,58,"6,380元/平"
此房满五，采光好，价格便宜，配套齐全，看房方便.,华兴食品饮料厂单位房 -步行街,3室1厅 | 70平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,18人关注 / 6个月以前发布,40.8,"5,829元/平"
市中 心成熟小区精装三房接受贷款,岳阳市中级人民法院法苑小区 -螺丝港,3室2厅 | 94.18平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,50,"5,309元/平"
此房为洋房，精装修，拎包入住。,尚阳香颂 -南湖新区,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,160,"11,765元/平"
南湖东风广场步行街六中带杂物间精装,岳阳市中级人民法院法苑小区 -螺丝港,3室2厅 | 94.4平米 | 南 北 | 精装 | 低楼层(共6层)  | 平房,0人关注 / 1个月以前发布,59.8,"6,335元/平"
尚书桃花源， 环境优美，精品装修低价,尚书▪桃花园 -鲤鱼嘴社区,4室2厅 | 154平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,90,"5,845元/平"
八字门 单价5千 满二 3楼 家具家电齐全,君临家园 -八字门,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,65.8,"5,875元/平"
贰拾宗旁 滨湖新境界精装三房只卖毛坯价 证齐可贷,滨湖•新境界 -南湖新区,3室2厅 | 117.05平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 26天以前发布,73,"6,237元/平"
农昌巷简装三房 证件齐全可以贷款35万急售可谈,农昌巷 -李家冲,3室2厅 | 101平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 26天以前发布,35.8,"3,545元/平"
金茂 东风湖  中层 2房  好停车,九龙堤小区 -九华山,2室2厅 | 62.42平米 | 北 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 5个月以前发布,34,"5,447元/平"
八字门园林小区，滨水天玺毛坯两房，诚心出售可贷,滨水天玺 -八字门,2室2厅 | 85.61平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 8天以前发布,48,"5,607元/平"
带阳光房 晚上仰望星空 冬天可以晒太阳,美的梧桐庄园 -东站,4室2厅 | 123平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,4人关注 / 1个月以前发布,81,"6,586元/平"
岳阳友阿国际广场 4室2厅 南,岳阳友阿国际广场 -步行街,4室2厅 | 156平米 | 南 | 毛坯 | 高楼层(共36层)  | 塔楼,3人关注 / 4个月以前发布,98,"6,283元/平"
遥望洞庭湖，观   望千亩湖，坐享美食街,湖景花园 -螺丝港,3室2厅 | 142平米 | 南 | 其他 | 低楼层(共16层)  | 塔楼,3人关注 / 一年前发布,90,"6,339元/平"
新路口立交桥妇幼旁湘岳兰庭精装3房20楼可贷款！,湘岳兰庭 -新路口,3室2厅 | 96.31平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,3人关注 / 3个月以前发布,68,"7,061元/平"
香樟園 4室2厅 南,香樟園 -八字门,4室2厅 | 148平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,75.6,"5,109元/平"
中航翡翠湾丨品质毛坯大三房 居家之选,中航·翡翠湾 -八字门,3室2厅 | 119平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,84,"7,059元/平"
抢！南湖广场 湖景 三房 名 门 世家两 梯三 户,南湖·名門世家 -苗圃,3室2厅 | 130.48平米 | 南 | 其他 | 低楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,135,"10,347元/平"
物业管理完善，采光良好，物业人员贴心，生活很方便,德龙东城华府 -八字门,4室2厅 | 126.73平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,83,"6,550元/平"
六中交警支队  东风广场旁  爱康医院生活方便,环宇伞厂家属楼 -桥西,3室2厅 | 89.38平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,6人关注 / 5个月以前发布,48,"5,371元/平"
八字门 园林小区 金科东方 四室洋房  五子头  急售,金科·集美东方 -八字门,4室2厅 | 130.78平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,2人关注 / 1个月以前发布,78,"5,965元/平"
金中环广场 3室2厅 南,金中环广场 -火车站,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,65,"6,133元/平"
站前路火车站，步梯精装大两房，诚心出售可贷,铁路生活小区 -火车站,2室2厅 | 70平米 | 南 | 精装 | 高楼层(共4层)  | 暂无数据,0人关注 / 23天以前发布,36.5,"5,215元/平"
花板桥步步高，步梯精装两房，诚心出售，可贷,板桥新村 -花板桥,2室2厅 | 57平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 17天以前发布,29.5,"5,176元/平"
长动 岳阳北站 简装两房带15平的杂物间，证齐可贷款,岳北车站家属区 -冷水铺,2室1厅 | 55平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 8天以前发布,22,"4,000元/平"
王家河畔 毛坯三房 证件齐全 山水一城 可贷款,山水一城 -冷水铺,3室2厅 | 99.22平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,4人关注 / 8个月以前发布,50.8,"5,120元/平"
此房带暖气，装修保养很好，因业主须资金周转低价出售,锦绣华城 -东升社区,2室2厅 | 86平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,65,"7,559元/平"
千庙湖恒大南湖半岛电梯精装三房，诚心出售，满2,恒大南湖半岛 -桥西,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 1个月以前发布,81.8,"7,575元/平"
螺丝港 幸福家园 精装修二楼，,幸福家园 -螺丝港,3室2厅 | 115平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 4个月以前发布,58,"5,044元/平"
