标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
上城景苑三室两厅双卫满五唯一楼层好精装修另有车位,上城景苑 -仁和区,3室2厅 | 107.08平米 | 东南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 23天以前发布,82,"7,658元/平"
炳草岗江景房，出行方便，生活便利，小区环境好,临亚家园 -电影院+中心广场,3室2厅 | 130.53平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,42.5,"3,256元/平"
自住三居室好房出售！交通便利！,龙箐花园小区 -九附二+九附六,3室2厅 | 97.41平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 20天以前发布,43,"4,415元/平"
春天花园一楼带花园 价钱可谈 房子保持好 看房方便,春天花园 -仁和区,4室2厅 | 150.63平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,115,"7,635元/平"
此房精装修，房屋方正，家具家电齐全，拎包入住,天娇名城 -瓜子坪,3室2厅 | 93.85平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,1人关注 / 15天以前发布,39,"4,156元/平"
急    急    急  房东离攀  外地发展  毛坯价格买精装,领誉一期 -仁和区,4室2厅 | 116.33平米 | 东南 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 13天以前发布,59.88,"5,148元/平"
西区二医院旁，三室两厅精装修电梯房保持好，有车位！,宗意书香御景 -玉泉,3室2厅 | 73.69平米 | 东 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 16天以前发布,48.1,"6,528元/平"
金海世纪城精装大两室保持好小区中庭,金海世纪城 -炳三区,2室2厅 | 72.78平米 | 东 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 4天以前发布,55,"7,558元/平"
竹湖园公园中间 台联旁边 五医院 西海岸,经协大厦 -竹湖园,2室2厅 | 58.48平米 | 南 北 | 简装 | 中楼层(共14层)  | 暂无数据,0人关注 / 5天以前发布,35,"5,985元/平"
此房满五不唯一 出行方便 户型方正 居住方便舒适。,观涛苑 -电影院+中心广场,2室2厅 | 91.95平米 | 东 东南 南 西南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,27.5,"2,991元/平"
户型方正  南北通透  出行方便楼层好出行方便房子满五,海棠花语 -米易县,3室2厅 | 104.43平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,66.8,"6,397元/平"
攀钢清香坪房区，三室92平，拎包入住,攀钢清香坪房区 -清香坪,3室1厅 | 92.49平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,27,"2,920元/平"
金域阳光 三期 精装小3室 全新装修 有钥匙,金域阳光 -炳三区,3室2厅 | 82.26平米 | 西南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,67,"8,145元/平"
此小区是金泰实业开发，小区绿化好，出行便利，安静,金泰天悦湾 -炳三区,3室2厅 | 104.23平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,3人关注 / 一年前发布,63,"6,045元/平"
海棠花语清水套三，商圈配套成熟，价格便宜看房方便。,海棠花语 -米易县,3室2厅 | 120.89平米 | 东南 | 毛坯 | 高楼层(共22层)  | 暂无数据,1人关注 / 4个月以前发布,77,"6,370元/平"
西区二医院家属楼，商品房双证齐全，三楼小区无物业费,梨康路8号 -清香坪,3室2厅 | 132平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,48.48,"3,673元/平"
炳三区42旁精装2室  户型方正   出行方便,金泰公园大地 -炳三区,2室2厅 | 73.5平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 2天以前发布,58,"7,892元/平"
炳三区菩提苑清水四室 楼层好视野开阔 绿化面积大,菩提苑 -炳三区,4室2厅 | 126.5平米 | 东南 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 3个月以前发布,85,"6,720元/平"
金域阳光带两个车位 带两个露台双阳台朝中庭视野板扎,金域阳光 -炳三区,5室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,114,"8,029元/平"
江山里精装两室江景房 拎包入住,江山里 -竹湖园,2室2厅 | 79平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 25天以前发布,40.8,"5,165元/平"
金海世纪城精装空房子带衣柜出售,金海世纪城 -炳三区,3室2厅 | 90平米 | 东南 | 简装 | 低楼层(共34层)  | 暂无数据,0人关注 / 12天以前发布,64.8,"7,200元/平"
湖山巷水利局四室两厅户型方正拎包入住,湖山巷2号 -竹湖园,4室2厅 | 158平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,58,"3,671元/平"
清香坪蓝湖赛纳左岸三室两厅两卫一楼带花园精装好房,蓝湖国际赛纳左岸 -清香坪,3室2厅 | 110平米 | 北 | 精装 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,49,"4,455元/平"
炳三区阳城龙庭精装三居室双卫好房,阳城龙庭 -九附二+九附六,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"5,675元/平"
仁和精装三室 出行便利 拎包入住 房东诚心出售,上海花园 -仁和区,3室2厅 | 128平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,69,"5,391元/平"
户型方正  南北通透  ，居住方便舒适 满五,河熙小区 -米易县,4室2厅 | 94.54平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 6个月以前发布,44,"4,655元/平"
大润发，沃尔玛，九附六，三 中，三 小 八 中良友,都市国际 -九附二+九附六,2室2厅 | 68.08平米 | 东 南 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 11个月以前发布,49,"7,198元/平"
金域阳光精装大三室 装修保持九成新 拎包入住,金域阳光 -炳三区,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,5人关注 / 6个月以前发布,64,"6,957元/平"
炳草岗临亚广场秋水苑大4室看房方便有钥匙,临亚家园 -电影院+中心广场,4室2厅 | 171平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,46,"2,691元/平"
河西小区精装套三户型方正采光好生活配套齐 停车方便,河熙小区 -米易县,3室2厅 | 83.29平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,48,"5,763元/平"
西贵金沙三室一厅中低层好房出售,西贵金沙 -玉泉,3室1厅 | 87.64平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,28.1,"3,207元/平"
九附二 万象城 大润发 万达广场 攀大,力山箐华苑 -九附二+九附六,3室2厅 | 94.65平米 | 东南 | 精装 | 高楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,41.8,"4,417元/平"
恒大城三室单卫交通便利 小区环境干净舒适 适合居住！,恒大城 -炳三区,3室2厅 | 100.38平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,56,"5,579元/平"
鹭栖花园精装四室好房出售 出行交通方便 视野采光好,鹭栖花园 -仁和区,4室2厅 | 109.39平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,3人关注 / 8个月以前发布,53.8,"4,919元/平"
竹湖园湖光老市委三室双卫电梯房，装修保持好拎包入住,江山里 -竹湖园,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,50.8,"4,793元/平"
上城一期  大两室商品房  户型方正  采光好  看房方便,麓苑 -仁和区,2室2厅 | 90.88平米 | 西北 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,54.5,"5,997元/平"
金海泊林郡 3室2厅 东南,金海泊林郡 -九附二+九附六,3室2厅 | 111平米 | 东南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 29天以前发布,56,"5,046元/平"
君临江山大平层四室两厅双卫137.73平前后花园带车库,君临江山 -九附二+九附六,4室2厅 | 137.73平米 | 东南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 27天以前发布,135,"9,802元/平"
二中旁的四室电梯房体育馆旁边的大户型，上学方便,攀枝花大道东段748号 -电影院+中心广场,4室2厅 | 145平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 11天以前发布,57.8,"3,987元/平"
房子保持好适合一家人居住套四临河,和苑小区 -仁和区,4室2厅 | 132平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4天以前发布,75,"5,682元/平"
花城新区，高宇御风，1楼带前后花园，带车位,高宇御峰 -仁和区,3室2厅 | 117平米 | 南 | 简装 | 低楼层(共11层)  | 暂无数据,0人关注 / 6天以前发布,128,"10,941元/平"
万象城精装三室带产权车位出售 生活配套齐全,华芝万象城 -九附二+九附六,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 8天以前发布,81,"8,351元/平"
临亚观涛苑四室两厅精装修出售拎包入住,观涛苑 -电影院+中心广场,4室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,49.8,"3,152元/平"
仁和峻岭天下精装四室双卫，价格美丽  看房方便,峻岭天下 -仁和区,4室2厅 | 134.8平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,70,"5,193元/平"
大户型3室2卫急售！单价5000多买精装拧包入住,阳城龙庭 -九附二+九附六,3室2厅 | 121.58平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 5天以前发布,65.99,"5,428元/平"
远达帝景华廷 3室2厅 东南,远达帝景华廷 -炳三区,3室2厅 | 106平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 12天以前发布,90,"8,491元/平"
万象城精装三室 生活设施配套齐全 出行方便,华芝万象城 -九附二+九附六,3室2厅 | 111平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 8天以前发布,79.5,"7,163元/平"
金海世纪城精装三室全新家具家电拎包入住,金海世纪城 -炳三区,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,76,"7,308元/平"
东区成熟城区，大面积精装出售，经济实惠,开明苑 -九附二+九附六,3室2厅 | 141平米 | 东 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 9个月以前发布,56,"3,972元/平"
阳光馨园 3室2厅 南 北,阳光馨园 -瓜子坪,3室2厅 | 96.96平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,40.9,"4,219元/平"
此房满二唯一，房子采光好，户型佳，出行方便,玛尚 -九附二+九附六,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,66,"6,535元/平"
金域阳光精装大两室，双阳台设计，东南户型，带车位,金域阳光 -炳三区,2室2厅 | 84.6平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,66,"7,802元/平"
瓜子坪阳光馨园精装大三室家具家电齐全随时看房,阳光馨园 -瓜子坪,3室1厅 | 98.31平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 28天以前发布,42,"4,273元/平"
小区位置好地势平坦挨河边配套齐全,宝岛花苑 -仁和区,3室2厅 | 123平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,58,"4,716元/平"
瓜子坪阳光馨园3室2厅1卫 39万8 满五配套成熟,阳光馨园 -瓜子坪,3室2厅 | 93.85平米 | 东 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,39.8,"4,241元/平"
此房地理位子好，屋里简装，带大花园,育才巷 -瓜子坪,2室1厅 | 71.98平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 16天以前发布,39.8,"5,530元/平"
房子精装修，小区环境好，拎包入住,阳光馨园 -瓜子坪,3室1厅 | 93.93平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 23天以前发布,35.8,"3,812元/平"
公园里的现房采光好，绿化高适合出租以及自住,华恒中央公园 -西区,3室2厅 | 76平米 | 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,39.9,"5,250元/平"
凤凰东街独栋五室带大花园环境优美,凤凰东街43号 -电影院+中心广场,5室2厅 | 320平米 | 南 北 | 精装 | 低楼层(共1层)  | 暂无数据,0人关注 / 21天以前发布,126,"3,938元/平"
金海世纪城小高层精装两室坐北朝南地势平坦出行便利,金海世纪城 -炳三区,2室2厅 | 57.05平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 23天以前发布,48.8,"8,554元/平"
阳光馨园好房出售，出行方便，环境优美,阳光馨园 -瓜子坪,2室1厅 | 82.33平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 29天以前发布,30,"3,644元/平"
配套设施齐全，朝东南，不西晒。精装修,银泰城泰悦居 -仁和区,2室2厅 | 83.18平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 17天以前发布,58,"6,973元/平"
此商品房满五，精装修，无贷款，视野开阔，采光好,紫荆一号 -竹湖园,2室1厅 | 42.82平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 15天以前发布,38.4,"8,968元/平"
龙箐花园精装修三室两厅两卫出售,龙箐花园小区 -九附二+九附六,3室2厅 | 96平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 21天以前发布,43,"4,480元/平"
瓜子坪天骄名城精装房出售，采光充足，户型方正,天娇名城 -瓜子坪,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,46,"4,843元/平"
攀枝花西区好房出售，交通便利，居住安静，通天然气,503电厂生活区 -玉泉,3室2厅 | 123.31平米 | 南 北 | 简装 | 中楼层(共10层)  | 暂无数据,1人关注 / 3个月以前发布,41,"3,325元/平"
仁和大河旁，简装三室，证件齐全，配套成熟,和苑小区 -仁和区,3室2厅 | 127.72平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,2人关注 / 4个月以前发布,58.8,"4,604元/平"
钢城经贸大厦 1室0厅 南,钢城经贸大厦 -炳三区,1室0厅 | 108平米 | 南 | 其他 | 高楼层(共13层)  | 暂无数据,0人关注 / 8天以前发布,88,"8,149元/平"
商品房，满五唯一，出行交通方便，户型方正，居住方便,蓝湖国际赛纳左岸 -清香坪,3室1厅 | 98平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,40,"4,082元/平"
万达旁精装好房，配套齐全，居住舒适，随时看房,龙江云洲 -九附二+九附六,1室1厅 | 57平米 | 东南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,36,"6,316元/平"
仁和精装三室 配套成熟 地势平坦 出行方便,和谐御林 -仁和区,3室2厅 | 115.79平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,2人关注 / 4个月以前发布,68.5,"5,916元/平"
攀枝花主打城区，花城新区，交通方便，随时看房！,金科集美阳光一期 -仁和区,3室1厅 | 88平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,53,"6,023元/平"
此房是商品房，出行交通方便，户型方正，居住方便舒适,梨树坪 -清香坪,2室1厅 | 61.27平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,23.8,"3,885元/平"
天德华府 精装2室 朝南 安静 采光视野好 有钥匙,天德华府 -炳三区,2室2厅 | 68平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 7天以前发布,41,"6,030元/平"
瓜子坪 阳光馨园 商品房 满五唯一 装修保持好,阳光馨园 -瓜子坪,3室2厅 | 92.82平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,34.2,"3,685元/平"
西区蓝湖三室两厅双卫，精装电梯房，家具家电齐全,蓝湖国际赛纳左岸 -清香坪,3室2厅 | 109平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 3个月以前发布,44.3,"4,065元/平"
仁和和润小区精装四室两厅房东急售价格美丽拎包入住,仁和和润小区 -仁和区,4室2厅 | 122.25平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,79,"6,463元/平"
锦瑞金沙洲 精装大2室 视野好 出入方便,锦瑞金沙洲 -仁和区,2室1厅 | 82.21平米 | 西南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 4天以前发布,47.6,"5,791元/平"
仁和峻岭天下精装三室 楼层高 视野开阔出行方便,峻岭天下 -仁和区,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,56,"5,545元/平"
西区福广金城商品房满五唯一出行方便配套成熟可贷款,福广金城 -清香坪,3室2厅 | 106.86平米 | 西南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,56,"5,241元/平"
l蓝湖一期 一楼3室2厅朝南 好房出售,蓝湖社区 -清香坪,3室2厅 | 94.22平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,42,"4,458元/平"
君临江山  精装3室  配套成熟,君临江山 -九附二+九附六,3室2厅 | 100平米 | 东 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,56,"5,600元/平"
仁和华芝御景四期精装两室低楼层出售 装修保持好,华芝御景城熙苑四期 -仁和区,2室2厅 | 70平米 | 东南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 4天以前发布,65.1,"9,300元/平"
3室2厅1厨2卫，户型格局方正规整，方便实用，适合居住,阳光骊景 -九附二+九附六,3室2厅 | 124平米 | 东南 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,48,"3,871元/平"
（华芝万象城3-2-1-2 111.00m² 88 万）,华芝万象城 -九附二+九附六,3室2厅 | 111平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,1人关注 / 22天以前发布,88,"7,928元/平"
攀宾旁精装三室双卫出售价格美丽  随时看房,民祥巷2号 -电影院+中心广场,3室2厅 | 135平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 17天以前发布,42,"3,112元/平"
炳三区佳联梦苑精装三室双卫还有车位出售,佳联梦苑 -炳三区,3室2厅 | 131.5平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,1人关注 / 1个月以前发布,126,"9,582元/平"
南山花园 此房满五 户型方正带大花园,南山花园 -南山,4室2厅 | 185平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,70,"3,784元/平"
户型方正，客厅卧室大，采光好，交通便利,华芝御景城御苑一二期 -仁和区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 7天以前发布,80,"6,154元/平"
华恒中央公园 4室2厅 南,华恒中央公园 -西区,4室2厅 | 92.37平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 5天以前发布,43,"4,656元/平"
金域阳光一期，带大花园，自住商用两不误,金域阳光 -炳三区,3室2厅 | 117平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,149,"12,736元/平"
菩提苑 3室2厅 东南,菩提苑 -炳三区,3室2厅 | 90.93平米 | 东南 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 4天以前发布,62,"6,819元/平"
银泰此房是精装修，满五唯一，朝小区中庭，采光好,银泰城泰悦居 -仁和区,3室2厅 | 104平米 | 南 北 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 5天以前发布,86,"8,270元/平"
房屋精装修，环境优美，配套齐全,虹桥巷 -仁和区,3室2厅 | 85平米 | 东南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,29,"3,412元/平"
金域阳光大三室边户房间宽敞明亮双卫,金域阳光 -炳三区,3室2厅 | 117平米 | 东 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 8天以前发布,76,"6,496元/平"
农业发展银行综合楼，出行方便，户型方正,农业发展银行综合楼 -竹湖园,3室3厅 | 191平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 5天以前发布,85,"4,451元/平"
竹湖园临江路苗圃小区下面三室两厅户型方正,紫荆山社区第四居民小组 -竹湖园,3室2厅 | 108平米 | 南 北 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 5天以前发布,42,"3,889元/平"
五十一毛坯房 已下证 位置好 单价低,锦瑞金沙洲 -仁和区,4室2厅 | 139.8平米 | 东南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 7个月以前发布,65.8,"4,707元/平"
花城七中旁三室单卫毛坯出售看房方便,鑫南广场 -仁和区,3室2厅 | 89平米 | 东南 | 毛坯 | 低楼层(共17层)  | 塔楼,0人关注 / 一年前发布,53,"5,956元/平"
此房满二税费低，朝小区方向安静，小区平稳。,金海世纪城 -炳三区,3室2厅 | 102.38平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 15天以前发布,139,"13,577元/平"
凤凰小区联谊大厦三室双卫简装出售,联谊大厦 -电影院+中心广场,3室2厅 | 140平米 | 南 | 简装 | 低楼层(共15层)  | 暂无数据,0人关注 / 5天以前发布,47,"3,358元/平"
东区 万达旁 精装三室两厅双卫 商品房,安泰家园 -九附二+九附六,3室2厅 | 108.83平米 | 南 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 5天以前发布,50,"4,595元/平"
花溪谷小区 3室2厅 满五唯一,金海花溪谷 -九附二+九附六,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 8天以前发布,60,"6,061元/平"
金海精装三室户型通透，小区中间位置安静舒适生活便利,金海世纪城 -炳三区,3室2厅 | 87.4平米 | 西北 | 精装 | 低楼层(共29层)  | 暂无数据,0人关注 / 7天以前发布,70,"8,010元/平"
仁和波尔卡海蓝湾精装三室双卫拎包入住,波尔卡城邦 -仁和区,3室2厅 | 104.86平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 2天以前发布,75,"7,153元/平"
曼哈顿 4室2厅 东南,曼哈顿 -电影院+中心广场,4室2厅 | 127平米 | 东南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 9天以前发布,69.8,"5,497元/平"
3室双卫，双向阳台，朝小区中庭，采光很好。拎包入住,金域阳光 -炳三区,3室2厅 | 114.29平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,96,"8,400元/平"
银泰泰悦居套二精装房家具家电齐全,银泰城泰悦居 -仁和区,2室2厅 | 84平米 | 东南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 2天以前发布,60,"7,143元/平"
阳城龙庭大套三面积大60万户型方正可贷款,阳城龙庭 -九附二+九附六,3室2厅 | 109平米 | 东南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 2天以前发布,60,"5,505元/平"
世纪大厦 3室2厅 南 北,世纪大厦 -九附二+九附六,3室2厅 | 136.67平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,0人关注 / 5天以前发布,61,"4,464元/平"
瓜子坪雅竹苑，温馨两室小户型，一楼！,雅竹苑 -瓜子坪,2室2厅 | 64.52平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 4天以前发布,30.5,"4,728元/平"
