标题,开发商,房子信息,发布信息,售价/万,单价
户型好正宗4室2厅2卫 朝南 正对中庭 装修保存完好,春天印象北区 -城北,4室2厅 | 132.76平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,122.5,"9,228元/平"
城南四房错层 南北朝向 小区中庭 有车位 楼层好,翠湖花园 -旌东,4室3厅 | 169平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,89,"5,267元/平"
此房房东诚心出售，房子很少住，保养得比较好,德阳恒大首府 -广汉市,3室1厅 | 112平米 | 东南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 16天以前发布,75.8,"6,768元/平"
天籁福 3室2厅 南,天籁福 -经开区,3室2厅 | 97.4平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,0人关注 / 16天以前发布,71.8,"7,372元/平"
顺天苑 3室2厅 东北,顺天苑 -玉泉,3室2厅 | 120平米 | 东北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,55,"4,584元/平"
北光B区 2室1厅 东南,北光B区 -石刻,2室1厅 | 67平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,23.8,"3,553元/平"
城南 工农村 近五洲广场  精装套三 户型方正 老证,爱德华庭 -工农村,3室2厅 | 86.15平米 | 东南 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 10天以前发布,58,"6,733元/平"
带2个车位 大阳台 无遮挡 看江景和公园 3室2厅2卫,滨江阳光 -广汉市,3室2厅 | 145.29平米 | 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 9天以前发布,72,"4,956元/平"
保利翡丽湾（A区） 4室1厅 西南,保利翡丽湾（A区） -柳梢堰,4室1厅 | 193平米 | 西南 | 其他 | 低楼层(共31层)  | 板楼,1人关注 / 3天以前发布,113,"5,855元/平"
湘江街155号 3室1厅 东南,湘江街155号 -文庙,3室1厅 | 85平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,39.6,"4,659元/平"
凯江路一段77号 2室2厅 南,凯江路一段77号 -玉泉,2室2厅 | 74.97平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 3天以前发布,31.8,"4,242元/平"
明源国际 房东诚心出售 通透户型 满二唯一 看房有钥匙,明源国际 -旌东,2室2厅 | 92平米 | 东 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 15天以前发布,56.8,"6,174元/平"
城北 北公园 春天印象 朝向南 大中庭 满五唯一,春天印象北区 -城北,2室2厅 | 96.89平米 | 东南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 6天以前发布,82.6,"8,526元/平"
天籁福巴黎之春 3室1厅 南,天籁福巴黎之春 -经开区,3室1厅 | 108平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,86.8,"8,038元/平"
多层带电梯 精装三室单卫 中间楼层,万嘉国际社区 -工农村,3室2厅 | 94.7平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 24天以前发布,76.5,"8,079元/平"
东电三生活区   小两室       房东诚心出售,东方文化A住宅区 -东电生活区,2室2厅 | 72平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 26天以前发布,33.8,"4,695元/平"
天籁福精装三室两厅双卫，临湖视野好，随时可以看房,天籁福 -经开区,3室2厅 | 93.8平米 | 西 | 精装 | 高楼层(共26层)  | 塔楼,1人关注 / 31天以前发布,76.8,"8,188元/平"
中亚水岸花都 4室2厅 东北,中亚水岸花都 -五洲广场,4室2厅 | 143.41平米 | 东北 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 25天以前发布,100,"6,974元/平"
天籁福 3室2厅 西,天籁福 -经开区,3室2厅 | 96平米 | 西 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 25天以前发布,68.8,"7,167元/平"
精装 三室 中高档装修 中间楼层 ，看房方便，老证,世家城南1号 -五洲广场,3室2厅 | 107平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,83,"7,758元/平"
沙河街28号 2室1厅 东,沙河街28号 -岷山路小学,2室1厅 | 76.52平米 | 东 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,37.8,"4,940元/平"
凯丽景湖电梯小高层套二好楼层靠湖边,凯丽景湖 -五洲广场,2室1厅 | 87.6平米 | 西南 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 25天以前发布,56,"6,393元/平"
城南CBD，政务zhong心旁，离河边近。,民福旌城天际 -五洲广场,2室2厅 | 83.74平米 | 南 | 简装 | 高楼层(共25层)  | 塔楼,0人关注 / 14天以前发布,63.8,"7,619元/平"
房东急售，交通便利，3室2厅新装精装,融发雅居 -高铁新区,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 24天以前发布,49.6,"4,724元/平"
农行小区 3室2厅 南,农行小区 -玉泉,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,53.8,"4,560元/平"
金雁·欧城联邦 3室1厅 东南,金雁·欧城联邦 -广汉市,3室1厅 | 91平米 | 东南 | 精装 | 29层  | 板塔结合,0人关注 / 10天以前发布,69.8,"7,671元/平"
城南 爱德华庭一室 房东诚心出售,爱德华庭 -工农村,1室1厅 | 57平米 | 东 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 8天以前发布,35,"6,141元/平"
南山街住宅区 1室1厅 南,南山街住宅区 -102生活广场,1室1厅 | 42平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,18.6,"4,429元/平"
亲亲里 3室1厅 东 东南,亲亲里 -东电生活区,3室1厅 | 96平米 | 东 东南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 14天以前发布,65.8,"6,855元/平"
锦绣上城3-2-1-1 81.00m²,锦绣上城 -102生活广场,3室2厅 | 81平米 | 西南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 11天以前发布,59.8,"7,383元/平"
瑞琪曼精装套二，实用面积大，拎包入住，有车位,福康瑞琪曼二期 -黄河片区,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 15天以前发布,81,"9,102元/平"
农行小区3室2厅1厨1卫，107平米,农行小区 -玉泉,3室2厅 | 107.19平米 | 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,53,"4,945元/平"
德阳希望城东区 4室2厅 南 北,德阳希望城东区 -黄河片区,4室2厅 | 128.8平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,16人关注 / 5个月以前发布,98,"7,609元/平"
旌东品质大盘 保利B区 精装套三 面朝东山,保利翡丽湾B区 -柳梢堰,3室1厅 | 94.07平米 | 东 | 精装 | 低楼层(共28层)  | 板楼,2人关注 / 3个月以前发布,69.8,"7,421元/平"
美林康城3室2厅1厨2卫117.69平米,美林康城 -黄河片区,3室2厅 | 117.69平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 板塔结合,4人关注 / 7个月以前发布,79.8,"6,781元/平"
东电一生活区 2室1厅 南 北,东电一生活区 -城北,2室1厅 | 77.31平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,37.6,"4,864元/平"
蒙山街94号 3室2厅 南 北,蒙山街94号 -岷山路小学,3室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,60.6,"5,050元/平"
水岸花都2云景 3室2厅 东南,水岸花都2云景 -五洲广场,3室2厅 | 101平米 | 东南 | 精装 | 低楼层(共21层)  | 塔楼,10人关注 / 6个月以前发布,88,"8,713元/平"
顺德安居小区 精装套三 业主诚心卖 可按揭 随时看,顺德安居小区 -广汉市,3室2厅 | 95.37平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,49.8,"5,222元/平"
嘉铭悦城 3室2厅 东南,嘉铭悦城 -广汉市,3室2厅 | 87平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,65.8,"7,564元/平"
沙河街28号 2室2厅 南 北,沙河街28号 -岷山路小学,2室2厅 | 77平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,42.8,"5,559元/平"
湖景湾 3室2厅 交通便利 小区环境干净舒适 适合居住,湖景湾 -黄河片区,3室2厅 | 96平米 | 西 西北 | 精装 | 高楼层(共25层)  | 塔楼,7人关注 / 一年前发布,76,"7,917元/平"
房东诚心卖，故价格适中，需提前预约看房，可贷款，,岷山花苑 -五洲广场,2室1厅 | 92平米 | 西南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,38,"4,131元/平"
旌东品质大盘 清水套三 户型方正 业主诚心出售,翡丽湾D区 -柳梢堰,3室2厅 | 88平米 | 东 | 精装 | 低楼层(共30层)  | 板塔结合,2人关注 / 4个月以前发布,63.8,"7,250元/平"
金雁·欧城联邦 3室2厅 北,金雁·欧城联邦 -广汉市,3室2厅 | 109平米 | 北 | 毛坯 | 低楼层(共33层)  | 塔楼,15人关注 / 5个月以前发布,55,"5,046元/平"
桂南小区 3室2厅 南 北,桂南小区 -广汉市,3室2厅 | 110平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 6个月以前发布,33,"3,000元/平"
保利 B区 套4双卫两厅户型 明厨明卫,保利翡丽湾B区 -柳梢堰,4室2厅 | 140.04平米 | 西南 | 毛坯 | 中楼层(共28层)  | 板楼,2人关注 / 5个月以前发布,80,"5,713元/平"
此房屋房东诚心卖 房子方正 采光良好,德阳恒大首府 -广汉市,3室2厅 | 98平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,16人关注 / 一年前发布,62,"6,327元/平"
此房中间楼层，采光好，居家装修，可以自己设计,翰城国际一期 -黄河片区,3室2厅 | 123平米 | 南 西南 | 精装 | 低楼层(共20层)  | 暂无数据,7人关注 / 11个月以前发布,89.5,"7,277元/平"
此房釆光好、户型方正、配套成熟、方便舒适、正临湖,香江华府 -五洲广场,4室1厅 | 144平米 | 东 | 毛坯 | 中楼层(共32层)  | 板楼,5人关注 / 5个月以前发布,127,"8,820元/平"
万达商圈 玫瑰园旁 现代花园精装三室中庭不临路  老证,现代花园 -黄河片区,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,73.6,"6,238元/平"
出售城南三室  精装  房东打包卖,世家城南1号 -五洲广场,3室2厅 | 107.5平米 | 东 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,78.8,"7,331元/平"
城南那维亚半岛满二套三单卫，可按揭！,那维亚半岛 -广汉市,3室1厅 | 99.54平米 | 东南 东北 | 毛坯 | 中楼层(共14层)  | 塔楼,2人关注 / 8个月以前发布,46.5,"4,672元/平"
电梯，房子对中庭，家具家电齐全,凯丽景湖 -五洲广场,3室2厅 | 114平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 1个月以前发布,76.8,"6,737元/平"
14年多层  与别墅为邻 精装两室  77.7万！有钥匙！,水岸花都院墅 -五洲广场,2室1厅 | 85.29平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,77.7,"9,111元/平"
东湖尚岭 2室1厅 南,东湖尚岭 -玉泉,2室1厅 | 80平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,0人关注 / 21天以前发布,58,"7,250元/平"
电信广场旁，二胎房金三楼，南北朝向，老证税费低！,珠江花园 -经开区,4室3厅 | 171.16平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,71.8,"4,195元/平"
上层建筑 3室2厅 西,上层建筑 -玉泉,3室2厅 | 127.48平米 | 西 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 19天以前发布,78.8,"6,182元/平"
长富花园 3室2厅 东南,长富花园 -城北,3室2厅 | 125平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 23天以前发布,74.8,"5,984元/平"
汇乐国际顶跃 自住装修 四室两厅两卫,汇乐国际 -五洲广场,4室2厅 | 120平米 | 南 | 简装 | 高楼层(共8层)  | 塔楼,0人关注 / 4天以前发布,165,"13,750元/平"
此房在一楼楼日照足采光很好，配套齐全,108北区 -岷山路小学,3室1厅 | 61平米 | 西南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 27天以前发布,35,"5,738元/平"
此房为老证可贷款精装两室西街旁,西街小学教师宿舍楼 -石刻,2室2厅 | 64平米 | 南 西南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 30天以前发布,22.8,"3,563元/平"
电梯中间楼层 精装拎包入住 采光好,凯丽景湖 -五洲广场,2室2厅 | 85.42平米 | 东 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 29天以前发布,62,"7,259元/平"
凯丽景湖 2室2厅 南,凯丽景湖 -五洲广场,2室2厅 | 68平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 12天以前发布,51,"7,500元/平"
天籁福巴黎之春标准两室 老证有钥匙 城南河边,天籁福巴黎之春 -经开区,2室2厅 | 74.07平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 16天以前发布,48,"6,481元/平"
房东舍得整 装修你看了都说好 价格谈就是了,那维亚半岛 -广汉市,3室1厅 | 105平米 | 南 | 精装 | 高楼层(共15层)  | 塔楼,0人关注 / 1个月以前发布,59.8,"5,696元/平"
万兴物业中层中庭安静大平层单价低总价低品质小区,万兴魅力城南区 -黄河片区,4室2厅 | 174平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,5人关注 / 6个月以前发布,108,"6,207元/平"
枕水小镇三期 3室2厅 西,枕水小镇三期 -经开区,3室2厅 | 120.35平米 | 西 | 毛坯 | 低楼层(共17层)  | 平房,11人关注 / 11个月以前发布,72,"5,983元/平"
房东自住新装修，全新拎包入住标准三房,CLD未来城 -五洲广场,3室2厅 | 91平米 | 东 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,69.8,"7,671元/平"
碧桂园二期时光里  精装套三 带地暖 南北通透 采光好,碧桂园二期时光里 -旌阳区,3室2厅 | 125.31平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,95,"7,582元/平"
二重 多层 1010生活区 精装修两室,珠江西路小区 -五洲广场,2室2厅 | 62.99平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,31.5,"5,001元/平"
秦宓小区三室两厅一厨一卫，生活出行方便，带个大平台,秦宓小区 -城北,3室2厅 | 81平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,59.8,"7,383元/平"
中融大名城 3室2厅 东南,中融大名城 -工农村,3室2厅 | 121.41平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,14人关注 / 一年前发布,71.2,"5,865元/平"
香江华府 3室2厅 南 北,香江华府 -五洲广场,3室2厅 | 105平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,93.2,"8,877元/平"
外滩地一号 3室2厅 东南 西,外滩地一号 -城北,3室2厅 | 116.86平米 | 东南 西 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,79.8,"6,829元/平"
老城区电梯二楼带平台 精装拎包入住,育松顺和苑 -广汉市,3室2厅 | 181平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,70,"3,868元/平"
五洲广场 水韵江南 错层套三 带车位 户型方正,水韵江南 -五洲广场,3室2厅 | 105.86平米 | 东 西 | 其他 | 高楼层(共11层)  | 板楼,17人关注 / 一年前发布,55,"5,196元/平"
现代花园2室2厅2卫110.06平,现代花园 -黄河片区,2室2厅 | 110.06平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,45,"4,089元/平"
城北 黄冠灯 精装小两室 抬高一楼,市电子仪器厂宿舍 -东电生活区,2室1厅 | 45平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,10人关注 / 2个月以前发布,22.7,"5,045元/平"
广油苑 精装套二 户型方正无浪费 公摊小,广油苑 -广汉市,2室2厅 | 60平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,28.8,"4,800元/平"
城北黄河片区清水套三带小平台 中间楼层对中庭,希望城玫瑰公馆 -黄河片区,3室2厅 | 99.49平米 | 西南 | 毛坯 | 中楼层(共29层)  | 塔楼,8人关注 / 3个月以前发布,78.8,"7,921元/平"
"城南工农村不可 多得的精装套二,楼层好,采光好.",岷山路二段867号 -工农村,2室1厅 | 49平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,24,"4,898元/平"
旌都银座 2室1厅 东,旌都银座 -102生活广场,2室1厅 | 76平米 | 东 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,53.8,"7,079元/平"
城北皇冠灯电梯洋房标准简装两室,九千朝阳 -东电生活区,2室1厅 | 93平米 | 西 | 简装 | 中楼层(共8层)  | 塔楼,1人关注 / 1个月以前发布,34.9,"3,753元/平"
玉泉片区，小区免费停车，物管每平米0.35元，,玉泉E区 -玉泉,3室2厅 | 100.27平米 | 东 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 3个月以前发布,46,"4,588元/平"
黄河畔岛 2室1厅 西南,黄河畔岛 -玉泉,2室1厅 | 81平米 | 西南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,59.8,"7,383元/平"
北光小区石刻公园旁边小区环境好楼层好小区中间。。,北光A区 -石刻,2室2厅 | 63.5平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,34,"5,355元/平"
城北石刻公园旁临湖精装三房，宜居,文泰欧城 -石刻,3室2厅 | 100.54平米 | 东南 | 精装 | 中楼层(共33层)  | 板楼,100人关注 / 1个月以前发布,80,"7,958元/平"
恒大精装套三 业主诚心卖 有证满二 低税 随时看房,德阳恒大首府 -广汉市,3室1厅 | 111.3平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,69.9,"6,281元/平"
户型方正，老证，家具家电齐全，精装修，保护好,骏逸东山 -黄河片区,4室2厅 | 132.2平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,3人关注 / 8个月以前发布,86.8,"6,566元/平"
希望城玫瑰公馆 3室2厅 南,希望城玫瑰公馆 -黄河片区,3室2厅 | 99.49平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,91.8,"9,228元/平"
城南，河边精装套三，配套齐全，看房方便,枕水小镇 -经开区,3室2厅 | 119平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 11个月以前发布,79.8,"6,706元/平"
金华楼 3室1厅 南,金华楼 -102生活广场,3室1厅 | 105平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,39,"3,715元/平"
前后中庭，安静不吵闹，电梯入户，带前后花园！,蔚蓝郡 -广汉市,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,4人关注 / 一年前发布,148,"10,963元/平"
望龙东郡 3室2厅 东南,望龙东郡 -玉泉,3室2厅 | 100.27平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,57.8,"5,765元/平"
富康熙城 2室1厅 南,富康熙城 -文庙,2室1厅 | 75平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 18天以前发布,54.8,"7,307元/平"
马牧小区 2室1厅 南,马牧小区 -广汉市,2室1厅 | 73.45平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,28.6,"3,894元/平"
108北区 2室2厅 东,108北区 -岷山路小学,2室2厅 | 71.93平米 | 东 | 简装 | 低楼层(共7层)  | 板楼,10人关注 / 1个月以前发布,35,"4,866元/平"
业主诚意出售，价位可议，看房提前联系。,顺德小区 -广汉市,2室1厅 | 67.7平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,22人关注 / 一年前发布,13.2,"1,950元/平"
此房房东自住装修的，诚心出售，房间采光很好,新里程英伦联邦 -工农村,2室2厅 | 68.21平米 | 南 北 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,50.88,"7,460元/平"
房东诚心出售，看房方便，方便停车,洪水碾小区 -广汉市,2室2厅 | 67.14平米 | 西南 | 简装 | 中楼层(共7层)  | 塔楼,4人关注 / 4个月以前发布,16.8,"2,503元/平"
天鹅堡 2室1厅 南,天鹅堡 -广汉市,2室1厅 | 78.2平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,39.6,"5,064元/平"
北光D区 2室2厅 交通便利 小区环境干净舒适 适合居住,北光D区 -石刻,2室1厅 | 64.5平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,34.8,"5,396元/平"
楼层好视野宽阔 采光充足 配套设施齐全 交通便利,和德春锦 -旌东,2室1厅 | 61平米 | 北 | 其他 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,48,"7,869元/平"
德阳首例四代建筑房源五洲广场内跃正临湖视野开阔无遮,中亚水岸花都蓝点 -五洲广场,4室2厅 | 170平米 | 东 | 其他 | 高楼层(共31层)  | 塔楼,2人关注 / 5个月以前发布,178,"10,471元/平"
城南沱江路 爱德华庭精装修拎包入住,爱德华庭 -工农村,3室2厅 | 105.3平米 | 东南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,76.8,"7,294元/平"
德外花园3室2厅1厨2卫，143.7平米,德外花园 -玉泉,3室1厅 | 145.03平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,11人关注 / 6个月以前发布,80,"5,517元/平"
坐拥城南CBD，品质大盘，电梯洋房，一梯两户,汇乐国际 -五洲广场,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,105,"8,899元/平"
全临湖  看房方便 有钥匙  老证 港湾丽景,港湾丽景 -玉泉,3室1厅 | 128平米 | 东 | 其他 | 低楼层(共31层)  | 板楼,2人关注 / 2个月以前发布,71,"5,547元/平"
钟山街117附4号 3室1厅 南,钟山街117附4号 -文庙,3室1厅 | 78平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,20人关注 / 2个月以前发布,39.5,"5,065元/平"
正临湖 黄河片区 大三室 交通便利 小区环境干净舒适,上水湾 -黄河片区,3室2厅 | 153平米 | 西 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,113.8,"7,438元/平"
涪江苑 3室1厅 南,涪江苑 -高铁新区,3室1厅 | 68平米 | 南 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 3个月以前发布,18.8,"2,765元/平"
一楼带花园 房东诚心出售 看房方便,浏阳名苑 -广汉市,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,65,"5,702元/平"
精装套二拎包入住，户型方正采光好,德阳市永兴机械有限责任公司生活区 -城北,2室2厅 | 66.48平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,33.8,"5,085元/平"
春天印象北区 2室2厅 南,春天印象北区 -城北,2室2厅 | 86.99平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,74,"8,507元/平"
城北河边 金牛东苑 出门就是公园,金牛东苑 -旌阳区,2室2厅 | 72平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,46.8,"6,500元/平"
万兴品质，老证税费低，中间楼层，拎包入住,万兴魅力城北区 -黄河片区,2室2厅 | 102平米 | 东 | 精装 | 中楼层(共7层)  | 板塔结合,9人关注 / 10个月以前发布,65,"6,373元/平"
春天印象北区 2室1厅 南,春天印象北区 -城北,2室1厅 | 87平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,65.8,"7,564元/平"
金秋花园B区 2室2厅 东,金秋花园B区 -五洲广场,2室2厅 | 77平米 | 东 | 其他 | 低楼层(共7层)  | 塔楼,1人关注 / 1个月以前发布,39.8,"5,169元/平"
此房满二楼层好视野宽阔采光充足,望龙东郡 -玉泉,2室2厅 | 73.6平米 | 西 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,49.5,"6,726元/平"
正基首席 2室2厅 南,正基首席 -经开区,2室2厅 | 67.43平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,1人关注 / 4个月以前发布,48,"7,119元/平"
东电一生活区震后那栋，精装两室,东电一生活区 -城北,2室2厅 | 92平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,48,"5,218元/平"
东方御景 3室2厅 东,东方御景 -东电生活区,3室2厅 | 99.5平米 | 东 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,55.8,"5,609元/平"
