标题,开发商,房子信息,发布信息,售价/万,单价
御景苑电梯中层商品房，南北通透大H户型，单价低！,御景苑三期 -元宝区,2室2厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3天以前发布,74,"7,509元/平"
丹东市教师住宅楼 2室1厅 南,丹东市教师住宅楼 -振兴区,2室1厅 | 65平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,36,"5,539元/平"
此房精装修两居，南北朝向，采光好，婚房装修,学子园 -振兴区,2室2厅 | 73.67平米 | 东南 | 简装 | 高楼层(共12层)  | 板塔结合,1人关注 / 1个月以前发布,45,"6,109元/平"
此房婚房装修 双阳卧室 格局规整 阳光好无遮挡,御景苑三期 -元宝区,2室1厅 | 78.93平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,14人关注 / 8个月以前发布,64,"8,109元/平"
电梯中层  精装修  拎包入住,万达华府 -振兴区,2室2厅 | 93.5平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,98,"10,482元/平"
万达二期 5号楼 电梯高层 可贷款,万达华府 -振兴区,2室2厅 | 94.85平米 | 东 西 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,85,"8,962元/平"
温州城两居室装修好拎包入住采光好视野开阔,金和温州城 -振兴区,2室1厅 | 68.18平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,1人关注 / 5个月以前发布,35.5,"5,207元/平"
电梯好楼层 视野开阔 楼龄新 封闭式园区,丹建新时代 -振安区,2室1厅 | 88平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,68.5,"7,785元/平"
H格局，步梯二楼，两室两厅，南北通透,陽光家園 -元宝区,2室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58,"5,743元/平"
万达商圈 可以贷款 拎包入住 步梯四楼,昆源小区 -振兴区,2室1厅 | 54.8平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,33.5,"6,114元/平"
万达华府电梯中层精装修 拎包入住 可贷款,万达华府 -振兴区,2室2厅 | 91.56平米 | 西 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 31天以前发布,73,"7,973元/平"
金海宝山新城商品好住宅诚心出售,金海寶山新城 -元宝区,3室1厅 | 102平米 | 西南 | 简装 | 低楼层(共12层)  | 板楼,11人关注 / 一年前发布,80,"7,844元/平"
军苑新村。步梯矮层。三室两厅，,军苑新村 -振兴区,3室2厅 | 117.94平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,87,"7,377元/平"
优山美地 电梯，精装修，朝向好，环境好，阳光好,钰豪-优山美地小区 -元宝区,3室2厅 | 123.9平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,41人关注 / 一年前发布,75,"6,054元/平"
元宝新村婚房装修，电梯好楼层，可以贷款。,元宝新村 -元宝区,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 2个月以前发布,81.8,"6,493元/平"
世景芳华 岛式水景园林 中间楼层视野采光很好,世景芳华 -振兴区,3室1厅 | 130.19平米 | 西南 | 精装 | 中楼层(共24层)  | 板楼,4人关注 / 4个月以前发布,73,"5,608元/平"
南北通透 标准户型 无遮挡 拎包入住 支持各种贷款。,民兴国际花园 -振安区,2室1厅 | 78.59平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,56.5,"7,190元/平"
山水龙城 电梯中层 阳光好 无遮挡 出行便利。,山水龙城 -元宝区,2室1厅 | 88.9平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,44.8,"5,040元/平"
中宝家园 电梯商品房 通透户型 两室两厅 户型规整,中宝家园 -元宝区,2室2厅 | 115.24平米 | 东 西 | 简装 | 低楼层(共12层)  | 板楼,4人关注 / 8个月以前发布,70,"6,075元/平"
新区步梯洋房，买一层哇塞一层，价格能谈,保利·香槟国际 -振兴区,3室2厅 | 116.48平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,16人关注 / 7个月以前发布,50,"4,293元/平"
此房拎包入住 带家具家电 前面无遮挡 采光好 精装修,新加坡城 -振兴区,3室2厅 | 133.77平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,72,"5,383元/平"
城市家园 电梯8楼 南北通透 阳光好 可贷款,城市家园 -元宝区,2室1厅 | 76平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 19天以前发布,26.8,"3,527元/平"
绿丹江苑南区商品房，步梯好楼层，有房本，精装修。,绿丹江苑南区 -振安区,2室2厅 | 86.1平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,13人关注 / 一年前发布,43.8,"5,088元/平"
民兴国际 前排商品房  不上坡 南北通透大H采光好,民兴国际花园 -振安区,2室2厅 | 90平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,59.8,"6,645元/平"
盐库小区 福民十九 步梯2楼 需要全款 光线好,盐库小区 -振兴区,2室1厅 | 63.5平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 19天以前发布,25,"3,938元/平"
溪山壹号.电梯中层通透户型带车位,恒景溪山壹号 -振安区,3室1厅 | 116平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 29天以前发布,66.8,"5,759元/平"
胜利街黄 金沁园步梯好楼层南北通透阳光好房商品,黄金沁园 -振兴区,2室2厅 | 82平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,61,"7,440元/平"
林江名城商品房步梯一楼带花园，支持贷款。,林江名城 -元宝区,2室1厅 | 61.13平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,49.8,"8,147元/平"
紫光福郡一期商品房，步梯好楼层，精装修，可贷款。,紫光福郡东区 -振安区,2室2厅 | 85.04平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 5天以前发布,60.8,"7,150元/平"
佳兆业壹号 2室1厅 南 北,佳兆业壹号 -振兴区,2室1厅 | 78平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 5天以前发布,55,"7,052元/平"
万达一期园区，电梯中高层，视野好，随时可看。,万达华府 -振兴区,3室2厅 | 176.24平米 | 东 西 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,145,"8,228元/平"
东皇国际城 商品房电梯高层非顶 采光好有阳台,东皇国际城-菊香溪谷C-1区 -振兴区,2室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 13天以前发布,33,"4,400元/平"
南北 户型规整 阳光无遮挡 支持贷款,紫光福郡东区 -振安区,2室2厅 | 83.85平米 | 南 北 | 简装 | 低楼层(共19层)  | 板楼,21人关注 / 8个月以前发布,49.8,"5,940元/平"
民兴国际花园小区   拎包住 大H户型 楼层低 采光好,民兴国际花园 -振安区,2室1厅 | 89.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58.5,"6,544元/平"
宗裕城C区 步梯 精装修 南北通透 两室,宗裕城C区 -元宝区,2室1厅 | 80.7平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,45,"5,577元/平"
福民19，地热断桥窗，可贷款。,福民小区 -振兴区,2室1厅 | 57.7平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,28.8,"4,992元/平"
新城区二中旁边110平只需50万,新城官邸 -振兴区,3室2厅 | 110平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板楼,25人关注 / 一年前发布,40,"3,637元/平"
德龙家园 清水 电梯非顶 三居室  有钥匙 随时看,德龍家园 -振兴区,3室1厅 | 89平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,59.5,"6,686元/平"
售楼处一手手续.好房源.地点好.南北通透.,太阳尚品 -振兴区,3室1厅 | 95.33平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,42.8,"4,490元/平"
此房为东都屹景回迁，私产，满五唯一，采光充足,五州东都屹景 -元宝区,2室2厅 | 76.14平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,1人关注 / 1个月以前发布,28.8,"3,783元/平"
东方枫景，步梯中层，有房本，支持贷款,東方枫景 -振安区,2室1厅 | 64.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,11人关注 / 7个月以前发布,34.5,"5,349元/平"
此房步梯四楼，东西通透，简单装修。,东海小区 -元宝区,2室1厅 | 75平米 | 东 西 | 简装 | 中楼层(共7层)  | 板塔结合,21人关注 / 一年前发布,39.5,"5,267元/平"
此房为精装一居室，基本没怎么住，位置好。拎包入住,绿城紫金园 -振兴区,1室1厅 | 40平米 | 西南 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 1个月以前发布,27,"6,750元/平"
保利三期 阳光充足 精装修 电梯,保利锦江林语 -振兴区,2室2厅 | 94平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,13人关注 / 一年前发布,76.5,"8,139元/平"
万达华府 高档园区 24小时安保 繁华地段 视野 阳光好,万达华府 -振兴区,3室2厅 | 127.57平米 | 东 西 | 精装 | 低楼层(共32层)  | 板楼,18人关注 / 一年前发布,102,"7,996元/平"
视野宽阔，采光充足，配套齐全，交通方便,東方枫景 -振安区,2室1厅 | 63.22平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,23.5,"3,718元/平"
万达华府 电梯好楼层 高档精装修 可贷款,万达华府 -振兴区,3室2厅 | 128.3平米 | 东 西 | 精装 | 高楼层(共32层)  | 塔楼,3人关注 / 一年前发布,117,"9,120元/平"
世景芳华，南北通透，两室两厅精装修！,世景芳华 -振兴区,2室2厅 | 100.84平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,3人关注 / 3个月以前发布,53,"5,256元/平"
万达一期  电梯中层 清水房  通透户型  房本满五,万达华府 -振兴区,2室2厅 | 103.11平米 | 东 西 | 毛坯 | 中楼层(共32层)  | 板楼,11人关注 / 一年前发布,77,"7,468元/平"
四库春秋 房主急售 电梯高层 值看好房 精装修 可贷款,四库春秋 -振兴区,2室2厅 | 76.4平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 7个月以前发布,66,"8,639元/平"
满五唯一，中等装修，光线充足，拎包入住，无遮挡,桃源逸景花園 -振兴区,2室1厅 | 76.58平米 | 南 北 | 精装 | 高楼层(共12层)  | 塔楼,5人关注 / 8个月以前发布,45,"5,877元/平"
河畔花园 江景房 视野开阔阳光明媚,河畔花园 -振兴区,2室1厅 | 64平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,3人关注 / 3个月以前发布,30,"4,688元/平"
步梯公摊小，手续齐全，可贷款，看房方便,宗裕城C区 -元宝区,2室1厅 | 64.17平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,30,"4,676元/平"
滨江壹号，电梯高层，精装修，江景房,滨江壹号 -振兴区,2室1厅 | 92.63平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,54.8,"5,917元/平"
保利锦江林语三期 阳光充足 精装修 园区物业好,保利锦江林语 -振兴区,3室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,73.8,"6,898元/平"
此房位置优越，楼下市场交通便利，采光好，通透格局,福春小区 -振兴区,3室1厅 | 64.51平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,35.5,"5,504元/平"
绿丹江苑北区 电梯中层，精装地热私产可贷款。,绿丹江苑北区 -元宝区,2室2厅 | 68.9平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,2人关注 / 8个月以前发布,47.8,"6,938元/平"
宏安北园 2室2厅 南 北,宏安北园 -元宝区,2室2厅 | 85.88平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,58.8,"6,847元/平"
一层带花园 精装修 阳光好 无遮挡 出行便利。,城市家园 -元宝区,2室1厅 | 70平米 | 南 北 | 精装 | 低楼层(共15层)  | 暂无数据,7人关注 / 2个月以前发布,37,"5,286元/平"
户型利用率高，布局合理。采光好，环境好,金和温州城 -振兴区,2室1厅 | 67.76平米 | 西南 南 | 简装 | 高楼层(共17层)  | 板塔结合,4人关注 / 4个月以前发布,34.5,"5,092元/平"
保利四期商品房 电梯中层精装修 带家具家电 可贷款,保利·锦江林語四期 -振兴区,1室1厅 | 47.27平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,32,"6,770元/平"
上城左岸，电梯高层全天采光，全明户型普装满足拎包住,上城·左岸 -振兴区,2室1厅 | 69.9平米 | 南 北 | 简装 | 高楼层(共17层)  | 暂无数据,1人关注 / 3个月以前发布,37,"5,294元/平"
阳光呱呱好 可看江 视野开阔无遮挡 通透,金叶东方明珠 -振兴区,2室2厅 | 124.45平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,8人关注 / 8个月以前发布,99.6,"8,004元/平"
民兴国际，电梯商品房，精装修。,民兴国际花园 -振安区,2室2厅 | 88.19平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,2人关注 / 2个月以前发布,56.8,"6,441元/平"
此房是优山美地电梯高层有房本可贷款,钰豪-优山美地小区 -元宝区,2室1厅 | 68平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,14人关注 / 一年前发布,36.6,"5,383元/平"
御景苑一期，视野好，清水房随心装修,御景苑一期 -元宝区,3室1厅 | 81.89平米 | 东 南 西 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,28人关注 / 一年前发布,29.8,"3,640元/平"
