标题,开发商,房子信息,发布信息,售价/万,单价
此房是B区临河户型的精装四房全屋中 央空调报价88万！,溶江小区 -经开区,4室2厅 | 141.37平米 | 西南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,88,"6,225元/平"
乾州单位房团结报社环境优美停车方便地段好出行方便,团结报社宿舍 -乾州,4室2厅 | 152.72平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,59.8,"3,916元/平"
大汉新城 电梯 带露台 简单装修,大汉新城 -吉首,4室2厅 | 136.86平米 | 南 | 简装 | 高楼层(共31层)  | 板塔结合,4人关注 / 11个月以前发布,63.8,"4,662元/平"
吉首锦绣香江精装装房，户型周正，采光好,建基·锦绣香江 -吉首,3室2厅 | 157.64平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,63,"3,997元/平"
房子位置好，高楼层，户型采光好，客厅大,锦绣湘西小区 -乾州,3室2厅 | 133.03平米 | 东南 | 简装 | 中楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,59,"4,436元/平"
溶江小区 5室2厅 东南,溶江小区 -经开区,5室2厅 | 179.19平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,5人关注 / 一年前发布,88,"4,911元/平"
电力公司宿舍，单价4000，业主移居外地，诚心售有钥匙,德馨园小区 -吉首,5室2厅 | 179.53平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,2人关注 / 一年前发布,68.8,"3,833元/平"
小高层电梯房，4室2厅大面积，双阳台,拓展▪桂芳园 -乾州,4室2厅 | 150.95平米 | 南 | 简装 | 中楼层(共16层)  | 塔楼,9人关注 / 一年前发布,62,"4,108元/平"
溶江南朝向 通透四房急售 边户 采光视野都可以,溶江小区 -经开区,4室2厅 | 141.34平米 | 东 | 毛坯 | 中楼层(共28层)  | 板塔结合,5人关注 / 一年前发布,69,"4,882元/平"
电力公司宿舍，位置好，物业好，环境好视野开阔无遮挡,向阳坪电力局宿舍 -吉首,3室2厅 | 101.75平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,42.8,"4,207元/平"
乾州市医院旁，大四房诚心出售，看上价格可以在谈。,中宇和园 -乾州,4室2厅 | 166.67平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,60.6,"3,636元/平"
经开区装修大四房 楼层好 可贷款 采光好 大阳台,碧桂园中央公园 -经开区,4室2厅 | 141.09平米 | 东南 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,82.8,"5,869元/平"
乾州世纪山水 临湖观景 毛坯大四房 带车位可售,世纪山水 -乾州,4室2厅 | 190.22平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,117,"6,151元/平"
户型周正，南北通透，采光好，房东诚心，好楼层。,利贞杏园 -乾州,3室2厅 | 126.16平米 | 南 北 | 简装 | 高楼层(共33层)  | 塔楼,9人关注 / 一年前发布,52.8,"4,186元/平"
吉首市财信临河4房 ，业主急售 ，视野宽阔,财信商贸中心 -吉首,4室2厅 | 153.97平米 | 东南 | 简装 | 高楼层(共27层)  | 塔楼,1人关注 / 一年前发布,58.8,"3,819元/平"
吉首八月楼这里.119平，电梯房，户型方正，证件齐全。,武景家园 -吉首,4室2厅 | 119.31平米 | 东南 | 简装 | 高楼层(共17层)  | 塔楼,2人关注 / 一年前发布,53.8,"4,510元/平"
经开区河景好房，交通购物都便利。,碧桂园中央公园 -经开区,4室2厅 | 140.88平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,74.8,"5,310元/平"
107平，3+1户型，只要41万！电梯4房,吉盟天下一期 -吉首,4室2厅 | 107平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,7人关注 / 一年前发布,36.5,"3,412元/平"
乾州繁华地段 人车分流小区 电梯精装三房,华商国际城 -乾州,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,68.8,"5,293元/平"
带有两个露台的精装房，房东诚心出售,教师花园 -乾州,5室2厅 | 190.19平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,10人关注 / 一年前发布,65,"3,418元/平"
工商花园161平四房，一梯两户，单位房，诚意出售,工商花园 -乾州,4室2厅 | 161.35平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,6人关注 / 一年前发布,60.8,"3,769元/平"
御香山小洋房，精装修，带个30平的大露台,仁安·御香山 -经开区,4室2厅 | 140.3平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,6人关注 / 6个月以前发布,122,"8,696元/平"
经开区 吉凤家园 大三房 精装修 诚心出售,吉凤家园小区 -经开区,3室2厅 | 138.13平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 22天以前发布,69.8,"5,054元/平"
房子精装·全屋品牌家装·诚心出售·视野绝绝子,世纪山水 -乾州,5室2厅 | 175.37平米 | 西南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 24天以前发布,158,"9,010元/平"
天麓城洋房，环境优美适合居住。,世纪山水·天麓城 -乾州,4室2厅 | 152.92平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,130,"8,502元/平"
龍泉花苑 3室2厅 西,龍泉花苑 -吉首,3室2厅 | 116平米 | 西 | 毛坯 | 高楼层(共18层)  | 塔楼,4人关注 / 一年前发布,39.8,"3,432元/平"
溶江小区优质四房低价出售，看整个绿化景观,溶江小区 -经开区,4室1厅 | 138.02平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 7个月以前发布,73.8,"5,348元/平"
乾州桂芳园四房，中装采光视野好,拓展▪桂芳园 -乾州,4室1厅 | 146.7平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,49.8,"3,395元/平"
湘西高新区 溶江小区 毛坯五房 户型 通 透 双阳台,溶江小区 -经开区,5室2厅 | 178.84平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,80.5,"4,502元/平"
市中芯毛坯四房，3500一平买电梯四房,湘域中央 -吉首,4室2厅 | 147.5平米 | 南 | 毛坯 | 低楼层(共20层)  | 塔楼,2人关注 / 一年前发布,56.8,"3,851元/平"
高铁新城天鹿城，3房大阳台现房5438，即买即装修,世纪山水·天麓城 -乾州,3室2厅 | 98平米 | 东 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,48,"4,898元/平"
金磊凤凰山，精装修三房，拎包入住,金磊凤凰山 -经开区,3室2厅 | 126.64平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,2人关注 / 5个月以前发布,52,"4,107元/平"
此房满二唯一，格局舒适，楼层好，视野宽阔采光充足。,仁安·御香山 -经开区,4室2厅 | 156.07平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,2人关注 / 一年前发布,88.8,"5,690元/平"
4000一平带装修的电梯河景房  中间楼层  出行方便,湘泉城市花园 -吉首,3室2厅 | 126.88平米 | 南 | 简装 | 中楼层(共12层)  | 塔楼,2人关注 / 2个月以前发布,50.8,"4,004元/平"
乾州单位房 证件齐全 采光好 随时看房,乾邮嘉苑 -乾州,3室2厅 | 147.79平米 | 南 | 毛坯 | 高楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,51,"3,451元/平"
吉大旁精装电梯复式房，可直接入住，看房方便随时看！,水畔铭城 -吉首,4室2厅 | 205.68平米 | 东南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,89.8,"4,367元/平"
此房满二唯一格局舒适，楼层好，视野宽阔，采光充足。,仁安·御香山 -经开区,4室2厅 | 156.7平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,95,"6,063元/平"
精装三房二厅 楼层采光好 拎包入住,鸿锦国际 -吉首,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,62.8,"5,509元/平"
吉首市人民法院宿舍 精装四房 楼层好采光好,吉首市人民法院宿舍 -乾州,4室2厅 | 145.59平米 | 南 | 精装 | 低楼层(共12层)  | 塔楼,0人关注 / 2个月以前发布,75,"5,152元/平"
3层复式楼阳光房，可种花种菜的悠闲平台,帝景豪庭 -吉首,4室2厅 | 145.72平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,8人关注 / 一年前发布,118.8,"8,153元/平"
御景园，人车分流。一梯一户。。采光好没有任何遮挡,诚信御景园 -乾州,4室2厅 | 141.88平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,63,"4,441元/平"
市中芯精装电梯三房，中层满两年，拎包入住,颐居雅园 -吉首,3室2厅 | 135.37平米 | 东南 | 精装 | 中楼层(共13层)  | 板塔结合,2人关注 / 一年前发布,59.8,"4,418元/平"
全新装修未入住的 买家具家电就入住的了,宏远嘉庭 -乾州,3室2厅 | 137.65平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,58,"4,214元/平"
湘西经济开发区 万溶江河河景房 产权清晰无纠纷,溶江小区 -经开区,4室2厅 | 141.34平米 | 西南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,68,"4,812元/平"
溶江小区 通透四房 急售 户型通透 视野好,溶江小区 -经开区,4室2厅 | 138.98平米 | 东南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 7个月以前发布,65,"4,677元/平"
财信CBD位置 临河户型视野好 大四房 带装修 首付低,财信商贸中心 -吉首,4室2厅 | 153.9平米 | 东南 | 简装 | 高楼层(共27层)  | 塔楼,0人关注 / 9天以前发布,65,"4,224元/平"
小区人车分流 ，老人小孩可以放心休闲娱乐,湘泉世纪领域 -乾州,3室2厅 | 132.48平米 | 西南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,77.8,"5,873元/平"
乾州电梯精装四房生活交通方便拎包入住有钥匙即看,书香美域 -乾州,4室2厅 | 140.4平米 | 西北 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 8天以前发布,68,"4,844元/平"
经开区房东精装自住房出售，保持新，价便宜,蓝天花园 -经开区,4室2厅 | 142平米 | 东南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,64,"4,508元/平"
御香山高层，带入户花园，业主诚心出售,仁安·御香山 -经开区,3室2厅 | 137.74平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,73.8,"5,358元/平"
吉首市乾州，世纪山水电梯四房高层视野好，单价才5000,世纪山水 -乾州,4室2厅 | 129.75平米 | 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,65,"5,010元/平"
吉首市乾州，农贸市场边上，精装电梯大三房，全屋品牌,九龍山莊 -乾州,3室2厅 | 134.77平米 | 南 | 精装 | 中楼层(共9层)  | 塔楼,0人关注 / 4个月以前发布,65,"4,824元/平"
轻奢四居室房东打包急售中区临河南北对流采光不挡,溶江小区 -经开区,4室2厅 | 140平米 | 东北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 4天以前发布,90,"6,429元/平"
中等楼层，经开区优质两房，楼层适中，户型周正！,溶江小区 -经开区,3室2厅 | 89.19平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,50,"5,607元/平"
管委会后面 ，单位房 临河居住 空气好 此房契税满,吉凤家园小区 -经开区,2室2厅 | 99.1平米 | 西北 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,48,"4,844元/平"
乾州就读房源近校，不用开车即可。,太丰雅苑名校居 -乾州,2室2厅 | 75.23平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板楼,12人关注 / 一年前发布,32.5,"4,321元/平"
乾州一室一厅，配套齐全，购物方便，房东诚心出售。,军天学府苑小区 -乾州,1室1厅 | 61.72平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,30.8,"4,991元/平"
急售九龙山庄正规两房两厅 首付8.8W 月供2000,九龍山莊 -乾州,2室2厅 | 87.68平米 | 西 | 简装 | 低楼层(共9层)  | 板塔结合,10人关注 / 一年前发布,39.8,"4,540元/平"
楼梯房 ，公摊面积少，配套设施齐全，交通便利,金宏嘉庭 -吉首,2室1厅 | 47.16平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,23.5,"4,984元/平"
乾州电梯精装3房，户型周正，采光好，看上可以谈价,书香美域 -乾州,3室2厅 | 136.63平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 1个月以前发布,65,"4,758元/平"
乾州钟芯区域装修两房，交通方便，采光好，拎包入住,嘉园香桂园 -乾州,2室2厅 | 95.59平米 | 东南 | 简装 | 高楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,49.8,"5,210元/平"
一进门是个入户花园，位置好，交通方便,拓展▪桂芳园 -乾州,3室2厅 | 125.15平米 | 东南 | 毛坯 | 高楼层(共16层)  | 塔楼,3人关注 / 一年前发布,52.8,"4,219元/平"
溶江小区 4室2厅 南,溶江小区 -经开区,4室2厅 | 146.96平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,88.8,"6,043元/平"
经开区蓝天花园首付8万买电梯两房,蓝天花园 -经开区,2室2厅 | 90.66平米 | 东 | 毛坯 | 中楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,38.8,"4,280元/平"
火车站电梯房，店长推荐，两个大阳台，光线好大三房,东方苑 -吉首,3室2厅 | 110平米 | 东南 | 精装 | 高楼层(共13层)  | 塔楼,0人关注 / 一年前发布,45,"4,091元/平"
近世纪广场，精装三房，拎包入住。,嘉园·金桂园 -乾州,3室2厅 | 130.85平米 | 北 | 精装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,58,"4,433元/平"
乾州大三房中间楼层，工业大道电站路交汇处，交通便利,中宇和园 -乾州,3室2厅 | 140.05平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 6个月以前发布,42.8,"3,057元/平"
精装单身公寓，自住出租都很不错。,大汉新城 -吉首,1室1厅 | 42.57平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,14人关注 / 一年前发布,20.8,"4,887元/平"
州电力局宿舍3房2厅1厨1卫1阳台,向阳坪电力局宿舍 -吉首,3室2厅 | 101平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,36.9,"3,654元/平"
湘泉城市花园 3室2厅 北,湘泉城市花园 -吉首,3室2厅 | 127平米 | 北 | 简装 | 低楼层(共12层)  | 塔楼,5人关注 / 一年前发布,54.8,"4,315元/平"
五小旁三房只要45.8万 证在手 随时可过户,州林化厂森苑小区 -吉首,3室2厅 | 116.86平米 | 东 | 简装 | 中楼层(共9层)  | 板楼,5人关注 / 一年前发布,35.8,"3,064元/平"
世纪山水 3房视野开阔 67万 好楼层 证件齐全,世纪山水 -乾州,3室1厅 | 113.65平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,62.8,"5,526元/平"
溶江A区，临河户型视野好，品牌装修,溶江小区 -经开区,4室2厅 | 141.41平米 | 西南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,120,"8,486元/平"
吉盟天下毛坯3房，户型周正价格美丽，随时看房子,吉盟天下一期 -吉首,3室2厅 | 107.89平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,38.8,"3,597元/平"
"溶江小区小户型,90平以下的3房，公积金可取可贷！",溶江小区 -经开区,3室2厅 | 89.19平米 | 东南 | 简装 | 低楼层(共33层)  | 板塔结合,9人关注 / 一年前发布,51,"5,719元/平"
吉首和盛堂旁边政府单位房  保持好 拎包入住,老州政府宿舍 -吉首,3室2厅 | 116.88平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,44.8,"3,833元/平"
河边大四房双阳台，户型周正，采光通透，业主诚心出售,山水华府 -吉首,4室2厅 | 149平米 | 东北 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 一年前发布,53.8,"3,611元/平"
乾州 商务局 单位房 大平层  四房两厅两卫,湘西商务 -乾州,4室2厅 | 172.5平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,69.8,"4,047元/平"
经开区税务局精装复式楼，停车免费。,经开区税务局家属院 -乾州,6室2厅 | 358平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,238,"6,649元/平"
采光好，视野好，一梯两户小区物业服务质量好,碧桂园中央公园 -经开区,2室2厅 | 111.46平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 29天以前发布,58,"5,204元/平"
世纪山水69.8万4房 双阳台 客厅视野开阔无遮挡 有证,世纪山水 -乾州,4室2厅 | 129.86平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 30天以前发布,69.8,"5,376元/平"
经开区仁安御香山中间楼层四房户型周正,仁安·御香山 -经开区,4室2厅 | 155平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 28天以前发布,88.8,"5,730元/平"
军天学府苑小区 2室2厅 南,军天学府苑小区 -乾州,2室2厅 | 78平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,7人关注 / 一年前发布,35.8,"4,590元/平"
世纪广场旁湘州阳光两房带露台出售,湘州陽光 -乾州,2室2厅 | 100平米 | 东南 | 简装 | 低楼层(共11层)  | 暂无数据,5人关注 / 一年前发布,39.8,"3,980元/平"
经开区大坡公园旁 三字开头电梯毛坯大三房 可贷款,乾邮嘉苑 -乾州,3室2厅 | 141.45平米 | 西南 | 毛坯 | 中楼层(共13层)  | 板塔结合,1人关注 / 一年前发布,53,"3,747元/平"
金宏帝景 3室2厅 西北,金宏帝景 -乾州,3室2厅 | 138.66平米 | 西北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,59.8,"4,313元/平"
新吉大南门 电梯装修两室 拎包入住 采光视野好,大汉新城 -吉首,2室1厅 | 63.96平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,29.8,"4,660元/平"
御香山洋房两居，南北双阳台，主卧衣帽间，额外加露台,仁安·御香山 -经开区,2室2厅 | 100.47平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,5人关注 / 11个月以前发布,62.8,"6,251元/平"
吉盟天下装修3房，前后无遮挡物，精装拎包入住,吉盟天下一期 -吉首,3室2厅 | 89.1平米 | 东 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 4个月以前发布,55,"6,173元/平"
乾州单位房，诚心出售，价格美丽钥匙在手，可随时看房,公务员小区 -乾州,3室2厅 | 120.42平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,39.8,"3,306元/平"
州名中旁优质精装3房房东忍痛低价出售,太丰雅苑名校居 -乾州,3室2厅 | 106.35平米 | 北 | 精装 | 高楼层(共8层)  | 板楼,10人关注 / 一年前发布,45.8,"4,307元/平"
乾州农贸市场旁好楼层毛坯4房房东诚心出售,恒盛家园 -乾州,4室2厅 | 147.3平米 | 东南 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,52.8,"3,585元/平"
房子户型好 采光好 九成新 很少入住 家具家电齐全,金地明珠 -乾州,2室2厅 | 95.53平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,48.8,"5,109元/平"
经开区单位房产权70年， 交通局小户型，业主急售,德馨嘉园 -经开区,1室1厅 | 46.11平米 | 东南 | 毛坯 | 低楼层(共20层)  | 暂无数据,3人关注 / 8个月以前发布,22,"4,772元/平"
文艺路电梯高层通透户型，人车分流小区，房龄新,首府印象 -吉首,3室2厅 | 123.16平米 | 东北 | 毛坯 | 高楼层(共25层)  | 塔楼,3人关注 / 一年前发布,49.8,"4,044元/平"
乾州华商国际精装带车位一起打包,华商国际城 -乾州,车位 | 78.62平米 | 西北  | 暂无数据,0人关注 / 2个月以前发布,51.8,"6,589元/平"
房东急需，急需，出售，标准4房,金坪家园 -乾州,4室2厅 | 129平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 30天以前发布,39,"3,024元/平"
业主花了不少时间和经历装修的。,大汉新城 -吉首,2室2厅 | 83.73平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,45,"5,375元/平"
新吉大旁 户型周正  双阳台 采光好,大汉新城 -吉首,3室2厅 | 114.92平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,44.5,"3,873元/平"
吉首繁华地段，精装三房，保持新，可以拎包入住,财信商贸中心 -吉首,3室2厅 | 118.09平米 | 东南 | 精装 | 低楼层(共25层)  | 塔楼,1人关注 / 6个月以前发布,51.8,"4,387元/平"
世纪山水 4室2厅 南,世纪山水 -乾州,4室2厅 | 191平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 27天以前发布,216,"11,309元/平"
高新区爱琴海地段 现房即买即拿证 交通便利 商圈中间,御景豪庭 -经开区,3室2厅 | 115.89平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 16天以前发布,72,"6,213元/平"
金宏帝景 4室2厅 南 北,金宏帝景 -乾州,4室2厅 | 163.88平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 9个月以前发布,72.8,"4,443元/平"
世纪山水精装三房 全屋中 央空调 实木地板 户型通透,世纪山水 -乾州,3室2厅 | 133.05平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,82.8,"6,224元/平"
乾州金宏帝景8成新房主诚心想出售,金宏帝景 -乾州,3室2厅 | 137平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,57.8,"4,219元/平"
状元首府毛坯3房，业主诚心出售，还有一个车位单卖,状元首府 -经开区,3室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 15天以前发布,58,"4,958元/平"
经开区御香山富、人区毛坯三房出售，交通便利,仁安·御香山 -经开区,3室2厅 | 107.09平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,56.8,"5,304元/平"
新城花园小户型钥匙在手看房方便房东急售。,荣昌裕隆世纪山庄（新城花园） -乾州,1室0厅 | 36.41平米 | 南 | 简装 | 中楼层(共19层)  | 塔楼,6人关注 / 一年前发布,16.5,"4,532元/平"
急卖！世纪山水 精装两房 公积金可取可贷现急售,世纪山水 -乾州,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,12人关注 / 一年前发布,59.8,"6,796元/平"
乾州电梯复式楼精装4房，业主空置诚心出售，提前约,荣昌裕隆世纪山庄（新城花园） -乾州,4室2厅 | 236.48平米 | 东南 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,145,"6,132元/平"
房子位置好，采光好，中间楼层，大阳台,晶鑫花园 -乾州,3室2厅 | 143平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,4人关注 / 一年前发布,63,"4,406元/平"
乾州社保大楼旁 精装三房 房东外地发展，诚心出售,拓展▪桂芳园 -乾州,3室1厅 | 122.58平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,49.8,"4,063元/平"
财信商贸中心 4室2厅 东南,财信商贸中心 -吉首,4室2厅 | 123.97平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,3人关注 / 一年前发布,59.8,"4,824元/平"
经开区毛坯大3房，户型周正，小区环境优美，,金磊凤凰山 -经开区,3室2厅 | 121.6平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,2人关注 / 一年前发布,47.8,"3,931元/平"
