标题,开发商,房子信息,发布信息,售价/万,单价
老城区 西门九曲小区套三简装104平2楼  公摊小,九曲河小区 -雁江区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,39,"3,750元/平"
三贤公园 弘乐府套二可当套三 精装 好楼层 拎包入住,弘乐府公园一号 -雁江区,3室2厅 | 90.4平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,53.8,"5,952元/平"
万达商圈 地铁口博雅花园 多层二楼 安静不吵闹,博雅花园A区一期 -雁江区,2室2厅 | 85.23平米 | 东 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,51.8,"6,078元/平"
雅香居 套三 精装 2 楼 禾邦广场，拎包入住,雅香居 -雁江区,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,56.8,"4,508元/平"
水润东都品质套三，114双阳台户型东西可朝向，可看江,水润东都 -雁江区,3室2厅 | 114.84平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 25天以前发布,63.8,"5,556元/平"
此房满五 过户费用低交通便利 产权面积150 实得500平,金洋花园B2区 -雁江区,4室2厅 | 150平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,68.6,"4,574元/平"
春天半岛八区，教育园区，精装修，拎包入住房源。,春天半岛八区 -雁江区,4室2厅 | 115.35平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,86,"7,456元/平"
此房满五 过户费用低交通便利 产权面积109 实得250平,金洋花园B2区 -雁江区,4室2厅 | 107.81平米 | 东南 | 精装 | 低楼层(共15层)  | 暂无数据,0人关注 / 5个月以前发布,65,"6,030元/平"
七小旁边，人民医院家属区，大套三双卫，原房东装修。,中桥巷 -雁江区,3室2厅 | 129平米 | 北 | 简装 | 高楼层(共7层)  | 塔楼,2人关注 / 5个月以前发布,52.8,"4,094元/平"
带花园 香樟园套三双卫原房东精装 抬高了半层,世纪城香樟苑 -雁江区,3室1厅 | 135.35平米 | 东南 | 精装 | 低楼层(共7层)  | 塔楼,3人关注 / 11个月以前发布,68.8,"5,084元/平"
圣高旁清水套三双卫带花园，户型方正，小区环境好,上东逸景 -雁江区,3室2厅 | 113.4平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 16天以前发布,72.8,"6,420元/平"
春天半岛八区套四双卫 交通便利精装修,春天半岛八区 -雁江区,4室2厅 | 152.41平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 11个月以前发布,112,"7,349元/平"
资溪花园C区 套三双卫 房子干净 老城位置好,资溪花园C区 -雁江区,3室2厅 | 122.96平米 | 西北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 9个月以前发布,52.8,"4,295元/平"
圣高旁精装套三双卫，3梯6户，税可谈，视野开阔采光好,上东逸景 -雁江区,3室2厅 | 113.33平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 16天以前发布,76.9,"6,786元/平"
万达地铁口，万达御府，套四双卫，想怎么装就怎么装,资阳万达二期 -雁江区,4室2厅 | 143.99平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 18天以前发布,99.8,"6,932元/平"
凯旋国际 精装套四 小区物业管理到位 孩子上学方便,筑鼎凯旋国际 -雁江区,4室2厅 | 141.82平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,1人关注 / 11个月以前发布,102,"7,193元/平"
南门市场旁 农机苑 大套三双卫 精装空房,农机苑 -雁江区,3室2厅 | 123平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,9人关注 / 8个月以前发布,36.89,"3,000元/平"
梅西房 错层大套三双卫 步梯中楼层 配套成熟 拎包入住,南方小区金桂园 -雁江区,3室2厅 | 135平米 | 东北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,60.8,"4,504元/平"
家乐福旁 一  中 一 晓 卷烟厂生活区 无停车费 精装,四川卷烟厂生活区 -雁江区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,38.2,"3,184元/平"
圣桦名城精装修三房两厅双卫拎包入住对中庭通地下室,圣桦名城 -雁江区,3室1厅 | 109平米 | 东南 南 | 精装 | 低楼层(共28层)  | 塔楼,2人关注 / 7个月以前发布,79.6,"7,303元/平"
圣高旁 270°江景房 中交景湾 精装四房  配套齐全,中交锦湾 -雁江区,4室2厅 | 160平米 | 东南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,135.8,"8,488元/平"
爱琴海 4室2厅 东,爱琴海 -雁江区,4室2厅 | 87.21平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,65.8,"7,546元/平"
沱江新城 阳光水岸 套四 顶越带120平花园 满两年,阳光水岸 -雁江区,4室2厅 | 148.8平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,70,"4,705元/平"
四海国际5室双卫洋房三层顶楼带花园儿,四海国际社区 -雁江区,5室2厅 | 135平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,91.5,"6,778元/平"
急售 摩根时代 精装修带花园套三双卫梅西商圈,摩根时代 -雁江区,3室2厅 | 104.32平米 | 东南 | 其他 | 高楼层(共26层)  | 暂无数据,1人关注 / 1个月以前发布,68.8,"6,596元/平"
银庭.中交景湾套三（107平）江景房,中交锦湾 -雁江区,3室2厅 | 107平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 9天以前发布,62.8,"5,870元/平"
东城一号二期 两层楼带花园儿 套三双卫,东城1号二期 -雁江区,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,2人关注 / 6个月以前发布,72,"6,316元/平"
中车总厂华升园 大套三双卫   56.8万,华升园 -雁江区,3室2厅 | 120平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,56.8,"4,734元/平"
玫瑰园 套三双卫清水房，中间楼层，户型方正采光好。,玫瑰苑 -雁江区,3室2厅 | 116平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 8天以前发布,64.8,"5,587元/平"
水润东都，总高18楼小洋房，江边上的，小区环境优美,水润东都 -雁江区,3室2厅 | 118.91平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 7天以前发布,62.8,"5,282元/平"
洋房雁城大院 143㎡  套四双卫 随时看房,道轩雁城大院 -雁江区,4室2厅 | 143.41平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,111.5,"7,775元/平"
出售春天半岛7区中间楼层套三双卫请水,春天半岛七区 -雁江区,3室1厅 | 112平米 | 东 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 5天以前发布,58.5,"5,224元/平"
出售春天半岛七区中楼层套三双卫清水,春天半岛七区 -雁江区,3室1厅 | 112平米 | 东 东南 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 5天以前发布,57.1,"5,099元/平"
出售春天半岛七区套三双卫清水房,春天半岛七区 -雁江区,3室1厅 | 112平米 | 东 东南 南 西南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 5天以前发布,57.1,"5,099元/平"
出售优品道套三双卫原房东精装修房子,优品道资溪学府 -雁江区,3室2厅 | 110平米 | 东 东南 南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 6天以前发布,85.9,"7,810元/平"
出售水润东都横厅套三双卫清水好楼层,水润东都 -雁江区,3室2厅 | 118平米 | 东 东南 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,62.7,"5,314元/平"
出售雁江华府套四双卫跃层请户型,雁江华府 -雁江区,4室2厅 | 165平米 | 东 东南 南 西南 西 | 毛坯 | 中楼层(共13层)  | 板塔结合,0人关注 / 3天以前发布,98.59,"5,976元/平"
出售雁江华府跃层套四双卫横厅带双阳台清水,雁江华府 -雁江区,4室2厅 | 165平米 | 东 东南 南 西南 西 | 毛坯 | 中楼层(共13层)  | 板塔结合,0人关注 / 3天以前发布,97.6,"5,916元/平"
梅西 摩根时代精装修 带车位 拎包入住 套四,摩根时代 -雁江区,4室2厅 | 121平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 7天以前发布,110,"9,091元/平"
出售凯旋国际跃层带独立使用的花园套四双卫清水,筑鼎凯旋国际 -雁江区,4室2厅 | 143平米 | 东 东南 南 西南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 6天以前发布,109.8,"7,679元/平"
上东逸景清水套四 户型方正在线出售,上东逸景 -雁江区,4室2厅 | 141平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 7天以前发布,71.8,"5,093元/平"
出售圣桦名城精装修套三双卫从未住过人,圣桦名城 -雁江区,3室1厅 | 85平米 | 西南 西北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 6天以前发布,63.6,"7,483元/平"
恒大城套二精装修，房子户型好采光充足视野开阔。,恒大城一期 -雁江区,2室2厅 | 92平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,57.8,"6,283元/平"
恒大城套三双卫精装，户型方正采光好视野开阔正看中庭,恒大城一期 -雁江区,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 18天以前发布,75.6,"6,097元/平"
城南高新区 恒大城 套二精装修 全实木家具 中间楼层,恒大城一期 -雁江区,2室2厅 | 91.15平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,55.8,"6,122元/平"
万达旁临空经济区华西九曲一号套二精装拎包入住采光好,华西九曲1号 -雁江区,2室2厅 | 80.01平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 8天以前发布,55.8,"6,975元/平"
舒适套二 精装修 拎包入住 成熟小区,华西嘉苑 -雁江区,2室1厅 | 69.8平米 | 西北 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 6天以前发布,43.8,"6,276元/平"
朗基香樾府  房东自己精装修 急售  读书方便,朗基香樾府（资阳） -雁江区,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 3天以前发布,65.8,"7,742元/平"
房子为两梯四户处于中间楼层 户户采光 证满二,城南春天 -雁江区,3室2厅 | 89.58平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 30天以前发布,61.8,"6,899元/平"
圣高旁品质小区，证满2年税费低，跃层，套四双卫,雁江华府 -雁江区,4室2厅 | 188.95平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 25天以前发布,125,"6,616元/平"
（房东急售）江南半岛  套四 精装,喜悦江南半岛 -雁江区,4室2厅 | 132平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,79.8,"6,046元/平"
弘城水韵简装套三双卫，朝南、采光通风好,中城建弘城水韵 -雁江区,3室2厅 | 106平米 | 西南 | 简装 | 中楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,61,"5,755元/平"
蓝光公园学府139平，诚心出售,蓝光公园学府 -雁江区,4室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,68,"4,893元/平"
沱东新区 字库山公园 伊顿庄园套四素颜 大横厅设计,伊顿庄园 -雁江区,4室2厅 | 120平米 | 东南 | 毛坯 | 低楼层(共25层)  | 塔楼,0人关注 / 29天以前发布,72.8,"6,067元/平"
圣高旁清水套三双卫，中间楼层，视野采光舒适,圣桦名城 -雁江区,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 18天以前发布,61,"5,597元/平"
高铁北站 地铁口 蓝光开发商 清水套三户型方正,蓝光公园学府 -雁江区,3室2厅 | 122平米 | 东 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 23天以前发布,61,"5,000元/平"
雁江华府4-2-1-2 160.00平方米,雁江华府 -雁江区,4室2厅 | 160平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 30天以前发布,98,"6,125元/平"
恒大名都精装套三，房东花巨资从新布置与改造,恒大名都（资阳） -雁江区,3室2厅 | 129.25平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 24天以前发布,96.8,"7,490元/平"
高新区置地城一期套三双卫急售....,置地城一期 -雁江区,3室2厅 | 85.51平米 | 东南 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,61.8,"7,228元/平"
字库山公园幸福公馆，套四双卫，房东诚心出售可少。。,幸福公馆 -雁江区,4室2厅 | 119.82平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,81.9,"6,836元/平"
万达御府国际二期，套三双卫清水，电梯中上层,资阳万达二期 -雁江区,3室2厅 | 116.81平米 | 北 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,81.6,"6,986元/平"
天景花园 精装套三 不临街环境优,天景花园 -雁江区,3室2厅 | 117.97平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,6人关注 / 11个月以前发布,48,"4,069元/平"
恒大城 套四双卫 精装空房子看小区美景,恒大城一期 -雁江区,4室2厅 | 159平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,92,"5,787元/平"
上东国际美式实木装修套三单卫精装,上东国际 -雁江区,3室2厅 | 100平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,71.6,"7,160元/平"
时代阳光精装套三双卫满五唯一省个税！,时代阳光C区 -雁江区,3室2厅 | 115.73平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 7天以前发布,65.8,"5,686元/平"
总价18万买资溪花园100平套三带花园的房子！,资溪花园C区 -雁江区,3室2厅 | 38平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,18,"4,737元/平"
沱东新区精装修领包入住家具家电齐全,鼎晟泓府 -雁江区,3室2厅 | 118平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 2天以前发布,82,"6,950元/平"
建材小区，套三精装修，房子采光好，小区停车方便。,建材小区 -雁江区,3室2厅 | 90平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 29天以前发布,32.8,"3,645元/平"
圣高旁  临沱江 雁城大院 精装套三单卫 拎包入住,道轩雁城大院 -雁江区,2室2厅 | 107.07平米 | 南 北 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 23天以前发布,114,"10,648元/平"
弘城水韵 138.6平4室2厅双卫 全新精装修 品质小区,中城建弘城水韵 -雁江区,5室2厅 | 138.6平米 | 东南 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 11个月以前发布,132,"9,524元/平"
中间楼层.楼层无任何遮挡.采光好.交通便利,蓝光公园学府 -雁江区,3室2厅 | 122平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,68.3,"5,599元/平"
水润东都套三双卫125平米清水房,水润东都 -雁江区,3室2厅 | 125平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,77.5,"6,200元/平"
南门小区2楼正规套三双卫，户型方正通透有小区可停车,南华小区 -雁江区,3室2厅 | 108平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,39.8,"3,686元/平"
出售套三精装房，价格合适，适合各类人群居住,上东逸景 -雁江区,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 21天以前发布,90,"7,500元/平"
置地城跃层，买一层得一层 清水大套四双卫,置地城天玺 -雁江区,4室2厅 | 100.55平米 | 东南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 11个月以前发布,81.2,"8,076元/平"
圣高广场 中交锦亭 看中庭 安静舒适 中间楼层,中交锦亭 -雁江区,3室1厅 | 91平米 | 东南 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,59,"6,484元/平"
教育园区春天半岛精装房子，家电家具齐全。,金穗花园 -雁江区,3室2厅 | 121.12平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,56.8,"4,690元/平"
出售凯旋国际高品质洋房套三双卫精装修,筑鼎凯旋国际 -雁江区,3室2厅 | 92.26平米 | 东 东南 | 精装 | 中楼层(共9层)  | 塔楼,0人关注 / 1个月以前发布,72.8,"7,891元/平"
急售万达旁 金科套三双卫清水 横厅户型,资阳金科集美天悦 -雁江区,3室2厅 | 98.6平米 | 东南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 21天以前发布,65,"6,593元/平"
圣桦名城1楼带花园 四室两厅双卫 清水 带产权车位,圣桦名城 -雁江区,4室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,86,"6,880元/平"
圣桦名城带60平花园 清水1楼 带车位 急售 上东逸景,圣桦名城 -雁江区,3室2厅 | 84平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 2个月以前发布,58.8,"7,000元/平"
永鑫小区 大面积 套三双卫 皇龙 带装修,永鑫小区 -雁江区,3室2厅 | 130.91平米 | 东南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,58.8,"4,492元/平"
三室两厅双卫 清水中间楼层 上东逸景 朝南,上东逸景 -雁江区,3室2厅 | 120平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,78,"6,500元/平"
万达商圈地铁口 套三双卫精装 户型方正 采光好。。,筑鼎凯旋国际 -雁江区,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 11个月以前发布,79.8,"7,674元/平"
沱东鼎晟鸿福 套三双卫大横厅设计 视野开阔配套齐全,鼎晟泓府 -雁江区,3室2厅 | 118.68平米 | 南 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 14天以前发布,74.8,"6,303元/平"
资溪花园B区套三单卫，交通便利 小区环境干净舒适,资溪花园B区 -雁江区,3室2厅 | 96平米 | 东南 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,55.99,"5,833元/平"
三贤小区。套三双卫原房东精装，直接拎包入住，,三贤小区 -雁江区,3室2厅 | 131.49平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,51.8,"3,940元/平"
雁江七小旁 曼购中*心 雅香居 套三双卫 家具家电齐,雅香居 -雁江区,3室2厅 | 120平米 | 东 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,43.2,"3,600元/平"
恒大城套三双卫精装，房子户型方正动静分区，正看中庭,恒大城一期 -雁江区,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 18天以前发布,76.8,"6,096元/平"
城西恒大名都精装套三双卫拎包入住,恒大名都（资阳） -雁江区,3室2厅 | 121.16平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 15天以前发布,84.8,"7,000元/平"
恒大名都精装套三，全新装修空房子，可任意布置,恒大名都（资阳） -雁江区,3室2厅 | 119.68平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,82.8,"6,919元/平"
老城区 家乐福 达高国际 精装套四 拎包入住 配套成熟,达高国际 -雁江区,4室2厅 | 137平米 | 东南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,110,"8,030元/平"
沱三桥 青年林 碧水丽都 精装套三双卫 带花园,碧水丽都一期 -雁江区,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,62.8,"5,323元/平"
临沱江 青年林旁 阳光水岸 三室两厅 免费停车,阳光水岸 -雁江区,3室2厅 | 118平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,57.8,"4,899元/平"
清水 横厅改善品质生活 大套三满两年,圣桦名城 -雁江区,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共28层)  | 塔楼,1人关注 / 5个月以前发布,67.8,"6,221元/平"
圣高广场旁 清水舒适大四居 生活配套方便,中交锦亭 -雁江区,4室2厅 | 117.17平米 | 东南 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 5个月以前发布,73.8,"6,299元/平"
清水 温馨舒适 大套三 价格可以商量,圣桦名城 -雁江区,3室2厅 | 109平米 | 西南 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 5个月以前发布,62,"5,689元/平"
京华国际121平米舒适套4双卫出售,京华国际 -雁江区,4室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 8个月以前发布,80,"6,612元/平"
雁城大院洋房 143㎡套四双卫  1T2户,道轩雁城大院 -雁江区,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 11天以前发布,117.5,"8,217元/平"
房东诚心出售 雁城大院洋房 1T2户 中间楼层,道轩雁城大院 -雁江区,3室2厅 | 126.31平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 14天以前发布,103.3,"8,179元/平"
教育园区标准套三双卫，九曲河边上的好房,九曲印象 -雁江区,3室2厅 | 115.2平米 | 东南 西北 | 简装 | 高楼层(共24层)  | 暂无数据,0人关注 / 12天以前发布,78,"6,771元/平"
西门车城小区4区套三精装房98平出售！价格可议,车城一期四区小区 -雁江区,3室2厅 | 98平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,45.8,"4,674元/平"
新上恒大城 精装修 套三双卫 拎包入住 高新区,恒大城一期 -雁江区,3室2厅 | 122平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,82.8,"6,787元/平"
皇龙佳佳家苑套三双卫简装电梯房中间楼层,佳佳家苑 -雁江区,3室2厅 | 118.14平米 | 西北 | 简装 | 中楼层(共14层)  | 暂无数据,0人关注 / 11天以前发布,60,"5,079元/平"
晶鑫街和谐苑套三单卫，29.8万,平安小区 -雁江区,3室2厅 | 102.25平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,29.8,"2,915元/平"
中铁滨江国际 证满两年 地铁口 新中式精装空房 套四,中铁·滨江国际 -雁江区,4室2厅 | 113平米 | 南 北 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 10天以前发布,96,"8,496元/平"
雁城大院 精装空房 随时可以看房,道轩雁城大院 -雁江区,3室2厅 | 111.11平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 11天以前发布,92.6,"8,335元/平"
中铁滨江国际 地铁口 精装修 套三双卫,中铁·滨江国际 -雁江区,3室2厅 | 99平米 | 东南 | 精装 | 低楼层(共27层)  | 塔楼,1人关注 / 5个月以前发布,69,"6,970元/平"
车程大道三段 顶跃带花园 套四双卫 拎包入住,车城大道三段 -雁江区,4室2厅 | 158.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,70,"4,410元/平"
梅西商圈 九曲河旁 资溪花园 套三双卫 电梯 中间楼层,资溪花园A区 -雁江区,3室2厅 | 132.37平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"5,274元/平"
