标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
沈抚新区86平2室精装修电梯洋房密度低南北通透,德商春天里 -沈抚新区,2室2厅 | 86.4平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,55.5,"6,424元/平"
此房满五年电梯洋房南北通透大开间东边户视野开阔。,德商国际花园 -沈抚新区,3室1厅 | 119.28平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,69,"5,785元/平"
德商五号院，洋房三楼，清水，南北通透，干湿分离,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,57.7,"5,949元/平"
近新玛特生命之环木亥心商圈，生活方便交通便利,德商国际花园 -沈抚新区,3室2厅 | 96.44平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,43.9,"4,553元/平"
精装三室，南北通透，全明户型，满五唯一,德商春天里 -沈抚新区,3室2厅 | 88.96平米 | 南 西 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,46,"5,171元/平"
南北北通透格局，采光好，无遮挡，配套全,万科金域蓝湾 -沈抚新区,3室2厅 | 167.87平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,99,"5,898元/平"
万科金域蓝湾不把山不临街精装三室,沈抚万科城市之光 -沈抚新区,3室2厅 | 99.56平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,77.5,"7,785元/平"
沈抚新区 德商国际花园 120平三室两卫 南北户型,德商国际花园 -沈抚新区,3室2厅 | 120.23平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,79,"6,571元/平"
万科精装修.好楼层不挡光...,万科金域蓝湾 -沈抚新区,4室2厅 | 147.54平米 | 南 北 | 精装 | 低楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,110,"7,456元/平"
沈抚德商国际花园 精装修 房主急售 价格可议,德商国际花园 -沈抚新区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,3人关注 / 4个月以前发布,78,"6,500元/平"
房源户型好位置优，精装修，看房方便,万科金域蓝湾 -沈抚新区,3室2厅 | 107.41平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,93,"8,659元/平"
万科金域蓝湾二期小高层两室出售,万科金域蓝湾 -沈抚新区,2室1厅 | 93.14平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 25天以前发布,48,"5,154元/平"
沈抚新区 德商国际花园 电梯小高 精装修 拎包入住,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 24天以前发布,35.8,"6,056元/平"
房子南北通透精装，满2唯一，有贷款，单独，看房方便,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 23天以前发布,70,"6,931元/平"
房子南北通透清水，无贷款，单独，看房方便,中金公元启城 -沈抚新区,3室1厅 | 100.65平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 19天以前发布,78,"7,750元/平"
绿地剑桥89平南北标准户型两室一卫一楼大花园,绿地剑桥 -沈抚新区,2室2厅 | 89平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,48,"5,394元/平"
精装修 洋房 不邻街 不把山 通北通透 采光通风好,德商春天里 -沈抚新区,3室1厅 | 87.46平米 | 北 南 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,48,"5,489元/平"
封闭园区 物业好 楼间距大   居住舒适度高,德商国际花园 -沈抚新区,3室2厅 | 94.46平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 11天以前发布,52.5,"5,558元/平"
急售 沈抚新区 锦绣澜湾C区 3室房源 南北通透 采光好,锦绣澜湾C区 -沈抚新区,3室2厅 | 132.96平米 | 南 北 | 其他 | 低楼层(共10层)  | 板楼,9人关注 / 9个月以前发布,51,"3,836元/平"
中南熙悦南北三室清水房楼层好位置好满二年56万,沈抚中南熙悦 -沈抚新区,3室2厅 | 107.07平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,58.8,"5,492元/平"
浑河城别墅330万 环境优美适宜居住,浑河城 -其它,5室3厅 | 184.46平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,4人关注 / 一年前发布,328.3,"17,798元/平"
急售 品牌万科 精装 拎包入住 近东北育才,万科金域蓝湾 -沈抚新区,4室2厅 | 185.67平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,2人关注 / 11个月以前发布,198,"10,665元/平"
急售 沈抚 德商国际花园小高层顶跃197平南北3层带露台,德商国际花园 -沈抚新区,5室4厅 | 197平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,114,"5,787元/平"
电梯洋房 一梯两户 好楼层 好格局 拎包即住,德商国际花园 -沈抚新区,2室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,55.2,"5,576元/平"
锦绣澜湾C区 3室1厅 南,锦绣澜湾C区 -沈抚新区,3室1厅 | 144平米 | 南 | 其他 | 高楼层(共10层)  | 板楼,0人关注 / 7天以前发布,65,"4,514元/平"
万科6期 21年交付 精装拎包入住 南向无遮挡 不把山,沈抚万科城市之光 -沈抚新区,3室2厅 | 99.6平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 14天以前发布,64,"6,426元/平"
德商春天里 电梯洋房  园区中间 采光好 不把山,德商春天里 -沈抚新区,2室2厅 | 86平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 4天以前发布,58,"6,745元/平"
急售，国际鑫城多层，楼层好，采光好，交通便利,国际鑫城 -沈抚新区,3室2厅 | 120.12平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,50,"4,163元/平"
国际鑫城 精品房源 视野好！公摊小，可使用面积大,国际鑫城 -沈抚新区,2室1厅 | 83平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,41.5,"5,000元/平"
万科金域蓝湾2室套间诚心出售，价格合理,万科金域蓝湾 -沈抚新区,2室2厅 | 88平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,70,"7,955元/平"
房主急售 沈抚万科别墅 地上三层 可扩 采光好,万科金域蓝湾 -沈抚新区,5室3厅 | 166.99平米 | 北 南 | 毛坯 | 3层  | 板楼,5人关注 / 一年前发布,226,"13,534元/平"
急售 跃层 大露台 位置好 看房方便,锦绣澜湾D区 -沈抚新区,4室2厅 | 142.57平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,10人关注 / 5个月以前发布,38.2,"2,680元/平"
房主急售 置换新房 南北通透采光良好 交通方便 配套全,金鼎世纪城 -沈抚新区,2室2厅 | 95.28平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,46.5,"4,881元/平"
德商国际花园59平一室一厅精装修，,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,37,"6,259元/平"
沈抚南向单间 精装都不带走 随时看房,德商国际花园 -沈抚新区,1室1厅 | 59.35平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 7个月以前发布,31.5,"5,308元/平"
沈抚新区三室两厅精装修 一天没住过,锦绣澜湾D区 -沈抚新区,3室2厅 | 106.79平米 | 东 南 北 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,57,"5,338元/平"
房主急售，价格便宜，清水房随意装修，格局好。,地旺国际 -沈抚新区,2室2厅 | 93.55平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,4人关注 / 5个月以前发布,30,"3,207元/平"
房主外地发展 诚意出售此房 品牌家具家电 全明两室,德商国际花园 -沈抚新区,2室2厅 | 106.39平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,7人关注 / 6个月以前发布,57,"5,358元/平"
业主急售  精装电梯洋房 出行便利 近南昌 南京  宜居,德商国际花园 -沈抚新区,2室2厅 | 98.47平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 4个月以前发布,51.5,"5,231元/平"
沈抚新区同城一品两室两厅一卫清水出售,同城一品 -沈抚新区,3室2厅 | 110.36平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,10人关注 / 一年前发布,44,"3,987元/平"
沈抚 德商电梯洋房 中间楼层 3室 采光好,德商国际花园 -沈抚新区,3室1厅 | 98平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,56,"5,715元/平"
大户型 6米大开间客厅 南北通透 采光良好 双南向卧室,锦绣澜湾D区 -沈抚新区,2室2厅 | 109.96平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,42,"3,820元/平"
浑河城 国企开发 一线河景房  位置好 交通便利,浑河城 -其它,2室2厅 | 102平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,50,"4,902元/平"
沈抚万科城市之光 全新未住 满二无大税  随时看房,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 一年前发布,43.5,"5,507元/平"
出售 沈抚新区 德商国际花园 清水房 大户型 顶楼,德商国际花园 -沈抚新区,3室2厅 | 100.06平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,57.8,"5,777元/平"
中环天地南北两室，近生命之环 房主急售,中环天地 -其它,2室2厅 | 89.23平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 7个月以前发布,39.5,"4,427元/平"
国际鑫城高层简单装修3室1厅1卫 价格感人、,国际鑫城 -沈抚新区,3室1厅 | 70.32平米 | 西南 | 简装 | 高楼层(共33层)  | 板楼,34人关注 / 一年前发布,24.6,"3,499元/平"
房主急置换 浑南东 近轻轨 近商圈 一楼花园房,万科金域蓝湾 -沈抚新区,2室2厅 | 98.67平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,14人关注 / 一年前发布,81,"8,210元/平"
德商客卧分离 方正小户型 精装低价出售 带露台,德商国际花园 -沈抚新区,1室1厅 | 59.12平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 6个月以前发布,36,"6,090元/平"
精装一楼   99.11平   南北通透带花园   拎包入住,德商国际花园 -沈抚新区,3室2厅 | 99.11平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,85.5,"8,627元/平"
此房采光通风好，视野开阔，配置齐全,亿丰中心 -沈抚新区,2室1厅 | 82.08平米 | 南 东 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,52,"6,336元/平"
德商国际花园室房源急售采光好无遮挡,德商国际花园 -沈抚新区,1室1厅 | 59.35平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,31,"5,224元/平"
满二年，无贷款，中间户不临街，自持物业 入住率8成,沈抚万科城市之光 -沈抚新区,3室2厅 | 130.62平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,102,"7,809元/平"
沈抚万科城市之光2-2-1-1 79.00平 62 万,沈抚万科城市之光 -沈抚新区,2室2厅 | 79平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 9个月以前发布,54,"6,836元/平"
房源楼层好，户型好，家具家电全有,万科金域蓝湾 -沈抚新区,2室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 5个月以前发布,52,"5,910元/平"
沈抚新区万科金域蓝湾，南北通透，采光好，精装修,万科金域蓝湾 -沈抚新区,3室2厅 | 154.83平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,12人关注 / 一年前发布,130,"8,397元/平"
简单装修两室，南北通透，全明户型，满五唯一,德商春天里 -沈抚新区,2室1厅 | 79.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,48.5,"6,078元/平"
本房源为河景房 采光好 无遮挡  园区位置好 南北通透,浑河城 -其它,2室2厅 | 97.86平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,48.5,"4,957元/平"
沈抚 电梯洋房中上楼层 房龄两年 嘎嘎新 看房方便,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58.5,"6,031元/平"
沈抚新区品质园区，带装修55万，,锦绣澜湾D区 -沈抚新区,2室2厅 | 82.57平米 | 东 南 北 | 简装 | 高楼层(共12层)  | 板楼,1人关注 / 一年前发布,37,"4,482元/平"
2021年交付 四叶草户型 好楼层 采光好 近东北育才河景,沈抚中南熙悦 -沈抚新区,3室2厅 | 118.96平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,80,"6,725元/平"
沈抚新区德商国际花园！小面积住宅！南向！精装修,德商国际花园 -沈抚新区,1室1厅 | 41平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 一年前发布,27,"6,586元/平"
石化小区46平房屋出售，简单装修大单间，采光好,抚顺石化洗化小区 -沈抚新区,1室1厅 | 46平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,23人关注 / 一年前发布,10.6,"2,305元/平"
德商    国际花园，     洋房出售,德商国际花园 -沈抚新区,3室2厅 | 99.81平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,55.9,"5,601元/平"
沈抚电梯洋房 低密度小区近南昌 南京 有钥匙 随时看房,德商春天里 -沈抚新区,2室2厅 | 86平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,56.7,"6,594元/平"
阳光丽景二期3室全明户型通透性很好,阳光丽景二期 -沈抚新区,3室1厅 | 95.55平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,47.1,"4,930元/平"
德商春天里 房主急售 价格可议 南北通透户型,德商春天里 -沈抚新区,2室2厅 | 87平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,51.5,"5,920元/平"
房子满两年，精装修，两室两厅一卫，南北通透，北临街,沈抚万科城市之光 -沈抚新区,2室1厅 | 94.63平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,10人关注 / 9个月以前发布,61.8,"6,531元/平"
清水洋房，南北通透，两室，中间户，不临街，满二无贷,德商春天里 -沈抚新区,2室1厅 | 86.29平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,49,"5,679元/平"
这个房子我去过采光老好了阳台可封前排是7层顶的洋房,沈抚万科城市之光 -沈抚新区,2室1厅 | 95.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 8个月以前发布,65.1,"6,847元/平"
此房电梯精装修二卫户型 视野好 南北户型 采光通风好,万科金域蓝湾 -沈抚新区,3室2厅 | 115.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,92,"7,947元/平"
沈抚示范区德商国际花园：清水，园区绿化环境好。,德商国际花园 -沈抚新区,2室2厅 | 70.85平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,41.5,"5,858元/平"
沈抚阳光城 5室5厅 南 北,沈抚阳光城 -沈抚新区,5室5厅 | 233.5平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 19天以前发布,380,"16,275元/平"
出售 沈抚新区 德商国际花园 一楼 三室户型,德商国际花园 -沈抚新区,3室2厅 | 107平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,73,"6,823元/平"
高层电梯临河河景房 无遮挡 楼层好 视野开阔,沈抚中南熙悦 -沈抚新区,3室2厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 4天以前发布,50,"4,673元/平"
出售万科金域蓝湾精装大户型电梯房,万科金域蓝湾 -沈抚新区,3室2厅 | 167.87平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,109,"6,494元/平"
自持物业 入住率8成 室内温度,沈抚万科城市之光 -沈抚新区,4室2厅 | 146.82平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,178,"12,124元/平"
沈抚新区！万科！一梯一户！满2年,万科金域蓝湾 -沈抚新区,3室2厅 | 168.17平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,8人关注 / 一年前发布,120,"7,136元/平"
