标题,开发商,房子信息,发布信息,售价/万,单价
主城区电梯小高层户型方正得房率高配套齐全,金石•凤凰城 -魏都区,3室2厅 | 143.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,121,"8,417元/平"
户型方正，格局合理 精装双气 精装修 西区好位置,锦绣华府(魏都区) -魏都区,3室2厅 | 119.39平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,15人关注 / 一年前发布,60,"5,026元/平"
科技广场旁精装四房，小高层电梯好楼层,学府名苑 -魏都区,4室2厅 | 123.84平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 2个月以前发布,89,"7,187元/平"
西湖公园旁，简装三室，能按揭，出售！！！,银河花园 -魏都区,3室1厅 | 107.43平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,47,"4,375元/平"
南海街 兴天下高 端小区 人车分流 南海街学  有证,瑞贝卡兴天下 -魏都区,3室2厅 | 119.03平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板楼,14人关注 / 一年前发布,86,"7,226元/平"
此房为经典小三室，好楼，房东急售,北海腾飞花园 -建安区,3室1厅 | 87.98平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,3人关注 / 5个月以前发布,44,"5,002元/平"
此房满五唯一 中间好楼层 户型方正,景鸿东湖翡翠 -魏都区,4室2厅 | 175.01平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板塔结合,3人关注 / 8个月以前发布,125,"7,143元/平"
一楼养老 豫中置业 通透三室 停车方便 可按揭,豫中置业 -魏都区,3室2厅 | 108.71平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,42,"3,864元/平"
腾飞鹿鸣湖畔精装大三居背靠鹿鸣湖挨着南海街拎包入住,腾飞鹿鸣湖畔 -建安区,3室2厅 | 141.34平米 | 西南 | 精装 | 中楼层(共30层)  | 板塔结合,10人关注 / 一年前发布,110,"7,783元/平"
好楼层，简装小三室带院子。看房方便。,许昌安装总公司家属院 -魏都区,3室1厅 | 83.52平米 | 南 | 简装 | 低楼层(共4层)  | 板塔结合,2人关注 / 2个月以前发布,62,"7,424元/平"
鹿鸣湖畔，精装大三居，背靠鹿鸣湖挨着南海街拎包入住,腾飞鹿鸣湖畔 -建安区,3室2厅 | 140.91平米 | 东 | 精装 | 高楼层(共32层)  | 板楼,8人关注 / 一年前发布,129,"9,155元/平"
望田路电业局 毓秀路 市十二 带储藏室 双气 可停车,许昌电业局望田路家属院 -魏都区,3室2厅 | 139平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,82,"5,900元/平"
望田路上！双气 小区可停车，毓秀路总价低的三室,望田路市政府家属院 -魏都区,3室1厅 | 78.93平米 | 西 | 简装 | 中楼层(共6层)  | 暂无数据,25人关注 / 11个月以前发布,34,"4,308元/平"
5G智能家居 瑞贝卡兴天下 精装3室 采光视野好 随时看,瑞贝卡兴天下 -魏都区,3室2厅 | 138.39平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,121,"8,744元/平"
瑞贝卡和天下 精装婚房 有证可按揭,瑞贝卡·和天下 -魏都区,3室2厅 | 111平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 2个月以前发布,87,"7,838元/平"
文峰路中段 一楼带院 4室大户型 简单装修 急售,市交警支队家属院北院 -魏都区,4室2厅 | 141.14平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,65,"4,606元/平"
南环精装复式，四室三厅两卫带大露台，适合三代同堂。,育龙小区 -长葛市,4室2厅 | 197.26平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,43,"2,180元/平"
房子步梯中低楼层 公摊小 户型合理 可以直接拎包入住,万象新天 -魏都区,2室2厅 | 95.33平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 28天以前发布,44,"4,616元/平"
新兴西路1544号 2室1厅 北 东南,新兴西路1544号 -魏都区,2室1厅 | 65平米 | 北 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,18.5,"2,847元/平"
带车位 双龙湖旁 精装两室 边户 好楼层 可按揭,澜菲溪岸 -魏都区,2室2厅 | 90.72平米 | 东 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 26天以前发布,49,"5,402元/平"
千亩公园旁  精装四房 全新未入住 带家具家电,建业壹号城邦 -魏都区,4室2厅 | 144平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 21天以前发布,144,"10,000元/平"
配套设施齐全 户型采光良好，楼层适中，视野好,金石星海湾 -魏都区,3室2厅 | 124.5平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 18天以前发布,91,"7,310元/平"
公园旁，环境优美，适宜各类人群  空气好,鹿鸣湖壹号二期悦府 -魏都区,4室2厅 | 131.52平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 18天以前发布,116,"8,820元/平"
高品质小区；出则繁华如则宁静户型合理‘交通便利,恒达北海龙城二期 -建安区,3室2厅 | 134.73平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 23天以前发布,75,"5,567元/平"
楼层好，房间大，大客厅，大卧室，采光充足,金石东方明珠花园 -魏都区,3室2厅 | 144.28平米 | 南 北 | 精装 | 6层  | 板塔结合,31人关注 / 一年前发布,85,"5,892元/平"
霸凌河畔海阔佳苑 新小区绿化好,海阔佳苑 -魏都区,3室1厅 | 87.55平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,45,"5,140元/平"
恒达NAPA溪地 毛坯复式 带车位 满五唯一随时看房,恒达NAPA溪地 -魏都区,3室2厅 | 188.47平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,115,"6,102元/平"
楼层好 视野宽阔 前无遮挡，价格合适 ，空间感好,大正·壹品蓝湾 -魏都区,3室2厅 | 139.3平米 | 东南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,99,"7,107元/平"
中 央公园旁瑞贝卡兴天下三室新中式风格全新未入住,瑞贝卡兴天下 -魏都区,3室2厅 | 118.18平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,103,"8,716元/平"
瑞贝卡大道仓库路口 中装小三室 仅售52万 随时可看房,中房祥佑家园 -建安区,3室1厅 | 91.2平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,52,"5,702元/平"
尚景园小区 3室2厅 南,尚景园小区 -魏都区,3室2厅 | 150.34平米 | 南 | 毛坯 | 中楼层(共19层)  | 塔楼,0人关注 / 2个月以前发布,95,"6,320元/平"
华佗路西湖花园小区 3室2厅 东 东南 南,华佗路西湖花园小区 -魏都区,3室2厅 | 104.1平米 | 东 东南 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 6个月以前发布,43,"4,131元/平"
祥和小区  户型方正  四室两厅,祥和小区(魏都区) -魏都区,4室2厅 | 188.64平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,84,"4,453元/平"
步梯2楼养老房 有双气 满五没税 距大门近 出行方便,市政府家属院 -魏都区,3室1厅 | 101.9平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,22人关注 / 一年前发布,33,"3,239元/平"
健康路小学宿舍楼  3室 1楼 有储 可按揭,健康路小学宿舍楼 -魏都区,3室2厅 | 84平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,1人关注 / 6个月以前发布,69,"8,215元/平"
此房为三房户型布局合理，好楼层，全天候采光,北海腾飞花园 -建安区,3室2厅 | 88.51平米 | 东南 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 9天以前发布,43,"4,859元/平"
西湖北街 双气 一楼半 南北通风 正常按揭,火电厂家属院东院 -魏都区,3室2厅 | 120.52平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,76,"6,307元/平"
万象新天 步梯领导楼层 价格美丽 双气随时看房,万象新天 -魏都区,3室2厅 | 111.13平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,57,"5,130元/平"
经典户型，楼层好，户型好。采光好。,烤烟厂家属院 -魏都区,3室1厅 | 85.52平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,31.8,"3,719元/平"
双气三室，可按揭，南北通透，实用面积大,毓秀新村 -魏都区,3室1厅 | 102.75平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,49,"4,769元/平"
中房祥佑家园3-1-1-1 107.00m² 55 万,中房祥佑家园 -建安区,3室1厅 | 107平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,55,"5,141元/平"
此房满五年唯一住宅，户型方正无浪费面积,丽景新苑 -建安区,3室2厅 | 134.63平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,0人关注 / 5个月以前发布,69,"5,126元/平"
房子户型方正。前方无遮挡，阳光明媚，价格还便宜。,空港新城 -建安区,4室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,21人关注 / 一年前发布,92,"6,434元/平"
曹魏古城旁，可按揭，二楼 三居室，58万，带储一间,魏都区农行家属院 -魏都区,3室2厅 | 112.11平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,55,"4,906元/平"
西湖公园 胖东来劳动店西  3室2厅 2楼有储 有证可按揭,许昌安装总公司家属院 -魏都区,3室2厅 | 101.81平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,63,"6,188元/平"
文化节 2仲低楼层户型方正通透 装修良好可拎包入,恒达都市花园 -魏都区,3室2厅 | 124.65平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,80,"6,418元/平"
户型方正 3开间朝南  业主诚心出售,金桥园 -魏都区,3室2厅 | 163.78平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,0人关注 / 3个月以前发布,103,"6,289元/平"
樱之新城 2室1厅 南 北,樱之新城 -长葛市,2室1厅 | 83.23平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 9天以前发布,31,"3,725元/平"
滨河名郡 电梯房 南向精装两室 清潩河边 满五年唯一,滨河名郡 -魏都区,2室1厅 | 95.21平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,10人关注 / 10个月以前发布,65,"6,828元/平"
满五唯一户型合理 小区正中间，中间好楼层 采光刺眼,腾飞·奥体花城 -魏都区,2室2厅 | 91.65平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,3人关注 / 4个月以前发布,62,"6,765元/平"
60W住鹿鸣湖旁恒大绿洲 精装两室,恒大绿洲 -魏都区,2室2厅 | 84.77平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,3人关注 / 3个月以前发布,60,"7,078元/平"
南海街 精品小区 鹿鸣湖隔壁 高铁旁,天宝盛世花园 -建安区,2室2厅 | 91.66平米 | 东南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,63.6,"6,939元/平"
百禾都市领域 1室1厅 西,百禾都市领域 -长葛市,1室1厅 | 45.64平米 | 西 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 4个月以前发布,28,"6,135元/平"
时代广场  护城河 鑫悦广场 1室 单独厨房卫生间,鼎鑫鑫悦广场 -魏都区,1室0厅 | 25平米 | 西北 | 简装 | 中楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,26.8,"10,720元/平"
奔马厂家属院 2室1厅 东南,奔马厂家属院 -长葛市,2室1厅 | 72.56平米 | 东南 | 简装 | 高楼层(共4层)  | 暂无数据,3人关注 / 2个月以前发布,10,"1,379元/平"
房子楼层低，适合养老，采光无遮挡，房东急售,鼎鑫鑫悦广场 -魏都区,2室2厅 | 74.72平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,3人关注 / 3个月以前发布,59,"7,897元/平"
大正·壹品蓝湾1-1-1-1 45.50m²,大正·壹品蓝湾 -魏都区,1室1厅 | 45.5平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,3人关注 / 2个月以前发布,22,"4,836元/平"
精装两室 南北双阳台 通透性好！,万象蓝天 -魏都区,2室2厅 | 89.32平米 | 东南 | 精装 | 中楼层(共20层)  | 板楼,3人关注 / 2个月以前发布,67.5,"7,558元/平"
首付十三万经典两室诚心卖房随时过户,腾飞·奥体花城 -魏都区,2室2厅 | 92.04平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,2人关注 / 5个月以前发布,65,"7,063元/平"
腾飞奥体花城 精装2室 小区中间  中间好楼层 拎包入住,腾飞·奥体花城 -魏都区,2室2厅 | 91.24平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,13人关注 / 4个月以前发布,66,"7,234元/平"
一楼带50平院子，满五唯一，着急卖,天明城 -建安区,2室2厅 | 82.47平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,1人关注 / 1个月以前发布,64.5,"7,822元/平"
腾飞本土两室精装带露台，急卖！！！,腾飞·奥体花城 -魏都区,2室2厅 | 91.79平米 | 西南 | 精装 | 低楼层(共24层)  | 板塔结合,2人关注 / 2个月以前发布,67,"7,300元/平"
360旁边 恒达名门尚居 南北通的两房 可拎包入住,恒达名门尚居 -魏都区,2室2厅 | 87.86平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,70,"7,968元/平"
许昌标杆社区南海街腾飞鹿鸣湖畔现房毛坯即买即住,腾飞鹿鸣湖畔 -建安区,2室2厅 | 94.78平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,70,"7,386元/平"
急售 ！！急售！！！诚意出售一室一厅好房,九洲溪雅苑 -魏都区,1室1厅 | 62.01平米 | 南 西南 | 毛坯 | 中楼层(共19层)  | 板塔结合,4人关注 / 2个月以前发布,32,"5,161元/平"
家天下电梯两室 物采光无遮挡 精装修随时看风,瑞贝卡·家天下 -魏都区,2室2厅 | 92.35平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,11人关注 / 6个月以前发布,69.5,"7,526元/平"
户型方正，中高楼层，中式精装，拎包入住，采光通风好,学府名苑 -魏都区,2室2厅 | 78.56平米 | 东南 南 | 简装 | 中楼层(共11层)  | 板塔结合,13人关注 / 一年前发布,56,"7,129元/平"
满五不唯一，楼层采光向阳，户型方正，随时拎包入住,许继花园 -魏都区,3室2厅 | 134.75平米 | 南 北 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,89,"6,605元/平"
毓秀路，十二，步梯2楼，出行便利诚心出售,市建行培训中心 -魏都区,3室2厅 | 98.79平米 | 南 北 | 简装 | 中楼层(共4层)  | 板塔结合,17人关注 / 一年前发布,46,"4,657元/平"
1楼带院，养老房。精装修小三室，业主急卖,灯具厂家属院 -魏都区,3室1厅 | 70平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,12人关注 / 一年前发布,37,"5,286元/平"
解放路西寿昌里二楼养老房，三室精装修，双气，48万，,荷花小区 -魏都区,3室2厅 | 107.55平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,6人关注 / 5个月以前发布,43,"3,999元/平"
此房户型方正  实用面积大  三室,三利公司家属院 -魏都区,3室2厅 | 127.76平米 | 东 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,36,"2,818元/平"
空港新城2期 现房 有证 可按揭 好楼层,空港新城二期 -建安区,3室2厅 | 89.07平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,10人关注 / 5个月以前发布,60,"6,737元/平"
采光充足，交通便利，精装修。。。。。。。。。,宏伟西雅图 -魏都区,3室2厅 | 106.93平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,8人关注 / 一年前发布,49,"4,583元/平"
毓秀路，双气三室，可分期，门前停车方便,青竹苑 -魏都区,3室2厅 | 122.75平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,65,"5,296元/平"
东城实验旁 魏文路壹品蓝湾精装2室电梯好楼层,大正·壹品蓝湾 -魏都区,2室2厅 | 94.88平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,12人关注 / 4个月以前发布,65,"6,851元/平"
鹿鸣湖 南海街精装修三室，南北双阳台电梯好楼层,腾飞·奥体花城 -魏都区,3室2厅 | 138.01平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,14人关注 / 9个月以前发布,98,"7,101元/平"
腾飞鹿鸣湖畔 精装未入住 1梯1户 小高层  全天无遮挡,腾飞鹿鸣湖畔 -建安区,4室2厅 | 189.4平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,216,"11,405元/平"
建业森林半岛 精装3室 南北通透 户型方正 采光充足,建业森林半岛 -魏都区,3室2厅 | 142.95平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 2个月以前发布,99,"6,926元/平"
首付20万带家具家电此房带一个露台满五唯一,腾飞鹿鸣湖畔 -建安区,3室1厅 | 125.86平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,95,"7,549元/平"
急售 恒大翡翠华庭 仅住半年 含全友家私家电 拎包住,恒大翡翠华庭 -魏都区,3室2厅 | 132.92平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,10人关注 / 8个月以前发布,103,"7,750元/平"
八一路文峰路双气大三室房东忍痛出售,茂源·金色家园 -魏都区,3室2厅 | 131.76平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55.3,"4,198元/平"
建安大道双气精装三室，拎包入住，户型方正，得房率高,潩河苑 -魏都区,3室2厅 | 146.84平米 | 南 东南 | 精装 | 中楼层(共6层)  | 板塔结合,5人关注 / 5个月以前发布,76,"5,176元/平"
毓秀路小 十二中 中医院  三室 采光好 通风好,许昌市财保公司住宅楼 -魏都区,3室2厅 | 130.31平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,65,"4,989元/平"
双龙湖旁边 精装小3室 家具家电齐全,澜菲溪岸 -魏都区,3室1厅 | 89.25平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 4个月以前发布,51,"5,715元/平"
和北海公园一路之隔的四室好房源,碧湖云天 -建安区,4室2厅 | 145.3平米 | 东南 南 | 简装 | 低楼层(共19层)  | 板楼,4人关注 / 4个月以前发布,60,"4,130元/平"
芙蓉湖  德士堡旁 建业世和府 顶层复式,建业世和府 -建安区,5室2厅 | 270.94平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,1人关注 / 2个月以前发布,204,"7,530元/平"
北海腾飞花园 3室1厅 东南,北海腾飞花园 -建安区,3室1厅 | 87.98平米 | 东南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 30天以前发布,43,"4,888元/平"
此房户型方正，中间好楼层，契税不满两年，精装100万,许昌恒大悦龙台 -魏都区,4室2厅 | 144平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 30天以前发布,90,"6,250元/平"
东区高铁站 学 校旁 业主包税 中间楼层 急售 急售,空港新城二期 -建安区,1室1厅 | 47.01平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,2人关注 / 2个月以前发布,27,"5,744元/平"
许昌市物资局家属院 两室一厨一卫,许昌市物资局家属院 -魏都区,2室0厅 | 46.8平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,14人关注 / 7个月以前发布,11.8,"2,522元/平"
户型方正采光好，配套齐全，交通便利,天明城 -建安区,2室1厅 | 85.43平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,62,"7,258元/平"
万象新天 双气自带幼儿园 房东急售随时看房,万象新天 -魏都区,2室1厅 | 95.33平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 2个月以前发布,36,"3,777元/平"
万象新天，一楼带储藏室，带车位，精品好房,万象新天 -魏都区,2室2厅 | 90.1平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,45,"4,995元/平"
高铁站 学 校旁 精装一室 业主包税 小区低价首 选,空港新城二期 -建安区,1室1厅 | 39.37平米 | 北 | 精装 | 中楼层(共28层)  | 板楼,8人关注 / 4个月以前发布,21.5,"5,462元/平"
万达广场360广场中间位置双气精装修可按揭,健发御园三期 -魏都区,3室2厅 | 99.03平米 | 南 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 3个月以前发布,70,"7,069元/平"
步梯二楼，离实验300米。南北双阳台。,开源批发市场住宅楼 -魏都区,2室1厅 | 59平米 | 北 西 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,20,"3,390元/平"
双龙湖 澜菲溪岸 精装修2室1厅 双气 可按揭,澜菲溪岸 -魏都区,2室2厅 | 92.68平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,9人关注 / 一年前发布,48.5,"5,234元/平"
西区繁华路段，配套齐全，出行方便，房东诚心出售！,碾上百货公司家属院 -魏都区,2室1厅 | 68平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,3人关注 / 2个月以前发布,14.8,"2,177元/平"
鼎鑫鑫悦广场低层大两室精装修南北通风环境优美可按揭,鼎鑫鑫悦广场 -魏都区,2室1厅 | 121平米 | 南 北 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,89,"7,356元/平"
胖东来边 3房有电梯 采光全天好  便利 学习,瑞贝卡·家天下 -魏都区,3室2厅 | 122.08平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 5个月以前发布,88,"7,209元/平"
文博路 文峰小区 一楼带院 二室一厅 朝阳户型,文峰小区 -魏都区,2室1厅 | 56.6平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,11人关注 / 6个月以前发布,22,"3,887元/平"
此小区许昌少有品质人车分流小区，适宜各年龄段人,鼎鑫鑫悦广场 -魏都区,2室2厅 | 85.67平米 | 南 | 简装 | 中楼层(共28层)  | 塔楼,6人关注 / 一年前发布,65.1,"7,599元/平"
延安路 帝豪路 对 面公园 小区有门卫 交通便利,二橡胶厂家属院 -魏都区,2室2厅 | 69.62平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 4个月以前发布,19.8,"2,845元/平"
许继光明小区一楼带院，养老房，有暖气,许继光明小区 -魏都区,2室1厅 | 62.69平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,27,"4,307元/平"
电梯小高层。生活广场，思古台旁、生活便利,水语花城 -魏都区,2室2厅 | 101.54平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,2人关注 / 4个月以前发布,53,"5,220元/平"
建业壹号城邦毛坯两室，诚心出售,建业壹号城邦 -魏都区,2室2厅 | 89.45平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,62,"6,932元/平"
户型好，中间楼层，小区绿化，物业资质一级,空港新城二期 -建安区,1室1厅 | 44.02平米 | 南 | 简装 | 低楼层(共28层)  | 板塔结合,3人关注 / 3个月以前发布,23,"5,225元/平"
许昌市外贸纺织品公司住宅楼 2室1厅 南,许昌市外贸纺织品公司住宅楼 -魏都区,2室1厅 | 54.89平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,13,"2,369元/平"
精装修短期入住满五唯一.........,海阔佳苑 -魏都区,3室2厅 | 117.79平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 1个月以前发布,56,"4,755元/平"
精装修 品牌家电家具。出行方便。,金域湾 -建安区,3室2厅 | 123.64平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 16天以前发布,91,"7,361元/平"
