标题,开发商,房子信息,发布信息,售价/万,单价
东坝江景房，朝南，精装修三房双卫，拎包入住，,翡翠城 -东坝,3室2厅 | 136.33平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,123,"9,023元/平"
平桥小区 2室2厅 交通便利 小区环境干净舒适 适合居住,龙眼花园 -东坝,2室2厅 | 90.12平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,4人关注 / 11个月以前发布,48,"5,327元/平"
御锦湾精装三改二大两居业主诚心出售,御锦湾 -东坝,2室2厅 | 98.2平米 | 南 | 其他 | 低楼层(共29层)  | 塔楼,0人关注 / 一年前发布,97,"9,878元/平"
御锦湾 2室2厅 南,御锦湾 -东坝,2室2厅 | 84.6平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,85,"10,048元/平"
：铂金轻奢地段，双证齐全，全明采光，,尚景苑 -东坝,3室3厅 | 163平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,96,"5,890元/平"
利州东路 朝南户型 带中式实木家具,天润翰林广场 -东坝,3室2厅 | 124.5平米 | 南 | 其他 | 中楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,115,"9,237元/平"
电梯房 生活方便   3室2厅1厨    拎包入住,金城家园三期 -东坝,3室2厅 | 93.08平米 | 东 | 其他 | 中楼层(共17层)  | 暂无数据,15人关注 / 11个月以前发布,75,"8,058元/平"
东坝  利州广场旁   御景湾  精装房急售,御锦湾 -东坝,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,7人关注 / 6个月以前发布,98.5,"9,950元/平"
老城将军桥 精装修  大三室 证件在手 随时过户,宏恒公寓(望江路) -老城,3室2厅 | 127平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,78,"6,142元/平"
南河大三房  户型方正  满五税少  诚心出售,玉树家园 -南河,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,75,"5,860元/平"
此房三室两厅一卫，不带装修，是毛坯房,万达中央华城 -万源,3室2厅 | 89.2平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,1人关注 / 一年前发布,83,"9,305元/平"
此房户型方正，采光很好，格局好。小区绿化面积大,学都瑞景 -东坝,3室2厅 | 108平米 | 西北 | 其他 | 中楼层(共24层)  | 塔楼,0人关注 / 一年前发布,87,"8,056元/平"
御锦湾小区位置好，，小区绿化好，看房方便，,御锦湾 -东坝,3室2厅 | 101平米 | 北 | 其他 | 高楼层(共32层)  | 暂无数据,6人关注 / 10个月以前发布,108,"10,694元/平"
震后大型小区，高档电梯公寓，精装三房双卫，业主急售,维多利亚 -下西坝,3室2厅 | 113.59平米 | 东南 | 其他 | 低楼层(共31层)  | 板塔结合,33人关注 / 一年前发布,85,"7,484元/平"
看气质？NO!主要看热度这就是好房,人民法院宿舍 -东坝,4室3厅 | 191.19平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,5人关注 / 11个月以前发布,135,"7,062元/平"
大三室两厅一厨一卫，清水房，大阳台,开云世家 -南河,3室2厅 | 104平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,26人关注 / 一年前发布,66,"6,347元/平"
雪峰精装四室两厅   采光充足   视野开阔,正兴花园 -雪峰,4室2厅 | 120平米 | 东南 | 其他 | 中楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,128,"10,667元/平"
双豪玲珑郡 2室1厅 东南,双豪玲珑郡 -东坝,2室1厅 | 75平米 | 东南 | 其他 | 中楼层(共19层)  | 暂无数据,13人关注 / 一年前发布,53,"7,067元/平"
此房满五唯一，装修简单温馨，带家具家电,正黄金域华府 -东坝,2室2厅 | 73平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,7人关注 / 一年前发布,74,"10,137元/平"
利州广场旁2居室高档小区，诚心出售，急售，急售,御锦湾 -东坝,2室2厅 | 83.98平米 | 东 | 其他 | 高楼层(共18层)  | 板塔结合,8人关注 / 一年前发布,78,"9,288元/平"
利州巡察家属院  交通便利 小区环境干净舒适 适合居住,利州巡察家属院 -南河,3室2厅 | 134.8平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,16人关注 / 一年前发布,53,"3,932元/平"
万缘碧桂园两房出售  朝南  楼层好   视野开阔,广元碧桂园 -雪峰,2室2厅 | 80平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,56,"7,000元/平"
政府街精装电梯两室，中间楼层，视野无遮挡，采光充足,世纪广场 -老城,2室1厅 | 73.11平米 | 东南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 5个月以前发布,63,"8,618元/平"
小区环境优雅，清静不吵闹，交通便利，很适合居家。,广元碧桂园 -雪峰,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 10个月以前发布,97,"7,699元/平"
广元市雪峰利州东路主干道普罗旺斯二期,普罗旺斯二期 -雪峰,3室2厅 | 97平米 | 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,4人关注 / 一年前发布,90,"9,279元/平"
出行方便，户型方正，居住方便舒适,维多利亚 -下西坝,3室2厅 | 92平米 | 北 | 其他 | 低楼层(共31层)  | 板塔结合,6人关注 / 一年前发布,68,"7,392元/平"
东坝大东英才大3居室关门出售......,兴和苑 -东坝,3室2厅 | 112平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,85,"7,590元/平"
2室2厅1厨1卫 ，  明厨明卫， 有助于通风 。,汉寿雅居 -东坝,2室2厅 | 94.6平米 | 东 | 其他 | 低楼层(共16层)  | 暂无数据,27人关注 / 一年前发布,68,"7,189元/平"
房满五年，出行方便，户型方正，居住方便舒适....,翡翠城 -东坝,4室2厅 | 128.29平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,15人关注 / 一年前发布,92,"7,172元/平"
鑫苑小区  四室二厅一厨双卫，精装低楼层,鑫苑小区 -老城,4室2厅 | 157平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,90,"5,733元/平"
精装，朝向好，大三居，拧包入住.......,正黄金域华府 -东坝,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,16人关注 / 一年前发布,129,"10,750元/平"
利源小区  四室两厅  小区环境舒适，适合居住,利源小区 -东坝,4室2厅 | 145平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,94,"6,483元/平"
高档小区，配套齐全，人文素质高，空气坏境好,恒星城东区 -东坝,4室2厅 | 167平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,17人关注 / 一年前发布,123,"7,366元/平"
科兴园二期 大套二 精装修 卧室带大阳台,科兴园二期 -东坝,3室2厅 | 97.5平米 | 西南 | 其他 | 高楼层(共24层)  | 暂无数据,1人关注 / 1个月以前发布,68,"6,975元/平"
瑾瑞逸城 3室X2厅 交通便利 小区环境 适合居住,瑾瑞逸城 -南河,3室2厅 | 121.81平米 | 北 | 其他 | 高楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,115,"9,441元/平"
金橄榄广场住房出售 房源真实 看房提前联系,金橄榄广场 -东坝,2室2厅 | 97平米 | 南 | 简装 | 高楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,95,"9,794元/平"
托斯卡纳3-2-1-2 126.70m² 150 万,托斯卡纳 -万源,3室2厅 | 126.7平米 | 东南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,145,"11,445元/平"
品牌家电，家具可实地看房..........,利源小区 -东坝,3室2厅 | 140平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,95,"6,786元/平"
万源托斯卡纳精装修3居室 ，阔景阳台，,托斯卡纳 -万源,3室2厅 | 93.57平米 | 西北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,130,"13,894元/平"
东坝铂金位置，三室两厅两卫 精装 户型方正,骏仕佳苑 -东坝,3室2厅 | 135平米 | 西 | 其他 | 高楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,109,"8,075元/平"
精装修三房，户型方正，位于小区中庭位置,御锦湾 -东坝,3室2厅 | 111.7平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,7人关注 / 一年前发布,118,"10,565元/平"
：此房出行方便，户型方正，居住方便舒适。,刨花板厂小区 -南河,4室2厅 | 159.8平米 | 西 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,86,"5,382元/平"
此房位置好‘采光好；附、近配套齐全’‘出行也方、便,成功花园 -东坝,3室2厅 | 112平米 | 南 北 | 其他 | 低楼层(共2层)  | 板塔结合,4人关注 / 一年前发布,74.9,"6,688元/平"
利州东路主干道，户型方正大套三出售,通大道 -东坝,3室2厅 | 138.9平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,73,"5,256元/平"
御锦湾 3室2厅 北,御锦湾 -东坝,3室2厅 | 99.8平米 | 北 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,108,"10,822元/平"
万达华城精装修中间楼层128平。房东急售。,万达中央华城 -万源,4室2厅 | 128.8平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼,5人关注 / 一年前发布,138,"10,715元/平"
东坝繁华位置，精品套四，成熟配套小区,天润翰林广场 -东坝,4室2厅 | 127平米 | 西南 | 简装 | 高楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,149,"11,733元/平"
万达旁，奢华装修，品质小区，拎包入住，商圈成熟,万达中央华城 -万源,4室2厅 | 133.5平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,130,"9,738元/平"
苴国市场 3室2厅 交通便利 小区环境 适合居住,苴国市场小区 -东坝,3室2厅 | 147.52平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,86,"5,830元/平"
奥体旁，跃层带平台，两梯四户，居住舒适，,宏利上城 -雪峰,3室2厅 | 157平米 | 南 | 其他 | 高楼层(共25层)  | 暂无数据,5人关注 / 一年前发布,112,"7,134元/平"
东坝大四居室，客厅朝江，带两个大阳台。,东晟华庭 -东坝,4室2厅 | 160.79平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,133,"8,272元/平"
