标题,开发商,房子信息,发布信息,售价/万,单价
美的三期，环境好，适合老人小孩居住,美的蝴蝶海三期 -梅山岛,2室2厅 | 79.58平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,10人关注 / 7个月以前发布,89,"11,184元/平"
四叶草户型 楼层好采光佳 诚心出售,龙湖双珑原著府 -慈城,4室2厅 | 127.16平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,203,"15,965元/平"
边套3.6米挑高客厅 正宗洋房位置好 装修150万 可看江,印象外滩 -钟公庙,3室2厅 | 135.39平米 | 南 | 精装 | 6层  | 板楼,2人关注 / 18天以前发布,560,"41,362元/平"
电梯房精装当做毛坯卖，奉化的价格买鄞州,小城春秋 -姜山,4室2厅 | 128.05平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 28天以前发布,230,"17,962元/平"
明州院子 精装四房 诚心出售 随时看房,美的明州院子 -首南,4室2厅 | 134.45平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 17天以前发布,462,"34,363元/平"
桃源心境 3室2厅 南,桃源心境 -横街,3室2厅 | 111.37平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 28天以前发布,151,"13,559元/平"
次新小区，精装3室，看房有钥匙,栎和佳苑 -石碶,3室1厅 | 107.03平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,0人关注 / 21天以前发布,245,"22,891元/平"
东部新城旁绿城品质3房低总价地铁盘,杨柳郡 -邱隘,3室1厅 | 89.43平米 | 南 | 精装 | 10层  | 板楼,0人关注 / 18天以前发布,310,"34,664元/平"
荣安诚品之作，小区中庭位置，楼间距宽，精装修交付,荣安桃花源 -集士港,3室2厅 | 88.29平米 | 南 | 精装 | 中楼层(共15层)  | 暂无数据,0人关注 / 31天以前发布,245,"27,750元/平"
布政新村 前后大露台 得房率高,布政新村（西区） -古林,4室1厅 | 107.11平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 26天以前发布,177,"16,526元/平"
堇天府 4室2厅 南,堇天府 -首南,4室2厅 | 122.42平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 26天以前发布,445,"36,351元/平"
小区环境好，户型好 全新小区交付 地铁口,中南菩悦锦庭 -石碶,4室2厅 | 127.67平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 30天以前发布,290,"22,715元/平"
全新未入住房东去杭州工作置换，婚装30万，三房带车位,吾悦广场三期 -骆驼,3室2厅 | 113.66平米 | 南 | 其他 | 低楼层(共21层)  | 板楼,3人关注 / 15天以前发布,310,"27,275元/平"
南北通风好，全新婚装，靠河落地窗视野广，地铁5号线,润玉园 -潘火,3室2厅 | 120.12平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 7天以前发布,359,"29,887元/平"
陈婆渡 顶复小洋房 双阳台 4室2卫 品质物业,陈婆渡小区 -首南,4室2厅 | 125.27平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,228,"18,201元/平"
潘火次新  荣安星院 四叶草户型 中庭位置 楼层好,荣安星院 -潘火,4室2厅 | 130.28平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 11天以前发布,435,"33,390元/平"
滨海锦苑好房出售，装修保养好，看房方便,滨海锦苑 -新碶,3室2厅 | 94.7平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,205,"21,648元/平"
海尚广场：精装3居室 大客厅 居住舒适 总价低,银亿海尚广场 -骆驼,3室1厅 | 89.56平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,1人关注 / 15天以前发布,195,"21,774元/平"
格局好，楼层也不错，采光充足，主要的是业主诚心出售,合生杭州湾国际新城二期 -杭州湾新区,5室3厅 | 294.54平米 | 南 北 | 精装 | 低楼层(共3层)  | 板塔结合,38人关注 / 一年前发布,300,"10,186元/平"
大户型双阳台 小区位置好 楼间宽,合生杭州湾国际新城二期 -杭州湾新区,3室2厅 | 137.04平米 | 东 南 西 北 | 简装 | 18层  | 板塔结合,9人关注 / 一年前发布,108,"7,881元/平"
房子是精装修的，未住过人.带露台,景瑞红翎台 -姜山,3室2厅 | 114.58平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,9人关注 / 3个月以前发布,284,"24,787元/平"
汀香苑  好楼层 加车位 好户型,汀香苑 -杭州湾新区,3室2厅 | 139.84平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,2人关注 / 5个月以前发布,100,"7,152元/平"
鄞州公园 靠南部商务区  是理想的家园,江山万里四期 -南部商务区,4室2厅 | 160.64平米 | 南 | 毛坯 | 7层  | 板楼,22人关注 / 一年前发布,1070,"66,609元/平"
"房东诚心出售,精装修.随时看房",维科馨院西区 -古林,3室2厅 | 91.7平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,1人关注 / 3个月以前发布,230,"25,082元/平"
北路一村商场地铁配套成熟，户型方正三房，宸卿田莘耕,北路一村 -石碶,3室1厅 | 73.31平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 8天以前发布,168,"22,917元/平"
"此房位置好，户型好，采光充足，出行方便,配套成熟",御海苑 -杭州湾新区,3室1厅 | 108.22平米 | 南 | 简装 | 低楼层(共32层)  | 暂无数据,1人关注 / 15天以前发布,86,"7,947元/平"
景观楼层丨看房方便丨新居未住过丨学府旁丨看房方便,绿地海湾听海苑 -杭州湾新区,3室2厅 | 88.07平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 15天以前发布,87,"9,879元/平"
青枫一期全新白坯，中庭位置楼层好，有钥匙随时看,青枫雅苑 -蛟川,2室2厅 | 68.83平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,1人关注 / 13天以前发布,136,"19,759元/平"
格兰云天 一室  房子保养好 房东诚心卖看房提前预约,格兰云天二期 -中河,1室1厅 | 35.07平米 | 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 8天以前发布,170,"48,475元/平"
采光好，地段好，随时可以看房，精装拎包入住,华丰星城 -骆驼,2室1厅 | 66.69平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 11天以前发布,165,"24,742元/平"
精装三房，利用率高，房东诚售，配套齐全,君尚城 -高桥,3室2厅 | 87.18平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 14天以前发布,212,"24,318元/平"
江岚苑 精装自住三房两卫 满五唯一 业主急售随时看,江岚苑 -杭州湾新区,3室1厅 | 108.23平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 13天以前发布,111,"10,256元/平"
银凤晓月62平2室全新装修看房方便房东诚心卖,银凤晓月西区 -蛟川,2室1厅 | 61.89平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,147,"23,752元/平"
隆顺家园 全新毛坯3室 南北通透 看房方便,隆顺家园 -新碶,3室2厅 | 117.6平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,1人关注 / 12天以前发布,280,"23,810元/平"
品质小区 环境美 楼层位置好 全新精装未住过 配套齐,朗境府 -高桥,4室2厅 | 106.6平米 | 南 | 精装 | 中楼层(共9层)  | 平房,0人关注 / 10天以前发布,285,"26,736元/平"
钱湖人家3期 3房 精装 户型好,钱湖人家 -东钱湖,3室2厅 | 96.05平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 8天以前发布,190,"19,782元/平"
次新小区，西首大四房，纯白坯未曾住人高层采光好。,和协风格南岸 -首南,4室2厅 | 127.23平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 8天以前发布,486,"38,199元/平"
首南大平层河景房 锦悦湾花苑 南商景色尽收眼底,锦悦湾花苑 -首南,4室1厅 | 185.61平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,650,"35,020元/平"
距离2号地铁三官堂站300米左右，三官堂大桥直通高新区,公元世家二期 -庄市,4室2厅 | 139.61平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 9天以前发布,430,"30,801元/平"
南北透风格局 ，适合过渡时期，或者喜欢热闹的人。,通达小区 -阳明,3室1厅 | 86.7平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,116,"13,380元/平"
桑园新村南区 环境优美 出入方便 采光好,桑园新村南区 -中河,3室1厅 | 83.73平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,310,"37,024元/平"
城西伊顿花苑精装三房，高楼层，户型好，边套,伊顿花苑 -城西,3室2厅 | 128.14平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,178,"13,892元/平"
拉菲庄园 实验旁边  采光视野无遮挡！！！,维科拉菲庄园 -庄市,3室1厅 | 129.08平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 19天以前发布,375,"29,052元/平"
中梁首府 品质小区 万科物业 三房两卫 带全屋家具家电,中梁首府 -骆驼,3室2厅 | 100.34平米 | 南 北 | 精装 | 22层  | 板楼,1人关注 / 23天以前发布,319,"31,792元/平"
急售  急售  岳童家园 精装修 很少入住 保养如新,岳童家园 -集士港,2室2厅 | 81.91平米 | 南 北 | 精装 | 中楼层(共5层)  | 塔楼,0人关注 / 30天以前发布,155,"18,924元/平"
楼层好，位置佳 户型方正，房东诚心诚意出售,海怡花园 -白云,3室1厅 | 87.53平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 22天以前发布,220,"25,135元/平"
业主诚心售卖，墅景高层，看房便利， 布局合理 空间大,景瑞红翎台 -姜山,3室1厅 | 88.85平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 19天以前发布,245,"27,575元/平"
藕池新村  地铁口近  生活配套一应俱全  低总价上车,藕池新村 -段塘,3室1厅 | 69.51平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,145,"20,861元/平"
万科蓝色东方，四叶草户型精装四房楼层好看房方便,万科蓝色东方 -庄市,4室2厅 | 128.51平米 | 南 | 精装 | 18层  | 板楼,0人关注 / 17天以前发布,448,"34,862元/平"
格兰春天，好房诚售，首南大三房,格兰春天一期 -首南,3室2厅 | 132.82平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 24天以前发布,342,"25,750元/平"
欢 乐 海 岸 三 期 大 平 层,欢乐海岸三期 -钟公庙,4室2厅 | 181.85平米 | 南 北 | 精装 | 低楼层(共14层)  | 板塔结合,19人关注 / 10个月以前发布,770,"42,343元/平"
南部商务区   四季云顶      房东诚心出售,四季云顶 -南部商务区,4室2厅 | 175.87平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,520,"29,568元/平"
业主诚心出售 地铁3号线姜山站 海港城 有大型菜场,缇郦苑 -姜山,4室1厅 | 166.55平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,450,"27,019元/平"
"户型方正,采光好,前无遮挡,全亮间",永佳苑 -中河,3室1厅 | 117.98平米 | 南 | 简装 | 17层  | 板楼,10人关注 / 8个月以前发布,369,"31,277元/平"
顶复带空中花园 视野开阔 户型格局方正  居住舒适,金桥水岸花园 -中河,3室2厅 | 191.74平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,54人关注 / 6个月以前发布,428,"22,322元/平"
江山万里三期 4室2厅 南,江山万里三期 -南部商务区,4室2厅 | 205.24平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,2人关注 / 6个月以前发布,1500,"73,086元/平"
格局好，采光好，户型方正，交通便利,欢乐家园 -白云,6室2厅 | 106平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,240,"22,642元/平"
远看山有色，近听水无声。想与你共饮美酒看世界繁华。,碧云天 -钟公庙,3室2厅 | 132.63平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,8人关注 / 6个月以前发布,408,"30,763元/平"
万科都心里 全新精装四房 户型方正 位置好 带花园！,万科都心里 -中河,4室1厅 | 131.9平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,11人关注 / 7个月以前发布,460,"34,875元/平"
南北通格局，户型方正，采光好，楼层很好，优质景观房,欢乐海岸二期 -钟公庙,4室1厅 | 174.82平米 | 南 | 精装 | 22层  | 板楼,0人关注 / 1个月以前发布,720,"41,186元/平"
地铁口，菜场，装修新，产证160平，实用200平,鑫隆花园三期 -庄市,5室2厅 | 160.15平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,268,"16,735元/平"
业主诚心出售，看房方便，视线开阔，交通方便地段佳,水韵江南 -中河,3室2厅 | 124.32平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,478,"38,450元/平"
诚心出售 纯白坯房  中庭位置 中间楼层  标准户型,东湖馨园 -中河,3室2厅 | 96.06平米 | 南 | 毛坯 | 9层  | 板楼,13人关注 / 一年前发布,370,"38,518元/平"
房子装修好。采光无遮挡。房东自住的房子的。,公元世家一期 -庄市,3室1厅 | 83.59平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,240.5,"28,772元/平"
时代望府 3室1厅 南,时代望府 -奉化区,3室1厅 | 128.09平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 19天以前发布,185,"14,443元/平"
三房二厅好楼层采光好荣安高品质河景房诚心卖,荣安月园 -首南,3室2厅 | 89.37平米 | 南 | 精装 | 中楼层(共35层)  | 板楼,0人关注 / 24天以前发布,325,"36,366元/平"
全明户型格局好，视野宽阔，采光好，配套设施齐全,誉湖湾花苑 -小港,3室2厅 | 88.46平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 22天以前发布,177,"20,010元/平"
胜丰东苑成熟小区好地段，次新电梯房,胜丰东苑 -西门,3室2厅 | 105平米 | 南 | 简装 | 高楼层(共11层)  | 平房,0人关注 / 21天以前发布,290,"27,620元/平"
户型好，采光充足，楼层好，全新未住人，东首,江东金茂府 -长丰,3室2厅 | 116.98平米 | 南 | 精装 | 27层  | 板楼,0人关注 / 25天以前发布,558,"47,701元/平"
格兰春成晨 户型方正 楼层好 随时看房,格兰春晨 -集士港,3室2厅 | 113.78平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 30天以前发布,206,"18,106元/平"
奉化江口精装三室好房诚心出售，非诚勿扰,江南丽景 -奉化区,3室1厅 | 92.58平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 30天以前发布,128,"13,826元/平"
御海苑装修好的 全屋地暖 三房房子看好 价格可谈,御海苑 -杭州湾新区,3室2厅 | 108.22平米 | 南 北 | 简装 | 低楼层(共32层)  | 暂无数据,1人关注 / 20天以前发布,90,"8,317元/平"
下应街道颜值代表 次新小区 品质居住 大四房开阔视野,融创涌宁府 -下应,4室1厅 | 139.36平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 29天以前发布,490,"35,161元/平"
青枫雅苑69平 精装修两室 楼层好139万 可谈,青枫雅苑 -蛟川,2室1厅 | 69.78平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 25天以前发布,136.6,"19,576元/平"
九曲小区84平，3个阳台，房东急出,九曲小区 -首南,2室2厅 | 84.05平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 30天以前发布,208,"24,748元/平"
格兰星辰装修好，生活配套齐全交通便利，诚心出售,格兰星辰 -高桥,3室2厅 | 85.75平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 17天以前发布,210,"24,490元/平"
次新小区，精装好房，楼层采光好。全天日照，诚心出售,清华世界城 -潘火,3室2厅 | 93.74平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 18天以前发布,279,"29,764元/平"
御海苑全新小区 三开间朝南 清爽装修 看房方便,御海苑 -杭州湾新区,3室1厅 | 110.51平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 22天以前发布,100,"9,049元/平"
三房出售，楼层佳，小区安静，24小时安保。,誉湖湾花苑 -小港,3室2厅 | 109.12平米 | 南 | 毛坯 | 中楼层(共22层)  | 板楼,0人关注 / 27天以前发布,218,"19,979元/平"
风格城事 自住精装 业主置换诚心卖 采光刺眼,风格城事 -中河,3室2厅 | 129.58平米 | 南 北 | 精装 | 11层  | 板塔结合,1人关注 / 18天以前发布,499,"38,510元/平"
奥力孚公寓3-2-1-1 99.88m²低总价诚心卖,奥力孚公寓 -新碶,3室2厅 | 99.88平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 28天以前发布,205,"20,525元/平"
万科桂语里刚满2年，全新精装，东首边，钻石楼层！,万科桂语里 -下应,3室2厅 | 114.5平米 | 南 | 精装 | 33层  | 板塔结合,0人关注 / 24天以前发布,345,"30,132元/平"
小区环境优美，位置好，诚心急售。,格兰春天三期 -首南,3室2厅 | 87.91平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 24天以前发布,268,"30,486元/平"
环境好， 采光好，楼层佳，精装修， 小区配套齐全,庄湾沁园 -石碶,2室1厅 | 67.1平米 | 南 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 25天以前发布,158,"23,547元/平"
精装修，拎包入住。前排靠河，视野一览无余。,洋江水岸 -下应,3室2厅 | 106.26平米 | 南 | 精装 | 低楼层(共33层)  | 平房,0人关注 / 23天以前发布,297,"27,951元/平"
电梯独立入户，三开间朝南，U型厨房，双阳台双飘窗,尚江府 -姚江新区,4室2厅 | 130.08平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 23天以前发布,519,"39,899元/平"
户型方正 南北通，高层住宅。次新小区，环境好,宝旭观邸 -江北万达,4室2厅 | 124.92平米 | 南 | 毛坯 | 18层  | 板楼,0人关注 / 25天以前发布,339,"27,138元/平"
万科东望 精装3房 三开间朝南 低总价 非一楼 急售,信达万科东望 -东钱湖,3室2厅 | 86.32平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,0人关注 / 23天以前发布,255,"29,542元/平"
城西梵石花园出售，小区环境优美，绿化好,梵石花园 -慈溪其他,3室2厅 | 149.85平米 | 南 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 28天以前发布,195,"13,014元/平"
新上仁爱房源，精装修地铁口下楼外语，房龄新有车棚,清川路 -招宝山,2室1厅 | 72.42平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 16天以前发布,198,"27,341元/平"
东方港城大三房房东诚心出，楼层佳,环球东方港城一期 -新碶,3室2厅 | 139.99平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 17天以前发布,420,"30,003元/平"
紫郡精装三房户型佳采光足视野开阔,紫郡 -潘火,3室2厅 | 99.8平米 | 南 北 西 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 17天以前发布,260,"26,053元/平"
四季阳光5+阁带2个大露台，精装修看房方便,四季阳光 -大碶,5室3厅 | 152.49平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,209,"13,706元/平"
诚心出售，婚装，楼层采光好，精装拎包入住，交通便利,奥体未来城 -洪塘,3室2厅 | 85.3平米 | 南 | 其他 | 26层  | 板楼,0人关注 / 13天以前发布,220,"25,792元/平"
梁祝小平方 好楼层 可看姚江 房东诚心卖,梁祝小区 -高桥,2室1厅 | 88.21平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 8天以前发布,178,"20,180元/平"
新房万科公园里 三开间朝南 房东诚心出售  看房方便,万科公园里 -新明,3室1厅 | 119.41平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 14天以前发布,450,"37,686元/平"
长丰下叠 地段好 旁边菜场 配套齐全 带花园,如意金水湾 -长丰,4室2厅 | 229.65平米 | 南 | 精装 | 5层  | 板楼,0人关注 / 14天以前发布,620,"26,998元/平"
银星苑公寓 2室1厅 南,银星苑公寓 -新碶,2室1厅 | 49.07平米 | 南 | 其他 | 高楼层(共15层)  | 塔楼,0人关注 / 7天以前发布,125,"25,474元/平"
新上房源，互相方正采光很好，标准的三室,亲亲家园 -奉化区,3室2厅 | 84.16平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 9天以前发布,118,"14,021元/平"
环境优美，交通便利，生活配套齐 近万象城,大闸社区 -中马,3室1厅 | 70.68平米 | 南 | 简装 | 低楼层(共8层)  | 塔楼,1人关注 / 9天以前发布,205,"29,004元/平"
精装三室两厅户型方正南北朝向拎包即住，看中价可议,华都公寓 -戚家山,3室2厅 | 115.31平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7天以前发布,179,"15,524元/平"
全新毛坏洋房，户型方正，前后露台，通风好！,奥园誉景湾花苑 -小港,3室2厅 | 96.31平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 5天以前发布,230,"23,882元/平"
古林 落地房 产证齐全 房东诚心卖！看房方便！,古林仁纪行新村 -古林,2室1厅 | 78.12平米 | 南 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 10天以前发布,122,"15,617元/平"
三开间朝南 户型方正 诚心卖 看房方便,欢乐海岸三期 -钟公庙,4室2厅 | 128.41平米 | 南 | 精装 | 中楼层(共14层)  | 板塔结合,0人关注 / 14天以前发布,577,"44,935元/平"
满五唯一，花园式小区罗蒙环球城边，近地铁口,锦悦湾花苑 -首南,3室2厅 | 134.28平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,1人关注 / 9天以前发布,408,"30,385元/平"
万达旁次新小区93平急卖急卖！,盛达茗苑 -钟公庙,2室2厅 | 93.29平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 10天以前发布,310,"33,230元/平"
离地铁公交站台近，精装修大三室，18平方的车库,临江小区 -蛟川,3室2厅 | 102.95平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 30天以前发布,190,"18,456元/平"
楼层好 采光充足 配套齐全 交通方便 小区就有幼儿园,汀香苑 -杭州湾新区,3室2厅 | 138.83平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 23天以前发布,110,"7,924元/平"
东香茗园  精装修  拎包入住  配套齐全  交通便利,东香茗园 -白峰,5室2厅 | 184.54平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,125,"6,774元/平"
一品滨江湾，诚心出售，四房两厅精装修,一品滨江湾 -长丰,4室2厅 | 138.69平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 23天以前发布,675,"48,670元/平"
星光家园 3室2厅 南,星光家园 -姜山,3室2厅 | 108.65平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,190,"17,488元/平"
新上 精装好房 采光好视野好 满五唯一 业主诚心出售,印象巴黎 -集士港,3室2厅 | 91.99平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 21天以前发布,229,"24,895元/平"
刚需精装小户型诚售，采光好视野开阔,九曲小区二期 -首南,2室1厅 | 57.94平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 26天以前发布,172,"29,686元/平"
雅戈尔雅旭花苑 精装3室 拎包入住,雅戈尔雅旭花苑 -姜山,3室2厅 | 88.96平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 17天以前发布,249,"27,991元/平"
此房南 北 通格局好 视野开阔 采光充足,新桥清沁家园二期 -高桥,3室1厅 | 100.54平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,203,"20,191元/平"
一线江景房 东海府 全新精装 保养佳 业主诚心出售,雅戈尔东海府 -高新区,4室2厅 | 253.97平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 14天以前发布,820,"32,288元/平"
精装修优质3 房，钻石楼层，房子保养新小区环境优美,银亿海尚广场 -骆驼,3室2厅 | 88.45平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 15天以前发布,225,"25,439元/平"
荣安家境东首顶加阁，带南北露台，实用面积200+,荣安佳境 -白云,5室1厅 | 146.9平米 | 南 | 精装 | 6层  | 板楼,0人关注 / 10天以前发布,269,"18,312元/平"
近东部新城，5号线曹隘站，东方丽都三房两卫，急售,东方丽都 -潘火,3室2厅 | 113.04平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 9天以前发布,265,"23,444元/平"
南部商务区旁   中海雍城世家房东自住房出售,中海雍城世家二期 -南部商务区,2室1厅 | 72.93平米 | 南 北 | 精装 | 34层  | 板塔结合,0人关注 / 18天以前发布,249,"34,143元/平"
精装修房 保养好，采光充足，人车分流。急卖,殷家花园 -潘火,2室1厅 | 80.78平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,0人关注 / 13天以前发布,205,"25,378元/平"
