标题,开发商,房子信息,发布信息,售价/万,单价
中南家园A区三房，拎包入，房东诚心出售，看房方便,中南家园 -湖滨商业街,3室1厅 | 74.48平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,103,"13,830元/平"
蓝庭国际，新出边套户型！自住装修,蓝庭公寓 -新体育中心,2室2厅 | 116.48平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 8天以前发布,240,"20,605元/平"
天一城，大三房，楼层好，采光好，房东急售,天一城A区 -西漳,3室2厅 | 145.88平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 29天以前发布,200,"13,710元/平"
景观房，好楼层。协议一个月满五，随时看房,水岸佳苑D区 -安镇,3室2厅 | 122.5平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 24天以前发布,123,"10,041元/平"
柏庄一村边套 大三房采光无遮挡 看房有钥匙,柏庄一村 -广益,3室1厅 | 101.17平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,120.8,"11,941元/平"
叙丰家园中间楼层 标准三房 户型好 业主诚心出售,叙丰家园 -江溪,3室2厅 | 112.3平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 27天以前发布,119,"10,597元/平"
诺卡小镇 四期精装三房 楼层好 采光刺眼,中大诺卡小镇 -东亭,3室2厅 | 94.59平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,1人关注 / 28天以前发布,169,"17,867元/平"
香缇半岛三房 纯毛坯  套内多 无贷款 产权清晰,香缇半岛 -钱桥,3室1厅 | 86.62平米 | 东南 | 毛坯 | 高楼层(共11层)  | 板楼,5人关注 / 30天以前发布,125,"14,431元/平"
阳光100北区 精装修三房 得房率高,阳光100国际新城北区 -西漳,3室2厅 | 108.19平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,129,"11,924元/平"
建发叠墅  上下两叠  房东诚心出售 看房有钥匙,建发玖里湾1期3期 -安镇,4室2厅 | 134.31平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,15人关注 / 5个月以前发布,420,"31,271元/平"
精装顶复大平层-建面三百露台花园阁楼 阳光房拎包入住,观山名筑 -塘铁桥,7室2厅 | 218.13平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 4个月以前发布,360,"16,504元/平"
满五唯一，万业洋房带地下室，纯毛坯。看房方便。,万业观山泓郡 -安镇,4室2厅 | 225.97平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,6人关注 / 8个月以前发布,360,"15,932元/平"
新上玫瑰香堤，楼层好，满五唯一，拎包入住！,玫瑰香堤 -东北塘,2室1厅 | 79.43平米 | 南 | 精装 | 34层  | 板楼,0人关注 / 26天以前发布,115,"14,479元/平"
凤凰二期四室清水毛坯，沿河景观洋房，不靠电梯井,中海凤凰璟园二期 -华庄,4室1厅 | 127.23平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,2人关注 / 18天以前发布,385,"30,261元/平"
次新小区配套设施齐全 交通便利 诚心出售,万科天一新著 -西漳,3室2厅 | 93.48平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,4人关注 / 21天以前发布,176,"18,828元/平"
店长力荐 新上中层两房 总价低 付款周期可谈 拎包入住,复地悦诚花园 -扬名,3室2厅 | 85.5平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 26天以前发布,162,"18,948元/平"
华润江南府北区 地铁口500米 中间楼层 婚装25万 急售,华润江南府北区 -东亭,3室2厅 | 89.55平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 22天以前发布,172,"19,208元/平"
小区前排 中间楼层 不靠高架，诚心出售 价格可谈,富力城D区 -江溪,3室2厅 | 87.86平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 21天以前发布,165,"18,780元/平"
产权清晰 业主诚心 三房 低首付 天一4号线,阳光100国际新城南区 -刘潭,3室2厅 | 86.91平米 | 西 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 19天以前发布,109,"12,542元/平"
户型方正，格局好，视野宽阔，采光充足，出行方便,映月苑 -东亭,3室2厅 | 108.51平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 24天以前发布,135,"12,442元/平"
叙康里精装2房 近地铁  楼层好 有钥匙,叙康里 -江溪,2室1厅 | 63.77平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,1人关注 / 10天以前发布,82,"12,859元/平"
鑫安苑润和里  土出已交 简单装修两房朝南,鑫安苑润和里 -安镇,2室2厅 | 72.07平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,0人关注 / 10天以前发布,82,"11,378元/平"
长江国际花园 1室2厅 东南 南,长江国际花园 -旺庄,1室2厅 | 54.61平米 | 东南 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 5天以前发布,75,"13,734元/平"
梨花家园唯一一套毛坯房。。。。,梨花家园 -北大街,2室1厅 | 83.18平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 8天以前发布,90,"10,820元/平"
央企品质华润橡树湾四叶草户型，看房有钥匙,华润橡树湾（四期五期） -堰桥,4室2厅 | 117.38平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 13天以前发布,225,"19,169元/平"
次新小区 三开间朝南 精装修 采光好,万科海上传奇 -万象城/东绛,3室1厅 | 97.78平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,3人关注 / 14天以前发布,208,"21,273元/平"
中海凤凰璟园 小区中间不带电梯井 中上楼层 采光好,中海凤凰璟园二期 -华庄,4室2厅 | 128.55平米 | 南 | 毛坯 | 中楼层(共10层)  | 板楼,121人关注 / 13天以前发布,384,"29,872元/平"
时代上城繁华里4房2卫视野好阳光刺眼,九龙仓时代上城D区 -中桥,4室2厅 | 137.01平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 22天以前发布,288,"21,021元/平"
蓝光COC精装三房  中上楼层 满五唯一看房方便,蓝光coco蜜园 -安镇,3室2厅 | 76.81平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 29天以前发布,170,"22,133元/平"
首创隽府 精装大三房  楼层好 拎包入住 随时看房,首创隽府 -东亭,3室2厅 | 113.62平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 27天以前发布,185,"16,283元/平"
房东诚售 满五唯一 产权清晰 三开间朝南 随时看房,梅满嘉园 -梅村,3室2厅 | 121.61平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 30天以前发布,160,"13,157元/平"
经典三开间朝南好户型 精装修 拎包入住 房东诚售,隆亭新苑 -东亭,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,170,"12,593元/平"
惠山北麓 择水而居 精致电梯三房 房东自购地下停车位,城西花园 -山北,3室2厅 | 101.37平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 28天以前发布,155,"15,291元/平"
精装修，自住保养好，满五唯一，中间楼层，诚心出售,蓝光coco蜜园 -安镇,3室1厅 | 71.85平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,170,"23,661元/平"
此房简单装修，家具家电全留，三开间朝南，,富力桃园 -旺庄,2室2厅 | 79.32平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,1人关注 / 12天以前发布,124,"15,633元/平"
首付低，刚需两房，楼层采光好，拎包入住,沁春园 -西漳,2室2厅 | 68.96平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 7天以前发布,113,"16,387元/平"
50万装修 婚装大两房 保养好 好楼层 全天采光,仙河苑三期 -融创文化旅游城,2室2厅 | 138.69平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 8天以前发布,170,"12,258元/平"
此房为精装修三房，楼层好采光视野好，业主诚售,阳光100国际新城北区 -西漳,3室2厅 | 108.09平米 | 东 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 12天以前发布,132,"12,213元/平"
水秀新村三房出售 好楼层  诚心出售   看房方便,水秀新村 -新体育中心,3室1厅 | 73.28平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4天以前发布,92,"12,555元/平"
中上楼层，没有土出，南北户型，户型正气，诚心出售,瑞星家园 -扬名,2室2厅 | 105.45平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 8天以前发布,168,"15,932元/平"
尤渡苑东区，诚心卖，精装修蛮好的。看房有钥匙,尤渡苑（东区） -上马墩,3室1厅 | 131.74平米 | 南 | 简装 | 中楼层(共15层)  | 板塔结合,0人关注 / 7天以前发布,170,"12,905元/平"
住友苑一楼 婚装三房 楼下是车库不潮湿,住友苑 -河埒口,3室1厅 | 93.29平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 3天以前发布,130,"13,936元/平"
两房朝南户型，小区前排，采光无遮挡，价格可小刀,瑞雪家园 -扬名,1室1厅 | 64.88平米 | 南 | 毛坯 | 低楼层(共28层)  | 平房,0人关注 / 2天以前发布,71,"10,944元/平"
欧 式 豪 装 拎包入住，品牌家电家具,美新玫瑰庄园 -坊前,3室2厅 | 89.76平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 3天以前发布,150,"16,712元/平"
华润江南府  清水毛坯房 中间楼层 带8万车位一个 急售,华润江南府北区 -东亭,3室2厅 | 107.05平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 14天以前发布,188,"17,562元/平"
江海新村北区，可商贷商品房，小区以改造好，看房随时,江海新村北区 -塘南,1室1厅 | 43.98平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 12天以前发布,63,"14,325元/平"
中间楼层，满5唯一，户型方正，自住2房,惠龙新村E区220-252号 -山北,2室1厅 | 62.63平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 14天以前发布,78,"12,455元/平"
润泽雅居 边套全明户型 诚心出售 满五唯一,润泽雅居 -旺庄,1室1厅 | 47.08平米 | 东北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 13天以前发布,55,"11,683元/平"
高浪嘉园 5楼 毛坯房 南北通透 三号线260米 校区150米,高浪嘉园 -旺庄,2室1厅 | 71.3平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 14天以前发布,71,"9,958元/平"
华仁凤凰城 东边套三房 中间楼层 看房方便,华仁凤凰城 -北大街,3室2厅 | 116.13平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 11天以前发布,278,"23,939元/平"
五爱广场，房龄新，房东诚心出售，电梯安装协议中,兴隆苑 -五爱广场,2室1厅 | 63.44平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 13天以前发布,109,"17,182元/平"
顶层带阁楼装修保养好阁楼还有窗户阳光房,龙塘家园 -黄巷,2室1厅 | 53.04平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,50,"9,427元/平"
此房为次新房，中间楼层，精装修，产权清晰.,东方天郡 -东北塘,3室2厅 | 86.59平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,4人关注 / 4个月以前发布,131,"15,129元/平"
飞机户型！满五唯一！沿河洋房一梯两户！双外可买！,阳光100国际新城南区 -刘潭,3室2厅 | 99.7平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,37人关注 / 一年前发布,140,"14,043元/平"
低于市场价！南北通透 毛坯 舒适度很高的大3房 2梯2户,恒大御澜湾 -东北塘,3室2厅 | 137.03平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,28人关注 / 一年前发布,170,"12,407元/平"
明发国际新城东区  3房  看房方便  有钥匙,明发·国际新城（东区） -西漳,3室2厅 | 121.99平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,3人关注 / 5个月以前发布,184,"15,084元/平"
刚需三房 满五年 价格美丽 产权清晰 随时签约安排过户,阳光100国际新城南区 -刘潭,3室2厅 | 101.81平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,12人关注 / 一年前发布,135,"13,260元/平"
九月底满五，看房方便，诚心出售，户型方正,华润橡树湾（二期三期） -堰桥,3室2厅 | 112.83平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,34人关注 / 9个月以前发布,152,"13,472元/平"
全新精装三房，多层4楼，带独立车库,叙丰家园 -江溪,3室2厅 | 75.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,28人关注 / 3个月以前发布,93,"12,286元/平"
万科天一玖著 全新4房  大横厅 地铁口 产权清晰 急卖,万科天一玖著 -西漳,4室2厅 | 128.44平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,7人关注 / 2个月以前发布,240,"18,686元/平"
新惠家园  中层 户型方正 着急出售 价格可谈,新惠家园 -山北,3室2厅 | 120.77平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,118,"9,771元/平"
玉兰璟园纯毛坯洋房 前排视野好 一梯两户 有钥匙看房,融创玉兰璟园 -东北塘,4室2厅 | 120.71平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,7人关注 / 8个月以前发布,210,"17,398元/平"
全新自住装修，拎包入住，视野好,观山名筑南区 -塘铁桥,4室2厅 | 131.3平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,4人关注 / 2个月以前发布,275,"20,945元/平"
太平洋城中城 纯毛坯3房 户型方正  随时看房,太平洋城中城 -西漳,3室2厅 | 121.07平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,6人关注 / 一年前发布,198,"16,355元/平"
动静分离，无浪费空间高使用率，楼层好，采光充分适合,时代城（锡溪名邸） -钱桥,3室2厅 | 113.85平米 | 东南 | 精装 | 中楼层(共34层)  | 暂无数据,10人关注 / 5个月以前发布,162,"14,230元/平"
此房次新小区 人车分流 交通便利 配套齐全,百乐和园 -钱桥,3室2厅 | 89.3平米 | 东南 | 精装 | 低楼层(共31层)  | 板楼,9人关注 / 6个月以前发布,155,"17,358元/平"
满二次新房，视野很好，可看太湖附西板块一览无余,中海凤凰璟园三期 -华庄,3室1厅 | 94.29平米 | 东南 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 1个月以前发布,277,"29,378元/平"
柏庄 诺卡小镇 精装洋房 满五年 诚心出售,中大诺卡小镇 -东亭,3室1厅 | 103.87平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,14人关注 / 6个月以前发布,145,"13,960元/平"
孔雀雅园洋房区 清水毛坯  看房有钥匙 随时可以看房,孔雀雅园 -扬名,3室2厅 | 111.29平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,4人关注 / 1个月以前发布,228,"20,488元/平"
天河精装三房，户型方正，得房率高，诚心出售,天河小区 -刘潭,3室2厅 | 146.95平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,2人关注 / 4个月以前发布,158,"10,752元/平"
晴山蓝城一期小区，通透格局，拎包入住,晴山蓝城 -钱桥,3室2厅 | 112.32平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,145,"12,910元/平"
繁华盛岸 通透格局 两房价格住大三房 购房成本低,盛岸花园二期 -山北,3室2厅 | 115.98平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,130,"11,209元/平"
恒大御澜湾洋房 双阳台户型好 采光好 拎包入住带车位,恒大御澜湾 -东北塘,3室2厅 | 106.53平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,19人关注 / 5个月以前发布,215,"20,183元/平"
新上房源龙湖九墅，大三房毛坯，,龙湖九墅天玺 -东亭,3室2厅 | 115.56平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,41人关注 / 一年前发布,210,"18,173元/平"
恒大绿洲东亭版块，属于非限购区域，中下楼层，采光好,恒大绿洲四期 -东亭,3室2厅 | 127.52平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,15人关注 / 一年前发布,203,"15,920元/平"
新上刚需房 晴山蓝城三房 出门即是地铁,晴山蓝城 -钱桥,3室2厅 | 110.94平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,18人关注 / 一年前发布,129,"11,628元/平"
锦绣苑二期精装三房户型方正阳光无遮挡,锦绣苑 -洛社,3室2厅 | 145.28平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,138,"9,499元/平"
次新房电梯房 前面无遮挡，采光好 户型方正 精装修,洛龙花苑小区 -洛社,3室2厅 | 133.95平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,165,"12,319元/平"
婚装诚心出，户型方正，视野宽阔，配套齐全，交通便利,红豆香江豪庭二期 -安镇,3室2厅 | 89.78平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 1个月以前发布,182.9,"20,373元/平"
金岸新村精装三室，户型正气，楼层位置中，看房方便,金岸新村 -钱桥,3室1厅 | 90.52平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 1个月以前发布,111,"12,263元/平"
此房满两年，次新小区，中间楼层，采光佳。,阳光100国际新城南区 -刘潭,3室2厅 | 89.18平米 | 东 | 简装 | 中楼层(共28层)  | 板塔结合,1人关注 / 1个月以前发布,106,"11,887元/平"
恒大御澜湾三期带车位全新未住好楼层随时看,恒大御澜湾 -东北塘,3室2厅 | 92.94平米 | 南 | 精装 | 低楼层(共21层)  | 板楼,1人关注 / 4个月以前发布,148,"15,925元/平"
恒大三期精装三房 空房 无贷款 采光刺眼景观楼层,恒大御澜湾 -东北塘,3室2厅 | 100.21平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,1人关注 / 2个月以前发布,159.8,"15,947元/平"
满五唯一楼层好便视野宽阔采光充足配套齐全出行,天一城A区东区 -西漳,3室2厅 | 128.3平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 3个月以前发布,155,"12,082元/平"
室内布局合理，景观楼层，配套设施齐全.,城西花园 -山北,3室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,146,"16,210元/平"
随时看！现代化装修！交过土出！土出价格不再涨！,红旗花园B区 -江溪,4室1厅 | 150.64平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 1个月以前发布,135,"8,962元/平"
保养好，满5年，三开间朝南。诚心出售，看房方便,春江花园A区（锡山） -东亭,3室2厅 | 132.68平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,172,"12,964元/平"
鑫业园 3室1厅 南,鑫业园 -东亭,3室1厅 | 90.13平米 | 南 | 精装 | 高楼层(共6层)  | 平房,14人关注 / 一年前发布,105,"11,650元/平"
楼层好 采光好 视野好 看房随时 诚心出售,阳光100阿尔勒 -西漳,3室2厅 | 90.51平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,127,"14,032元/平"
金桥边上 时代城 精装三房 楼层好 视野开阔,时代城（锡溪名邸） -钱桥,3室2厅 | 97.41平米 | 南 | 精装 | 中楼层(共34层)  | 暂无数据,2人关注 / 6个月以前发布,145,"14,886元/平"
长江国际花园洋房 带大花园 水景旁 位置好 空置中！！,长江国际花园 -旺庄,4室1厅 | 146.97平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,12人关注 / 4个月以前发布,308,"20,957元/平"
此房为三房 的户型，楼层好，采光好，房东诚心出售,阳光100阿尔勒 -西漳,3室2厅 | 89.88平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,3人关注 / 2个月以前发布,127,"14,130元/平"
小区环境优美，户型好配套完善。,仁和英伦皇家花园 -山北,3室2厅 | 132.26平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,1人关注 / 1个月以前发布,189,"14,291元/平"
锡山实小美的公园天下洋房，楼层采光好！,美的公园天下一期 -安镇,3室2厅 | 112.34平米 | 南 | 毛坯 | 中楼层(共10层)  | 板楼,22人关注 / 11个月以前发布,290,"25,815元/平"
中海凤凰东边套方正三房，中高楼层采光良好无遮挡,中海凤凰璟园二期 -华庄,3室2厅 | 99.5平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,35人关注 / 一年前发布,231,"23,217元/平"
玉兰二区精装修 小区自带公园 南北通透 学府未用,玉兰公馆二区 -堰桥,3室2厅 | 111.03平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 20天以前发布,210,"18,914元/平"
南边第 一排，不靠马路安静舒适，诚心出售 随时看房,保利中央公园 -江溪,3室1厅 | 96.72平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,4人关注 / 18天以前发布,200,"20,679元/平"
长江国际雅园精装一室，出门3号线，朝南采光好，诚售,长江国际雅园 -江溪,1室2厅 | 62.87平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,1人关注 / 24天以前发布,89,"14,157元/平"
东亭地铁口，宝城花园 107平大三房毛坯（隆亭加二泉）,宝城花园 -东亭,3室1厅 | 107.07平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 24天以前发布,130,"12,142元/平"
