标题,开发商,房子信息,发布信息,售价/万,单价
奥体谷德锦商圈 电梯三室，楼层采光好，交通便利,鸢都新城 -奥体中心,3室1厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,73.8,"6,230元/平"
市府东南 全景观湖 好楼座好位置 好楼层景观房,恒大名都 -市府东南,3室2厅 | 109.11平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 6个月以前发布,85,"7,791元/平"
虞河畔宝通六号东  楼层好 精装婚房 带地下室出税,骏龙花园 -植物园,3室2厅 | 123.29平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 3个月以前发布,86,"6,976元/平"
东风街鸢飞路全屋精装三室朝阳带车位，业主诚意出售,名门现代城 -阳光100,3室2厅 | 132.35平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,13人关注 / 一年前发布,105,"7,934元/平"
低楼层  采光好，适合老人小孩居住,晨辉帝都城 -总部基地,3室1厅 | 84.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,48.8,"5,748元/平"
top佳乐家会员店近多层3楼H户型毛坯原房急售随时看房,凤鸣郡 -凤凰山片区,3室2厅 | 134.83平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,109,"8,085元/平"
恒大名都，凤凰楼层，精装修，满两年，出税,恒大名都 -市府东南,3室1厅 | 130平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,95,"7,308元/平"
小区 位置好 配套全 购物交通方便 格局好精装婚房,金碧广场 -万家福,3室1厅 | 89.31平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,53,"5,935元/平"
北海路近  泰华城旁  精装三居室  品牌装修拎包入住,雷沃花苑 -坊子泰华,3室2厅 | 125.04平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,82,"6,558元/平"
精装出税，三居室，中间楼层，有车位,恒大名都 -市府东南,3室2厅 | 129.33平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 7个月以前发布,94,"7,269元/平"
2018建成洋房H户型，精装微住，出税带地下室！有车位,图蘭朵 -潍坊学院,3室2厅 | 129.74平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,150,"11,562元/平"
高新5层电梯洋房顶层带阁楼带露台，拎包入住，出税,恒信宝通御园 -高新实验,4室1厅 | 126.66平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,4人关注 / 5个月以前发布,165,"13,028元/平"
万达泰华近 水映幸福城 电梯三室两卫精装修看房有钥匙,水映幸福城 -则尔庄,3室2厅 | 112.39平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,6人关注 / 7个月以前发布,78.9,"7,021元/平"
植物园旁 德润康城  楼层好 精装出税 带车位  大H户型,德润康城 -植物园,3室2厅 | 145.1平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,158,"10,890元/平"
多层电梯洋房 五楼 精装出税  浞河近,新富佳苑 -高新周边,3室2厅 | 97.02平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,91,"9,380元/平"
房子精装，西山，前方楼间距大楼层12楼，南北通透。,万基宝通家园 -金宝,3室2厅 | 96.7平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,62,"6,412元/平"
楼层好 适合老人孩子居住 门口就是幼儿园,樱园西区 -樱园,3室2厅 | 79.51平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,51,"6,415元/平"
日向新华旁精装大三室带全套家具家电拎包入住,帝景苑 -新华中学,3室2厅 | 118.94平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 3个月以前发布,96.8,"8,139元/平"
金樱一路之隔，10楼东山，全天采光无遮挡！拎包入住！,金华丽 -市府东南,3室2厅 | 127.92平米 | 南 北 | 简装 | 中楼层(共17层)  | 塔楼,2人关注 / 11个月以前发布,90,"7,036元/平"
急售!实 验南临 精装未住 140平大三室 采光视野无 敌,紫御东郡 -锦绣学校,3室2厅 | 139.97平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,8人关注 / 5个月以前发布,83.6,"5,973元/平"
宝通六号，植物园近，虞河东临，环境优雅，大H户型,宝通陆号 -植物园,3室2厅 | 141.64平米 | 北 南 | 精装 | 中楼层(共6层)  | 板楼,30人关注 / 一年前发布,138,"9,744元/平"
宝通陆号  植物园 虞河 近3室精装 出售,宝通陆号 -植物园,3室2厅 | 130.1平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 6个月以前发布,108,"8,302元/平"
北海路近，多层一楼带石墙院子，业主急售,盛海公寓 -坊子泰华,3室1厅 | 90.97平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,1人关注 / 4个月以前发布,57,"6,266元/平"
房主诚心出售近十甲，楼层佳，商圈配套齐全，带车位,中海大观天下三期 -市府东南,3室2厅 | 126.03平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,4人关注 / 一年前发布,95,"7,538元/平"
高新双语北海，多层二楼精装急售,世嘉铭园 -潍坊学院,3室2厅 | 135.67平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,124.5,"9,177元/平"
虞河畔 胜利东新华 楼座楼层好 全天视野开阔三面环河,盛世豪廷·豪景苑 -人民医院,3室2厅 | 140.61平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,13人关注 / 一年前发布,127.8,"9,089元/平"
划金樱恒大名都精装三室动静分离位置优越全年采光,恒大名都 -市府东南,3室2厅 | 127.3平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,7人关注 / 一年前发布,90,"7,070元/平"
房主着急出售！带地下室跟车位，佳利秀水花苑,佳利秀水花苑 -阳光100,3室1厅 | 110.31平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,6人关注 / 8个月以前发布,81,"7,343元/平"
