标题,开发商,房子信息,发布信息,售价/万,单价
南北通透 采光充足 长春公园  朝阳桥轻轨,我爱我家(建阳街) -景阳广场,3室1厅 | 161.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,130,"8,042元/平"
南城央企，精装修两居室，产权过五，中间楼层。,中海凤凰熙岸 -南部新城,2室1厅 | 87.62平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 12天以前发布,86,"9,816元/平"
万科城市之光 顶跃产品 电梯双开 电梯前室 无遮挡,万科城市之光 -西部新城开发区,4室2厅 | 196.39平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,357,"18,179元/平"
澳海梦想城 2室1厅 南 北,澳海梦想城 -二道区周边,2室1厅 | 83.53平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 9天以前发布,63.5,"7,603元/平"
吴中北国之春A区 3室2厅 南 北,吴中北国之春A区 -二道区周边,3室2厅 | 88.66平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 12天以前发布,67,"7,557元/平"
万科繁荣里位置好不挡光 出行方便万科物业看房子随时,万科繁荣里 -南湖,3室1厅 | 111.16平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 12天以前发布,147,"13,225元/平"
万科柏翠阅湖精装修三室 出行方便有钥匙随时看房子,万科柏翠阅湖 -南湖,3室2厅 | 115.27平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 8天以前发布,210,"18,219元/平"
产权在手 精装修 好楼层 全天采光 南北通透,亚泰梧桐公馆 -欧美工业园,3室1厅 | 97.67平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 5天以前发布,108,"11,058元/平"
华润万象府一期 精装 三室 园区中间位置 楼下外国语,华润置地万象府 -净月区,3室2厅 | 114.73平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 5天以前发布,145,"12,639元/平"
蓉桥一号B区 3室2厅 南 北,蓉桥一号B区 -站前,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 3天以前发布,82,"7,593元/平"
万科柏翠园 3室2厅 南 北,万科柏翠园 -南湖,3室2厅 | 168.38平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 4天以前发布,360,"21,381元/平"
电梯洋房 精装修 拎包入住 中间楼层 品质小区,中海盛世城玉笙府 -二道区周边,3室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4天以前发布,99,"10,000元/平"
亚泰花园桃花苑 3室0厅 南 东北 北,亚泰花园桃花苑 -万通,3室0厅 | 88.58平米 | 南 东北 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 6天以前发布,71.9,"8,117元/平"
此房，户型方正，产权过er，精装修，配套全，交通便.,君地天城三区 -长沈路,3室1厅 | 118.7平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,1人关注 / 2个月以前发布,101.4,"8,543元/平"
此房南北通透格局好，采光无遮挡，配套设施齐全,蓝天花园 -普阳,3室2厅 | 106.28平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,2人关注 / 5个月以前发布,80,"7,528元/平"
中海紫御华府 大平层一梯一户 业主出国急售 价可谈,中海紫御华府 -临河街,3室1厅 | 238.86平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,360,"15,072元/平"
澳海澜庭。产权过二，多层二楼，得房率高,澳海澜庭 -硅谷街南,3室1厅 | 98.32平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,19人关注 / 一年前发布,88,"8,951元/平"
红旗街，采光好，通透户型，有装修拎包住,易安花园 -红旗,3室2厅 | 119.39平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,128,"10,722元/平"
此房是恒盛豪庭172平三室两卫产权在手随时看房,恒盛豪庭 -硅谷街南,3室2厅 | 172.61平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,58人关注 / 一年前发布,95.5,"5,533元/平"
湖畔诚品北区交通便利户型方正标准三室两厅带有花园,湖畔诚品北区 -南湖,3室1厅 | 127.4平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,3人关注 / 8个月以前发布,128,"10,048元/平"
钜城 南 向采光充足 可贷款 近地铁 交通便利,钜城臻品壹号院 -南部新城,2室1厅 | 92.95平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,14人关注 / 5个月以前发布,85,"9,145元/平"
中海净月华庭 精装三室一天没住 全天采光 无遮挡,中海净月华庭 -净月区,3室2厅 | 97.99平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,1人关注 / 5个月以前发布,100,"10,206元/平"
40万装修，位置好，温馨舒适装修，看房方便,万龙丽水湾 -硅谷街南,3室2厅 | 133.94平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,70人关注 / 一年前发布,117,"8,736元/平"
万科金域长春三室精装不把不临全天采光,万科金域长春 -世界雕塑公园,3室2厅 | 96.2平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,29人关注 / 一年前发布,105,"10,915元/平"
此房满五，户型规矩，采光好，视野宽广，主要看价格,锦城苑 -红旗,2室2厅 | 101.54平米 | 西南 北 | 精装 | 高楼层(共22层)  | 板塔结合,16人关注 / 一年前发布,69,"6,796元/平"
伟业星城精装跃层 产权过五 南北通透 可按揭,伟业星城 -硅谷街北,3室2厅 | 167.45平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,47人关注 / 一年前发布,147,"8,779元/平"
单价6685两室的价格买南北小三室拎包入住适合改善过渡,恒大名都 -硅谷街北,3室2厅 | 113.68平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,32人关注 / 一年前发布,76,"6,686元/平"
燕园 标准两居 南北通透 户型方正 精装,高新怡众名城 -硅谷街北,2室2厅 | 95.54平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 21天以前发布,120,"12,561元/平"
二环内  高品质小区  采光嘎嘎的   精装修,远创紫樾台 -客车厂,2室2厅 | 95.2平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 20天以前发布,93,"9,769元/平"
出门地铁站.政府公园.南北通透.室内宽敞明亮.中间楼层,凯旋花园 -长新街,4室2厅 | 180.43平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,119,"6,596元/平"
新太市场旁 法国小镇 带阁楼 客厅挑空 精装修 随时看,鲁辉国际城六区 -八里堡,2室2厅 | 104.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,87,"8,334元/平"
翡翠花溪 中间楼层  采光足 省二旁 配套全,新发翡翠花溪 -硅谷街北,2室1厅 | 100.13平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,115,"11,486元/平"
西安广场  小户型35平17万  拎包入住,盈家瑞景花园 -西安广场,1室1厅 | 34.53平米 | 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 19天以前发布,16.8,"4,866元/平"
平阳地铁一号线二号线，四楼南向精装 一室一厅有钥匙,通化路小区 -平阳,1室1厅 | 35平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 19天以前发布,30,"8,572元/平"
东皇•波尔的家 2室2厅 南 北,东皇•波尔的家 -长沈路,2室2厅 | 96.45平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 27天以前发布,69,"7,154元/平"
翡翠花溪 精装婚房 南北两室 不把山 过五唯一 采光好,新发翡翠花溪 -硅谷街北,2室2厅 | 99.42平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 21天以前发布,120,"12,071元/平"
一楼 人民大街  交通方便  格局好 有钥匙的房源随时看,长春光机所第一小区 -吉大南岭校区,2室2厅 | 92.98平米 | 南 北 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 18天以前发布,125,"13,444元/平"
两室格局好，楼层好视野宽阔，采光充足，配套设施齐全,万晟幸福里 -南部新城,2室1厅 | 71.01平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 9天以前发布,63,"8,872元/平"
虹馆新上房源 装修好 直通地下 房主诚心卖 随时看,虹馆 -净水厂,2室1厅 | 96.96平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 11天以前发布,124,"12,789元/平"
展轮新世界 2室1厅 南,展轮新世界 -东风,2室1厅 | 63.42平米 | 南 | 简装 | 高楼层(共15层)  | 板楼,0人关注 / 29天以前发布,37,"5,835元/平"
万通B区 3室1厅 南 北,万通B区 -万通,3室1厅 | 67.24平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 18天以前发布,56,"8,329元/平"
多恩海棠湾两室一厅 精装修 采光好 产权过二 随时看,多恩海棠湾 -西潘家屯,2室1厅 | 65.18平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 24天以前发布,49.9,"7,656元/平"
郡望安石 1室1厅 东,郡望安石 -长新街,1室1厅 | 36.32平米 | 东 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 6天以前发布,23.6,"6,498元/平"
雅仕园小区 2室2厅 南 北,雅仕园小区 -南湖,2室2厅 | 111.89平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 8天以前发布,126,"11,262元/平"
房主诚心出售，采光无遮挡，楼层好，产权过二.,领秀蓝珀湖二期 -工业大学北湖校区,2室2厅 | 88.44平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4天以前发布,67,"7,576元/平"
精装 湖景 满二 可议价 位置好  楼层好 视野开阔,恒大御景北区 -友谊公园,3室2厅 | 114.51平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,24人关注 / 一年前发布,115,"10,043元/平"
高档小区 格局好 视野好 绿化高 中间楼层 蠢毛坯,中国铁建花语城 -硅谷街北,3室2厅 | 132.59平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,153,"11,540元/平"
格局好，楼层好，视野好，配套好,万科翡翠滨江 -东大桥,3室2厅 | 117.75平米 | 南 北 | 精装 | 中楼层(共35层)  | 板楼,0人关注 / 7天以前发布,146,"12,400元/平"
全新未住 不临街 带阳台 双阳卧室 精装修三居,万科蓝山E区 -亚泰,3室2厅 | 135.4平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,16人关注 / 一年前发布,137.8,"10,178元/平"
华瀚四季花园 2室2厅 南 北,华瀚四季花园 -西安广场,2室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,99,"10,532元/平"
好楼层 不把山 有钥匙 随时看  恒盛大户型,恒盛豪庭 -硅谷街南,3室2厅 | 164.31平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 3天以前发布,105,"6,391元/平"
多恩海棠湾  两室一厅  精装修  不把山不临街  随时看,多恩海棠湾 -西潘家屯,2室1厅 | 87.36平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 14天以前发布,66.8,"7,647元/平"
精装修两室通透格局，全明户型，采光好，通风好，,圣世金鼎城 -南部新城,2室2厅 | 93.7平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 15天以前发布,80,"8,538元/平"
标准两室南北通透精装修中高层视野好采光好满两年,华润橡树湾一期 -南部新城,2室2厅 | 89.42平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 16天以前发布,98.9,"11,061元/平"
标准格局，南北通透，精装婚房。,中冶蓝城三期 -北环沿线,2室1厅 | 90.19平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 10天以前发布,80,"8,871元/平"
地铁二号线，长春公园，吾悦广场，欧亚春城，九六四医,纺织家园西区 -景阳广场,3室2厅 | 84.93平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3天以前发布,53.9,"6,347元/平"
业主急售 11层中间楼层  满五唯一  随时看房,高新怡众名城 -硅谷街北,3室2厅 | 146.18平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 14天以前发布,139,"9,509元/平"
庆丰路站！家装，楼层好，采光好，户型好。,地铁名典杜鹃苑 -长新街,2室1厅 | 54.88平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 8天以前发布,40,"7,289元/平"
嘎嘎好采光 房主在外地 不方便打扰 大家看房联系我,万科城市之光 -西部新城开发区,3室1厅 | 105.14平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 15天以前发布,133.5,"12,698元/平"
中海凤凰熙岸 好楼层 采光好 毛坯随意装修,中海凤凰熙岸 -南部新城,3室1厅 | 109.63平米 | 南 北 | 简装 | 高楼层(共20层)  | 板楼,0人关注 / 12天以前发布,85,"7,754元/平"
伊通河观景房 中间楼层 不把不临 采光视野好 两居,保利百合香湾A区 -八里堡,2室1厅 | 96.81平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,79.8,"8,243元/平"
鲁辉国际城六区 2室2厅 南 北,鲁辉国际城六区 -八里堡,2室2厅 | 106.45平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 5天以前发布,72,"6,764元/平"
南北通透标准格局，楼层好，标准格局户型，可按揭。,钻石礼都西区 -天光路,2室2厅 | 90.12平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5天以前发布,69.8,"7,746元/平"
好楼层 户型方正 位置好 交通便利  随时看房,锦城 -二道区周边,2室1厅 | 89.72平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 8天以前发布,66.8,"7,446元/平"
雨润星雨华府 产权过二，南北通透 三室格局好,雨润星雨华府 -小城子,3室2厅 | 87.19平米 | 南 北 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 15天以前发布,47,"5,391元/平"
南城家园三室精装南北通透可贷款近地铁近校区购物便利,南城家园E区 -南部新城,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,0人关注 / 16天以前发布,88,"7,040元/平"
：业主诚心出售，精装修南北通透，格局方正，楼层好,香水湾二期 -八里堡,2室2厅 | 79.6平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 6天以前发布,67,"8,418元/平"
中意之尊 南北通透格局 中间楼层 诚心出售 产权明晰,中意之尊 -东方广场北,2室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 8天以前发布,76,"8,540元/平"
怡通家园 2室2厅 南 北,怡通家园 -吉大南岭校区,2室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 9天以前发布,125,"11,905元/平"
长电朗天国际2-2-1-1 91.00m² 77 万）,长电朗天国际 -净月区,2室2厅 | 91平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 5天以前发布,77,"8,462元/平"
盛华小区卫星商圈双地铁1+3号线小面积户型南北通透,盛华小区 -净水厂,1室1厅 | 55平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,48,"8,728元/平"
保利罗兰香谷大三居 南北通透 采光好 价格便宜,保利罗兰香谷 -欧亚卖场,3室2厅 | 145平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 11天以前发布,125,"8,621元/平"
标准两室格局 采光好 无遮挡 低楼层,好景山庄 -净水厂,2室1厅 | 96平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 8天以前发布,89,"9,271元/平"
天富御苑二期 小区新 南北通透 不把不临 产权在手,天富御苑香赞 -北湖,2室2厅 | 89.9平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 6天以前发布,62,"6,897元/平"
汉森香榭里户型方正三居室，看房随时，房主诚意出售！,汉森香榭里 -硅谷街南,3室2厅 | 127.16平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,1人关注 / 16天以前发布,85.8,"6,748元/平"
大桥早市，新天地购物公园，欧亚，交通出行方便,东大小区 -东大桥,2室1厅 | 62.62平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,48,"7,666元/平"
正阳广场汽贸小区中间楼层精装修拎包入住,汽贸城小区 -东风,2室2厅 | 97.34平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 14天以前发布,63,"6,473元/平"
业主急售  北湾新城四期  看房方便  东师明达,中天北湾新城四期 -奋进,2室2厅 | 88平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 4天以前发布,67.5,"7,671元/平"
精装修 楼层好 房屋干净整洁 采光充足 交通便利,金色8里城北区 -后十里堡,2室1厅 | 50.78平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 6天以前发布,43.8,"8,626元/平"
一楼可开门市 南北通透 单价低 供暖好 交通便利,新隆小区 -西安广场,2室1厅 | 70.95平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 11天以前发布,55,"7,752元/平"
万龙名城电梯房 不把山不临街 地铁轻轨 劳动公园,万龙名城 -和顺,2室1厅 | 74.41平米 | 南 | 简装 | 高楼层(共27层)  | 塔楼,0人关注 / 3天以前发布,78,"10,483元/平"
吉森漫桦林二期 3室2厅 南 北,吉森漫桦林二期 -南部新城,3室2厅 | 102.76平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,0人关注 / 8天以前发布,102,"9,927元/平"
急售 好楼层 毛坯3室 飞机户型 万科物业,吉森漫桦林二期 -南部新城,3室2厅 | 107.65平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 14天以前发布,105,"9,754元/平"
南北通透 不把不临 园区中间位置 精装修 拎包入住,文庭雅苑 -南湖,2室2厅 | 112.42平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 7天以前发布,112,"9,963元/平"
楼层好 采光好 精装修三室 产权明晰,万龙国际城一期 -北环沿线,3室2厅 | 112.92平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,110,"9,742元/平"
吉大慧谷澳海兰苑73平2居室孝敬老人结婚过度,澳海澜苑 -硅谷街南,2室1厅 | 71平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,15人关注 / 5个月以前发布,55.2,"7,775元/平"
南北正房 格局好 北侧大厅 精装修 拎包就住 交通便利,长客厂南B区南区 -普阳,2室1厅 | 67.95平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,56,"8,242元/平"
店长主推 御翠豪庭二期 大三居 奢华装修，拎包入住,御翠豪庭长春 -净水厂,3室2厅 | 162.57平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,12人关注 / 一年前发布,189,"11,626元/平"
华润紫云府，位置好，毛坯房，楼层好,华润紫云府一期 -南部新城,3室2厅 | 139.91平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 板塔结合,24人关注 / 一年前发布,153,"10,936元/平"
万龙银河城西区，拎包入住，把西山不理你，前无遮挡！,万龙银河城西区 -西部新城开发区,3室2厅 | 102.65平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,90,"8,768元/平"
园区中间位置  不把不临  南北通透  观八一水库,恒盛豪庭 -硅谷街南,4室2厅 | 172.61平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 1个月以前发布,119,"6,895元/平"
南湖畔地铁 威尼斯花园电梯洋房南明厅大开间 有钥匙,大禹威尼斯花园西院 -南湖,3室2厅 | 159.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,195,"12,222元/平"
湖光路轻轨站 采光好 视野开阔,宜家7080 -欧亚卖场,3室2厅 | 98.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,116,"11,741元/平"
南郡水云天 南北通透，不把不临，中间楼层，诚心出售,南郡水云天3号 -硅谷街南,2室2厅 | 103.7平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,8人关注 / 一年前发布,72.5,"6,992元/平"
光机社区，二楼，南北，采光好，产权过五，封闭园区,光机社区 -南湖,2室1厅 | 56.58平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,49,"8,661元/平"
云邸，尊贵的享受，让美好，如期而至。。。。。。,中信城云邸 -净月区,3室2厅 | 135.98平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,18人关注 / 一年前发布,145,"10,664元/平"
过五唯一温莎公馆电梯洋房一梯一户免费车位轻she风,天茂湖温莎园 -硅谷街南,3室2厅 | 140.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,196,"13,972元/平"
地铁1号线 精装修 拎包入住随时看房,中冶蓝城三期 -北环沿线,2室1厅 | 65.51平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 9个月以前发布,53,"8,091元/平"
两室两厅，精装修，人民大街通化路交汇处  双地铁,新科小区 -平阳,3室1厅 | 74平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,76,"10,271元/平"
东安瑞凯国际，精装修三室，证在手，采光好，可按揭,东安瑞凯国际一期 -南部新城,3室2厅 | 99.89平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,28人关注 / 一年前发布,86,"8,610元/平"
诚心出售，看房方便，位置好，小区新,保利溪湖林语 -南部新城,3室2厅 | 144.75平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 8个月以前发布,145,"10,018元/平"
开运福里 轻轨三号  标准H格局  位置号 采光足,开运福里B区 -欧亚卖场,2室1厅 | 77.4平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,2人关注 / 3个月以前发布,78,"10,078元/平"
产权满五精装 产权清晰 税费低 房主诚心出售 拎包入住,复地哥德堡森林二期 -净月区,3室2厅 | 100.58平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 2个月以前发布,97,"9,645元/平"
长春公园 天嘉公园 吾悦广场 西安广场,西安花园三期 -普阳,3室1厅 | 87.05平米 | 南 西 北 | 简装 | 中楼层(共18层)  | 板楼,10人关注 / 一年前发布,62,"7,123元/平"
绿地城三室观景房，北师大，尚德旁，随时可看。,绿地城 -硅谷街南,3室2厅 | 107.37平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,5人关注 / 11个月以前发布,89,"8,290元/平"
产权过二，楼层好价格美丽，配套齐,万科蓝山E区 -亚泰,3室2厅 | 135.4平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,5人关注 / 11个月以前发布,138,"10,193元/平"
两室户型！南厅北厨！精装修！中间楼层！,东田青年城A区 -住邦城市广场,2室1厅 | 81.46平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 4个月以前发布,64,"7,857元/平"
地铁 航空家园精装148平三室 不把不临 产权过二,航空家园(南关区) -净水厂,3室2厅 | 148平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,5人关注 / 一年前发布,169,"11,419元/平"
封闭小区精装修两室，南北正房，体育场二院，不把不临,军转小区 -吉大南岭校区,2室2厅 | 90.44平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,63,"6,966元/平"
精装3楼  不把不临 交通便利,南关区政府宿舍 -平阳,2室2厅 | 78.17平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,64,"8,188元/平"
临卖场、近轻轨、开运福里精装三室,开运福里A2区 -欧亚卖场,3室2厅 | 96.46平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,35人关注 / 一年前发布,89.5,"9,279元/平"
怡众名城燕园 标准三室两厅 精装修 中间楼层 采光好,高新怡众名城 -硅谷街北,3室2厅 | 132.6平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,5人关注 / 5个月以前发布,175,"13,198元/平"
业主急售，随时看房，不把不临，一梯一户,新星宇之新观邸 -硅谷街北,3室2厅 | 128.08平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 5个月以前发布,147,"11,478元/平"
明泽  落地窗带阳台 地下有车位 三室飞机户型,长电朗天国际 -净月区,3室2厅 | 120.78平米 | 东 南 北 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 1个月以前发布,99.9,"8,272元/平"
中海寰宇天下H区精装修电梯房采光好楼层,中海寰宇天下H区 -二道区周边,3室2厅 | 116.23平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,16人关注 / 一年前发布,92,"7,916元/平"
光谷大街蔚山路 翡翠花溪 中间楼层 三居室 精装可按揭,新发翡翠花溪 -硅谷街北,3室2厅 | 116.04平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,126,"10,859元/平"
