标题,开发商,房子信息,发布信息,售价/万,单价
泰达润景园北苑 2室2厅 南,泰达润景园北苑 -柳叶湖,2室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2天以前发布,83.8,"8,423元/平"
白马湖    丁玲     万达,汇景中央广场 -文理学院,5室2厅 | 144平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,3人关注 / 4个月以前发布,105,"7,292元/平"
精品房源，地址位置好，南北通透！,柳都水语 -火车站,4室2厅 | 166.96平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 6个月以前发布,85,"5,092元/平"
万建紫庭 3室2厅 南,万建紫庭 -三闾,3室2厅 | 89.51平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 26天以前发布,69.8,"7,799元/平"
泰达润景园 3室2厅 东南,泰达润景园 -柳叶湖,3室2厅 | 130.8平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 31天以前发布,65,"4,970元/平"
新日世纪城 3室2厅 南,新日世纪城 -桥南,3室2厅 | 119.19平米 | 南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 29天以前发布,79.8,"6,696元/平"
万达 丁玲公园  常德碧桂园 精装四房,常德碧桂园C区 -白马湖,4室2厅 | 141.04平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,85,"6,027元/平"
城东，战备桥，全新装修，一天都没有住过，精装两房。,经泽 · 紫缘 -三闾,2室2厅 | 87.5平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 27天以前发布,61.5,"7,029元/平"
水岸春天 2室1厅 东,水岸春天 -紫桥,2室1厅 | 59.93平米 | 东 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 30天以前发布,33.2,"5,540元/平"
中房紫桥豪园 3室2厅 南 北,中房紫桥豪园 -紫桥,3室2厅 | 102.12平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 27天以前发布,52,"5,093元/平"
盛唐四月天 3室2厅 南,盛唐四月天 -地区医院,3室2厅 | 139.43平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 14天以前发布,61.8,"4,433元/平"
水榭花城中城一期 大润发 友阿 滨湖公园,水榭花城中城一期 -滨湖公园,4室2厅 | 134.7平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,2人关注 / 7个月以前发布,74,"5,494元/平"
文理学院旁汇景中央广场、大平层正规5房、带地下车位,汇景中央广场 -文理学院,5室2厅 | 165平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 1个月以前发布,120.8,"7,322元/平"
汇景城小区是是常德市有名的高档小区,汇景城 -白马湖,4室2厅 | 129.66平米 | 南 北 | 其他 | 中楼层(共31层)  | 板塔结合,2人关注 / 6个月以前发布,102.3,"7,890元/平"
中建    芙蓉公园  新渠河公园 户型好   采光通透,天源星城 -五强溪,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,9人关注 / 一年前发布,52,"5,307元/平"
宏达宾馆；川紫河；朝阳公馆‘；全新毛坯；温馨三房,朝阳公馆 -宏大,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,5人关注 / 4个月以前发布,70.8,"6,437元/平"
老西门 梅尼广场沅江边  电梯高层 视野开阔 交通便利,老西门 -北站,3室2厅 | 119.77平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,70,"5,845元/平"
新小区，配套齐全，南北通透，业主急售.,朝阳公馆 -宏大,4室2厅 | 127.78平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,96,"7,513元/平"
大润发 友阿国际广场 滨湖公园里面的好房子 北正街,水榭花城中二•美域 -滨湖公园,4室2厅 | 172平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,2人关注 / 3个月以前发布,119.8,"6,966元/平"
常德市武陵区税务局城东税务分局宿舍 2室2厅 南 北,常德市武陵区税务局城东税务分局宿舍 -地区医院,2室2厅 | 75平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,28.6,"3,814元/平"
成事白领公寓 3室2厅 南,成事白领公寓 -火车站,3室2厅 | 126平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,55,"4,366元/平"
保利中央公园二期 4室2厅 南 北,保利中央公园二期 -柳叶湖,4室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,105,"7,500元/平"
城西，碧桂园，穿紫河，新小区，电梯低层，二房二厅,城投蓉国新坊和院 -白马湖,2室1厅 | 64.61平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,3人关注 / 2个月以前发布,36.5,"5,650元/平"
芷兰旁边 方正大3房 楼层好 采光好 业主诚心出售,金沅丽景 -芷兰,3室2厅 | 138.23平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,70,"5,065元/平"
三一翡翠湾   前排穿紫河景 精装4房 拎包入住,三一翡翠湾 -三闾,4室2厅 | 155平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,128,"8,259元/平"
绿地新都会 3室2厅 东南,绿地新都会 -德山,3室2厅 | 89.9平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,45,"5,006元/平"
盛唐四月天 3室1厅 南 北,盛唐四月天 -地区医院,3室1厅 | 87.48平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,71.5,"8,174元/平"
健民花园 3室2厅 西,健民花园 -滨湖公园,3室2厅 | 136平米 | 西 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 1个月以前发布,67,"4,927元/平"
三岔路龙港汇，全明格局，全景落地窗，精装3房,天源鑫座 -三岔路,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共22层)  | 暂无数据,5人关注 / 4个月以前发布,73.9,"7,317元/平"
此房满2年，精装修，读书方便，位置蛮好！,德和圆 -白马湖,3室2厅 | 125.24平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,15人关注 / 一年前发布,81.5,"6,508元/平"
车位免费，次新小区诚心出售，拎包入住，配套齐全,名郡国际 -桥南,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 4个月以前发布,66,"5,740元/平"
火车站 万达 新中医院 次新小区 毛坯三房 采光视野好,东星熙城 -白马湖,3室2厅 | 109.76平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,51.8,"4,720元/平"
三桥桥头 鼎一 紫薇家园 精装三房 拎包入住,紫薇佳园二期 -桥南,3室2厅 | 105平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,53.8,"5,124元/平"
山水铭洲 3室2厅 南,山水铭洲 -德山,3室2厅 | 115.37平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,31.8,"2,757元/平"
央企保利开发，喜欢保利的朋友可以看看,保利中央公园二期 -柳叶湖,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,7人关注 / 4个月以前发布,89,"7,417元/平"
永安 常沅 近 玉华楼   南城天街  出行方便,宏泽佳园 -桥南,2室2厅 | 92平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 18天以前发布,30,"3,261元/平"
育才 芷兰嘉树 旭辉 地区医院 青年新城,楠沙小区 -三闾,2室1厅 | 64平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,35,"5,469元/平"
东方美景二期 3室2厅 南,东方美景二期 -柳叶湖,3室2厅 | 109平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,1人关注 / 29天以前发布,42.8,"3,927元/平"
常德恒大华府 3室2厅 南,常德恒大华府 -芷兰,3室2厅 | 89平米 | 南 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 26天以前发布,73,"8,203元/平"
星汇蓝湾 拎包入住 设计精致 电梯房,星汇蓝湾 -桥南,1室1厅 | 30.8平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 25天以前发布,21.8,"7,078元/平"
看大小河街，电梯观景房，两梯两户，板楼,乾園博士府 -柳叶湖,3室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,80,"5,971元/平"
荷塘月色 3室2厅 南,荷塘月色 -火车站,3室2厅 | 147.5平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,65.8,"4,462元/平"
户型好，精装修，直接拎包入住。,中原德景园 -白马湖,3室1厅 | 113.5平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,6人关注 / 6个月以前发布,95.8,"8,441元/平"
楼层好，户型佳，采光通风，房龄新，交通云集,锦汇苑 -紫桥,3室2厅 | 100.4平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,74,"7,371元/平"
白马湖 万达 德景园精装两房出售···,中原德景园 -白马湖,2室2厅 | 90.14平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,70.8,"7,855元/平"
火车站 欢乐城 电梯中层 低价出售,柳荷鑫苑 -芷兰,3室2厅 | 135.1平米 | 南 | 简装 | 中楼层(共12层)  | 板塔结合,1人关注 / 1个月以前发布,68.8,"5,093元/平"
新中医院  万达商圈 白马湖双公园 3室2厅2卫,城投蓉国新赋 -白马湖,3室2厅 | 125.61平米 | 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,3人关注 / 2个月以前发布,78,"6,210元/平"
白马湖万达，新小区，精空无抵押，产权清晰,君华·御庭 -白马湖,3室2厅 | 79平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,1人关注 / 3个月以前发布,69.8,"8,836元/平"
万达广场 双公园 精装3室 诚心出售！！！,万达湖公馆A1区 -白马湖,3室1厅 | 98平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,72,"7,347元/平"
保利中央公园 4室1厅 南,保利中央公园 -柳叶湖,4室1厅 | 139平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,1人关注 / 1个月以前发布,79.8,"5,742元/平"
五强溪 文理学院 新河渠公园旁 单位院子 停车免费,五强溪 -五强溪,3室2厅 | 111.82平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,48,"4,293元/平"
三一翡翠湾 拎包入住 精装小3房 电梯中层,三一翡翠湾 -三闾,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,2人关注 / 10个月以前发布,78.8,"7,880元/平"
火车站，汽车站，高铁站，欢乐城。。。。。,新邦壹品 -火车站,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,87.8,"6,969元/平"
阳明湖旁善卷初中、碧桂园天悦湾三房精空诚心出售,碧桂园天悦湾 -桥南,3室2厅 | 123平米 | 南 | 简装 | 高楼层(共25层)  | 暂无数据,5人关注 / 一年前发布,55.8,"4,537元/平"
家具家电聚宝安置小区，金丹，桃花源路,聚宝安置小区 -五强溪,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,2人关注 / 1个月以前发布,42,"4,773元/平"
满五年，税费低，高层望穿紫河，精装拎包入住。,蓝湖郡 -紫桥,2室2厅 | 90.93平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,8人关注 / 6个月以前发布,61.8,"6,797元/平"
丁玲公园旁，小区物业好，素质高,君华·御庭 -白马湖,4室2厅 | 120.8平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 8个月以前发布,85,"7,037元/平"
大小河街旁，东方美景二期，精装二房,东方美景二期 -柳叶湖,2室2厅 | 89.75平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 5个月以前发布,48.8,"5,438元/平"
上东曼城、地区医院东升大三房，南北通透，采光充足。,桂花園 -甘露寺,3室2厅 | 131.59平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,65,"4,940元/平"
丁玲公园，君华御庭精装两房保养不错，可拎包入住,君华·御庭 -白马湖,2室2厅 | 82平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,71.8,"8,757元/平"
福捷华中城一期  3室2厅 南,福捷华中城一期  -桥南,3室2厅 | 113平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,63,"5,576元/平"
柳叶湖畔绕荷花公园而建 风景秀丽 环境优美 千亩大盘,保利中央公园三期C区 -柳叶湖,4室2厅 | 153.58平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,2人关注 / 3个月以前发布,112,"7,293元/平"
龙港汇 电梯中间楼层 正规三房 采光好户型周正,华政·龙港汇 -三岔路,3室2厅 | 88.39平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,60,"6,789元/平"
芙蓉盛世 3室2厅 南 北,芙蓉盛世 -白马湖,3室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,4人关注 / 3个月以前发布,95,"6,885元/平"
万建紫庭 汇景公园 三一 金城里 单位房 2梯2户质量好,高尚名門 -三闾,3室2厅 | 130.11平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,75,"5,765元/平"
柳叶府 4室2厅 南 北,柳叶府 -柳叶湖,4室2厅 | 142平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,88.8,"6,254元/平"
此房满二，宽阳台格局，视野宽阔，采光充足，交通便利,德山新城 -德山,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,2人关注 / 6个月以前发布,44,"4,400元/平"
文理学院 精装两房 杂物间上面1楼 拎包入住,金城小区 -三岔路,2室2厅 | 87.51平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,4人关注 / 2个月以前发布,43.8,"5,006元/平"
白马湖 文理学院 德景园精装四房,中原德景园 -白马湖,4室2厅 | 127.8平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,4人关注 / 1个月以前发布,130,"10,173元/平"
大润发 十一中 穿紫河  紫桥,锦福德花苑 -紫桥,6室2厅 | 189.65平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,70,"3,692元/平"
桥南汽车总站 南城天街财富广场精装两房出售,财富广场 -桥南,2室2厅 | 74.24平米 | 南 | 精装 | 低楼层(共3层)  | 平房,2人关注 / 3个月以前发布,32,"4,311元/平"
三一翡翠湾 2室2厅 南,三一翡翠湾 -三闾,2室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,63.8,"7,169元/平"
电梯中间楼层 小两房 拎包入住 带家电家具,盛唐四月天 -地区医院,2室1厅 | 56.24平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,15人关注 / 5个月以前发布,38.8,"6,900元/平"
三叉路 烟厂三区 随时看房 芙蓉路,常德烟厂生活三区 -三岔路,1室1厅 | 46.16平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,25.3,"5,481元/平"
地区医院  婚装好房 设施齐全 拎包即可入住,欣隆盛世▪朗郡 -甘露寺,2室1厅 | 83平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,62.6,"7,543元/平"
朗峰城市优品 精致好户 阳光好 拎包即可入住,朗峰城市优品小区 -地区医院,2室2厅 | 87平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,1人关注 / 3个月以前发布,69.8,"8,023元/平"
常德恒大华府 1室1厅 南,常德恒大华府 -芷兰,1室1厅 | 54平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,35,"6,482元/平"
成熟商圈，交通便利，楼下就能解决生活所需,紫桥小区 -紫桥,2室1厅 | 63.77平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,22,"3,450元/平"
步行街 武陵阁 诗墙公园 卫门口 瞰天下 老西门 好房子,瞰天下 -步行街,1室1厅 | 57平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,30.8,"5,404元/平"
大小河街  三一翡翠湾  花园小区 业主自住房,三一翡翠湾 -三闾,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,19人关注 / 11个月以前发布,85,"7,728元/平"
常德碧桂园中央花园4-2-1-2 143.00m² 105 万,常德碧桂园中央花园 -桥南,4室2厅 | 143平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,86.8,"6,070元/平"
一线江景房，南北通透，双阳台，拎包入住,宏泽佳园 -桥南,3室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,45人关注 / 6个月以前发布,48.8,"4,136元/平"
三一翡翠湾 3室2厅 南,三一翡翠湾 -三闾,3室2厅 | 113.5平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,89.8,"7,912元/平"
浙风名邸 电梯精装 业主诚心急售,浙风名邸 -桥南,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 1个月以前发布,58.8,"6,534元/平"
四中老广场旁向都国际公馆电梯3房拎包入住,向都·國際 -地区医院,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,10人关注 / 5个月以前发布,69.9,"5,178元/平"
武陵大道火车站商圈，舒适三房带杂物间急售,鸿升建行宿舍 -鸿升,3室2厅 | 113.99平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,50.2,"4,404元/平"
阳光地带 3室2厅 南,阳光地带 -地区医院,3室2厅 | 109.53平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,7人关注 / 一年前发布,69.6,"6,355元/平"
恒大华府 北正街 芷兰 精装大三房 边户型,常德恒大华府 -芷兰,3室1厅 | 139平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,104.5,"7,518元/平"
滨湖公园 大润发 友阿 好楼层 通风采光好,蓝湖郡 -紫桥,2室2厅 | 92平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 18天以前发布,72,"7,827元/平"
毛坯房的价格买装修好的电梯三房 桥南南城天街旁边,薪城外滩B区 -桥南,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,60.8,"4,504元/平"
永乐花园 2室2厅 南,永乐花园 -宏大,2室2厅 | 72.13平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,38.3,"5,310元/平"
瞰天下 电梯高层 户型周正 采光好,瞰天下 -步行街,1室1厅 | 57平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,32,"5,615元/平"
万达 蓉国新赋 自带暖气 毛坯带车位价格 诚心出售,城投蓉国新赋 -白马湖,2室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共20层)  | 板塔结合,1人关注 / 2个月以前发布,62.8,"6,475元/平"
楠沙小区 2室1厅 南,楠沙小区 -三闾,2室1厅 | 87平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,36.5,"4,196元/平"
紫桥 中医院 低楼层精装修 两房,紫桥二区桃园 -紫桥,2室2厅 | 68平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,43.8,"6,442元/平"
单位院子 绿化好 配套完善 装修保养好 成熟小区,常德烟厂生活三区 -三岔路,2室2厅 | 64.49平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,36,"5,583元/平"
穿紫河 大小河街 好润佳 三一翡翠湾 精装2房,三一翡翠湾 -三闾,2室2厅 | 87.4平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,69.8,"7,987元/平"
友阿大润发商圈，穿紫河德国小镇，紫桥精装两房,紫桥小区 -紫桥,2室2厅 | 63.66平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 6个月以前发布,43.5,"6,834元/平"
四医院 老北站 正规一房 装修保养好 居家出租均可,朝阳D5区东晟美寓 -宏大,1室1厅 | 48平米 | 东 | 其他 | 中楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,36,"7,500元/平"
环境好，格局好，套内面积大，视野开阔，交通便利,名郡国际 -桥南,2室2厅 | 80.25平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,2人关注 / 11个月以前发布,40.8,"5,085元/平"
新玉园小区  电梯低楼层  户型周正  采光好,新玉园小区 -北站,1室1厅 | 50.98平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,6人关注 / 5个月以前发布,30.8,"6,042元/平"
烟厂 精装两房拎包入住  带杂物间,芙蓉生活小区 -三岔路,2室2厅 | 78.95平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,37,"4,687元/平"
滨湖公园 步行街 电梯小三房 业主急售,鸿昌国际 -步行街,3室2厅 | 94平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,55.8,"5,937元/平"
白马湖 万达单位房子电梯精装三房出售,金城苑 -白马湖,3室2厅 | 138平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,96.5,"6,993元/平"
品质小区，素质住户 刚需户型，业主诚心出售,天源星城 -五强溪,3室2厅 | 101.97平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,70,"6,865元/平"
文理学院 精装三房 拎包入住 白马湖,西城水恋 -文理学院,3室2厅 | 137.19平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,59.8,"4,359元/平"
芷兰  欢乐城  华电新城 精装3房 带车位  急售,华电新城 -芷兰,3室2厅 | 122.54平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,108,"8,814元/平"
常德恒大华府 3室2厅 南,常德恒大华府 -芷兰,3室2厅 | 124平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,98,"7,904元/平"
理学院 全新精装三房 全套家电 拎包入住,景福公寓 -五强溪,3室2厅 | 135.3平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,69.8,"5,159元/平"
五强溪金丹十三 烟机二区 单位院子 带杂物间 停车方便,常德烟机生活二区 -五强溪,3室2厅 | 98平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,39.8,"4,062元/平"
房满五唯一，格局好，视野宽阔，采光充足。,乾明小区 -德山,2室1厅 | 68.55平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,28人关注 / 11个月以前发布,23.8,"3,472元/平"
此商品房为通透格局，楼层好，采光充足配套设施,西城水恋 -文理学院,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,6人关注 / 2个月以前发布,38,"3,167元/平"
此房户型周正，采光充足，交通便利,粮运宿舍 -三岔路,2室1厅 | 56.78平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,29.8,"5,249元/平"
满二年 电梯两房 家具家电齐全 拎包入住,常德恒大华府 -芷兰,2室2厅 | 81平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,65,"8,025元/平"
朗峰城市优品小区 2室2厅 南,朗峰城市优品小区 -地区医院,2室2厅 | 86平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,1人关注 / 1个月以前发布,69.8,"8,117元/平"
四 中旁 新小区 精装2房 即买即住,阳光地带 -地区医院,2室1厅 | 73.31平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 8个月以前发布,63.8,"8,703元/平"
欣隆盛世▪朗郡 2室2厅 南,欣隆盛世▪朗郡 -甘露寺,2室2厅 | 83平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,56,"6,747元/平"
大润发 友阿广场 穿紫河旁 紫桥 精装房 低价出售,紫桥小区 -紫桥,2室1厅 | 63.7平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,38,"5,966元/平"
捌海▪常德公馆 2室2厅 南 北,捌海▪常德公馆 -桥南,2室2厅 | 88.91平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,48.8,"5,489元/平"
