标题,开发商,房子信息,发布信息,售价/万,单价
石桥区樊华精装修，拎包入住，户型通透，采光好,樊华似锦二期 -高新,2室1厅 | 81.07平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,78,"9,622元/平"
香榭里大道一楼带前后花园， 带暖气，精装修出租车位,香榭里大道 -越王楼,3室2厅 | 127.05平米 | 东北 | 精装 | 低楼层(共7层)  | 板楼,10人关注 / 11个月以前发布,120,"9,446元/平"
奔驰小区桃源路生活区2-2-1-1 75.44m² 45 万,奔驰小区桃源路生活区 -大都会,2室2厅 | 75.44平米 | 北 | 简装 | 高楼层(共8层)  | 板楼,7人关注 / 一年前发布,39.8,"5,276元/平"
一中警钟街，房东诚意出售，电梯。,警钟街82号 -南河坝,3室1厅 | 110.89平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,71,"6,403元/平"
华丽花园 精装3室 低楼层 带平台 诚心出售,华丽花园 -江油,3室2厅 | 112.2平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,3人关注 / 7个月以前发布,46.5,"4,145元/平"
金柱园近单位房 1楼抬高带院子 急售,剑门路东段14号 -大都会,3室2厅 | 95.31平米 | 东北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,64.5,"6,768元/平"
东辰旁 华润中央公园 精装三室 满二证在手 有车位,华润中央公园 -科创园区,3室2厅 | 91.14平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,3人关注 / 4个月以前发布,97,"10,643元/平"
套三双卫 对中庭 客厅带阳台 户型方正 ，毛坯房,长兴星城二期 -科创园区,4室2厅 | 119.73平米 | 东南 西北 | 毛坯 | 高楼层(共31层)  | 板塔结合,2人关注 / 6个月以前发布,125,"10,441元/平"
视野开阔 位置好 户型方正 配套完善。就在公园下,金税小区 -富乐山,3室2厅 | 124.32平米 | 东 东南 | 毛坯 | 低楼层(共7层)  | 板楼,2人关注 / 3个月以前发布,68,"5,470元/平"
此房满五年，带入户花园，生活阳台,博雅海润广场 -经开区,3室2厅 | 83.33平米 | 东南 | 简装 | 低楼层(共25层)  | 塔楼,11人关注 / 4个月以前发布,79,"9,481元/平"
鹏业小区精装修3室 拎包入住 家电齐全,鹏业小区 -科创园区,3室2厅 | 80.28平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,27人关注 / 一年前发布,43.96,"5,476元/平"
温莎好房它来了，长在心上的价格，,温莎国际一期 -科创园区,3室2厅 | 89.88平米 | 东南 | 毛坯 | 高楼层(共17层)  | 塔楼,21人关注 / 一年前发布,91,"10,125元/平"
江岸山景 精装大两室 拎包入住关门卖  看房方便,江岸山景 -经开区,2室2厅 | 86.48平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,52,"6,013元/平"
万达旁边  电梯洋房  中间楼层  房东变现,宇环花苑 -火车站,2室2厅 | 95.76平米 | 东 | 简装 | 中楼层(共8层)  | 板塔结合,1人关注 / 25天以前发布,69.9,"7,300元/平"
布鲁斯·国际新城 2室2厅 东南 南,布鲁斯·国际新城 -高新,2室2厅 | 92.32平米 | 东南 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 30天以前发布,56,"6,066元/平"
九洲又一城，精装两室，视野开阔，拎包入住,九洲又一城 -高新,2室2厅 | 73.53平米 | 东 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 19天以前发布,73.8,"10,037元/平"
精装三室，对中庭不临街，证件齐全满两年，业主诚售。,华润中央公园 -科创园区,3室2厅 | 103平米 | 东南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 31天以前发布,120.8,"11,729元/平"
涪城区 花园星河湾 错层大三室 双阳台,花园·星河湾 -高水,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,76,"5,847元/平"
新安装电梯，此房满5 标准套3室标准,游仙区机关住宅小区 -富乐山,3室2厅 | 121平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 30天以前发布,88,"7,273元/平"
经开万达一路之隔，精装大三房，视野无遮挡，钥匙在手,南庭御景 -经开区,4室2厅 | 105.57平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 22天以前发布,103,"9,757元/平"
精装 三室 双卫 户型方正。。。,美乐城西华庭 -高新,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 22天以前发布,80,"7,921元/平"
满二 四室两卫 大横厅 欧派定制品牌家具家电拎包入住,文泉.理想城邦 -高新,4室2厅 | 105平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 20天以前发布,106.5,"10,143元/平"
布鲁斯国际新城二期精装大平层四房中间楼层朝南户型,布鲁斯·国际新城 -高新,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 22天以前发布,112,"7,833元/平"
上海广场精装三室出售，家具家电齐全，拎包入住,上海广场·名仕新苑 -江油,3室2厅 | 75平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 16天以前发布,49.5,"6,600元/平"
明月岛阅江山 4室2厅 南,明月岛阅江山 -江油,4室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 24天以前发布,110,"8,149元/平"
高新区位置好，房东诚心出售，全新装修，拎包入住,九洲·上尚城 -高新,3室2厅 | 93.8平米 | 东南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 28天以前发布,89,"9,489元/平"
成熟商圈 次新小区 标准套四 中间楼层,长兴星城二期 -科创园区,4室2厅 | 110.68平米 | 西 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 20天以前发布,116,"10,481元/平"
此房主次卧分离，户型格局新颖，全屋精装，拎包入住,长虹橡树郡 -经开区,3室2厅 | 105.8平米 | 东南 | 精装 | 低楼层(共24层)  | 板塔结合,3人关注 / 19天以前发布,88,"8,318元/平"
此房满两年‘标准3室可直接拎包入住 电梯,圣水明珠 -高水,3室2厅 | 91.04平米 | 南 北 | 其他 | 中楼层(共16层)  | 板塔结合,4人关注 / 6个月以前发布,75,"8,239元/平"
视野开阔，光线充足，户型布局合理，临江的房子,富临·丽景花城 -火车站,3室2厅 | 128.12平米 | 西南 | 简装 | 中楼层(共20层)  | 板塔结合,8人关注 / 7个月以前发布,92,"7,181元/平"
此房满两年，户型方正，教育资源丰富。,御南街2号 -御营坝,3室2厅 | 95.38平米 | 西南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,45,"4,718元/平"
海赋3期 清水4房  对中庭   朝南,海赋长兴三期 -经开区,4室2厅 | 116.8平米 | 东南 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 13天以前发布,128,"10,959元/平"
可观江，公园房！置身森林中，临江大平层！160平大宅,中油涪滨花园清溪苑 -江油,4室2厅 | 160.63平米 | 东 | 毛坯 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,65,"4,047元/平"
三江国际清水三室 临江 视野开阔  采光充足,三江国际丽城阅世集 -经开区,3室2厅 | 119.84平米 | 西北 | 毛坯 | 高楼层(共30层)  | 塔楼,1人关注 / 15天以前发布,125,"10,431元/平"
沈家坝中装大三室  业主急售  看房方便有钥匙,沈家坝商业城综合市场 -富乐山,3室2厅 | 121平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 11天以前发布,65,"5,372元/平"
奥林春天二期 电梯入户精装套三 朝南对中庭 急售急售,田森·奥林春天二期 -科创园区,3室2厅 | 89.43平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 4个月以前发布,93,"10,400元/平"
富乐 双资源，视野开阔，商圈成熟配套齐全！中间楼层,电力住宅小区 -富乐山,3室2厅 | 121.21平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,86,"7,096元/平"
全新装修大三室，总价低，拎包入住，看房方便有钥匙,双碑东街北段27号 -科创园区,3室2厅 | 101平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,55.8,"5,525元/平"
三汇玫瑰花城 3室2厅 东 东南,三汇玫瑰花城 -经开区,3室2厅 | 91平米 | 东 东南 | 其他 | 中楼层(共28层)  | 塔楼,1人关注 / 10天以前发布,119,"13,077元/平"
樊华似锦精装婚房1楼带前后花园出售,樊华似锦一期 -高新,3室2厅 | 119.21平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,10人关注 / 11个月以前发布,87,"7,299元/平"
华润清水大三房满二税费低看房方便,华润紫云府 -科创园区,3室1厅 | 115.45平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,1人关注 / 2个月以前发布,126,"10,914元/平"
此房精装修， 此房石桥铺远大美域.二期 四室二厅二卫,远大美域二期 -高新,4室2厅 | 149.31平米 | 东南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 15天以前发布,268,"17,950元/平"
公园旁 户型方正 采光十足 配套齐全,中油涪滨花园清溪苑 -江油,3室2厅 | 102平米 | 西北 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,56,"5,491元/平"
太阳城二期 2室2厅 西南,太阳城二期 -科创园区,2室2厅 | 81平米 | 西南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 15天以前发布,73,"9,013元/平"
人工湖旁精装套二 中间楼层 满二,长兴星城一期 -科创园区,2室2厅 | 80.1平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 15天以前发布,86,"10,737元/平"
房东急售 公园口 精装两居室 户型方正 配套齐全,金和大厦 -涪城,2室2厅 | 80.67平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,68,"8,430元/平"
三鹏广场，精装2室双卫电梯房诚心出售！,三鹏广场 -涪城,2室2厅 | 128.92平米 | 东南 南 | 精装 | 高楼层(共15层)  | 塔楼,2人关注 / 8个月以前发布,105,"8,145元/平"
奥林春天电梯入户两房带衣帽间。,田森·奥林春天二期 -科创园区,3室2厅 | 87.86平米 | 东北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,86.8,"9,880元/平"
紫玉三号旁 江南雅居 地震前步梯精装翻新,天泰江南雅居 -涪城,2室2厅 | 82.98平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,54,"6,508元/平"
世纪山江 2室2厅 南,世纪山江 -富乐山,2室2厅 | 89.92平米 | 南 | 毛坯 | 高楼层(共14层)  | 板塔结合,5人关注 / 一年前发布,82.8,"9,209元/平"
新装修 9成新  带暖气片  证满在手 有车位,长兴星城一期 -科创园区,2室2厅 | 80.17平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,86.8,"10,827元/平"
人和天地 精装修二室 拎包入住 满二年,人和天地 -高新,2室1厅 | 83.58平米 | 北 | 简装 | 低楼层(共24层)  | 板塔结合,1人关注 / 2个月以前发布,65,"7,777元/平"
游仙三医院富乐商圈 满五唯一大两室 老少皆宜  南,通机小区 -富乐山,2室2厅 | 78.93平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,46,"5,828元/平"
高新区 枫璟398 精装2室 拎包入住,枫璟398F区 -高新,2室1厅 | 76.95平米 | 北 南 | 精装 | 中楼层(共23层)  | 塔楼,16人关注 / 10个月以前发布,58,"7,538元/平"
高水片区 精装两房 业主急售 看房方便 配套齐全,长虹·虹色嘉苑 -高水,2室2厅 | 77.58平米 | 南 | 简装 | 低楼层(共11层)  | 塔楼,3人关注 / 2个月以前发布,49.8,"6,420元/平"
花园路全新装修。拎包入住。价格便宜。,涪园小区 -江油,2室2厅 | 73.2平米 | 东北 | 精装 | 高楼层(共7层)  | 塔楼,54人关注 / 一年前发布,23,"3,143元/平"
东辰旁 央企华润两室 装修保养好 拎包可入住,华润中央公园 -科创园区,2室2厅 | 73.66平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,78.6,"10,671元/平"
滨江世纪花园 简装两室 看方方便,滨江·世纪花园 -1958,2室2厅 | 89.24平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,73.8,"8,270元/平"
抢购红星街绵州大剧院近 2室精装 家电全齐 47万,红星街95号 -涪城,2室1厅 | 59.63平米 | 西南 | 精装 | 中楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,46.6,"7,815元/平"
房子装修特 别好  保养也很好   您只管拎包入住,御景名城 -高水,2室2厅 | 84.46平米 | 东南 | 精装 | 中楼层(共17层)  | 板塔结合,5人关注 / 5个月以前发布,73.8,"8,738元/平"
江岸山景难得的一楼带院子房源，带家具家电拎包入住,江岸山景 -经开区,2室2厅 | 87.06平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 3个月以前发布,50.5,"5,801元/平"
盛鑫苑好房出售  交通便利  户型方正  采光好,盛鑫苑小区 -涪城,2室2厅 | 116平米 | 东南 | 精装 | 高楼层(共7层)  | 塔楼,12人关注 / 一年前发布,79.8,"6,880元/平"
房子视线好，户型方正，装修风格年轻，房东急售,田森·奥林春天二期 -科创园区,3室2厅 | 94.77平米 | 北 | 精装 | 高楼层(共27层)  | 板塔结合,2人关注 / 5个月以前发布,93.8,"9,898元/平"
，房屋户型方正，东南朝向，通透明亮，家具家电齐全,中玮海润城 -经开区,3室2厅 | 100.26平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,88,"8,778元/平"
品质楼盘1958二期 精装 大三室   满两年  看房方便,九洲·跃进路1958二期 -1958,3室2厅 | 115平米 | 东 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 9天以前发布,165,"14,348元/平"
玫瑰花城 套三单卫 成熟地段 看小区中庭 房东诚心出售,三汇玫瑰花城 -经开区,3室2厅 | 80.33平米 | 东南 | 精装 | 低楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,80,"9,959元/平"
高新区 朝南江景房 精装修 拎包入住 江景房,枫璟398F区 -高新,3室2厅 | 108.31平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,1人关注 / 1个月以前发布,98,"9,049元/平"
经开区品质楼盘住家精装修拎包入住品牌家具家电证满二,三汇玫瑰花城 -经开区,3室2厅 | 88.25平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 2个月以前发布,101.8,"11,536元/平"
曼哈顿3室可直接入住的好房出售,阳光·曼哈顿一期 -御营坝,3室2厅 | 103.43平米 | 南 | 简装 | 低楼层(共21层)  | 塔楼,11人关注 / 5个月以前发布,84,"8,122元/平"
纪念碑   51万大三室  观景房,青龙小区 -江油,3室2厅 | 138.64平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,38,"2,741元/平"
石桥铺 英郦庄园 精装修 拎包入住 环境很好,泰格 · 英郦庄园 -高新,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,105,"10,500元/平"
联排别墅诚心出售 地上3层 地下2层,九洲云栖湖 -青义,4室2厅 | 216平米 | 南 | 毛坯 | 低楼层(共3层)  | 板楼,2人关注 / 1个月以前发布,300,"13,889元/平"
美美国际 精装四室 跃层 朝南,远达·美美国际 -高新,4室2厅 | 173平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合,6人关注 / 10个月以前发布,82.8,"4,787元/平"
御营坝市场精装修3室，2楼，位置好，诚心出售！,安康家园 -御营坝,3室2厅 | 78.8平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,59.8,"7,589元/平"
御西街64号 3室2厅 东南,御西街64号 -御营坝,3室2厅 | 86.56平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,44.1,"5,095元/平"
游仙低密度楼盘 标准三室 诚信出售,紫金城 -科学城,3室2厅 | 86.74平米 | 东南 南 | 其他 | 高楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,73,"8,416元/平"
经开区万达旁，临河堤，出行方便，交通便捷！！！！！,万达观澜 -经开区,3室2厅 | 99平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,78,"7,879元/平"
东原观天下 3室2厅 东南,东原观天下 -科学城,3室2厅 | 86.16平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 20天以前发布,85,"9,866元/平"
香榭里3室2卫，西南朝向，小区中庭，带暖气出租车位,香榭里大道 -越王楼,3室2厅 | 89.8平米 | 西南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 28天以前发布,86,"9,577元/平"
此房位于花园路楼层好三室二厅简单装修停车方便,花园路中段50号 -江油,3室2厅 | 87平米 | 东南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,28,"3,219元/平"
紫云府  精装三室双卫  视野采光好 拎包入住,华润紫云府 -科创园区,3室2厅 | 97.38平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 18天以前发布,116.8,"11,995元/平"
双证全  精装修带地暖  全品牌家具  家电全齐,游仙区机关住宅小区 -富乐山,4室2厅 | 162.47平米 | 西北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 25天以前发布,119,"7,325元/平"
采光好，精装两室，可直接拎包入住。,御景名城 -高水,2室1厅 | 70.35平米 | 东南 | 简装 | 低楼层(共19层)  | 板塔结合,0人关注 / 19天以前发布,55,"7,819元/平"
爱喜嘉年华  精装一室 户型方正 采光充足,爱喜·嘉年华 -涪城,1室1厅 | 71.01平米 | 东南 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 17天以前发布,62,"8,732元/平"
急售全新婚房装修两室两厅户型方正,神州*南都 -经开区,2室2厅 | 84平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 24天以前发布,82,"9,762元/平"
903医院旁，大两室楼层好值得拥有,祥和苑(江油市) -江油,2室2厅 | 95平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 17天以前发布,31,"3,264元/平"
精装修2室2厅拎包入住小区环境优美，适合居住出行方便,滨江华城B区 -江油,2室2厅 | 79.03平米 | 东南 | 精装 | 低楼层(共15层)  | 塔楼,0人关注 / 25天以前发布,45,"5,695元/平"
芙蓉溪旁 电梯两房得房率高，客厅主卧看溪户型方正,堂宏国际大厦 -越王楼,2室1厅 | 61.06平米 | 东南 | 简装 | 中楼层(共25层)  | 塔楼,2人关注 / 3个月以前发布,47.5,"7,780元/平"
跃进路1958大三室户型方正业主诚心出售,九洲·跃进路1958二期 -1958,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 30天以前发布,128,"12,800元/平"
江岸山景一期精装大三室 好楼层 拎包入住,江岸山景 -经开区,3室2厅 | 124.6平米 | 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 31天以前发布,76.8,"6,164元/平"
美立方精装三房，业主诚心出售，看房方便。随时可以看,美立方 -高新,3室2厅 | 111平米 | 南 | 简装 | 低楼层(共28层)  | 板塔结合,0人关注 / 19天以前发布,108,"9,730元/平"
经开区 玫瑰花城 精装三房 拎包入住,三汇玫瑰花城 -经开区,3室2厅 | 88平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 24天以前发布,93.6,"10,637元/平"
时代天骄 3室2厅 南,时代天骄 -1958,3室2厅 | 87.17平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 19天以前发布,98.8,"11,335元/平"
，业主自己居家装修，用的材料环保,万豪·尊品 -高新,3室1厅 | 80.02平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,20人关注 / 5个月以前发布,71,"8,873元/平"
园艺山，电梯洋房，房子保养很好， 离东 辰 学 校 近,辰兴·天御 -科创园区,3室2厅 | 84平米 | 西 | 精装 | 高楼层(共7层)  | 板楼,7人关注 / 7个月以前发布,78,"9,286元/平"
拎包入住.精装修保养.好诚心出售.,田森·奥林春天二期 -科创园区,3室2厅 | 121.15平米 | 西 | 精装 | 中楼层(共27层)  | 板塔结合,3人关注 / 2个月以前发布,130,"10,731元/平"
