标题,开发商,房子信息,发布信息,售价/万,单价
伟星长江之歌 5室2厅 南,伟星长江之歌 -城南滨江版块,5室2厅 | 240平米 | 南 | 其他 | 高楼层(共40层)  | 塔楼,0人关注 / 5天以前发布,361,"15,042元/平"
五一小区   业主诚心售  满五唯一  采光好,五一小区 -镜湖中心,3室1厅 | 96.28平米 | 南 北 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,115,"11,945元/平"
业主急售！钻石楼层，景观房，采光视野不遮挡,高速御府 -柏庄时代广场,3室2厅 | 117.3平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 6天以前发布,132,"11,254元/平"
绿地镜湖世纪城阳光花寓 3室1厅 南 北,绿地镜湖世纪城阳光花寓 -绿地镜湖新城,3室1厅 | 93.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 8天以前发布,109.8,"11,706元/平"
学府春天 大三房边户 设施齐全拎包入住,学府春天南门 -无为县,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 5天以前发布,116.8,"9,899元/平"
春江明月一期 远离火车道西边楼栋 前面不挡好楼层,春江明月 -南瑞新城,3室2厅 | 109平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 4天以前发布,135,"12,386元/平"
镜湖区教育集中 繁华闹市地段 生活交通便捷,东方花园 -八佰伴,2室1厅 | 61.99平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 9天以前发布,88,"14,196元/平"
产证已办，楼层中上，房东诚心出售,碧桂园镜湖世家 -左岸,2室1厅 | 70平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 2天以前发布,79.8,"11,400元/平"
伟星玲珑湾 3室2厅 南,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 85.4平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,10人关注 / 一年前发布,65,"7,612元/平"
此房产证满两年，全新毛坯现房，业主诚心卖,城市之光第四街区 -雕塑公园,3室2厅 | 122.72平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,7人关注 / 6个月以前发布,175,"14,261元/平"
玲珑湾次新小区 电梯好楼层 急卖满五唯一价格你说了算,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 86.7平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,29人关注 / 一年前发布,70,"8,074元/平"
伟星凤凰城顶楼复式，一共6个房间装修保持很好2个车位,凤凰城中岛海棠苑 -凤鸣湖景区,3室2厅 | 99.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,19人关注 / 一年前发布,82,"8,220元/平"
此房户型方正，采光好 得房高，实用三房交通生活方便,润安花园 -红旗,3室2厅 | 109.65平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,16人关注 / 11个月以前发布,116,"10,580元/平"
伟星凤凰城 伟星物业 经典三房 中间楼层 诚心出售,凤凰城南岛红枫轩 -凤鸣湖景区,3室2厅 | 92.39平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,75,"8,118元/平"
高速御府 国企洋房 人车分流  城南热门小区 有个车位,高速御府 -柏庄时代广场,4室2厅 | 125.95平米 | 南 | 毛坯 | 低楼层(共8层)  | 板塔结合,3人关注 / 8个月以前发布,160,"12,704元/平"
满五唯一中高楼层房东当诚心出售,金浩·仁和天地 -芜湖市政府,3室1厅 | 87.02平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板楼,5人关注 / 9个月以前发布,115,"13,216元/平"
柏庄观邸，精装小三房，中上楼层，诚心出售,柏庄观邸 -雕塑公园,3室2厅 | 88.8平米 | 西 | 精装 | 中楼层(共18层)  | 板楼,20人关注 / 8个月以前发布,100,"11,262元/平"
诚心出售 有钥匙 看房方便 户型南北通透,中梁国宾府 -大阳垾,4室2厅 | 135.77平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,5人关注 / 一年前发布,135,"9,944元/平"
次新小区  中间楼层  业主诚心卖,大发融悦东方 -伟星星悦广场,3室2厅 | 101.7平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 6个月以前发布,140,"13,766元/平"
无大税 前看景后看湖 飞机户型 无浪费空间,颐景湾畔 -方特一期,3室2厅 | 114.33平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,9人关注 / 一年前发布,192,"16,794元/平"
2楼  随时看房 诚心出售 价格可谈,天置山庄北区 -八佰伴,2室2厅 | 91.35平米 | 南 | 精装 | 低楼层(共7层)  | 塔楼,0人关注 / 4个月以前发布,136.5,"14,943元/平"
中梁1621 洋房 小叠墅 小区中间位置 中间楼层  诚售,中梁江城1621 -柏庄时代广场,4室2厅 | 142.42平米 | 南 | 毛坯 | 中楼层(共10层)  | 塔楼,15人关注 / 9个月以前发布,175,"12,288元/平"
家具家电好，装修保养棒，诚心出售，采光通风好,圣地雅歌五区 -芜湖站,4室2厅 | 186.88平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,20人关注 / 10个月以前发布,372,"19,906元/平"
伟星玲珑湾 毛坯3房 宋入室花园  诚心出售,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 88.55平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,8人关注 / 一年前发布,76,"8,583元/平"
远离火车道，洋房精装两房，拎包入住，随时看房,颐景湾畔 -方特一期,2室2厅 | 87.72平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,155,"17,670元/平"
东方蓝海 3室2厅 南,东方蓝海 -汀棠公园,3室2厅 | 120.85平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,8人关注 / 8个月以前发布,168,"13,902元/平"
产证满两年，70年商品房，精装三房另有车位，诚心急售,伟业▪臻园 -澛港新区,3室2厅 | 100.55平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,20人关注 / 6个月以前发布,99.8,"9,926元/平"
电梯三房，钻石楼层，采光不挡，附带车位.,颐景湾畔 -方特一期,3室2厅 | 108.5平米 | 南 | 毛坯 | 高楼层(共15层)  | 板塔结合,7人关注 / 9个月以前发布,170,"15,669元/平"
柏庄观邸，安师大附外旁，带装修，诚心出售，4米阳台,柏庄观邸 -雕塑公园,3室2厅 | 89.96平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,3人关注 / 3个月以前发布,110,"12,228元/平"
中梁江城府  边户三房  户型通透  楼层好  采光炸裂,中梁江城1621 -柏庄时代广场,3室2厅 | 112.22平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,3人关注 / 8个月以前发布,128,"11,407元/平"
楼层好 视野开阔 采光好 设施齐全 交通方便,望江苑 -红旗,3室2厅 | 101.74平米 | 南 | 简装 | 中楼层(共16层)  | 板塔结合,3人关注 / 6个月以前发布,116.5,"11,451元/平"
石城湖小区全新精装三室拎包入住,石城湖小区 -凤鸣湖小学,3室2厅 | 107.53平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,13人关注 / 5个月以前发布,75,"6,975元/平"
小区中间，不靠高速，经典三房，品质物业,万科城北区 -伟星星悦广场,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,16人关注 / 一年前发布,148,"13,963元/平"
精装三房 中上楼层双阳台 楼层好采光充足 有车位,东紫园 -大阳垾,3室2厅 | 110.58平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 1个月以前发布,135,"12,209元/平"
万悦城旁 东紫园精装三房 南北通透 不靠马路 次顶楼,东紫园 -大阳垾,3室2厅 | 98.27平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,126,"12,822元/平"
中梁1621 时尚复式三房 新小区 位置好 视野棒 全天亮,中梁江城1621 -柏庄时代广场,3室2厅 | 111.44平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,4人关注 / 7个月以前发布,120,"10,769元/平"
柏庄香府 满五唯一  可拎包入住  房东急售  随时看房,柏庄香府 -芜湖市政府,3室2厅 | 109.22平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,142,"13,002元/平"
此房满二无大税 视野开阔 小三房 交通方便,城市庄园住宅赛纳丽城小区 -华强城,3室1厅 | 91.67平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,118,"12,873元/平"
精装修两室 钻石楼层 采光充足 总价低 有轻轨,利达新村 -五一广场,2室2厅 | 62.35平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 27天以前发布,65,"10,426元/平"
张家山领秀城 4室2厅 南,张家山领秀城 -左岸,4室2厅 | 223.25平米 | 南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 5天以前发布,279,"12,498元/平"
中梁江城1621 4室2厅 南,中梁江城1621 -柏庄时代广场,4室2厅 | 126.61平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 5天以前发布,136,"10,742元/平"
翰林公馆洋房边户大三房 文昌西路,翰林公馆 -中央城财富街,3室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共9层)  | 板塔结合,0人关注 / 6天以前发布,215,"16,667元/平"
雅旭新乐府北区 3室1厅 南,雅旭新乐府北区 -柏庄时代广场,3室1厅 | 116平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 3天以前发布,156.8,"13,518元/平"
万科北区精装大三房 全方位朝南 业主诚心出售,万科城北区 -伟星星悦广场,3室2厅 | 113.11平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 23天以前发布,162,"14,323元/平"
此房格局合理，视野宽阔，采光充足，配套设施齐全,东紫园 -大阳垾,3室1厅 | 109.74平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,130,"11,847元/平"
信达蓝湖郡  中间楼层  业主诚心出售  精装拎包入住,信达▪蓝湖郡 -汀棠公园,3室2厅 | 89.73平米 | 南 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 25天以前发布,156,"17,386元/平"
水岸星城，多层三楼 产证满两年无出让金，随时看房,水岸星城 -绿地镜湖新城,2室1厅 | 87.47平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 21天以前发布,55,"6,288元/平"
阳光花园  精装大3室  电梯好楼层   临 近 大润发,阳光花园D区 -繁昌县,3室2厅 | 130.8平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 10天以前发布,105,"8,028元/平"
元亩塘板块，新小区，采光充足，看房方便,融创金地童话森林 -柏庄时代广场,3室2厅 | 107平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,1人关注 / 26天以前发布,150,"14,019元/平"
带院子！孝心楼层，户型精致！拎包入住,水岸怡和花园 -无为县,2室2厅 | 98平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,0人关注 / 27天以前发布,69.8,"7,123元/平"
伟星雍璟台 毛坯大四房 洋房公摊小 采光刺眼随时看房,伟星雍璟台南区 -雕塑公园,4室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 24天以前发布,258,"18,170元/平"
东方家园A区 孝心楼层 大三室  采光无挡 房东诚心出售,东方家园A区 -无为县,3室2厅 | 132平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,68,"5,152元/平"
金泽苑 2室2厅 南,金泽苑 -南瑞新城,2室2厅 | 89.42平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 20天以前发布,65,"7,270元/平"
雅旭新乐府北区 3室1厅 南 北,雅旭新乐府北区 -柏庄时代广场,3室1厅 | 116.22平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 20天以前发布,140,"12,047元/平"
新校区！汀海壹品 万科物业 采光无忧 有钥匙 诚心卖！,汀海壹品 -汀棠公园,3室2厅 | 121平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板塔结合,0人关注 / 27天以前发布,192,"15,868元/平"
雅旭新乐府北区 4室2厅 南,雅旭新乐府北区 -柏庄时代广场,4室2厅 | 170.5平米 | 南 | 毛坯 | 高楼层(共10层)  | 板塔结合,0人关注 / 24天以前发布,290,"17,009元/平"
新城大都会 一楼洋房急售 随时看房,新城大都会 -柏庄时代广场,3室2厅 | 108平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 18天以前发布,130,"12,038元/平"
赛纳丽城孝心楼层   采光无遮挡   四十平大院子,城市庄园住宅赛纳丽城小区 -华强城,3室2厅 | 119.55平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,10人关注 / 4个月以前发布,156,"13,049元/平"
万科海上传奇三居室  楼层好视野佳 前后无遮挡,万科·海上传奇 -城南滨江版块,3室2厅 | 89.87平米 | 南 北 | 精装 | 高楼层(共44层)  | 板塔结合,0人关注 / 2个月以前发布,169,"18,805元/平"
三潭音悦 洋房9/11层 一梯两户 业主诚售 随时方便看房,三潭音悦 -芜湖市政府,3室2厅 | 115.28平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,23人关注 / 一年前发布,145,"12,579元/平"
金浩仁和天地，三室，户型正气，小区中间位置,金浩·仁和天地 -芜湖市政府,3室2厅 | 109.29平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,6人关注 / 9个月以前发布,155,"14,183元/平"
洋房三室 小区中间位置 飞机户型 精装修 有钥匙！,伟星城二期 -伟星星悦广场,3室2厅 | 88.06平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,143,"16,239元/平"
此房南边是公园，视野棒。站在家里就能观景。,澛港新区西区 -澛港新区,3室2厅 | 88.5平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,15人关注 / 6个月以前发布,75,"8,475元/平"
城市之光低价3房，看房方便，采光优,城市之光第三街区 -雕塑公园,3室2厅 | 115.9平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,30人关注 / 一年前发布,140,"12,080元/平"
好楼层，纯毛坯，采光明亮，诚心出售。,滨河馨居 -鸠江区滨河馨居,3室2厅 | 117.05平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,4人关注 / 11个月以前发布,80,"6,835元/平"
万科潮起中江 次新小区 精装交付 通透三房 业主诚心卖,伟星万科潮起中江 -鸠兹古镇,3室2厅 | 95.16平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,148,"15,553元/平"
业主诚心出售  采光好  楼层棒，随时可看,金鹰·首玺 -城南滨江版块,3室2厅 | 183.17平米 | 南 | 其他 | 中楼层(共48层)  | 板楼,9人关注 / 9个月以前发布,298,"16,270元/平"
皖江壹号院   5层洋房  全新毛坯   采光充足,皖江壹号院 -城南滨江版块,4室2厅 | 130.86平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 3个月以前发布,288,"22,009元/平"
大发融悦东方 全新毛坯三房 好楼层 小区旁商圈繁华,大发融悦东方 -伟星星悦广场,3室2厅 | 110.63平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,1人关注 / 3个月以前发布,160,"14,463元/平"
香格里拉精装修两房南北通透中间楼层,香格里拉花园 -华强城,2室2厅 | 85.52平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,112,"13,097元/平"
产证满二， 中上楼层 电梯边户3房,三潭音悦和园 -芜湖市政府,3室2厅 | 107.86平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,135,"12,517元/平"
简装3房，含车位，房东诚心出售,大发融悦东方 -伟星星悦广场,3室2厅 | 129.24平米 | 东 | 毛坯 | 低楼层(共17层)  | 板楼,2人关注 / 6个月以前发布,175,"13,541元/平"
此房不唯一，中上楼层，采光无遮挡，配套设施齐全,南瑞新城金坤园 -南瑞新城,3室2厅 | 128.17平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,96,"7,491元/平"
香府南北户型，采光很好，视野好,柏庄香府 -芜湖市政府,3室1厅 | 118.72平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,6人关注 / 一年前发布,170,"14,320元/平"
海上传奇 边户南北通透 钻石楼层 可上学 后加装十几万,万科·海上传奇 -城南滨江版块,3室2厅 | 92.12平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,22人关注 / 一年前发布,174,"18,889元/平"
中梁江城府 毛坯大四房 采光好 南北通透 自带产权车位,中梁江城1621 -柏庄时代广场,4室2厅 | 123.74平米 | 南 北 | 其他 | 高楼层(共34层)  | 塔楼,5人关注 / 8个月以前发布,152,"12,284元/平"
此房满二唯一，通透户型，商圈成熟，小区环境优美,万科城北区 -伟星星悦广场,3室2厅 | 109.22平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,18人关注 / 8个月以前发布,139,"12,727元/平"
碧桂园镜湖春色一一三房朝南，车库直达、观湖景总价低,芜湖碧桂园镜湖春色 -龙湖街道,3室1厅 | 96平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,57,"5,938元/平"
保利熙悦府 中上楼层 视野好 采光好 随时看房,保利信达熙悦府B区 -芜湖市政府,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 10天以前发布,170,"14,530元/平"
房子中间楼层采光好 居住舒适 格局方正 无浪费空间,香樟城市花园 -五一广场,3室2厅 | 122.63平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 10个月以前发布,205,"16,717元/平"
房子在售 大露台 无大税 房子诚心出售,红旗园 -红旗,4室2厅 | 155.82平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,120,"7,702元/平"
江南新村狮子山庄边2楼56.74平68万,江南新村小区 -八佰伴,2室1厅 | 56.74平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,3人关注 / 5个月以前发布,67,"11,809元/平"
保利熙悦府 位置好 楼层好 满二 房东诚售,保利信达熙悦府B区 -芜湖市政府,3室2厅 | 117平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,0人关注 / 16天以前发布,175,"14,958元/平"
信德悦城3房，业主诚心卖，看房方便旁边就是轻轨,信德悦城 -万春购物广场,3室2厅 | 93.66平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,10人关注 / 5个月以前发布,93,"9,930元/平"
柏庄香府3房，业主诚心卖看房方便，别墅大平层围绕,柏庄香府 -芜湖市政府,3室2厅 | 108.93平米 | 南 | 简装 | 高楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,145,"13,312元/平"
三潭音悦玉园 3室2厅 南,三潭音悦玉园 -芜湖市政府,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 14天以前发布,160,"13,334元/平"
森林湖 精装修拎包入住  城中地段,森林湖 -无为县,3室2厅 | 93.6平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 9天以前发布,89.6,"9,573元/平"
"诚售，官山花园环境优雅,阳光充足,交通便捷,配套全。",官山花园 -八佰伴,2室1厅 | 73.59平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 15天以前发布,122.9,"16,701元/平"
颐景湾畔 大三房 精装修 一次未住 带入户花园 户型好,颐景湾畔 -方特一期,3室2厅 | 108.5平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,31人关注 / 7个月以前发布,177,"16,314元/平"
赛纳丽城 中间楼层 视野很好 诚心卖,城市庄园住宅赛纳丽城小区 -华强城,3室2厅 | 107.43平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,3人关注 / 4个月以前发布,142,"13,218元/平"
颐景湾畔 不靠火车道 自带车位 看房有钥匙,颐景湾畔 -方特一期,3室2厅 | 125.4平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,215,"17,146元/平"
汀海壹品毛坯3房 楼层好 商品房,汀海壹品 -汀棠公园,3室2厅 | 120.6平米 | 南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 6个月以前发布,188,"15,589元/平"
平安山庄 钻石楼层 总价低 钥匙房,平安山庄 -八佰伴,3室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,11人关注 / 9个月以前发布,158,"15,960元/平"
绿城玫瑰园95平，好楼层，全屋品牌定制，三室阳光好,绿城玫瑰园 -无为县,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,1人关注 / 14天以前发布,87,"9,158元/平"
保利熙悦府 位置好 采光好 随时看房 价可谈,保利信达熙悦府B区 -芜湖市政府,3室2厅 | 117.05平米 | 南 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 15天以前发布,165,"14,097元/平"
恒大华府  飞机户型  中上楼层   全屋品牌  诚心卖,恒大华府 -伟星星悦广场,3室2厅 | 128.36平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,1人关注 / 2个月以前发布,200,"15,582元/平"
边户南北通透    房东诚心出售,伟星玲珑湾 -凤鸣湖景区,3室1厅 | 88.61平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,15人关注 / 一年前发布,60,"6,772元/平"
此房满二，中上楼层，目前出租中，视野开阔。,雅园小区 -华强城,4室2厅 | 135.76平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,14人关注 / 一年前发布,105,"7,735元/平"
新上好房，翰林公馆，全新毛坯边户三房，满二钥匙看房,翰林公馆 -中央城财富街,3室2厅 | 123.31平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,170,"13,787元/平"
兆通大观花园 户型方正 采光好 无大税 市政府旁,兆通大观花园 -芜湖市政府,3室2厅 | 135.04平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,175,"12,960元/平"
此房全新装修，设施齐全，采光充足，交通便利,奥园芜钢小区 -南瑞新城,2室1厅 | 62.15平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,18人关注 / 4个月以前发布,53.8,"8,657元/平"
楼层好，视野宽阔，采光充足，配套设施齐全,万科城南区 -伟星星悦广场,3室2厅 | 131.27平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,4人关注 / 3个月以前发布,185,"14,094元/平"
高速御府  3+1洋房改善住宅,高速御府 -柏庄时代广场,3室2厅 | 114.2平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,4人关注 / 9个月以前发布,155,"13,573元/平"
好楼层，边户，电梯房，满2年无增值税,颐景湾畔 -方特一期,3室2厅 | 114.33平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,2人关注 / 3个月以前发布,189,"16,532元/平"
东边户5楼上复式，实用面积大，带平台含车位诚心出售,东部星城西区 -大阳垾,3室2厅 | 90.22平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,71,"7,870元/平"
