标题,开发商,房子信息,发布信息,售价/万,单价
箭八组合，步梯3楼，离菜市近，户型方正，采光好,华庭苑 -箭盘山,3室2厅 | 129.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,103,"7,936元/平"
碧桂园城央府 全新精装4房 南北通透 忍痛出售,碧桂园城央首府·珑府 -九头山,4室1厅 | 131.4平米 | 南 北 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 24天以前发布,130,"9,894元/平"
信和维多利亚美庐 电梯房 35教育机构,信和维多利亚美庐 -保利商圈,2室2厅 | 89.67平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,0人关注 / 28天以前发布,70,"7,807元/平"
金福第   精装三房 看房方便 业主急售,正居金福第 -沃尔玛商圈,3室2厅 | 116.94平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 23天以前发布,89,"7,611元/平"
水南华庭 3室2厅 南,水南华庭 -东环商厦,3室2厅 | 97.1平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,86,"8,857元/平"
地段好，电梯中层，4房，价格低，带家电家具，拎包入,盛天悦景台悦锦园 -东环商厦,4室2厅 | 103.18平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,110,"10,661元/平"
房子是满二唯一的，精装修，3楼的户型方正,金河湾 -沃尔玛商圈,4室2厅 | 142.64平米 | 南 | 精装 | 低楼层(共10层)  | 塔楼,9人关注 / 4个月以前发布,116,"8,133元/平"
蟠龙宝邸大4房证满不唯一价格美丽,蟠龙宝邸 -箭盘山,4室2厅 | 143.99平米 | 南 北 | 精装 | 低楼层(共9层)  | 塔楼,2人关注 / 一年前发布,110,"7,640元/平"
鱼峰区 古亭山冠亚国际星城 盛天龙湾旁恒大城精装三房,恒大城 -古亭山商圈,3室2厅 | 125.94平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,5人关注 / 6个月以前发布,79,"6,273元/平"
业主诚心出售，保利商圈旁、交通便利,紫薇园 -保利商圈,3室2厅 | 119平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 8天以前发布,80,"6,723元/平"
卖卖卖 卖好房  刚需三房 孝心楼层 欢迎来撩,碧园大城小院 -万象城商圈,3室2厅 | 99.86平米 | 南 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 11天以前发布,80,"8,012元/平"
十五中旁 云星钱隆世家毛胚三房,云星钱隆世家 -杨柳郡商圈,3室2厅 | 89.33平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 15天以前发布,71.5,"8,005元/平"
柳州绿城杨柳郡 3室2厅 南,柳州绿城杨柳郡 -杨柳郡商圈,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 7天以前发布,126,"12,990元/平"
中天城清水毛坯3房，阳光房，有钥匙,通建中天城 -柳钢商圈,3室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 8天以前发布,80,"8,164元/平"
鹿山花苑架空一楼，大平层，出行方便,鹿山花苑 -高新技术开发区,5室2厅 | 163.54平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 一年前发布,130,"7,950元/平"
电信局宿舍 3室2厅 南,电信局宿舍 -五星商圈,3室2厅 | 102.63平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,88,"8,575元/平"
大四房，带入户花园、清水毛坯、视野宽阔无遮挡,盛天悦景台悦锦园 -东环商厦,4室2厅 | 124.55平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,130,"10,438元/平"
帝景湾小区3房2厅2卫，步梯2楼。可拎包入住，户型方正,帝景湾 -柳城县,3室2厅 | 105.12平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,37,"3,520元/平"
恒大御府精装大三房拎包入住，南北对流。,恒大御府一期 -恒大商圈,3室2厅 | 114.6平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,120,"10,472元/平"
城东精装三房，步梯适中楼层，居住舒适,柳城花苑 -柳城县,3室2厅 | 107.34平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,38,"3,541元/平"
万象城商圈，朝南采光好，户型方正，交通便利,静兰小区 -万象城商圈,3室1厅 | 90.94平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,66,"7,258元/平"
此房楼层好，视野开阔，采光充足，户型房正,永意山语城 -龙潭公园,4室2厅 | 128.2平米 | 南 | 毛坯 | 低楼层(共13层)  | 板塔结合,0人关注 / 2个月以前发布,98,"7,645元/平"
柳南万达宝城苑精装三房，单价低，户型方正,宝城苑 -柳南万达,3室2厅 | 107.39平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,60,"5,588元/平"
兴怡园精装修的三房 8字头单价 拎包入住,兴怡园西区 -恒大商圈,3室1厅 | 87.8平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,75,"8,543元/平"
三中路跃进村好房出售 精装三房两厅 有物业可以停车！,跃进村27号住宅楼 -三中商圈,3室2厅 | 115.82平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,75,"6,476元/平"
柳北 跃进路 金谷馨苑 孝心2楼3房采光充足,金谷馨苑 -保利商圈,3室2厅 | 134.79平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,79,"5,861元/平"
柳北保利旁跃进村步梯一楼两房 带小院子可做小e车位,跃进村 -三中商圈,2室1厅 | 46.3平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,29,"6,264元/平"
07年房龄，小区安全户型方正，大三房带柴房,雅铁小区 -雅儒商圈,3室2厅 | 121.71平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 7个月以前发布,81,"6,656元/平"
华润凯旋门 万象城旁 近人民医院 品质精装修电梯三房,华润凯旋门 -万象城商圈,3室2厅 | 89.52平米 | 东南 | 精装 | 高楼层(共47层)  | 塔楼,17人关注 / 一年前发布,116,"12,958元/平"
本房采光充足，通风良好。配套齐全，交通便利,聚龙苑小区 -古亭山商圈,2室2厅 | 78.62平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 9个月以前发布,36,"4,579元/平"
柳北区  红碑路  金茂园电梯三房出售  急售,中房金茂园 -胜利商圈,3室2厅 | 109.68平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,1人关注 / 3个月以前发布,73,"6,656元/平"
柳北区保利商圈+柳锌菜市旁+低楼层二层近35中,中鼎北园 -保利商圈,3室2厅 | 93.42平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,4人关注 / 6个月以前发布,63,"6,744元/平"
柳石路天然氧吧 大美天第 精装小三房急卖,大美天第 -龙潭公园,3室2厅 | 90.05平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,7人关注 / 3个月以前发布,63.8,"7,085元/平"
房子楼层采光好，从无租售过，看房方便，配套全,雅儒花园 -雅儒商圈,3室2厅 | 108.89平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,65,"5,970元/平"
此房格局好，双阳台，全新装修没住过，拧包入住,恒大御府三期 -万象城商圈,3室2厅 | 91.72平米 | 南 北 | 精装 | 低楼层(共28层)  | 平房,0人关注 / 31天以前发布,99,"10,794元/平"
带防雨车位、满五年、没有欠款，户型方正孝心2楼层，,广西建工三建河东生活区 -桂中商圈,3室2厅 | 111.49平米 | 东南 西南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 15天以前发布,85,"7,625元/平"
壶东苑 精装两房 孝心一楼 业主诚心出售,壶东苑 -河东开发区,2室2厅 | 75.68平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 16天以前发布,56,"7,400元/平"
房东诚心出售，户型格局方正，中层电梯南北对流，,冠亚·国际星城东区 -古亭山商圈,3室2厅 | 118.94平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 26天以前发布,79,"6,643元/平"
冠亚3房2卫欧风风格  入户花园大 户型方正,冠亚·国际星城东区 -古亭山商圈,4室1厅 | 108.97平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 3个月以前发布,90,"8,260元/平"
急售家电家具全留 柳南万达旁精装3房 看房方便,航顺嘉园 -航一路商圈,3室2厅 | 134.86平米 | 南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 16天以前发布,95,"7,045元/平"
四期洋房，电梯小高层，户型方正，采光好 一梯两户,国信凤起新都 -西江宾馆,4室2厅 | 167.83平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板塔结合,0人关注 / 27天以前发布,145,"8,640元/平"
发发楼层，南北双阳台，毛坯次新房，中间栋安静祥和,云星钱隆世家 -杨柳郡商圈,4室2厅 | 109.62平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 21天以前发布,87,"7,937元/平"
柳东正和城103平精装3房现房，业主急卖 价格实惠,正和城 -柳东新区,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 28天以前发布,66,"6,408元/平"
鱼峰区，电梯方正三房，带产权车位出售，您值得拥有！,碧桂园城央首府·珑府 -九头山,3室2厅 | 101.42平米 | 东南 | 毛坯 | 中楼层(共17层)  | 塔楼,1人关注 / 29天以前发布,85,"8,381元/平"
柳北 跃进路二安小区两房两厅改三房 户型方正,二安小区 -杨柳郡商圈,2室2厅 | 63.66平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 18天以前发布,31,"4,870元/平"
大美天地3房2厅2卫，清水毛坯，住在公园旁天然氧吧,大美天第 -龙潭公园,3室2厅 | 113平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板塔结合,1人关注 / 27天以前发布,75,"6,638元/平"
联发壹号 毛坯四房 电梯中层 边套三面采光 得房 率高,联发君悦壹号 -东环商厦,4室2厅 | 119.6平米 | 北 南 | 毛坯 | 中楼层(共25层)  | 塔楼,0人关注 / 24天以前发布,136,"11,372元/平"
蔚莱别苑三房 景小铁一旁 接小孩方便 位置好交通便利,蔚莱别苑 -柳东新区,3室1厅 | 101.64平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,73,"7,183元/平"
中层，采光好，配套齐，交通生活便利，环境好次新小区,香榭花都 -九头山,3室2厅 | 106.63平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,68,"6,378元/平"
云星钱隆世家 3室2厅 南,云星钱隆世家 -杨柳郡商圈,3室2厅 | 104.72平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,85,"8,117元/平"
万象城旁 南亚澳洲青青 110㎡3房2厅 另有10㎡杂物间,南亚·澳洲青青 -恒大商圈,3室2厅 | 110.75平米 | 东南 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,75,"6,773元/平"
南亚名邸 精装大三房，阳台朝南采光好,南亚·名邸 -恒大商圈,3室2厅 | 117.84平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,3人关注 / 5个月以前发布,93,"7,893元/平"
德润万象城华润凯旋门电梯高层正南朝向视野采光很好,华润凯旋门 -万象城商圈,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共47层)  | 塔楼,0人关注 / 9天以前发布,108,"12,135元/平"
城中三桥头 中国海关家属院 三房仅58万 急售 有钥匙,中国海关家属院 -桂中商圈,3室2厅 | 90.67平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3天以前发布,58,"6,397元/平"
中北站宿舍 大两房 架空平台一楼 可以圈花园,中百站宿舍 -三中商圈,2室1厅 | 67平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 4天以前发布,42,"6,269元/平"
上白沙杨柳郡高层现房，满二，户型方正,柳州绿城杨柳郡 -杨柳郡商圈,4室2厅 | 121.55平米 | 南 东北 | 精装 | 高楼层(共28层)  | 暂无数据,3人关注 / 3个月以前发布,150,"12,341元/平"
恒大膏级物业业主诚心出售低于买进价，有钥匙产权清晰,恒大御府二期 -恒大商圈,3室2厅 | 113.73平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,9人关注 / 9个月以前发布,123,"10,816元/平"
鹿山花苑 5室2厅 南 北,鹿山花苑 -高新技术开发区,5室2厅 | 163.54平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,108,"6,604元/平"
屏山大道简装4房 高楼层 视野好 总价低,荣和千千树 -箭盘山,4室2厅 | 95.67平米 | 南 北 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,92,"9,617元/平"
华丰商厦138.15平四房仅售83万，步梯2楼，随时看房,华丰商厦 -飞鹅商圈,4室2厅 | 138.15平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,5人关注 / 10个月以前发布,73,"5,285元/平"
在水一方  三面江景  精装修  大客厅大厨房,在水一方 -沃尔玛商圈,4室2厅 | 142.5平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,3人关注 / 3个月以前发布,165,"11,579元/平"
窑埠古镇商圈-盛天悦景台/景园4房2厅2卫！,盛天悦景台悦锦园 -东环商厦,4室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,108,"10,000元/平"
华润万象城南侧，金科天宸纯毛坯4房，房东原价出售！,金科天宸 -万象城商圈,4室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,5人关注 / 一年前发布,135,"11,638元/平"
万象商圈金科天宸 好楼层 采光通风好 看房方便,金科天宸 -万象城商圈,4室2厅 | 116.08平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,126,"10,855元/平"
和美 金宵云邸精装2房2厅 电梯中层 采光好,金宵云邸 -航三路商圈,2室2厅 | 68.02平米 | 南 | 精装 | 中楼层(共15层)  | 塔楼,0人关注 / 8天以前发布,53,"7,792元/平"
西环福柳宏都 步梯2楼精装2房 欢迎随时咨询看房,福柳宏都 -西环商圈,2室2厅 | 87.84平米 | 南 | 精装 | 低楼层(共7层)  | 塔楼,0人关注 / 5天以前发布,54.5,"6,205元/平"
恒大翡翠龙庭朝南精装小户型两房拎包入住小区环境优美,恒大翡翠龙庭 -恒大商圈,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 7天以前发布,80,"10,257元/平"
颐和家园 3室2厅 南 北,颐和家园 -保利商圈,3室2厅 | 128.5平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 3天以前发布,124,"9,650元/平"
华润商圈 双德润  证满唯一税费低 户型方正  高楼层,恒大翡翠龙庭 -恒大商圈,3室1厅 | 89.5平米 | 东 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,87,"9,721元/平"
华柳佳苑 精装电梯大3房2卫 落地窗双阳台 正常过户,华柳佳苑 -永前路商圈,3室2厅 | 104平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 15天以前发布,79.8,"7,674元/平"
跃进路 二安小区 两房两厅一卫 交通便利,二安小区 -杨柳郡商圈,2室2厅 | 69.57平米 | 南 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 12天以前发布,42,"6,038元/平"
柳北胜利小区教师公寓步梯三楼两房出售带柴房,教师公寓(柳北区) -胜利商圈,2室1厅 | 70.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 15天以前发布,45,"6,357元/平"
柳南基隆康盛花苑大三房两卫急售急售,康盛花苑 -基隆商圈,3室2厅 | 124.04平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 9天以前发布,52,"4,193元/平"
柳北胜利小区 两房业主急售 急售,胜利小区九区 -胜利商圈,2室1厅 | 56平米 | 南 北 | 简装 | 低楼层(共18层)  | 塔楼,3人关注 / 7个月以前发布,39,"6,965元/平"
此房满五不唯一，电楼中层，视野开阔，三阳台,东城印象中心 -高新技术开发区,3室2厅 | 130.7平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,15人关注 / 一年前发布,123,"9,411元/平"
城中区阳光壹佰商圈，大三房，户型方正，南北通透！,东郡尚苑 -阳光100商圈,3室2厅 | 126.88平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,25人关注 / 4个月以前发布,133,"10,483元/平"
屏山花苑 4室2厅 南 北,屏山花苑 -八中,4室2厅 | 109.94平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,11人关注 / 一年前发布,75,"6,822元/平"
航岭佳苑 3室2厅 南,航岭佳苑 -航三路商圈,3室2厅 | 130.83平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68,"5,198元/平"
东环大道西船大院旁恒大巴士宿舍四楼有钥匙随时看房,恒达巴士公司平安宿舍区 -西江宾馆,2室1厅 | 57.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,37,"6,435元/平"
北站路低总价优质好房，卧室朝南，采光好,北站路东二巷80号 -三中商圈,2室1厅 | 39.55平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,25.8,"6,524元/平"
中山花园 温馨两房 业主急售 看房方便 带车位,中山花园 -西环商圈,2室2厅 | 82.37平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,7人关注 / 6个月以前发布,42,"5,099元/平"
柳宗元雕像旁凤起新都歩梯大三房,国信凤起新都 -西江宾馆,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,12人关注 / 一年前发布,86,"7,167元/平"
城中区，户型方正三房，高楼层步梯,海关南路工行宿舍 -阳光100商圈,3室2厅 | 89.85平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,62,"6,901元/平"
随时可以看房满五，步梯二楼，户型方正，小区停车方便,八一路107号 -雅儒商圈,2室2厅 | 67.06平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 7个月以前发布,52,"7,755元/平"
万达华城(柳南区) 3室2厅 南 北,万达华城(柳南区) -柳南万达,3室2厅 | 102.22平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,100,"9,783元/平"
大三房，，采光通风好，小区环境舒适，停车方便,康盛花苑 -基隆商圈,3室2厅 | 102.82平米 | 东 西 | 精装 | 高楼层(共8层)  | 暂无数据,6人关注 / 4个月以前发布,49,"4,766元/平"
柳南万达 航惠路 宝城苑 优质精装两房两厅,宝城苑 -柳南万达,2室2厅 | 87.85平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 8个月以前发布,51.8,"5,897元/平"
"房屋干净整齐简洁,闹中取静小区,",雒容糖厂 -柳东新区,2室2厅 | 57.26平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,28,"4,890元/平"
房子户型方正，客厅可看园林景观，采光充足，带车位,碧园大城小院 -万象城商圈,3室2厅 | 106.99平米 | 南 西 | 简装 | 低楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,85,"7,945元/平"
鸿泰名城  精装3室2厅 117平,鸿泰名城 -龙潭公园,3室2厅 | 116.15平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,2人关注 / 11个月以前发布,70,"6,027元/平"
龙象城精装修大三房  楼层好采光好,广投龙象城 -柳东新区,3室2厅 | 120.35平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,8人关注 / 一年前发布,76,"6,315元/平"
小区环境清幽，楼层视野开阔，价格实惠,广投龙象城 -柳东新区,4室2厅 | 125.65平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,21人关注 / 7个月以前发布,75,"5,969元/平"
户型方正，采光充足，电梯中楼层，,碧园大城小院 -万象城商圈,2室2厅 | 83.13平米 | 南 北 | 简装 | 中楼层(共11层)  | 塔楼,4人关注 / 6个月以前发布,70,"8,421元/平"
柳南区 （南俪首座）精典户型4房拎包入住,南俪首座 -航四路商圈,4室2厅 | 102平米 | 北 南 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 27天以前发布,95,"9,314元/平"
桂泰小区精装四房两厅两卫，拧包入住。,桂泰商业广场A区 -柳城县,4室2厅 | 124.63平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,61,"4,895元/平"
柳钢元宝源 电梯自住精装三居 拎包入住 户型格局好,元宝源 -柳钢商圈,3室2厅 | 85.23平米 | 东南 | 简装 | 中楼层(共29层)  | 塔楼,0人关注 / 9天以前发布,58,"6,806元/平"
柳钢元宝源电梯高层两房产权清晰无欠款,元宝源 -柳钢商圈,2室1厅 | 76.6平米 | 东 | 简装 | 高楼层(共29层)  | 板楼,0人关注 / 7天以前发布,55.5,"7,246元/平"
怡华·名都 3室2厅 南,怡华·名都 -柳邕路商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,67,"5,448元/平"
此房2000年竣工，户型方正，格局好，采光好,永前东四区 -永前路商圈,3室2厅 | 93.8平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 13天以前发布,56,"5,971元/平"
柳北+低楼层孝心二楼+南北通透户型+精装修,北城华府小区 -桂景湾商圈,4室2厅 | 130.12平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,100,"7,686元/平"
白沙路 维多利亚美庐 电梯高层 精装大3房 有入户花园,信和维多利亚美庐 -保利商圈,3室2厅 | 135.67平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,15人关注 / 一年前发布,105,"7,740元/平"
翠林之约电梯中间楼层，4房2厅，2胎必选,鑫运翠林之约 -基隆商圈,4室2厅 | 122.57平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,75,"6,119元/平"
柳钢笔架社区精装2房步梯2楼带家电家具可拎包入住,笔架社区 -柳钢商圈,2室2厅 | 69.55平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,44,"6,327元/平"
工商局宿舍三房两厅124.61平米精装房46万拎包入住,工商局宿舍(城中路) -柳城县,3室2厅 | 124.61平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,45.8,"3,676元/平"
城中五星街青云商圈银龙大厦江景两房房东急售,银龙大厦 -青云商圈,2室2厅 | 103.13平米 | 西 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,62,"6,012元/平"
