标题,开发商,房子信息,发布信息,售价/万,单价
好房推荐盛世雲景153平仅售90万,盛世雲景 -卫东区,4室2厅 | 153.36平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,90,"5,869元/平"
交通方便，视野开阔，采光充足，配套设施齐全。,东城国际 -卫东区,2室1厅 | 58.4平米 | 西 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,39.8,"6,816元/平"
常绿九天庄园四室两厅152平简单装修,常绿·九天庄园 -新华区,4室2厅 | 153平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,82,"5,360元/平"
一品澜山毛坯三室湖景房！115万看房方便,大唐一品澜山 -新华区,3室2厅 | 151平米 | 南 北 | 简装 | 高楼层(共26层)  | 暂无数据,9人关注 / 一年前发布,115,"7,616元/平"
新华路南苑小区步梯房有证有暖，带储藏室，院内可停车,南苑小区（湛河区)  -湛河区,2室2厅 | 92.69平米 | 西 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,39,"4,208元/平"
九龙广场现房标准2室82平，落地阳台毛坯，首付18万，,九龙广场 -湛河区,2室2厅 | 82平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板楼,6人关注 / 一年前发布,51,"6,220元/平"
建业十八城小三室精装房，全新未住,建业十八城 -新华区,3室2厅 | 142平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,103,"7,254元/平"
急售房源建业一期小高层毛坯大三房户型方正.,建业桂园 -新华区,3室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,106,"7,795元/平"
中粮小复式镂空洋房，调高客厅，户型方正带车位！！,中梁壹号院 -新华区,3室2厅 | 133平米 | 西 | 毛坯 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,116,"8,722元/平"
常绿林溪美地两室两厅一卫，交通便利小区环境优美！,常绿·林溪美地 -新华区,2室2厅 | 85平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,2人关注 / 一年前发布,48.6,"5,718元/平"
九天庄园精装修7室拎包入住，小区环境优雅，适合居住,常绿·九天庄园 -新华区,7室3厅 | 232平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,120,"5,173元/平"
常绿大悦城简单装修，三室两卫，诚意出售！,常绿·大阅城 -新华区,3室1厅 | 115平米 | 东 | 简装 | 中楼层(共29层)  | 塔楼,0人关注 / 21天以前发布,69,"6,000元/平"
东环路十矿家属院58.4平米精装修两室一厅一厨一卫,东环路街道环东社区 -卫东区,2室1厅 | 58.4平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 25天以前发布,16,"2,740元/平"
顶层复式带露台.173平精装4室.有证100万大悦城,常绿·大阅城 -新华区,4室2厅 | 173平米 | 东 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,100,"5,781元/平"
水城威尼斯 3室2厅交通便利小区环境干净舒适 适合居住,水城威尼斯 -卫东区,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,57,"4,957元/平"
倾城小区，16+17复式 楼，环境好，随时看房付,倾城小区 -湛河区,5室2厅 | 186平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,3人关注 / 4个月以前发布,112,"6,022元/平"
此房有证有证满二，看房方便，拎包住 中间楼层,平顶山恒大名都 -湛河区,3室2厅 | 90平米 | 西南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,61,"6,778元/平"
百合金山  精装拎包入住有证 三室,百合金山 -新华区,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,82.7,"6,892元/平"
房子为商品房，户型方正，出行方便。,平安景苑 -湛河区,3室2厅 | 142.06平米 | 西南 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,67.5,"4,752元/平"
金域蓝湾137平三室两厅精装修看房方便售价110万,京华金域蓝湾 -湛河区,3室2厅 | 137平米 | 东 | 精装 | 低楼层(共29层)  | 平房,0人关注 / 5个月以前发布,110,"8,030元/平"
恒大名都，有证满两年，精装空房，仅售79万，有钥匙,平顶山恒大名都 -湛河区,3室2厅 | 110平米 | 西北 | 精装 | 高楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,77,"7,000元/平"
恒大边，林溪谷精装2有证有暖拎包可住，43万,常绿·林溪谷 -湛河区,2室1厅 | 70.23平米 | 东北 | 简装 | 高楼层(共32层)  | 平房,0人关注 / 5个月以前发布,43,"6,123元/平"
杨东佳苑 3室2厅 南,杨东佳苑 -卫东区,3室2厅 | 98.07平米 | 南 | 毛坯 | 中楼层(共19层)  | 暂无数据,1人关注 / 一年前发布,54,"5,507元/平"
此房为新房，出行方便，户型方正居住方便舒适环境优美,世纪春城 -湛河区,2室2厅 | 96平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,48,"5,000元/平"
京华金域蓝湾 2室1厅 东南,京华金域蓝湾 -湛河区,2室1厅 | 90平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,2人关注 / 8个月以前发布,75,"8,334元/平"
碧桂园天玺小区  交通便利 小区环境干净舒适 适合居住,碧桂园天玺 -卫东区,3室2厅 | 124平米 | 东 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 一年前发布,132,"10,646元/平"
林溪美地  2室 阳台已封  采光充足 好楼层,常绿·林溪美地 -新华区,2室2厅 | 85平米 | 东南 | 毛坯 | 高楼层(共29层)  | 塔楼,4人关注 / 一年前发布,50,"5,883元/平"
凤凰小区 4室2厅 东,凤凰小区 -湛河区,4室2厅 | 180平米 | 东 | 毛坯 | 中楼层(共30层)  | 板塔结合,7人关注 / 一年前发布,128,"7,112元/平"
急售稳定房源，毛坯一本正三房，动静分离.诚意出售.,常绿·大阅城 -新华区,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,6人关注 / 一年前发布,72,"6,261元/平"
三室两厅两卫南北通透毛坯房随意装修,常绿·林溪美地 -新华区,3室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,8人关注 / 一年前发布,77,"6,210元/平"
建业桂园有自己小院的精装三房，户型合理，诚意出售。,建业桂园 -新华区,3室2厅 | 130.1平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,5人关注 / 一年前发布,153,"11,761元/平"
新城区全湖景，好位置，大唐一品澜山三房只要89万,大唐一品澜山 -新华区,3室2厅 | 121平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,89,"7,356元/平"
大悦城刚需毛坯三房两卫，123平方，单价很低,常绿·大阅城 -新华区,3室2厅 | 123平米 | 西 | 毛坯 | 中楼层(共29层)  | 暂无数据,12人关注 / 一年前发布,74,"6,017元/平"
常绿品质楼盘 小区环境优美 楼间距大,常绿·林溪美地 -新华区,3室2厅 | 108.88平米 | 东南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,66,"6,062元/平"
常绿九天庄园步梯多层，大三室，精装修，直接拎包入住,常绿·九天庄园 -新华区,3室1厅 | 131平米 | 东 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,92,"7,023元/平"
枫林湾小区 三室两厅 一卫交通便利 小区环境优美,枫林湾 -湛河区,3室2厅 | 120平米 | 西 | 精装 | 高楼层(共12层)  | 暂无数据,1人关注 / 10个月以前发布,69,"5,750元/平"
新华路东风路口 精装两室 有证有暖 停车方便,树脂厂家属院 -湛河区,2室2厅 | 73平米 | 西 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,33.8,"4,631元/平"
前排大3室附带私家花园，南北通透，产权清晰可贷款,常绿·大阅城 -新华区,3室2厅 | 118平米 | 东 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,3人关注 / 一年前发布,70,"5,933元/平"
君临天下精装三室拎包入住103,君临天下 -新华区,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共24层)  | 塔楼,0人关注 / 4个月以前发布,95,"7,038元/平"
林溪美地中间楼层三房两厅一厨两卫 可以分期付,常绿·林溪美地 -新华区,3室2厅 | 108平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 3个月以前发布,68,"6,297元/平"
碧桂园天玺小区户型好，楼层好，采光好,碧桂园天玺 -卫东区,3室2厅 | 113平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,112,"9,912元/平"
千田新开源毛坯公寓有证诚意售房,千田·新开元 -湛河区,1室1厅 | 54平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 5个月以前发布,35,"6,482元/平"
开源路南电梯房宏瑞苑105平，客厅通阳台，仅售45万,宏瑞苑 -湛河区,3室2厅 | 105平米 | 西南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,45,"4,286元/平"
惠泽园135平三室，精装修，精奢家具家电，有证,惠泽园 -湛河区,3室2厅 | 134.67平米 | 西 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,103,"7,649元/平"
世纪春城 46平客卧分离 有证满2可分期 随时看户型端正,世纪春城 -湛河区,1室1厅 | 46.14平米 | 东 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,25,"5,419元/平"
荣邦花园 有证毛坯两室 房东急卖,荣邦花园 -卫东区,2室2厅 | 88平米 | 西南 | 简装 | 中楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,60.5,"6,875元/平"
千田153平大三室，有证满二精装拎包住，好楼层有暖气,千田·新开元 -湛河区,3室2厅 | 153.64平米 | 东 | 精装 | 低楼层(共30层)  | 塔楼,2人关注 / 一年前发布,95,"6,184元/平"
公园南门 中建嘉天下127平3室 精装修拎包入住,中建·嘉天下 -湛河区,3室2厅 | 127平米 | 西 | 精装 | 中楼层(共18层)  | 塔楼,9人关注 / 一年前发布,83,"6,536元/平"
凤凰小区精装修中便宜好房子，单价低。,凤凰小区 -湛河区,3室2厅 | 123平米 | 东 | 精装 | 中楼层(共29层)  | 塔楼,7人关注 / 一年前发布,87,"7,074元/平"
龙腾国际精装三室南户.有证可分期售价72万约看方便,龙腾国际 -湛河区,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,8人关注 / 一年前发布,72,"6,546元/平"
龙腾国际65平  两室   精装修  拎包入住,龙腾国际 -湛河区,2室1厅 | 65平米 | 东 东北 | 精装 | 高楼层(共21层)  | 板楼,3人关注 / 一年前发布,43,"6,616元/平"
单价5800买林溪美地毛坯三室有证满2可贷款,常绿·林溪美地 -新华区,3室2厅 | 123平米 | 西 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 4天以前发布,72,"5,854元/平"
开源路南段开南小区步梯2楼两室两厅，有证可分期。,开南小区 -湛河区,2室2厅 | 83.67平米 | 东 | 简装 | 低楼层(共8层)  | 塔楼,0人关注 / 19天以前发布,42,"5,020元/平"
宏瑞苑小区中层毛坯现房140平3室2厅2卫全款包更名,宏瑞苑 -湛河区,3室2厅 | 140平米 | 西 | 毛坯 | 中楼层(共33层)  | 暂无数据,2人关注 / 4个月以前发布,65,"4,643元/平"
银基誉府 3室2厅 西,银基誉府 -湛河区,3室2厅 | 122.6平米 | 西 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,96,"7,831元/平"
九九绿墅园1楼复式住宅338平有证满五首付50%,九九绿墅園 -新华区,7室3厅 | 338平米 | 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,580,"17,160元/平"
银基御府1楼+2楼+负1楼带前后院子,银基誉府 -湛河区,4室2厅 | 194平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,300,"15,464元/平"
东方骏景170平4室3厅2卫 有70平大露台,东方骏景 -卫东区,4室3厅 | 170平米 | 西 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 5个月以前发布,82,"4,824元/平"
九天城鸿馆4+5+6复式精装6室2厅3卫 有证有暖,九天城鸿馆 -新华区,6室2厅 | 200.17平米 | 西南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,286,"14,288元/平"
开源路湛南路口5楼3室2厅2卫110平全新装修未入住,经贸委楼 -湛河区,3室1厅 | 110.25平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,51,"4,626元/平"
3000多一平，位置好，出行便利,公积金家属院 -新华区,3室2厅 | 179平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 29天以前发布,70,"3,911元/平"
急售前排湖景房！凤凰花园毛坯三室两厅两卫，人民医院,凤凰花园A03春华苑 -新华区,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 20天以前发布,83,"6,588元/平"
东安路旁，三开间朝南，通阳台小区可以停车。,矗林小区 -卫东区,3室2厅 | 140平米 | 东 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,60,"4,286元/平"
蓝湾翠园133平三室两厅两卫精装有证带车位,蓝湾翠园 -新华区,3室2厅 | 134.16平米 | 东 南 北 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,115,"8,572元/平"
林溪美地118平三室精装修 带部分家电 随时看房,常绿·林溪美地 -新华区,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,74.5,"6,314元/平"
天安名郡低层精装3室2厅2卫129平支持商贷和公积金,天安名郡 -卫东区,3室2厅 | 129平米 | 西 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 16天以前发布,130,"10,078元/平"
水岸佳苑精装婚房3室2厅124平有证有暖仅售66.8万,水岸佳苑 -卫东区,3室2厅 | 124.36平米 | 东 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 16天以前发布,66.5,"5,348元/平"
建业十八城 3室2厅 东南,建业十八城 -新华区,3室2厅 | 135.13平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,88,"6,513元/平"
瑞府 四室 通阳台 湖景房 带车位 有证 随时看,荣邦瑞府 -新华区,4室2厅 | 166平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 15天以前发布,148,"8,916元/平"
凤凰花园A02秋实苑 3室2厅 东,凤凰花园A02秋实苑 -新华区,3室2厅 | 140平米 | 东 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 16天以前发布,100,"7,143元/平"
凤凰花园A02秋实苑 3室2厅 东,凤凰花园A02秋实苑 -新华区,3室2厅 | 140平米 | 东 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 16天以前发布,100,"7,143元/平"
走售楼部一手手续 华城瑞府 洋房  南北通阳台,荣邦瑞府 -新华区,3室2厅 | 161平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 11天以前发布,166,"10,311元/平"
万达旁广厦雅园电梯三室可贷款有车库水电气暖相中可谈,广厦雅园 -卫东区,3室2厅 | 112平米 | 东 南 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 11天以前发布,68,"6,072元/平"
九天庄园 社区 好位置 三楼    精,常绿·九天庄园 -新华区,3室2厅 | 124平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 10天以前发布,85,"6,855元/平"
平安景苑前排大三室，143平大三室，仅售70万有证有暖,平安景苑 -湛河区,3室2厅 | 142.87平米 | 东 | 毛坯 | 低楼层(共31层)  | 暂无数据,1人关注 / 8个月以前发布,70,"4,900元/平"
西苑小区有证可分期采光充足单价仅2995元/平,西苑小区 -湛河区,3室2厅 | 128.53平米 | 西 | 精装 | 高楼层(共7层)  | 暂无数据,22人关注 / 9个月以前发布,38.5,"2,996元/平"
银基誉府洋房 毛坯 四室两厅两卫 带车位 有证满二,银基誉府 -湛河区,4室2厅 | 176平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,185,"10,512元/平"
优诗美地花园 4室2厅 东,优诗美地花园 -湛河区,4室2厅 | 162平米 | 东 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 8天以前发布,90,"5,556元/平"
此房满五唯一 有证有暖！出入方便！价位便宜，位置好,湛南路187号 -湛河区,2室1厅 | 78.25平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 6天以前发布,30,"3,834元/平"
五建家属院，中层，82平，三室一厅，有证有暖,省五建家属院 -卫东区,3室1厅 | 81.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,34.9,"4,264元/平"
银基御府三期～毛坯三房～随时都可以看房,银基誉府名铸 -湛河区,3室2厅 | 126.42平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,724元/平"
建业十八城精装修3+1户型湖景房拎包入住,建业十八城 -新华区,4室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 26天以前发布,130,"9,155元/平"
光明路80号院1楼带院2室2厅支持全款和公积金贷款,光明北路东80号院 -新华区,2室1厅 | 65平米 | 东 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,59,"9,077元/平"
